ticker,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-11-21,27.9,27.86,28.414,27.7884,30.3164,DOWN,0
2011-11-22,27.75,27.88,28.17,27.783,30.2994,DOWN,0
2011-11-23,27.19,27.52,27.846,27.7584,30.2789,DOWN,0
2011-11-25,26.98,27.09,27.61,27.721,30.2575,UP,1
2011-11-28,27.37,27.37,27.438,27.6864,30.2368,UP,1
2011-11-29,27.73,27.27,27.404,27.6766,30.2204,UP,1
2011-11-30,28.4,28.0,27.534,27.6876,30.2074,UP,1
2011-12-01,28.41,28.29,27.778,27.7208,30.1921,UP,1
2011-12-02,28.68,28.5,28.118,27.7696,30.173,UP,1
2011-12-05,28.95,28.58,28.434,27.8164,30.1502,DOWN,0
2011-12-06,28.94,28.94,28.676,27.8708,30.1351,DOWN,0
2011-12-07,28.91,28.76,28.778,27.9078,30.1196,DOWN,0
2011-12-08,28.74,28.66,28.844,27.9464,30.1009,UP,1
2011-12-09,29.26,28.85,28.96,28.0068,30.0869,DOWN,0
2011-12-12,28.93,28.97,28.956,28.0602,30.0716,UP,1
2011-12-13,29.41,29.15,29.05,28.1328,30.0651,UP,1
2011-12-14,29.96,29.75,29.26,28.186,30.0646,DOWN,0
2011-12-15,28.44,29.4,29.2,28.1998,30.0533,UP,1
2011-12-16,29.16,29.14,29.18,28.2224,30.0453,DOWN,0
2011-12-19,28.52,29.16,29.098,28.2368,30.0361,UP,1
2011-12-20,29.5,28.89,29.116,28.2666,30.0314,DOWN,0
2011-12-21,29.48,29.33,29.02,28.2962,30.028,UP,1
2011-12-22,29.52,29.57,29.236,28.3222,30.0243,DOWN,0
2011-12-23,29.49,29.5,29.302,28.3498,30.0192,UP,1
2011-12-27,29.63,29.41,29.524,28.3808,30.0107,DOWN,0
2011-12-28,29.44,29.45,29.512,28.4244,30.0002,UP,1
2011-12-29,29.68,29.5,29.552,28.4636,29.9914,UP,1
2011-12-30,29.87,29.5,29.622,28.503,29.984,UP,1
2012-01-03,30.56,29.97,29.836,28.5596,29.9789,DOWN,0
2012-01-04,30.55,30.49,30.02,28.6156,29.9659,UP,1
2012-01-05,31.15,30.58,30.362,28.6776,29.958,UP,1
2012-01-06,31.18,31.15,30.662,28.7424,29.9474,UP,1
2012-01-09,31.57,31.17,31.002,28.8138,29.9394,UP,1
2012-01-10,32.02,31.84,31.294,28.8898,29.934,UP,1
2012-01-11,32.4,32.0,31.664,28.974,29.924,UP,1
2012-01-12,32.53,32.45,31.94,29.0654,29.9232,DOWN,0
2012-01-13,32.32,32.31,32.168,29.1658,29.9224,UP,1
2012-01-17,32.55,32.4,32.364,29.2602,29.9219,UP,1
2012-01-18,32.77,32.59,32.514,29.3502,29.9153,UP,1
2012-01-19,33.24,32.9,32.682,29.4556,29.9115,DOWN,0
2012-01-20,33.2,33.14,32.816,29.5586,29.9084,UP,1
2012-01-23,33.52,33.12,33.056,29.672,29.9121,UP,1
2012-01-24,33.66,33.45,33.278,29.807,29.9137,UP,1
2012-01-25,33.97,33.62,33.518,29.9178,29.9181,DOWN,0
2012-01-26,33.76,34.0,33.622,30.002,29.9201,UP,1
2012-01-27,34.11,33.72,33.804,30.1094,29.9242,DOWN,0
2012-01-30,33.82,33.77,33.864,30.2064,29.9258,UP,1
2012-01-31,33.99,33.96,33.93,30.31,29.9274,UP,1
2012-02-01,34.35,34.19,34.006,30.4338,29.9279,UP,1
2012-02-02,34.47,34.43,34.148,30.5586,29.9314,UP,1
2012-02-03,34.74,34.63,34.274,30.6954,29.934,UP,1
2012-02-06,35.23,34.44,34.556,30.845,29.9361,DOWN,0
2012-02-07,35.21,35.26,34.8,31.0054,29.9389,UP,1
2012-02-08,35.74,35.1,35.078,31.1806,29.9462,UP,1
2012-02-09,36.75,36.0,35.534,31.3682,29.9568,DOWN,0
2012-02-10,36.49,36.49,35.884,31.5434,29.9652,DOWN,0
2012-02-13,35.4,36.6,35.918,31.6834,29.9582,UP,1
2012-02-14,36.14,35.24,36.104,31.838,29.9514,DOWN,0
2012-02-15,36.14,36.18,36.184,31.9872,29.9514,UP,1
2012-02-16,36.42,36.04,36.118,32.1366,29.9629,UP,1
2012-02-17,36.66,36.43,36.152,32.291,29.9758,DOWN,0
2012-02-21,36.2,36.46,36.312,32.4368,29.9832,UP,1
2012-02-22,36.57,36.14,36.398,32.5934,30.0001,UP,1
2012-02-23,37.17,36.64,36.604,32.7516,30.0204,UP,1
2012-02-24,37.4,37.29,36.8,32.921,30.0385,DOWN,0
2012-02-27,36.98,37.17,36.864,33.0724,30.0564,UP,1
2012-02-28,36.99,36.99,37.022,33.213,30.0733,UP,1
2012-02-29,37.03,37.04,37.114,33.3848,30.0816,UP,1
2012-03-01,37.5,37.0,37.18,33.5516,30.0933,DOWN,0
2012-03-02,36.95,37.44,37.09,33.7202,30.1077,UP,1
2012-03-05,37.12,36.91,37.118,33.8726,30.1183,DOWN,0
2012-03-06,35.89,36.73,36.898,34.0008,30.1178,UP,1
2012-03-07,36.47,36.03,36.786,34.1398,30.1226,UP,1
2012-03-08,36.87,36.66,36.66,34.2874,30.1326,UP,1
2012-03-09,37.24,36.85,36.718,34.4396,30.1471,DOWN,0
2012-03-12,37.2,37.09,36.734,34.5948,30.1645,UP,1
2012-03-13,37.7,37.41,37.096,34.7552,30.1846,DOWN,0
2012-03-14,37.0,36.35,37.202,34.8978,30.2027,UP,1
2012-03-15,38.59,37.0,37.546,35.0584,30.227,UP,1
2012-03-16,38.61,38.7,37.82,35.2196,30.255,UP,1
2012-03-19,38.63,38.44,38.106,35.3692,30.2836,UP,1
2012-03-20,38.74,38.33,38.314,35.5204,30.3184,UP,1
2012-03-21,38.96,38.89,38.706,35.6682,30.3578,UP,1
2012-03-22,39.03,38.7,38.794,35.8084,30.3998,UP,1
2012-03-23,39.41,39.02,38.954,35.9486,30.4469,UP,1
2012-03-26,39.73,39.43,39.174,36.0926,30.4953,UP,1
2012-03-27,39.9,39.77,39.406,36.2442,30.549,DOWN,0
2012-03-28,39.63,39.8,39.54,36.3858,30.5971,DOWN,0
2012-03-29,39.53,39.14,39.64,36.521,30.644,DOWN,0
2012-03-30,38.77,39.64,39.512,36.6316,30.6874,UP,1
2012-04-02,38.96,37.79,39.358,36.7468,30.7318,UP,1
2012-04-03,39.22,38.78,39.222,36.8608,30.7768,DOWN,0
2012-04-04,39.18,38.98,39.132,36.9712,30.8227,UP,1
2012-04-05,39.25,38.99,39.076,37.0768,30.8672,DOWN,0
2012-04-09,38.71,38.32,39.064,37.1758,30.9102,DOWN,0
2012-04-10,37.86,38.59,38.844,37.2508,30.9487,UP,1
2012-04-11,38.35,38.12,38.67,37.3414,30.9903,UP,1
2012-04-12,38.7,38.34,38.574,37.4356,31.0341,DOWN,0
2012-04-13,38.55,38.7,38.434,37.5196,31.0775,DOWN,0
2012-04-16,38.08,38.5,38.308,37.5918,31.1203,UP,1
2012-04-17,39.12,38.29,38.56,37.6794,31.1677,DOWN,0
2012-04-18,38.67,39.05,38.624,37.7482,31.2125,DOWN,0
2012-04-19,38.49,38.72,38.582,37.8138,31.2573,UP,1
2012-04-20,38.62,38.58,38.596,37.8714,31.2999,UP,1
2012-04-23,38.63,38.08,38.706,37.909,31.3446,UP,1
2012-04-24,39.07,38.76,38.696,37.9606,31.3909,UP,1
2012-04-25,40.07,39.3,38.976,38.054,31.4414,DOWN,0
2012-04-26,40.0,39.84,39.278,38.1312,31.4914,UP,1
2012-04-27,40.08,39.98,39.57,38.21,31.541,DOWN,0
2012-04-30,39.55,39.95,39.754,38.2726,31.5892,UP,1
2012-05-01,40.79,39.71,40.098,38.3552,31.6451,DOWN,0
2012-05-02,40.47,40.75,40.178,38.4406,31.6999,UP,1
2012-05-03,40.65,40.5,40.308,38.5222,31.7545,DOWN,0
2012-05-04,40.27,40.43,40.346,38.5842,31.8081,DOWN,0
2012-05-07,40.26,40.14,40.488,38.6414,31.8619,UP,1
2012-05-08,40.55,40.05,40.44,38.7128,31.9177,UP,1
2012-05-09,40.87,40.5,40.52,38.7904,31.9762,DOWN,0
2012-05-10,39.53,40.5,40.296,38.8404,32.0272,UP,1
2012-05-11,39.68,39.12,40.178,38.884,32.0791,DOWN,0
2012-05-14,39.34,39.34,39.994,38.9318,32.1284,DOWN,0
2012-05-15,39.21,39.15,39.726,38.9736,32.1763,DOWN,0
2012-05-16,39.01,39.38,39.354,39.036,32.2232,DOWN,0
2012-05-17,38.99,39.08,39.246,39.0864,32.2722,DOWN,0
2012-05-18,37.74,38.99,38.858,39.1038,32.3154,UP,1
2012-05-21,38.0,37.73,38.59,39.119,32.3634,DOWN,0
2012-05-22,37.64,38.15,38.276,39.1278,32.4015,UP,1
2012-05-23,37.85,37.36,38.044,39.1308,32.4559,UP,1
2012-05-24,38.54,37.96,37.954,39.1616,32.5043,DOWN,0
2012-05-25,38.46,38.48,38.098,39.159,32.5545,UP,1
2012-05-29,38.69,38.61,38.236,39.1606,32.6107,DOWN,0
2012-05-30,38.2,38.56,38.348,39.152,32.6669,DOWN,0
2012-05-31,37.9,38.34,38.358,39.1352,32.7214,DOWN,0
2012-06-01,36.21,37.5,37.892,39.0802,32.771,UP,1
2012-06-04,36.68,36.32,37.536,39.0332,32.8194,UP,1
2012-06-05,37.03,36.59,37.204,38.9856,32.8766,UP,1
2012-06-06,38.54,37.25,37.272,38.9618,32.943,UP,1
2012-06-07,38.6,38.88,37.412,38.9358,33.0098,DOWN,0
2012-06-08,36.67,36.56,37.504,38.8766,33.059,DOWN,0
2012-06-11,36.58,36.88,37.484,38.8176,33.1025,UP,1
2012-06-12,36.99,36.68,37.476,38.782,33.1479,UP,1
2012-06-13,37.23,36.99,37.214,38.7474,33.1941,UP,1
2012-06-14,37.28,37.12,36.95,38.7086,33.2381,UP,1
2012-06-15,37.45,37.29,37.106,38.674,33.285,UP,1
2012-06-18,37.93,37.4,37.376,38.6476,33.3326,UP,1
2012-06-19,38.23,38.02,37.624,38.638,33.3825,DOWN,0
2012-06-20,37.59,38.31,37.696,38.6326,33.431,DOWN,0
2012-06-21,36.46,37.47,37.532,38.5948,33.4742,DOWN,0
