ticker,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-08-25,14.731,14.874,14.8847,14.7155,14.4914,DOWN,0
2016-08-26,14.666,14.809,14.8179,14.7183,14.4926,DOWN,0
2016-08-29,14.347,14.677,14.7148,14.7179,14.4913,DOWN,0
2016-08-30,14.089,14.407,14.5348,14.7068,14.4908,UP,1
2016-08-31,14.134,14.029,14.3933,14.6967,14.4924,DOWN,0
2016-09-01,13.385,13.934,14.1241,14.7021,14.4879,DOWN,0
2016-09-02,13.185,13.489,13.828,14.704,14.4825,UP,1
2016-09-06,13.522,13.268,13.6631,14.7169,14.4764,DOWN,0
2016-09-07,13.447,13.7,13.5347,14.7211,14.4697,DOWN,0
2016-09-08,13.157,13.303,13.3393,14.7152,14.4621,DOWN,0
2016-09-09,12.965,13.273,13.2553,14.6942,14.4544,UP,1
2016-09-12,13.22,13.0,13.2623,14.6756,14.4477,DOWN,0
2016-09-13,13.07,13.137,13.1719,14.6483,14.4365,UP,1
2016-09-14,13.094,13.05,13.1012,14.6249,14.4248,UP,1
2016-09-15,13.361,13.099,13.142,14.6062,14.4149,UP,1
2016-09-16,13.693,13.361,13.2877,14.5921,14.4043,UP,1
2016-09-19,13.756,13.8,13.3949,14.5782,14.3957,DOWN,0
2016-09-20,13.643,13.79,13.5095,14.5514,14.3864,UP,1
2016-09-21,13.681,13.758,13.6269,14.5255,14.378,UP,1
2016-09-22,13.762,13.76,13.7071,14.504,14.3697,UP,1
2016-09-23,13.83,13.733,13.7344,14.4852,14.3633,UP,1
2016-09-26,13.933,13.767,13.7697,14.47,14.3581,DOWN,0
2016-09-27,13.721,13.977,13.7853,14.4428,14.351,UP,1
2016-09-28,13.751,13.834,13.7993,14.4174,14.3475,DOWN,0
2016-09-29,13.38,13.707,13.7229,14.3806,14.3415,UP,1
2016-09-30,13.602,13.481,13.6773,14.3586,14.3358,UP,1
2016-10-03,14.247,14.153,13.7401,14.3472,14.3289,DOWN,0
2016-10-04,14.094,14.207,13.8148,14.3224,14.3216,DOWN,0
2016-10-05,13.897,14.149,13.844,14.2943,14.3142,DOWN,0
2016-10-06,13.4,13.497,13.848,14.2577,14.3037,DOWN,0
2016-10-07,13.107,13.4,13.7491,14.2123,14.2926,UP,1
2016-10-10,13.397,13.423,13.5791,14.1672,14.283,DOWN,0
2016-10-11,13.34,13.457,13.4283,14.1273,14.2728,UP,1
2016-10-12,13.434,13.397,13.3356,14.0931,14.2637,DOWN,0
2016-10-13,13.349,13.367,13.3255,14.059,14.2514,DOWN,0
2016-10-14,13.101,13.377,13.3241,14.0135,14.2375,DOWN,0
2016-10-17,12.931,13.137,13.2309,13.9654,14.2222,UP,1
2016-10-18,13.273,13.066,13.2176,13.9294,14.2141,UP,1
2016-10-19,13.571,13.316,13.2449,13.8953,14.2074,DOWN,0
2016-10-20,13.273,13.475,13.2297,13.8599,14.2008,UP,1
2016-10-21,13.339,13.24,13.2775,13.8268,14.1956,UP,1
2016-10-24,13.517,13.4,13.3948,13.7964,14.1929,DOWN,0
2016-10-25,13.489,13.527,13.438,13.7654,14.191,DOWN,0
2016-10-26,13.483,13.4,13.4204,13.7369,14.1885,UP,1
2016-10-27,13.601,14.089,13.4859,13.7112,14.1897,DOWN,0
2016-10-28,13.331,13.6,13.4843,13.6799,14.1876,DOWN,0
2016-10-31,13.182,13.499,13.4172,13.6435,14.1852,DOWN,0
2016-11-01,12.719,13.203,13.2632,13.6006,14.1806,DOWN,0
2016-11-02,12.535,12.67,13.0736,13.5515,14.177,DOWN,0
2016-11-03,12.495,12.6,12.8524,13.5046,14.1728,UP,1
2016-11-04,12.704,12.6,12.7269,13.4641,14.1688,UP,1
2016-11-07,12.881,12.906,12.6667,13.4284,14.1678,UP,1
2016-11-08,12.996,12.919,12.722,13.4014,14.1682,DOWN,0
2016-11-09,12.671,12.458,12.7492,13.373,14.1689,DOWN,0
2016-11-10,12.357,12.737,12.7216,13.3374,14.1674,UP,1
2016-11-11,12.571,12.283,12.6949,13.3212,14.1666,DOWN,0
2016-11-14,12.097,12.533,12.5381,13.2994,14.1614,UP,1
2016-11-15,12.251,12.185,12.3892,13.274,14.1617,UP,1
2016-11-16,12.262,12.177,12.3075,13.2503,14.1652,UP,1
2016-11-17,12.577,12.233,12.3516,13.2387,14.1696,DOWN,0
2016-11-18,12.335,12.71,12.3044,13.2261,14.1771,DOWN,0
2016-11-21,12.301,12.336,12.3453,13.2077,14.1893,UP,1
2016-11-22,12.745,12.389,12.444,13.2012,14.2036,UP,1
2016-11-23,12.876,12.707,12.5668,13.1968,14.2201,UP,1
2016-11-25,13.11,12.909,12.6733,13.1918,14.2355,DOWN,0
2016-11-28,13.075,13.032,12.8213,13.1794,14.2505,DOWN,0
2016-11-29,12.638,13.037,12.8887,13.1571,14.262,DOWN,0
