ticker,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-07-21,47.675,48.29,49.408,47.7487,37.8882,UP,1
2006-07-24,50.095,48.14,49.501,47.7814,37.9725,UP,1
2006-07-25,50.215,50.37,49.425,47.8385,38.0578,DOWN,0
2006-07-26,49.38,49.25,49.194,47.904,38.1396,DOWN,0
2006-07-27,46.45,49.095,48.763,47.9003,38.208,DOWN,0
2006-07-28,46.24,46.595,48.476,47.9471,38.2766,UP,1
2006-07-31,47.495,46.8,47.956,48.032,38.3578,DOWN,0
2006-08-01,45.0,46.425,46.913,48.0397,38.4266,DOWN,0
2006-08-02,44.0685,48.8,45.8507,48.0674,38.4873,UP,1
2006-08-03,44.355,44.0,45.4317,48.0828,38.5515,DOWN,0
2006-08-04,43.345,45.215,44.8527,48.0626,38.6103,UP,1
2006-08-07,44.175,44.0,44.1887,48.0365,38.6694,DOWN,0
2006-08-08,43.585,44.415,43.9057,47.9692,38.7268,DOWN,0
2006-08-09,42.875,44.06,43.667,47.9016,38.7772,UP,1
2006-08-10,43.645,43.225,43.525,47.8416,38.8265,UP,1
2006-08-11,44.435,43.69,43.743,47.7591,38.88,DOWN,0
2006-08-14,43.6,44.665,43.628,47.6583,38.9492,UP,1
2006-08-15,44.7,44.235,43.851,47.6128,39.0316,UP,1
2006-08-16,46.32,45.96,44.54,47.6144,39.1204,UP,1
2006-08-17,46.63,46.8,45.137,47.6174,39.21,DOWN,0
2006-08-18,46.2,46.7,45.49,47.6268,39.3005,DOWN,0
2006-08-21,46.2,46.04,46.01,47.6461,39.3932,DOWN,0
2006-08-22,45.88,45.47,46.246,47.6677,39.4783,DOWN,0
2006-08-23,44.91,46.04,45.964,47.7303,39.5609,DOWN,0
2006-08-24,43.84,45.29,45.406,47.7104,39.643,UP,1
2006-08-25,44.24,43.98,45.014,47.6587,39.7276,UP,1
2006-08-28,45.3,44.38,44.834,47.6346,39.8152,UP,1
2006-08-29,45.31,45.55,44.72,47.5972,39.899,UP,1
2006-08-30,46.75,45.54,45.088,47.6,39.9895,UP,1
2006-08-31,46.76,47.2,45.672,47.5665,40.0783,UP,1
2006-09-01,46.96,46.3,46.216,47.5162,40.1698,UP,1
2006-09-05,47.8,47.16,46.716,47.4888,40.2646,DOWN,0
2006-09-06,45.18,47.44,46.69,47.4033,40.3429,DOWN,0
2006-09-07,42.594,45.01,45.8588,47.2846,40.403,UP,1
2006-09-08,43.19,42.99,45.1448,47.1254,40.4643,DOWN,0
2006-09-11,42.18,43.24,44.1888,46.8935,40.5209,UP,1
2006-09-12,42.91,42.07,43.2108,46.6973,40.586,UP,1
2006-09-13,43.3,43.05,42.8348,46.4987,40.6528,UP,1
2006-09-14,43.98,43.39,43.112,46.3358,40.7284,DOWN,0
2006-09-15,43.5,44.31,43.174,46.1406,40.8064,UP,1
