ticker,MET US Equity,MET US Equity,MET US Equity,MET US Equity,MET US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-11-16,27.3467,26.6227,26.2216,23.1516,,DOWN,0
2000-11-17,26.6784,27.3467,26.2328,23.2385,,DOWN,0
2000-11-20,25.8986,26.6784,26.333,23.3143,,DOWN,0
2000-11-21,25.0632,25.3973,26.3219,23.3766,,DOWN,0
2000-11-22,23.8936,24.729,25.7761,23.4,,UP,1
2000-11-24,24.8961,24.1163,25.286,23.4524,,UP,1
2000-11-27,25.453,25.1189,25.0409,23.5237,,DOWN,0
2000-11-28,25.0075,25.286,24.8627,23.5916,,DOWN,0
2000-11-29,24.8404,25.0075,24.8181,23.6485,,UP,1
2000-11-30,26.3999,26.9011,25.3194,23.7443,,UP,1
2000-12-01,26.567,27.291,25.6535,23.8468,,UP,1
2000-12-04,28.3492,27.4024,26.2328,23.9726,,UP,1
2000-12-05,28.6277,28.7391,26.9568,24.1074,,UP,1
2000-12-06,29.5745,28.4606,27.9037,24.2478,,UP,1
2000-12-07,30.6328,29.9087,28.7502,24.3904,,UP,1
2000-12-08,32.5264,30.0758,29.9421,24.5563,,DOWN,0
2000-12-11,31.4125,31.6492,30.5548,24.7167,,DOWN,0
2000-12-12,31.0226,30.7999,31.0338,24.8671,,DOWN,0
2000-12-13,30.0201,31.0226,31.1229,25.013,,UP,1
2000-12-14,30.2986,29.6859,31.0561,25.1757,,UP,1
2000-12-15,31.1897,30.7442,30.7887,25.3327,,UP,1
2000-12-18,31.3011,30.5214,30.7664,25.492,,DOWN,0
2000-12-19,30.1872,30.8555,30.5993,25.6324,,DOWN,0
2000-12-20,29.7973,30.2986,30.5548,25.7716,,DOWN,0
2000-12-21,29.2961,28.6277,30.3543,25.9075,,UP,1
2000-12-22,30.2429,29.4075,30.1649,26.0813,,DOWN,0
2000-12-26,30.1872,30.2986,29.9421,26.2395,,UP,1
2000-12-27,30.5214,30.1872,30.009,26.3976,,UP,1
2000-12-28,31.3011,30.8555,30.3097,26.5647,,DOWN,0
2000-12-29,31.1897,31.7467,30.6885,26.7296,,DOWN,0
2001-01-02,30.2986,31.2454,30.6996,26.8922,,UP,1
2001-01-03,31.0783,30.5214,30.8778,27.0838,,DOWN,0
2001-01-04,29.0733,31.0783,30.5882,27.242,,DOWN,0
2001-01-05,28.1264,29.7416,29.9533,27.3679,,UP,1
2001-01-08,29.2961,28.1264,29.5745,27.5127,,UP,1
2001-01-09,30.1872,29.853,29.5523,27.6842,,DOWN,0
2001-01-10,29.6859,30.0758,29.2738,27.8357,,DOWN,0
2001-01-11,28.9619,30.1872,29.2515,27.9404,,DOWN,0
2001-01-12,27.6252,29.0176,29.1513,28.0006,,DOWN,0
2001-01-16,27.5695,26.9568,28.8059,28.044,,UP,1
2001-01-17,27.7923,27.7923,28.327,28.1075,,UP,1
2001-01-18,28.1264,28.1264,28.0151,28.2,21.4089,DOWN,0
2001-01-19,27.6809,28.1264,27.7589,28.2891,21.4839,UP,1
2001-01-22,29.2404,28.1821,28.0819,28.3904,21.561,UP,1
2001-01-23,29.3518,29.4075,28.4383,28.4807,21.6384,UP,1
2001-01-24,30.0201,29.6302,28.8839,28.552,21.7203,DOWN,0
2001-01-25,29.6859,30.2429,29.1958,28.6132,21.7999,DOWN,0
2001-01-26,29.2961,29.853,29.5188,28.6912,21.879,UP,1
2001-01-29,29.5589,29.3005,29.5826,28.78,21.9547,UP,1
2001-01-30,29.8441,29.1847,29.681,28.8444,22.0282,DOWN,0
2001-01-31,29.2471,29.7639,29.5264,28.8824,22.1037,UP,1
2001-02-01,29.853,29.2649,29.5598,28.9459,22.1811,DOWN,0
2001-02-02,29.7639,30.0758,29.6534,29.0232,22.2581,UP,1
2001-02-05,30.0758,29.9867,29.7568,29.1235,22.3371,DOWN,0
2001-02-06,29.1312,30.0758,29.6142,29.2282,22.414,UP,1
2001-02-07,29.9154,29.1312,29.7479,29.3286,22.4926,DOWN,0
2001-02-08,28.9619,29.4966,29.5696,29.3988,22.5661,DOWN,0
2001-02-09,28.9173,29.4075,29.4003,29.477,22.6391,UP,1
2001-02-12,29.5055,28.6945,29.2863,29.5703,22.7156,DOWN,0
2001-02-13,28.8015,29.4075,29.2203,29.6183,22.7858,UP,1
2001-02-14,28.9619,29.2292,29.0296,29.6662,22.8504,DOWN,0
2001-02-15,28.0708,28.6054,28.8514,29.6607,22.9114,UP,1
2001-02-16,28.65,28.249,28.7979,29.6611,22.9767,DOWN,0
2001-02-20,27.9816,28.7391,28.4932,29.6293,23.0386,DOWN,0
2001-02-21,27.5806,27.6252,28.249,29.5682,23.0983,DOWN,0
2001-02-22,26.8766,26.9123,27.8319,29.4552,23.1525,UP,1
2001-02-23,27.037,26.8945,27.6252,29.3677,23.2114,UP,1
2001-02-26,27.643,27.7143,27.4238,29.3001,23.2713,DOWN,0
2001-02-27,27.5628,27.8658,27.34,29.251,23.3289,DOWN,0
2001-02-28,27.4915,27.7856,27.3222,29.1948,23.3842,UP,1
2001-03-01,27.6252,27.447,27.4719,29.1235,23.438,UP,1
2001-03-02,28.3648,27.5806,27.7375,29.0648,23.4949,UP,1
2001-03-05,28.4718,28.3648,27.9032,29.0305,23.5523,DOWN,0
2001-03-06,28.1688,28.4718,28.0244,28.9979,23.6089,UP,1
2001-03-07,28.3916,28.3381,28.2044,28.9798,23.6698,UP,1
2001-03-08,28.6678,28.4718,28.4129,28.9483,23.7318,UP,1
2001-03-09,28.8995,28.6678,28.5199,28.9226,23.7922,DOWN,0
2001-03-12,27.4915,29.3183,28.3238,28.862,23.8433,UP,1
