ticker,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-09-17,11.47,11.5667,11.484,10.7235,10.7328,UP,1
2007-09-18,11.8433,11.6,11.616,10.7479,10.7264,UP,1
2007-09-19,12.0067,11.92,11.722,10.7743,10.7195,UP,1
2007-09-20,12.17,12.7033,11.8253,10.8048,10.7182,DOWN,0
2007-09-21,11.8667,12.2667,11.8713,10.8291,10.7142,UP,1
2007-09-24,11.9567,11.9,11.9687,10.8582,10.7102,UP,1
2007-09-25,12.0867,11.84,12.0173,10.8864,10.7075,UP,1
2007-09-26,12.4767,12.25,12.1113,10.9201,10.7091,UP,1
2007-09-27,12.5667,12.4767,12.1907,10.9563,10.7108,DOWN,0
2007-09-28,12.56,12.5833,12.3293,10.9816,10.7131,UP,1
2007-10-01,12.8533,12.6133,12.5087,11.0133,10.7178,UP,1
2007-10-02,12.9167,12.82,12.6747,11.0483,10.7225,UP,1
2007-10-03,13.07,13.06,12.7933,11.0941,10.729,DOWN,0
2007-10-04,13.0233,13.04,12.8847,11.1363,10.7349,UP,1
2007-10-05,13.5,13.1433,13.0727,11.1988,10.7424,UP,1
2007-10-08,13.59,13.53,13.22,11.2627,10.7536,UP,1
2007-10-09,14.0133,13.6867,13.4393,11.337,10.7667,UP,1
2007-10-10,14.2633,14.0133,13.678,11.4171,10.7832,DOWN,0
2007-10-11,13.8767,14.0833,13.8487,11.4905,10.7996,DOWN,0
2007-10-12,13.69,13.5367,13.8867,11.5567,10.8163,DOWN,0
2007-10-15,13.4533,13.6733,13.8593,11.6216,10.8317,DOWN,0
2007-10-16,13.4,13.4033,13.7367,11.6842,10.8466,UP,1
2007-10-17,13.5167,13.63,13.5873,11.7452,10.8628,DOWN,0
2007-10-18,13.37,13.4133,13.486,11.8027,10.878,DOWN,0
2007-10-19,13.3333,13.37,13.4147,11.8523,10.8915,UP,1
2007-10-22,13.81,13.3333,13.486,11.9163,10.9054,UP,1
2007-10-23,14.0267,13.99,13.6113,11.9773,10.9188,UP,1
2007-10-24,14.1667,14.1433,13.7413,12.0438,10.9332,UP,1
2007-10-25,14.5567,14.29,13.9787,12.1285,10.9472,UP,1
2007-10-26,14.7733,14.8167,14.2667,12.2263,10.9634,UP,1
2007-10-29,15.4033,14.85,14.5853,12.3227,10.9833,DOWN,0
2007-10-30,15.36,15.5733,14.852,12.4197,11.0022,UP,1
2007-10-31,15.5667,15.5533,15.132,12.5242,11.0209,DOWN,0
2007-11-01,15.1967,15.51,15.26,12.6187,11.0397,UP,1
2007-11-02,15.6033,15.3533,15.426,12.7264,11.0601,UP,1
2007-11-05,15.9167,15.3367,15.5287,12.8353,11.0831,UP,1
2007-11-06,16.27,16.0267,15.7107,12.9473,11.1086,DOWN,0
2007-11-07,15.7366,16.35,15.7447,13.0495,11.1305,DOWN,0
2007-11-08,15.1333,15.6833,15.732,13.1365,11.1494,DOWN,0
2007-11-09,13.7467,13.53,15.3607,13.198,11.1612,DOWN,0
2007-11-12,13.54,13.8633,14.8853,13.2511,11.1727,UP,1
2007-11-13,14.1233,13.5933,14.456,13.3137,11.1876,UP,1
2007-11-14,14.1667,14.3,14.142,13.3756,11.2017,DOWN,0
2007-11-15,13.87,14.4833,13.8893,13.4338,11.2147,UP,1
2007-11-16,13.98,13.95,13.936,13.4961,11.2287,UP,1
2007-11-19,14.0,14.0067,14.028,13.5554,11.2426,UP,1
2007-11-20,14.3333,14.35,14.07,13.6184,11.2572,UP,1
2007-11-21,14.45,14.26,14.1267,13.6779,11.2711,UP,1
2007-11-23,14.5433,14.6233,14.2613,13.7357,11.2835,DOWN,0
2007-11-26,14.4667,14.5333,14.3587,13.7923,11.2938,DOWN,0
2007-11-27,14.1967,14.4033,14.398,13.8468,11.3063,UP,1
2007-11-28,14.4667,14.38,14.4247,13.8993,11.3268,UP,1
2007-11-29,14.5067,14.3567,14.436,13.9493,11.3466,DOWN,0
2007-11-30,14.4533,14.5933,14.418,13.9949,11.3661,UP,1
2007-12-03,14.5033,14.4933,14.4253,14.0477,11.3847,DOWN,0
2007-12-04,14.4133,14.5033,14.4687,14.0968,11.4022,UP,1
2007-12-05,14.63,14.5333,14.5013,14.1477,11.4202,UP,1
2007-12-06,14.73,14.6467,14.546,14.1927,11.4395,UP,1
2007-12-07,15.2667,14.8667,14.7087,14.2467,11.462,UP,1
2007-12-10,15.8933,15.4367,14.9867,14.3134,11.4885,DOWN,0
2007-12-11,15.25,15.9,15.154,14.3613,11.5142,DOWN,0
2007-12-12,15.1267,15.5,15.2533,14.4055,11.54,UP,1
2007-12-13,15.5633,15.1267,15.42,14.4554,11.569,UP,1
2007-12-14,15.5833,15.5333,15.4833,14.5066,11.5998,UP,1
2007-12-17,15.61,15.5067,15.4267,14.5488,11.632,DOWN,0
2007-12-18,15.1967,15.7467,15.416,14.5809,11.6602,UP,1
2007-12-19,15.5,15.2833,15.4907,14.6107,11.6911,UP,1
2007-12-20,15.92,15.61,15.562,14.6438,11.7231,UP,1
2007-12-21,16.2333,16.22,15.692,14.6909,11.7567,UP,1
2007-12-24,16.33,16.3533,15.836,14.7437,11.7909,UP,1
2007-12-26,16.6667,16.41,16.13,14.808,11.8281,DOWN,0
2007-12-27,16.2033,16.6633,16.2707,14.8641,11.8633,UP,1
2007-12-28,16.3733,16.2267,16.3613,14.9212,11.8991,UP,1
2007-12-31,16.4967,16.4833,16.414,14.9837,11.9352,DOWN,0
2008-01-02,16.0767,16.6,16.3633,15.0386,11.9681,DOWN,0
2008-01-03,15.7767,16.0533,16.1853,15.0779,11.9998,DOWN,0
2008-01-04,14.88,15.5033,15.9207,15.095,12.0257,UP,1
2008-01-07,15.19,14.8733,15.684,15.1155,12.0522,DOWN,0
2008-01-08,14.5067,14.9333,15.286,15.1145,12.076,UP,1
2008-01-09,14.9267,14.58,15.056,15.1175,12.1015,UP,1
2008-01-10,15.34,14.9233,14.9687,15.1163,12.1289,UP,1
2008-01-11,15.3667,15.21,15.066,15.1164,12.157,UP,1
2008-01-14,15.5167,15.5,15.1313,15.1154,12.1855,DOWN,0
2008-01-15,14.7267,15.2667,15.1753,15.106,12.2101,DOWN,0
2008-01-16,13.62,14.5767,14.914,15.0663,12.2289,DOWN,0
2008-01-17,12.5867,13.7767,14.3633,14.9997,12.2424,DOWN,0
2008-01-18,12.4833,12.71,13.7867,14.924,12.2554,UP,1
2008-01-22,13.3367,11.6967,13.3507,14.876,12.2727,UP,1
2008-01-23,13.8333,12.8567,13.172,14.85,12.2926,UP,1
2008-01-24,14.6467,14.05,13.3773,14.868,12.3164,DOWN,0
2008-01-25,14.3267,14.86,13.7253,14.8837,12.3391,UP,1
2008-01-28,14.69,14.3567,14.1667,14.8951,12.3632,UP,1
2008-01-29,15.1633,14.9033,14.532,14.915,12.387,DOWN,0
2008-01-30,14.8833,15.03,14.742,14.9353,12.409,UP,1
2008-01-31,15.4233,14.0,14.8973,14.9641,12.4337,DOWN,0
2008-02-01,15.2767,15.34,15.0873,14.9897,12.458,DOWN,0
2008-02-04,15.2233,15.34,15.194,15.0075,12.4821,DOWN,0
2008-02-05,14.01,15.0,14.9633,14.9987,12.4986,DOWN,0
2008-02-06,13.3867,13.9667,14.664,14.9755,12.5104,DOWN,0
2008-02-07,13.36,13.3767,14.2513,14.9534,12.522,UP,1
2008-02-08,13.59,13.2567,13.914,14.9413,12.5339,UP,1
2008-02-11,13.7033,13.56,13.61,14.926,12.5469,UP,1
2008-02-12,13.9167,13.82,13.5913,14.9142,12.5617,UP,1
2008-02-13,14.07,13.8333,13.728,14.9065,12.5778,UP,1
2008-02-14,14.08,14.2767,13.872,14.8981,12.5926,DOWN,0
2008-02-15,13.8233,13.9967,13.9187,14.8863,12.6061,DOWN,0
2008-02-19,13.8233,14.1867,13.9427,14.8701,12.6207,DOWN,0
2008-02-20,13.0333,13.2967,13.766,14.8362,12.6313,UP,1
2008-02-21,13.32,13.28,13.616,14.7973,12.6437,UP,1
2008-02-22,13.4667,13.2733,13.4933,14.7487,12.6577,UP,1
2008-02-25,13.53,13.47,13.4347,14.7143,12.6719,UP,1
2008-02-26,13.7,13.5267,13.41,14.6858,12.6878,UP,1
2008-02-27,13.86,13.7567,13.5753,14.6517,12.7046,UP,1
2008-02-28,14.29,13.93,13.7693,14.6259,12.7231,DOWN,0
2008-02-29,13.8367,14.2133,13.8433,14.5904,12.7402,DOWN,0
2008-03-03,13.4233,13.8667,13.822,14.5549,12.7549,DOWN,0
2008-03-04,13.1933,13.5233,13.7207,14.5088,12.7683,UP,1
2008-03-05,13.4533,13.2867,13.6393,14.4595,12.7833,DOWN,0
2008-03-06,12.93,13.5267,13.3673,14.3934,12.7943,DOWN,0
2008-03-07,12.5967,12.7567,13.1193,14.3187,12.8019,DOWN,0
2008-03-10,11.9533,12.4833,12.8253,14.2245,12.8064,UP,1
2008-03-11,13.03,12.1533,12.7927,14.161,12.8149,DOWN,0
2008-03-12,12.91,13.04,12.684,14.0917,12.8247,UP,1
2008-03-13,13.49,12.9333,12.796,14.0316,12.8385,DOWN,0
2008-03-14,12.8767,13.39,12.852,13.9676,12.8464,DOWN,0
2008-03-17,12.02,12.18,12.8653,13.8925,12.851,UP,1
2008-03-18,13.1633,12.4167,12.892,13.8581,12.8615,DOWN,0
2008-03-19,12.6333,13.2067,12.8367,13.807,12.868,UP,1
2008-03-20,13.2267,12.5767,12.784,13.7814,12.8779,UP,1
2008-03-24,13.7867,13.2467,12.966,13.7586,12.8919,UP,1
2008-03-25,13.9,13.7867,13.342,13.7298,12.907,DOWN,0
2008-03-26,13.89,13.7267,13.4873,13.7003,12.9219,DOWN,0
2008-03-27,13.1333,14.0333,13.5873,13.6526,12.9335,DOWN,0
2008-03-28,12.93,13.2933,13.528,13.6167,12.9443,DOWN,0
2008-03-31,12.8867,12.89,13.348,13.602,12.9555,UP,1
2008-04-01,13.6933,13.0133,13.3067,13.6241,12.9708,UP,1
2008-04-02,13.8967,13.5567,13.308,13.6524,12.9876,DOWN,0
2008-04-03,13.7833,13.83,13.438,13.6613,13.0049,DOWN,0
2008-04-04,13.62,13.9667,13.576,13.6571,13.0218,DOWN,0
2008-04-07,13.5067,13.73,13.7,13.6343,13.0384,DOWN,0
2008-04-08,13.43,13.5333,13.6473,13.6163,13.0551,DOWN,0
2008-04-09,13.11,13.3533,13.49,13.5847,13.0708,DOWN,0
2008-04-10,12.9567,13.0567,13.3247,13.5406,13.0858,DOWN,0
2008-04-11,12.7167,12.7433,13.144,13.4973,13.1001,UP,1
2008-04-14,12.75,12.6233,12.9927,13.4438,13.1147,UP,1
2008-04-15,12.8733,12.9167,12.8813,13.3957,13.1296,UP,1
2008-04-16,13.1767,12.9933,12.8947,13.3548,13.1459,UP,1
2008-04-17,13.7333,13.14,13.05,13.3493,13.1654,DOWN,0
2008-04-18,13.5367,14.0,13.214,13.3523,13.1837,DOWN,0
2008-04-21,13.2267,13.3467,13.3093,13.3496,13.1992,DOWN,0
2008-04-22,12.8733,13.16,13.3093,13.3353,13.2117,DOWN,0
2008-04-23,12.4567,12.9433,13.1653,13.3103,13.2209,UP,1
2008-04-24,12.5633,12.6133,12.9313,13.2833,13.2303,DOWN,0
2008-04-25,12.2833,12.7333,12.6807,13.2475,13.2384,UP,1
2008-04-28,12.7567,12.3333,12.5867,13.2211,13.249,DOWN,0
2008-04-29,12.6667,12.6567,12.5453,13.1979,13.2598,DOWN,0
2008-04-30,12.15,12.7367,12.484,13.1645,13.2672,UP,1
2008-05-01,12.49,12.15,12.4693,13.1536,13.2757,UP,1
2008-05-02,12.7367,12.6233,12.56,13.1419,13.2856,DOWN,0
2008-05-05,12.67,12.6733,12.5427,13.126,13.2924,UP,1
2008-05-06,13.09,12.6633,12.6273,13.1172,13.3015,UP,1
2008-05-07,13.2067,13.1433,12.8387,13.1073,13.3117,DOWN,0
2008-05-08,13.05,13.21,12.9507,13.0911,13.3231,DOWN,0
2008-05-09,12.77,12.82,12.9573,13.0607,13.3324,DOWN,0
2008-05-12,12.76,12.7433,12.9753,13.0392,13.3443,DOWN,0
2008-05-13,12.57,12.7833,12.8713,13.0221,13.3552,DOWN,0
2008-05-14,12.55,12.68,12.74,13.0093,13.3664,UP,1
2008-05-15,12.6633,12.5467,12.6627,12.9935,13.3785,DOWN,0
2008-05-16,12.5,12.6133,12.6087,12.9849,13.3899,DOWN,0
2008-05-19,12.09,12.5,12.4747,12.9747,13.3985,DOWN,0
2008-05-20,11.72,12.0667,12.3047,12.9701,13.406,DOWN,0
2008-05-21,11.0,11.6967,11.9947,12.9295,13.4097,DOWN,0
2008-05-22,10.9767,11.02,11.6573,12.8908,13.4122,UP,1
2008-05-23,11.2067,11.2667,11.3987,12.8451,13.4158,DOWN,0
2008-05-27,11.1067,11.2667,11.202,12.8097,13.4171,UP,1
2008-05-28,11.33,11.1733,11.124,12.7959,13.4207,UP,1
2008-05-29,11.4733,11.2667,11.2187,12.7621,13.4231,UP,1
2008-05-30,11.6767,11.93,11.3587,12.743,13.4273,DOWN,0
2008-06-02,11.2333,11.6667,11.364,12.7031,13.4319,DOWN,0
2008-06-03,11.0967,11.2833,11.362,12.6493,13.4379,DOWN,0
2008-06-04,10.7567,11.0,11.2473,12.5865,13.4388,UP,1
2008-06-05,11.05,10.86,11.1627,12.5297,13.4415,DOWN,0
2008-06-06,10.82,11.0333,10.9913,12.4834,13.4439,DOWN,0
