ticker,HD US Equity,HD US Equity,HD US Equity,HD US Equity,HD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-07-10,57.5,55.313,55.4934,52.8375,51.02,UP,1
2000-07-11,57.625,57.375,55.5599,54.425,51.0425,DOWN,0
2000-07-12,57.375,57.688,55.6272,55.85,51.0675,DOWN,0
2000-07-13,56.188,57.625,55.6877,56.8375,51.055,UP,1
2000-07-14,56.438,56.688,55.7465,57.025,51.1038,UP,1
2000-07-17,56.875,56.875,55.8022,56.9,51.1913,UP,1
2000-07-18,57.375,56.875,55.8572,56.85,51.2725,DOWN,0
2000-07-19,57.125,57.563,55.9055,56.8,51.3438,UP,1
2000-07-20,58.063,57.125,55.9602,57.175,51.455,DOWN,0
2000-07-21,57.125,58.375,56.0043,57.3125,51.5175,DOWN,0
2000-07-24,56.0,56.5,56.0435,57.1375,51.56,DOWN,0
2000-07-25,55.0,55.75,56.0702,56.6625,51.58,DOWN,0
2000-07-26,53.563,54.5,56.0892,55.95,51.5213,UP,1
2000-07-27,54.75,54.313,56.1176,55.2875,51.5475,DOWN,0
2000-07-28,52.688,54.813,56.1435,54.4,51.5563,DOWN,0
2000-07-31,51.75,52.875,56.1656,53.55,51.5613,UP,1
2000-08-01,52.0,51.938,56.1973,52.95,51.57,UP,1
2000-08-02,53.125,52.375,56.2331,52.8625,51.625,DOWN,0
2000-08-03,51.75,53.188,56.2571,52.2625,51.665,UP,1
2000-08-04,54.0,51.813,56.2858,52.525,51.81,UP,1
2000-08-07,55.0,52.625,56.3212,53.175,51.98,UP,1
2000-08-08,57.0,55.0,56.3652,54.175,52.1825,UP,1
2000-08-09,58.0,57.313,56.4154,55.15,52.3975,DOWN,0
2000-08-10,55.125,57.375,56.4554,55.825,52.52,UP,1
2000-08-11,55.938,55.0,56.5028,56.2125,52.6413,UP,1
2000-08-14,59.0,56.813,56.5492,57.0125,52.7488,DOWN,0
2000-08-15,53.5,56.0,56.5642,56.3125,52.7713,DOWN,0
2000-08-16,51.0,52.188,56.5651,54.9125,52.7838,UP,1
2000-08-17,51.313,51.125,56.565,54.15,52.7988,UP,1
2000-08-18,51.375,51.125,56.571,53.2375,52.8288,DOWN,0
2000-08-21,50.875,51.125,56.5721,51.6125,52.8825,UP,1
2000-08-22,51.188,50.938,56.568,51.15,52.9863,UP,1
2000-08-23,51.375,50.625,56.5611,51.225,53.0263,DOWN,0
2000-08-24,50.438,50.625,56.5466,51.05,53.015,UP,1
2000-08-25,50.5,50.438,56.5418,50.875,53.0075,DOWN,0
2000-08-28,50.0,50.625,56.5291,50.7,53.0113,DOWN,0
2000-08-29,49.688,49.938,56.5094,50.4,53.005,DOWN,0
2000-08-30,48.375,49.25,56.4888,49.8,52.995,DOWN,0
2000-08-31,48.063,48.188,56.4612,49.325,52.985,UP,1
2000-09-01,48.563,49.0,56.4376,48.9375,52.9988,UP,1
2000-09-05,50.125,48.938,56.4115,48.9625,53.0413,UP,1
2000-09-06,50.625,50.625,56.3905,49.15,53.1113,DOWN,0
2000-09-07,50.5,50.625,56.3713,49.575,53.13,UP,1
2000-09-08,52.938,50.875,56.3673,50.55,53.2263,UP,1
2000-09-11,54.25,53.0,56.3735,51.6875,53.3538,UP,1
2000-09-12,55.875,54.688,56.3846,52.8375,53.4725,DOWN,0
2000-09-13,54.75,55.25,56.3916,53.6625,53.5738,UP,1
2000-09-14,55.5,55.875,56.4052,54.6625,53.6788,DOWN,0
2000-09-15,54.25,55.938,56.4054,54.925,53.7388,UP,1
