ticker,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-06-07,4.84,4.786,4.788,4.4503,3.5317,DOWN,0
2011-06-08,4.79,4.842,4.752,4.4615,3.5464,DOWN,0
2011-06-09,4.758,4.796,4.7632,4.4699,3.561,DOWN,0
2011-06-10,4.532,4.756,4.732,4.4745,3.5744,UP,1
2011-06-13,4.55,4.532,4.694,4.4772,3.5877,UP,1
2011-06-14,4.578,4.586,4.6416,4.4872,3.6006,DOWN,0
2011-06-15,4.462,4.542,4.576,4.4895,3.6129,UP,1
2011-06-16,4.634,4.45,4.5512,4.4932,3.6259,DOWN,0
2011-06-17,4.532,4.674,4.5512,4.4998,3.6381,UP,1
2011-06-20,4.544,4.532,4.55,4.5111,3.6499,UP,1
2011-06-21,4.928,4.574,4.62,4.5305,3.6639,UP,1
2011-06-22,4.932,4.9,4.714,4.551,3.6783,UP,1
2011-06-23,5.024,4.836,4.792,4.5758,3.693,UP,1
2011-06-24,5.17,5.04,4.9196,4.5986,3.7079,UP,1
2011-06-27,5.202,5.186,5.0512,4.6223,3.7231,UP,1
2011-06-28,5.342,5.212,5.134,4.6479,3.7389,UP,1
2011-06-29,5.382,5.378,5.224,4.6771,3.7543,UP,1
2011-06-30,5.458,5.382,5.3108,4.7087,3.7704,UP,1
2011-07-01,5.516,5.426,5.38,4.7385,3.7866,UP,1
2011-07-05,5.58,5.56,5.4556,4.7692,3.802,UP,1
2011-07-06,5.634,5.58,5.514,4.8002,3.8176,DOWN,0
2011-07-07,5.518,5.696,5.5412,4.8282,3.8329,UP,1
2011-07-08,5.61,5.384,5.5716,4.857,3.849,DOWN,0
2011-07-11,5.47,5.522,5.5624,4.8708,3.8645,DOWN,0
2011-07-12,5.372,5.458,5.5208,4.8809,3.8794,UP,1
2011-07-13,5.496,5.408,5.4932,4.8983,3.8945,DOWN,0
2011-07-14,5.396,5.532,5.4688,4.9158,3.9093,DOWN,0
2011-07-15,5.37,5.444,5.4208,4.9348,3.9236,DOWN,0
2011-07-18,5.306,5.356,5.388,4.9486,3.9376,UP,1
2011-07-19,5.356,5.308,5.3848,4.9627,3.9519,DOWN,0
2011-07-20,4.322,4.47,5.15,4.9542,3.9607,DOWN,0
2011-07-21,4.14,4.322,4.8988,4.9426,3.9687,UP,1
2011-07-22,4.218,4.168,4.6684,4.9348,3.9777,DOWN,0
2011-07-25,4.118,4.144,4.4308,4.9232,3.9862,UP,1
2011-07-26,4.138,4.098,4.1872,4.912,3.9948,DOWN,0
2011-07-27,3.962,4.08,4.1152,4.8976,4.0021,DOWN,0
2011-07-28,3.96,3.964,4.0792,4.8835,4.0094,UP,1
2011-07-29,4.064,3.916,4.0484,4.8702,4.0172,DOWN,0
2011-08-01,4.048,4.12,4.0344,4.8539,4.0248,DOWN,0
2011-08-02,4.026,4.012,4.012,4.8374,4.0319,UP,1
2011-08-03,4.216,4.046,4.0628,4.828,4.04,DOWN,0
2011-08-04,4.16,4.16,4.1028,4.8182,4.0482,DOWN,0
2011-08-05,3.924,4.186,4.0748,4.8009,4.0552,DOWN,0
2011-08-08,3.599,3.7,3.985,4.7782,4.0609,UP,1
2011-08-09,3.838,3.664,3.9474,4.7593,4.0652,DOWN,0
2011-08-10,3.634,3.758,3.831,4.735,4.0683,UP,1
2011-08-11,3.892,3.672,3.7774,4.7134,4.0721,UP,1
2011-08-12,3.942,3.924,3.781,4.6982,4.0761,UP,1
2011-08-15,4.12,4.1,3.8852,4.6869,4.0817,DOWN,0
2011-08-16,4.064,4.078,3.9304,4.6733,4.087,UP,1
2011-08-17,4.168,4.126,4.0372,4.6599,4.0919,DOWN,0
2011-08-18,3.74,4.028,4.0068,4.6389,4.0951,DOWN,0
2011-08-19,3.508,3.7,3.92,4.6139,4.0972,DOWN,0
2011-08-22,3.452,3.572,3.7864,4.5923,4.0991,UP,1
2011-08-23,3.696,3.486,3.7128,4.5752,4.102,DOWN,0
2011-08-24,3.568,3.706,3.5928,4.555,4.1043,DOWN,0
2011-08-25,3.498,3.642,3.5444,4.5357,4.1062,UP,1
2011-08-26,3.722,3.478,3.5872,4.5175,4.1093,UP,1
2011-08-29,3.812,3.778,3.6592,4.5031,4.1132,DOWN,0
2011-08-30,3.764,3.784,3.6728,4.4875,4.1168,UP,1
2011-08-31,3.826,3.79,3.7244,4.4655,4.1205,DOWN,0
2011-09-01,3.812,3.824,3.7872,4.4431,4.1238,DOWN,0
2011-09-02,3.68,3.752,3.7788,4.4162,4.1266,DOWN,0
2011-09-06,3.64,3.55,3.7444,4.3856,4.1285,UP,1
2011-09-07,3.77,3.7,3.7456,4.3569,4.1314,DOWN,0
2011-09-08,3.692,3.76,3.7188,4.3239,4.134,DOWN,0
2011-09-09,3.526,3.642,3.6616,4.2868,4.1359,DOWN,0
2011-09-12,3.49,3.458,3.6236,4.2475,4.1375,UP,1
2011-09-13,3.498,3.5,3.5952,4.2071,4.1391,UP,1
2011-09-14,3.724,3.51,3.586,4.17,4.142,UP,1
2011-09-15,3.782,3.762,3.604,4.1329,4.1449,DOWN,0
2011-09-16,3.63,3.776,3.6248,4.0952,4.147,UP,1
2011-09-19,3.676,3.572,3.662,4.0565,4.1491,DOWN,0
2011-09-20,3.478,3.71,3.658,4.0167,4.1499,UP,1
