ticker,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2004-09-29,13.21,13.065,14.5054,13.441,13.6327,UP,1
2004-09-30,13.42,13.235,14.4909,13.334,13.6386,UP,1
2004-10-01,14.05,13.66,14.4816,13.413,13.6373,UP,1
2004-10-04,14.22,14.06,14.4746,13.591,13.6487,DOWN,0
2004-10-05,14.105,14.19,14.4679,13.801,13.6629,DOWN,0
2004-10-06,13.975,13.98,14.4563,13.954,13.6673,UP,1
2004-10-07,14.03,13.895,14.4442,14.076,13.6742,DOWN,0
2004-10-08,13.57,13.835,14.4304,13.98,13.6573,UP,1
2004-10-11,13.795,13.37,14.4175,13.895,13.6435,DOWN,0
2004-10-12,13.78,13.515,14.4083,13.83,13.6272,UP,1
2004-10-13,13.945,14.04,14.3972,13.824,13.6236,DOWN,0
2004-10-14,13.69,13.9,14.3819,13.756,13.615,UP,1
2004-10-15,13.825,13.695,14.3672,13.807,13.6113,UP,1
2004-10-18,14.01,13.82,14.3539,13.85,13.6237,UP,1
2004-10-19,14.075,14.225,14.3402,13.909,13.6329,UP,1
2004-10-20,14.34,14.1,14.3265,13.988,13.6498,UP,1
2004-10-21,15.23,14.375,14.3188,14.296,13.6924,DOWN,0
2004-10-22,14.4,15.09,14.3058,14.411,13.7222,UP,1
2004-10-25,14.605,14.235,14.2922,14.53,13.7506,DOWN,0
2004-10-26,14.535,14.625,14.279,14.622,13.7721,UP,1
2004-10-27,15.225,14.6075,14.2684,14.799,13.8029,UP,1
2004-10-28,15.315,15.005,14.2629,14.816,13.8309,DOWN,0
2004-10-29,15.125,15.13,14.2555,14.961,13.8583,DOWN,0
2004-11-01,14.985,15.165,14.2469,15.037,13.8785,DOWN,0
2004-11-02,14.85,14.8825,14.2365,15.1,13.896,UP,1
2004-11-03,14.98,15.145,14.2284,15.051,13.9211,UP,1
2004-11-04,15.17,14.805,14.2247,15.022,13.9556,DOWN,0
2004-11-05,15.155,15.415,14.2205,15.028,13.9921,DOWN,0
2004-11-08,15.02,15.225,14.2194,15.035,14.0249,DOWN,0
2004-11-09,14.835,15.035,14.2194,15.032,14.0594,DOWN,0
2004-11-10,14.375,14.755,14.2196,14.911,14.083,UP,1
2004-11-11,14.445,14.595,14.2203,14.766,14.1035,DOWN,0
2004-11-12,14.4,14.44,14.2207,14.615,14.1179,DOWN,0
2004-11-15,14.38,14.265,14.2208,14.487,14.1529,DOWN,0
2004-11-16,14.27,14.4,14.2214,14.374,14.1828,UP,1
2004-11-17,14.63,14.535,14.2223,14.425,14.2155,UP,1
2004-11-18,14.645,14.63,14.2247,14.465,14.2374,DOWN,0
2004-11-19,14.265,14.66,14.2235,14.438,14.2468,UP,1
2004-11-22,14.325,14.165,14.2197,14.427,14.2518,DOWN,0
2004-11-23,14.17,14.175,14.2165,14.407,14.2512,UP,1
2004-11-24,14.305,14.28,14.2128,14.342,14.2634,DOWN,0
2004-11-26,14.165,14.35,14.2076,14.246,14.2757,UP,1
2004-11-29,14.17,14.3,14.2024,14.227,14.2856,DOWN,0
2004-11-30,14.09,14.185,14.1971,14.18,14.2852,DOWN,0
2004-12-01,13.755,13.5,14.1893,14.097,14.2731,UP,1
2004-12-02,13.86,13.885,14.1822,14.008,14.2743,UP,1
2004-12-03,14.01,14.09,14.1771,13.977,14.2754,DOWN,0
2004-12-06,13.965,13.95,14.173,13.936,14.2816,DOWN,0
2004-12-07,13.475,14.0,14.1697,13.813,14.2845,DOWN,0
2004-12-08,13.32,13.595,14.1644,13.726,14.2898,DOWN,0
2004-12-09,13.065,13.03,14.1581,13.567,14.2869,DOWN,0
2004-12-10,13.03,13.0,14.1509,13.371,14.2791,UP,1
2004-12-13,13.26,13.045,14.1453,13.23,14.2633,UP,1
2004-12-14,13.385,13.065,14.1368,13.212,14.2466,UP,1
2004-12-15,13.5,13.565,14.1314,13.248,14.2345,DOWN,0
2004-12-16,13.24,13.43,14.1273,13.283,14.2198,DOWN,0
2004-12-17,13.025,13.375,14.1211,13.282,14.1997,DOWN,0
2004-12-20,13.015,13.1375,14.1145,13.233,14.1886,UP,1
2004-12-21,13.205,13.05,14.1127,13.197,14.1768,DOWN,0
2004-12-22,13.185,13.11,14.1105,13.134,14.1649,DOWN,0
2004-12-23,13.025,13.195,14.1081,13.091,14.1465,DOWN,0
2004-12-27,13.02,13.03,14.1067,13.09,14.1331,UP,1
2004-12-28,13.09,12.955,14.1032,13.105,14.1184,UP,1
2004-12-29,13.21,13.08,14.1029,13.106,14.1024,DOWN,0
2004-12-30,13.15,13.115,14.1037,13.099,14.0839,UP,1
2004-12-31,13.295,13.11,14.1054,13.153,14.063,DOWN,0
2005-01-03,13.0,13.325,14.1032,13.149,14.0184,DOWN,0
2005-01-04,12.775,13.075,14.1011,13.086,13.9859,DOWN,0
2005-01-05,12.385,12.71,14.0985,12.921,13.9415,DOWN,0
2005-01-06,12.2405,12.46,14.0965,12.7391,13.8956,UP,1
2005-01-07,12.265,12.35,14.0924,12.5331,13.8364,DOWN,0
2005-01-10,12.26,12.25,14.0865,12.3851,13.7753,DOWN,0
2005-01-11,12.14,12.2,14.081,12.2581,13.7156,UP,1
2005-01-12,12.235,12.31,14.0754,12.2281,13.6606,DOWN,0
2005-01-13,12.205,12.255,14.0703,12.221,13.6077,UP,1
2005-01-14,12.59,12.275,14.0672,12.286,13.5599,UP,1
2005-01-18,12.595,12.425,14.0626,12.353,13.5084,DOWN,0
2005-01-19,12.455,12.6,14.0552,12.416,13.4544,DOWN,0
2005-01-20,12.435,12.4,14.0459,12.456,13.4027,UP,1
2005-01-21,12.465,12.5,14.0379,12.508,13.3553,DOWN,0
2005-01-24,12.43,12.4675,14.0301,12.476,13.3164,UP,1
2005-01-25,12.755,12.505,14.0248,12.508,13.2826,UP,1
2005-01-26,12.93,13.17,14.0207,12.603,13.2532,UP,1
2005-01-27,13.175,12.9,14.0195,12.751,13.2291,DOWN,0
2005-01-28,12.93,13.145,14.0166,12.844,13.2023,UP,1
2005-01-31,13.025,13.055,14.0142,12.963,13.1702,UP,1
2005-02-01,13.09,12.985,14.0126,13.03,13.1391,UP,1
2005-02-02,13.385,13.145,14.0105,13.121,13.1215,DOWN,0
2005-02-03,13.255,13.64,14.0098,13.137,13.1001,UP,1
2005-02-04,13.895,13.325,14.0099,13.33,13.0946,DOWN,0
2005-02-07,13.71,13.86,14.0076,13.467,13.0827,UP,1
2005-02-08,13.95,13.72,13.9958,13.639,13.0784,DOWN,0
2005-02-09,13.545,13.875,13.9853,13.671,13.0659,UP,1
2005-02-10,13.75,13.66,13.978,13.77,13.0591,UP,1
2005-02-11,14.17,13.75,13.9752,13.825,13.0674,DOWN,0
2005-02-14,14.105,14.17,13.9734,13.904,13.0723,UP,1
2005-02-15,14.215,14.08,13.9744,13.957,13.0764,DOWN,0
2005-02-16,14.13,14.145,13.9754,14.074,13.0797,DOWN,0
2005-02-17,13.65,14.075,13.9713,14.054,13.0832,DOWN,0
2005-02-18,13.395,13.66,13.9625,13.899,13.0847,DOWN,0
2005-02-22,13.26,13.325,13.9527,13.73,13.0886,UP,1
2005-02-23,13.28,13.45,13.9424,13.543,13.0936,UP,1
2005-02-24,13.815,13.275,13.936,13.48,13.1047,UP,1
2005-02-25,14.06,13.735,13.9304,13.562,13.1182,DOWN,0
2005-02-28,13.73,14.085,13.9247,13.629,13.1228,UP,1
2005-03-01,14.215,13.82,13.9228,13.82,13.1423,DOWN,0
2005-03-02,14.06,14.04,13.9214,13.976,13.163,DOWN,0
2005-03-03,13.98,14.03,13.9201,14.009,13.1823,UP,1
2005-03-04,14.09,14.075,13.9177,14.015,13.2,UP,1
2005-03-07,14.245,14.095,13.9135,14.118,13.2212,DOWN,0
2005-03-08,13.91,14.29,13.909,14.057,13.2389,DOWN,0
2005-03-09,13.72,13.865,13.9022,13.989,13.2529,UP,1
2005-03-10,13.735,13.68,13.896,13.94,13.2658,DOWN,0
2005-03-11,13.605,13.735,13.887,13.843,13.2737,UP,1
2005-03-14,13.645,13.565,13.8773,13.723,13.2836,DOWN,0
2005-03-15,13.325,13.675,13.8645,13.606,13.2842,DOWN,0
2005-03-16,13.005,13.22,13.8504,13.463,13.2843,DOWN,0
2005-03-17,12.855,12.975,13.8355,13.287,13.2859,UP,1
2005-03-18,12.945,12.96,13.8249,13.155,13.2971,DOWN,0
2005-03-21,12.82,12.93,13.8156,12.99,13.3087,DOWN,0
2005-03-22,12.69,12.845,13.8045,12.863,13.3172,UP,1
2005-03-23,12.75,12.97,13.7911,12.812,13.327,UP,1
2005-03-24,12.76,12.875,13.7774,12.793,13.3394,DOWN,0
2005-03-28,12.76,12.785,13.7661,12.756,13.3499,UP,1
2005-03-29,12.825,12.75,13.7536,12.757,13.3623,UP,1
2005-03-30,13.205,12.845,13.7454,12.86,13.3746,DOWN,0
2005-03-31,13.005,13.195,13.7345,12.911,13.3828,DOWN,0
2005-04-01,12.645,13.115,13.7221,12.888,13.3866,DOWN,0
2005-04-04,12.51,12.565,13.7113,12.838,13.3881,UP,1
2005-04-05,12.54,12.575,13.7,12.781,13.3896,DOWN,0
2005-04-06,12.405,12.65,13.6883,12.621,13.3891,UP,1
2005-04-07,12.88,12.385,13.6761,12.596,13.3916,UP,1
2005-04-08,12.92,12.875,13.6634,12.651,13.3914,DOWN,0
2005-04-11,12.815,12.965,13.6512,12.712,13.3842,UP,1
2005-04-12,12.93,12.755,13.6391,12.79,13.3842,DOWN,0
2005-04-13,12.645,12.895,13.6247,12.838,13.3766,DOWN,0
2005-04-14,12.475,12.75,13.6087,12.757,13.3643,DOWN,0
2005-04-15,12.3,12.35,13.5913,12.633,13.3426,UP,1
2005-04-18,12.455,12.28,13.5771,12.561,13.3266,UP,1
2005-04-19,12.765,12.55,13.5659,12.528,13.304,DOWN,0
2005-04-20,12.71,12.88,13.5578,12.541,13.284,UP,1
2005-04-21,13.07,12.825,13.5507,12.66,13.2664,DOWN,0
2005-04-22,12.68,12.965,13.5441,12.736,13.2491,UP,1
2005-04-25,12.785,12.775,13.5373,12.802,13.2298,DOWN,0
2005-04-26,12.75,12.755,13.5353,12.799,13.2014,UP,1
2005-04-27,12.765,12.695,13.533,12.81,13.1746,UP,1
2005-04-28,13.96,13.465,13.5385,12.988,13.1695,UP,1
2005-04-29,14.24,14.055,13.5439,13.3,13.1717,DOWN,0
2005-05-02,14.06,14.255,13.55,13.555,13.1799,DOWN,0
2005-05-03,14.025,14.05,13.5532,13.81,13.1925,UP,1
2005-05-04,14.27,14.09,13.5552,14.111,13.2127,DOWN,0
2005-05-05,14.185,14.215,13.5605,14.156,13.2308,UP,1
2005-05-06,14.32,14.235,13.5616,14.172,13.2409,DOWN,0
2005-05-09,14.23,14.255,13.5645,14.206,13.2443,DOWN,0
2005-05-10,14.07,14.195,13.5678,14.215,13.2511,DOWN,0
2005-05-11,13.975,14.09,13.5689,14.156,13.2463,UP,1
2005-05-12,14.455,14.06,13.5728,14.21,13.2542,UP,1
2005-05-13,14.54,14.535,13.5734,14.254,13.2654,UP,1
2005-05-16,14.665,14.46,13.5743,14.341,13.2769,UP,1
2005-05-17,15.0,14.605,13.5763,14.527,13.292,DOWN,0
