ticker,ROL US Equity,ROL US Equity,ROL US Equity,ROL US Equity,ROL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-10-16,6.7911,6.8207,6.5308,6.7893,6.9763,DOWN,0
2012-10-17,6.7822,6.7763,6.5317,6.7846,6.9701,DOWN,0
2012-10-18,6.7289,6.7911,6.5326,6.7757,6.9645,DOWN,0
2012-10-19,6.7081,6.7022,6.5335,6.7644,6.9586,DOWN,0
2012-10-22,6.5807,6.7111,6.5338,6.7182,6.9493,UP,1
2012-10-23,6.6459,6.5067,6.5347,6.6892,6.9419,DOWN,0
2012-10-24,6.6341,6.6607,6.5353,6.6596,6.9342,UP,1
2012-10-25,6.7141,6.7022,6.5363,6.6566,6.9281,DOWN,0
2012-10-26,6.6578,6.7259,6.537,6.6465,6.9208,UP,1
2012-10-31,6.717,6.6548,6.538,6.6738,6.9131,UP,1
2012-11-01,6.8978,6.7111,6.5397,6.7241,6.9101,UP,1
2012-11-02,6.9333,6.9422,6.5414,6.784,6.9089,DOWN,0
2012-11-05,6.8889,6.9156,6.5426,6.819,6.9079,UP,1
2012-11-06,6.9304,6.9304,6.5438,6.8735,6.9078,DOWN,0
2012-11-07,6.7763,6.8474,6.5444,6.8853,6.9047,DOWN,0
2012-11-08,6.7141,6.7674,6.5443,6.8486,6.9008,DOWN,0
2012-11-09,6.6637,6.7111,6.5438,6.7947,6.8951,UP,1
2012-11-12,6.6904,6.717,6.5451,6.755,6.8903,DOWN,0
2012-11-13,6.56,6.64,6.5456,6.6809,6.8841,DOWN,0
2012-11-14,6.4563,6.5659,6.5461,6.6169,6.8753,DOWN,0
2012-11-15,6.4119,6.4622,6.5465,6.5564,6.8641,UP,1
2012-11-16,6.4207,6.403,6.5464,6.5079,6.8518,UP,1
2012-11-19,6.4889,6.4681,6.5469,6.4676,6.8377,UP,1
2012-11-20,6.5778,6.4681,6.547,6.4711,6.8254,UP,1
2012-11-21,6.5837,6.5807,6.5476,6.4966,6.8139,UP,1
2012-11-23,6.6341,6.6104,6.5488,6.541,6.8042,UP,1
2012-11-26,6.6459,6.6252,6.5504,6.5861,6.7952,UP,1
2012-11-27,6.6578,6.6074,6.5521,6.6199,6.786,UP,1
2012-11-28,6.6815,6.6341,6.5546,6.6406,6.7767,UP,1
2012-11-29,6.7289,6.72,6.5566,6.6696,6.7705,UP,1
2012-11-30,6.7467,6.7407,6.5592,6.6921,6.764,DOWN,0
2012-12-03,6.6281,6.7704,6.5617,6.6886,6.7551,DOWN,0
2012-12-04,6.6252,6.6222,6.5639,6.6821,6.747,UP,1
2012-12-05,6.6667,6.6281,6.5665,6.6791,6.7401,UP,1
2012-12-06,6.6874,6.6607,6.57,6.6708,6.7331,DOWN,0
2012-12-07,6.637,6.6993,6.5727,6.6489,6.7267,UP,1
2012-12-10,6.7081,6.6252,6.5749,6.6649,6.723,DOWN,0
2012-12-11,6.6904,6.7259,6.5773,6.6779,6.7185,DOWN,0
2012-12-12,6.6519,6.723,6.5798,6.675,6.7129,DOWN,0
2012-12-13,6.6341,6.6726,6.5825,6.6643,6.7097,DOWN,0
2012-12-14,6.5748,6.6193,6.5854,6.6519,6.7033,UP,1
2012-12-17,6.6044,6.5867,6.5886,6.6311,6.6968,UP,1
2012-12-18,6.717,6.5778,6.5934,6.6364,6.6927,DOWN,0
2012-12-19,6.6637,6.7052,6.5972,6.6388,6.688,UP,1
2012-12-20,6.6756,6.6933,6.6007,6.6471,6.6839,DOWN,0
2012-12-21,6.5541,6.5807,6.6035,6.643,6.6785,UP,1
2012-12-24,6.6281,6.5659,6.6062,6.6477,6.6749,DOWN,0
2012-12-26,6.5422,6.6222,6.6079,6.6127,6.6703,DOWN,0
2012-12-27,6.5126,6.56,6.6093,6.5825,6.6652,DOWN,0
2012-12-28,6.4059,6.477,6.6097,6.5286,6.6571,UP,1
2012-12-31,6.5304,6.3881,6.6115,6.5239,6.6519,UP,1
2013-01-02,6.7437,6.6193,6.6141,6.547,6.6511,UP,1
2013-01-03,6.7881,6.7467,6.617,6.5961,6.6523,UP,1
2013-01-04,6.8296,6.8059,6.62,6.6596,6.6548,UP,1
2013-01-07,6.8533,6.8119,6.6234,6.749,6.6602,UP,1
2013-01-08,6.8563,6.8415,6.6268,6.8142,6.6644,UP,1
2013-01-09,6.9511,6.8889,6.6309,6.8557,6.6708,UP,1
2013-01-10,6.9807,6.9719,6.6348,6.8942,6.6761,DOWN,0
2013-01-11,6.9778,6.9956,6.638,6.9239,6.6825,UP,1
2013-01-14,7.043,6.9778,6.6418,6.9618,6.689,DOWN,0
2013-01-15,6.9837,6.9956,6.6454,6.9873,6.6907,DOWN,0
2013-01-16,6.9659,6.9748,6.6488,6.9902,6.6914,UP,1
2013-01-17,7.0933,6.9719,6.6528,7.0127,6.6955,DOWN,0
2013-01-18,7.0756,7.1081,6.6569,7.0323,6.6984,UP,1
2013-01-22,7.197,7.0489,6.6618,7.0631,6.7068,UP,1
2013-01-23,7.2207,7.1644,6.6673,7.1105,6.7169,UP,1
2013-01-24,7.3215,7.2474,6.6732,7.1816,6.7301,UP,1
2013-01-25,7.3689,7.3541,6.6801,7.2367,6.7436,DOWN,0
2013-01-28,7.3096,7.363,6.6866,7.2836,6.7586,UP,1
2013-01-29,7.3274,7.28,6.6927,7.3096,6.7761,DOWN,0
2013-01-30,7.2622,7.3244,6.6982,7.3179,6.7931,UP,1
2013-01-31,7.3244,7.28,6.7045,7.3185,6.8111,UP,1
2013-02-01,7.363,7.3837,6.7106,7.3173,6.8286,DOWN,0
2013-02-04,7.363,7.3274,6.7167,7.328,6.8443,UP,1
2013-02-05,7.4193,7.4044,6.7231,7.3464,6.861,DOWN,0
2013-02-06,7.4074,7.363,6.7298,7.3754,6.8765,UP,1
2013-02-07,7.44,7.3985,6.7361,7.3985,6.8924,DOWN,0
2013-02-08,7.4044,7.4311,6.7432,7.4068,6.9073,DOWN,0
2013-02-11,7.3837,7.4193,6.7492,7.411,6.9214,UP,1
2013-02-12,7.3956,7.3896,6.7547,7.4062,6.9347,UP,1
2013-02-13,7.4252,7.3807,6.7601,7.4098,6.9483,UP,1
2013-02-14,7.4607,7.3926,6.7655,7.4139,6.9649,UP,1
2013-02-15,7.4815,7.4637,6.7715,7.4293,6.982,UP,1
2013-02-19,7.5733,7.4844,6.7779,7.4673,7.0002,DOWN,0
2013-02-20,7.3422,7.5467,6.7828,7.4566,7.0133,DOWN,0
2013-02-21,7.2652,7.3393,6.7876,7.4246,7.0258,UP,1
2013-02-22,7.3393,7.2948,6.7931,7.4003,7.0385,DOWN,0
