ticker,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-09-18,45.0,45.4375,42.8364,44.4957,42.042,DOWN,0
2000-09-19,44.0313,44.8125,42.8292,44.4457,42.0826,DOWN,0
2000-09-20,43.5,44.6875,42.8192,44.2832,42.0826,DOWN,0
2000-09-21,42.6563,43.3125,42.8081,44.0563,42.079,DOWN,0
2000-09-22,42.125,42.5625,42.7925,43.4625,42.082,DOWN,0
2000-09-25,41.3965,41.5,42.769,42.7418,42.0724,UP,1
2000-09-26,41.6563,41.875,42.7504,42.2668,42.0788,UP,1
2000-09-27,42.7188,41.7188,42.7401,42.1106,42.1188,DOWN,0
2000-09-28,42.0723,42.7188,42.731,41.9938,42.1409,UP,1
2000-09-29,42.625,42.3438,42.7192,42.0938,42.1934,UP,1
2000-10-02,43.3438,43.0938,42.7124,42.4832,42.2752,UP,1
2000-10-03,43.4375,43.5938,42.7108,42.8395,42.3702,DOWN,0
2000-10-04,42.4063,43.75,42.7075,42.777,42.4452,UP,1
2000-10-05,42.75,42.4063,42.7076,42.9125,42.5271,DOWN,0
2000-10-06,42.1875,42.75,42.7067,42.825,42.5615,UP,1
2000-10-09,43.0,42.4063,42.7056,42.7563,42.6157,UP,1
2000-10-10,43.5938,43.25,42.712,42.7875,42.6977,DOWN,0
2000-10-11,43.3125,44.4688,42.7123,42.9688,42.7752,UP,1
2000-10-12,43.6563,43.3125,42.7156,43.15,42.8502,DOWN,0
2000-10-13,42.125,43.3438,42.7125,43.1375,42.8927,DOWN,0
2000-10-16,41.0,40.0,42.7009,42.7375,42.9195,UP,1
2000-10-17,41.4375,40.75,42.6991,42.3063,42.9412,DOWN,0
2000-10-18,41.25,41.6875,42.6962,41.8938,42.9626,DOWN,0
2000-10-19,41.1563,40.9375,42.6892,41.3938,42.9598,UP,1
2000-10-20,41.7188,41.1563,42.6759,41.3125,42.9554,DOWN,0
2000-10-23,41.2813,41.75,42.6566,41.3688,42.941,DOWN,0
2000-10-24,41.125,41.7188,42.6425,41.3063,42.9198,DOWN,0
2000-10-25,40.75,41.25,42.6286,41.2063,42.8998,UP,1
2000-10-26,41.0,41.5,42.6167,41.175,42.8652,DOWN,0
2000-10-27,40.1563,41.2188,42.5986,40.8625,42.7964,UP,1
2000-10-30,40.8125,39.6875,42.5851,40.7688,42.7524,UP,1
2000-10-31,41.0625,40.8125,42.5672,40.7563,42.7061,UP,1
2000-11-01,41.4063,41.375,42.5544,40.8875,42.668,DOWN,0
2000-11-02,40.25,41.4375,42.5369,40.7375,42.5843,UP,1
2000-11-03,40.5313,40.5938,42.5181,40.8125,42.533,UP,1
2000-11-06,41.2813,40.4688,42.5025,40.9063,42.4899,DOWN,0
2000-11-07,41.0313,41.2813,42.4862,40.9,42.4411,UP,1
2000-11-08,41.5,41.25,42.4744,40.9188,42.4111,UP,1
2000-11-09,41.6875,41.6875,42.472,41.2063,42.3938,UP,1
2000-11-10,42.0625,41.7188,42.4759,41.5125,42.3899,DOWN,0
2000-11-13,41.5625,42.5313,42.4747,41.5688,42.3664,UP,1
2000-11-14,42.125,41.5938,42.4773,41.7875,42.3496,DOWN,0
2000-11-15,41.9688,42.1563,42.4806,41.8813,42.3077,DOWN,0
2000-11-16,41.9375,41.8438,42.4867,41.9313,42.2633,DOWN,0
2000-11-17,41.875,41.625,42.4997,41.8938,42.2339,DOWN,0
2000-11-20,41.8438,42.1563,42.5112,41.95,42.1777,UP,1
2000-11-21,42.5,41.875,42.528,42.025,42.1421,DOWN,0
2000-11-22,42.4063,42.5,42.5525,42.1125,42.1039,DOWN,0
2000-11-24,42.1563,42.4688,42.5712,42.1563,42.0713,UP,1
2000-11-27,42.4375,42.5625,42.5984,42.2688,42.0181,UP,1
2000-11-28,42.9063,42.875,42.6284,42.4813,41.9763,DOWN,0
2000-11-29,41.0625,42.9063,42.64,42.1938,41.9169,DOWN,0
2000-11-30,40.9375,41.3438,42.6501,41.9,41.8656,UP,1
2000-12-01,41.3125,41.2188,42.6623,41.7313,41.8388,UP,1
2000-12-04,41.5,41.1875,42.6794,41.5438,41.8263,DOWN,0
2000-12-05,40.9063,42.25,42.6947,41.1438,41.8164,DOWN,0
2000-12-06,40.25,41.0,42.7128,40.9813,41.7883,UP,1
2000-12-07,40.3438,40.5313,42.7359,40.8625,41.7408,UP,1
2000-12-08,40.6563,40.1563,42.7616,40.7313,41.7125,UP,1
2000-12-11,40.75,40.6875,42.7789,40.5813,41.675,UP,1
2000-12-12,40.9063,41.0625,42.7967,40.5813,41.6263,UP,1
2000-12-13,41.125,40.7813,42.8142,40.7563,41.58,DOWN,0
2000-12-14,39.5313,40.75,42.8226,40.5938,41.5225,DOWN,0
2000-12-15,39.125,39.875,42.8319,40.2875,41.45,UP,1
2000-12-18,40.375,39.4375,42.8487,40.2125,41.4138,UP,1
2000-12-19,40.5313,40.2813,42.8489,40.1375,41.3644,DOWN,0
2000-12-20,39.2188,40.0313,42.8423,39.7563,41.2769,DOWN,0
2000-12-21,39.1875,39.5938,42.8301,39.6875,41.1944,UP,1
2000-12-22,40.3125,39.4688,42.8308,39.925,41.1275,UP,1
2000-12-26,41.4063,40.8125,42.8383,40.1313,41.1131,UP,1
2000-12-27,41.5313,41.625,42.8387,40.3313,41.1238,UP,1
2000-12-28,42.875,42.4375,42.8433,41.0625,41.1525,DOWN,0
2000-12-29,42.2188,42.9375,42.8441,41.6688,41.1719,UP,1
2001-01-02,42.9688,42.5938,42.8506,42.2,41.2081,DOWN,0
2001-01-03,41.3125,42.5,42.8498,42.1813,41.2,DOWN,0
2001-01-04,40.4375,40.875,42.837,41.9625,41.1831,UP,1
2001-01-05,40.75,40.4375,42.8308,41.5375,41.1756,DOWN,0
2001-01-08,40.6563,40.75,42.8225,41.225,41.1738,DOWN,0
2001-01-09,40.125,40.6563,42.8091,40.6563,41.1563,DOWN,0
2001-01-10,40.0625,40.125,42.798,40.4063,41.1544,UP,1
2001-01-11,40.7188,40.5625,42.7894,40.4625,41.1525,DOWN,0
2001-01-12,40.4688,40.75,42.7705,40.4063,41.1406,UP,1
2001-01-16,40.5,40.4375,42.7425,40.375,41.1225,DOWN,0
2001-01-17,40.125,40.1875,42.712,40.375,41.12,DOWN,0
2001-01-18,39.7188,40.0,42.6798,40.3063,41.1038,DOWN,0
2001-01-19,39.6563,39.4063,42.6536,40.0938,41.0713,UP,1
2001-01-22,39.8125,39.375,42.6339,39.9625,41.0469,DOWN,0
2001-01-23,39.7813,39.8438,42.6105,39.8188,41.0125,UP,1
2001-01-24,39.9375,40.0938,42.5941,39.7813,40.9775,UP,1
2001-01-25,41.5938,40.0625,42.5869,40.1563,40.9681,DOWN,0
2001-01-26,41.3125,41.5938,42.5717,40.4875,40.9631,DOWN,0
2001-01-29,40.75,40.81,42.553,40.675,40.9356,UP,1
2001-01-30,40.93,40.675,42.5403,40.9048,40.9149,UP,1
2001-01-31,41.64,41.3,42.5342,41.2453,40.9089,DOWN,0
2001-02-01,41.635,41.64,42.5351,41.2535,40.9041,DOWN,0
2001-02-02,41.21,41.635,42.5297,41.233,40.8914,UP,1
2001-02-05,41.285,41.4,42.5243,41.34,40.8671,UP,1
2001-02-06,42.345,41.525,42.5202,41.623,40.8659,DOWN,0
