ticker,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-01-05,14.2813,14.375,13.3261,13.9313,13.7538,UP,1
2001-01-08,14.5,14.5,13.3434,14.2813,13.7875,UP,1
2001-01-09,14.5313,14.5,13.3598,14.5375,13.8019,UP,1
2001-01-10,14.6875,14.625,13.3776,14.4938,13.8081,UP,1
2001-01-11,14.8828,14.7188,13.3995,14.5766,13.8089,UP,1
2001-01-12,15.375,14.875,13.4226,14.7953,13.8295,DOWN,0
2001-01-16,14.9063,15.3125,13.4426,14.8766,13.8364,DOWN,0
2001-01-17,14.625,14.875,13.4582,14.8953,13.8389,UP,1
2001-01-18,14.875,14.5313,13.4733,14.9328,13.8514,UP,1
2001-01-19,15.1563,14.6875,13.4933,14.9875,13.857,DOWN,0
2001-01-22,14.9375,15.1719,13.5093,14.9,13.8575,UP,1
2001-01-23,15.2422,14.9063,13.528,14.9672,13.8748,DOWN,0
2001-01-24,14.8438,15.0938,13.5473,15.0109,13.893,DOWN,0
2001-01-25,14.8438,14.8438,13.5682,15.0047,13.923,UP,1
2001-01-26,15.0625,14.875,13.5902,14.9859,13.9536,UP,1
2001-01-29,15.1563,15.1172,13.6116,15.0297,13.9886,UP,1
2001-01-30,15.1875,15.0078,13.6323,15.0188,14.0342,DOWN,0
2001-01-31,14.625,15.0313,13.6495,14.975,14.073,UP,1
2001-02-01,14.9688,14.25,13.6693,15.0,14.1048,DOWN,0
2001-02-02,14.75,14.9375,13.6865,14.9375,14.1448,UP,1
2001-02-05,15.25,14.7813,13.7074,14.9563,14.1817,UP,1
2001-02-06,15.6563,15.4063,13.73,15.05,14.2216,UP,1
2001-02-07,15.8438,15.5,13.7542,15.2938,14.2553,DOWN,0
2001-02-08,15.25,15.8281,13.7743,15.35,14.2853,UP,1
2001-02-09,15.75,15.0,13.7964,15.55,14.3278,UP,1
2001-02-12,15.8438,15.7422,13.8199,15.6688,14.3684,UP,1
2001-02-13,15.875,15.875,13.8434,15.7125,14.4053,DOWN,0
2001-02-14,15.4688,16.1172,13.8641,15.6375,14.4316,DOWN,0
2001-02-15,15.4375,15.0313,13.886,15.675,14.4741,DOWN,0
2001-02-16,14.9688,15.625,13.9068,15.5188,14.4816,DOWN,0
2001-02-20,14.875,15.0,13.927,15.325,14.5028,DOWN,0
