ticker,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-11-05,62.63,63.32,62.212,62.5966,,UP,1
2020-11-06,63.58,62.97,62.672,62.6036,,DOWN,0
2020-11-09,63.5,67.0,62.944,62.6018,,UP,1
2020-11-10,65.74,63.38,63.55,62.6586,,UP,1
2020-11-11,66.12,65.86,64.314,62.7,,DOWN,0
2020-11-12,65.99,66.18,64.986,62.713,,DOWN,0
2020-11-13,65.57,66.24,65.384,62.7874,,UP,1
2020-11-16,67.39,66.22,66.162,62.9054,,DOWN,0
2020-11-17,67.2,67.16,66.454,63.0368,,DOWN,0
2020-11-18,66.63,67.31,66.556,63.1278,,DOWN,0
2020-11-19,66.16,66.63,66.59,63.253,,UP,1
2020-11-20,66.32,66.09,66.74,63.3766,,UP,1
2020-11-23,67.25,66.64,66.712,63.5218,,UP,1
2020-11-24,67.4,68.04,66.752,63.6638,,DOWN,0
2020-11-25,67.38,67.44,66.902,63.8156,,DOWN,0
2020-11-27,67.34,67.55,67.138,63.9416,,DOWN,0
2020-11-30,66.94,66.84,67.262,64.0628,,DOWN,0
2020-12-01,66.83,67.42,67.178,64.2112,,DOWN,0
2020-12-02,65.69,66.92,66.836,64.3052,,DOWN,0
2020-12-03,65.49,65.77,66.458,64.4068,,DOWN,0
2020-12-04,65.16,65.65,66.022,64.4684,,DOWN,0
2020-12-07,64.85,64.98,65.604,64.5344,,UP,1
2020-12-08,66.11,64.78,65.46,64.6064,,DOWN,0
2020-12-09,65.49,65.75,65.42,64.668,,DOWN,0
2020-12-10,64.0,65.21,65.122,64.6996,,DOWN,0
2020-12-11,63.73,63.33,64.836,64.7268,,DOWN,0
2020-12-14,62.78,64.49,64.422,64.7192,,UP,1
2020-12-15,64.73,63.11,64.146,64.723,,UP,1
2020-12-16,65.24,64.93,64.096,64.7512,,UP,1
2020-12-17,65.79,65.75,64.454,64.766,,DOWN,0
2020-12-18,65.61,65.99,64.83,64.784,,UP,1
2020-12-21,66.15,64.94,65.504,64.8,,DOWN,0
2020-12-22,65.41,65.84,65.64,64.7944,,UP,1
2020-12-23,65.63,65.49,65.718,64.8044,,UP,1
2020-12-24,65.79,65.45,65.718,64.808,,UP,1
2020-12-28,66.0,66.18,65.796,64.824,,DOWN,0
2020-12-29,65.69,66.31,65.704,64.8372,,UP,1
2020-12-30,66.72,65.79,65.966,64.8844,,UP,1
2020-12-31,67.55,66.86,66.35,64.9476,58.5952,DOWN,0
2021-01-04,65.59,67.55,66.31,64.985,58.6969,DOWN,0
2021-01-05,65.1,65.82,66.13,65.0222,58.7974,UP,1
2021-01-06,66.91,65.82,66.374,65.0914,58.932,UP,1
2021-01-07,67.78,67.3,66.586,65.1828,59.0709,DOWN,0
2021-01-08,66.83,67.47,66.442,65.28,59.2,DOWN,0
2021-01-11,66.36,66.22,66.596,65.4274,59.3068,DOWN,0
2021-01-12,65.23,66.27,66.622,65.5162,59.4067,DOWN,0
2021-01-13,63.97,65.19,66.034,65.57,59.4766,UP,1
2021-01-14,64.94,64.2,65.466,65.626,59.5513,UP,1
2021-01-15,65.53,64.81,65.206,65.6824,59.6454,DOWN,0
2021-01-19,65.37,66.0,65.008,65.7438,59.7523,DOWN,0
2021-01-20,65.19,65.8,65.0,65.795,59.8416,DOWN,0
2021-01-21,63.52,65.24,64.91,65.7938,59.9295,UP,1
2021-01-22,64.88,63.52,64.898,65.8214,60.0325,DOWN,0
2021-01-25,64.22,64.0,64.636,65.791,60.1332,DOWN,0
2021-01-26,63.51,64.6,64.264,65.7388,60.205,DOWN,0
2021-01-27,62.24,62.68,63.674,65.6638,60.2862,UP,1
2021-01-28,63.83,62.6,63.736,65.629,60.3759,UP,1
2021-01-29,64.65,65.11,63.69,65.5742,60.4764,DOWN,0
2021-02-01,64.55,65.99,63.756,65.5212,60.5711,UP,1
2021-02-02,64.64,65.05,63.982,65.4814,60.6635,DOWN,0
2021-02-03,64.05,64.64,64.344,65.4392,60.7568,DOWN,0
2021-02-04,63.29,63.89,64.236,65.3786,60.8438,UP,1
2021-02-05,63.93,62.74,64.092,65.3122,60.9282,DOWN,0
2021-02-08,63.73,63.75,63.928,65.2388,61.0095,UP,1
2021-02-09,64.36,63.54,63.872,65.1784,61.092,UP,1
2021-02-10,65.31,64.94,64.124,65.1378,61.1775,DOWN,0
2021-02-11,63.43,65.04,64.152,65.0676,61.2453,UP,1
2021-02-12,63.93,62.89,64.152,65.0096,61.3092,DOWN,0
2021-02-16,63.19,64.31,64.044,64.9596,61.3707,DOWN,0
2021-02-17,62.69,63.31,63.71,64.9036,61.4356,UP,1
2021-02-18,63.06,62.46,63.26,64.8616,61.5032,DOWN,0
2021-02-19,63.04,63.32,63.182,64.8254,61.578,UP,1
2021-02-22,63.23,62.85,63.042,64.7678,61.6526,DOWN,0
2021-02-23,63.23,62.84,63.05,64.7226,61.7097,UP,1
2021-02-24,64.35,63.09,63.382,64.7296,61.7667,UP,1
2021-02-25,64.46,64.28,63.662,64.7442,61.8299,DOWN,0
2021-02-26,63.71,64.89,63.796,64.7628,61.8998,UP,1
2021-03-01,64.93,64.12,64.136,64.7668,61.9835,UP,1
2021-03-02,65.41,64.73,64.572,64.7702,62.0705,UP,1
2021-03-03,67.0,65.51,65.102,64.7944,62.1611,DOWN,0
2021-03-04,63.95,66.83,65.0,64.7612,62.2202,UP,1
2021-03-05,64.87,64.52,65.232,64.7356,62.283,UP,1
2021-03-08,65.22,64.97,65.29,64.7318,62.3432,DOWN,0
2021-03-09,64.93,65.69,65.194,64.7178,62.4077,UP,1
2021-03-10,66.25,64.67,65.044,64.727,62.4804,UP,1
2021-03-11,67.3,66.1,65.714,64.753,62.5624,DOWN,0
2021-03-12,66.0,67.65,65.94,64.7592,62.6305,UP,1
2021-03-15,66.61,65.94,66.218,64.757,62.7088,UP,1
2021-03-16,67.7,67.12,66.772,64.76,62.784,UP,1
2021-03-17,68.58,67.99,67.238,64.8198,62.8565,DOWN,0
2021-03-18,68.15,68.15,67.408,64.8808,62.9265,DOWN,0
2021-03-19,66.86,67.89,67.58,64.8798,62.9835,DOWN,0
2021-03-22,66.82,66.81,67.622,64.8606,63.0406,UP,1
2021-03-23,66.96,66.42,67.474,64.8632,63.0825,UP,1
2021-03-24,67.17,66.88,67.192,64.8794,63.1121,UP,1
2021-03-25,67.86,67.41,67.134,64.932,63.1481,UP,1
2021-03-26,69.04,68.16,67.57,65.0334,63.1982,UP,1
2021-03-29,69.91,69.83,68.188,65.1328,63.2665,DOWN,0
2021-03-30,69.74,70.07,68.744,65.217,63.335,DOWN,0
2021-03-31,68.45,70.02,69.0,65.2786,63.3889,UP,1
2021-04-01,69.26,68.89,69.28,65.36,63.4459,DOWN,0
2021-04-05,69.23,69.08,69.318,65.4742,63.5084,UP,1
2021-04-06,69.72,69.5,69.28,65.571,63.5695,DOWN,0
2021-04-07,69.63,69.86,69.258,65.6792,63.6327,DOWN,0
2021-04-08,69.41,69.49,69.45,65.7972,63.6944,UP,1
2021-04-09,70.75,69.68,69.748,65.9674,63.7642,DOWN,0
2021-04-12,70.65,70.62,70.032,66.1038,63.8397,UP,1
2021-04-13,71.12,70.45,70.312,66.2332,63.9143,DOWN,0
2021-04-14,70.4,71.0,70.466,66.3502,63.9874,UP,1
2021-04-15,70.97,70.64,70.778,66.4768,64.0594,DOWN,0
2021-04-16,70.58,71.41,70.744,66.6074,64.128,UP,1
2021-04-19,71.03,70.71,70.82,66.7622,64.2042,DOWN,0
2021-04-20,70.47,71.64,70.69,66.893,64.2741,UP,1
2021-04-21,71.04,70.45,70.818,67.0392,64.345,DOWN,0
2021-04-22,70.95,71.23,70.814,67.171,64.4156,UP,1
2021-04-23,71.28,71.07,70.954,67.2904,64.4874,UP,1
2021-04-26,76.27,76.44,72.002,67.5472,64.5882,UP,1
2021-04-27,79.0,76.5,73.708,67.8486,64.6983,DOWN,0
2021-04-28,78.0,79.18,75.1,68.1448,64.8039,UP,1
2021-04-29,78.69,78.02,76.648,68.4648,64.9105,DOWN,0
2021-04-30,77.87,78.25,77.966,68.761,65.0088,UP,1
2021-05-03,78.4,78.49,78.392,69.0682,65.1092,UP,1
2021-05-04,78.72,78.38,78.336,69.378,65.2101,DOWN,0
2021-05-05,78.06,78.89,78.348,69.6746,65.3076,UP,1
2021-05-06,78.36,78.43,78.282,69.9548,65.4072,DOWN,0
2021-05-07,78.19,78.08,78.346,70.2294,65.5057,UP,1
2021-05-10,78.25,78.67,78.316,70.5202,65.6017,DOWN,0
2021-05-11,77.62,77.79,78.096,70.774,65.6991,DOWN,0
2021-05-12,76.13,77.76,77.71,70.9884,65.7882,UP,1
2021-05-13,77.15,75.99,77.468,71.1914,65.8725,UP,1
2021-05-14,78.88,77.65,77.606,71.49,65.9454,UP,1
2021-05-17,79.01,78.73,77.758,71.7728,66.0235,DOWN,0
2021-05-18,78.6,79.55,77.954,72.0404,66.1028,DOWN,0
2021-05-19,77.47,77.94,78.222,72.2912,66.1741,DOWN,0
2021-05-20,77.36,77.12,78.264,72.5134,66.2479,UP,1
2021-05-21,77.57,77.62,78.002,72.7188,66.3203,UP,1
2021-05-24,78.13,77.6,77.826,72.9614,66.3935,DOWN,0
2021-05-25,77.69,78.28,77.644,73.183,66.4599,UP,1
2021-05-26,77.77,77.77,77.704,73.3844,66.5227,UP,1
2021-05-27,78.71,78.15,77.974,73.587,66.5944,DOWN,0
2021-05-28,78.33,78.48,78.126,73.7906,66.6616,UP,1
2021-06-01,78.41,79.17,78.182,74.0216,66.7336,DOWN,0
2021-06-02,78.27,78.42,78.298,74.2506,66.8046,UP,1
