ticker,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2005-01-25,9.2288,9.3688,8.4766,9.2745,9.1609,UP,1
2005-01-26,9.3938,9.275,8.4833,9.3085,9.1674,UP,1
2005-01-27,9.3975,9.35,8.4905,9.3355,9.1745,UP,1
2005-01-28,9.445,9.43,8.4979,9.3593,9.183,UP,1
2005-01-31,9.58,9.4538,8.506,9.409,9.195,UP,1
2005-02-01,9.7113,9.58,8.5145,9.5055,9.2084,UP,1
2005-02-02,9.775,9.7113,8.5236,9.5818,9.2243,UP,1
2005-02-03,9.845,9.7375,8.5329,9.6713,9.2381,UP,1
2005-02-04,9.9625,9.8688,8.5431,9.7748,9.2553,DOWN,0
2005-02-07,9.9025,9.9625,8.5524,9.8393,9.2712,UP,1
2005-02-08,9.9925,9.8675,8.5615,9.8955,9.2892,DOWN,0
2005-02-09,9.9238,9.9637,8.5704,9.9253,9.3084,DOWN,0
2005-02-10,9.8875,9.9438,8.5795,9.9338,9.3304,DOWN,0
2005-02-11,9.8438,9.875,8.5883,9.91,9.3519,UP,1
2005-02-14,10.01,9.8438,8.5985,9.9315,9.3774,DOWN,0
2005-02-15,9.9763,9.99,8.6087,9.9283,9.3994,UP,1
2005-02-16,9.9975,9.9637,8.6188,9.943,9.4192,DOWN,0
2005-02-17,9.955,9.975,8.6284,9.9565,9.4391,DOWN,0
2005-02-18,9.825,9.955,8.6378,9.9528,9.4564,DOWN,0
2005-02-22,9.6813,9.8725,8.6464,9.887,9.4706,DOWN,0
2005-02-23,9.6188,9.7563,8.6557,9.8155,9.4817,UP,1
2005-02-24,9.785,9.6688,8.6664,9.773,9.4929,UP,1
2005-02-25,9.9625,9.785,8.6778,9.7745,9.5067,DOWN,0
2005-02-28,9.9188,9.975,8.6893,9.7933,9.5184,UP,1
2005-03-01,10.06,9.9188,8.7014,9.869,9.5326,DOWN,0
2005-03-02,9.9125,9.9713,8.7124,9.9278,9.5441,UP,1
2005-03-03,9.9875,9.955,8.724,9.9683,9.556,UP,1
2005-03-04,10.1175,10.0063,8.7361,9.9993,9.569,UP,1
2005-03-07,10.225,10.105,8.7489,10.0605,9.5836,DOWN,0
2005-03-08,10.19,10.225,8.7615,10.0865,9.5979,DOWN,0
2005-03-09,9.9738,10.1375,8.773,10.0988,9.6098,UP,1
2005-03-10,10.0413,9.9738,8.7843,10.1095,9.622,DOWN,0
2005-03-11,9.9763,10.0,8.7948,10.0813,9.6318,UP,1
2005-03-14,10.1788,9.9738,8.8064,10.072,9.6466,UP,1
2005-03-15,10.2,10.2,8.8176,10.074,9.6637,DOWN,0
2005-03-16,10.05,10.205,8.828,10.0893,9.68,UP,1
2005-03-17,10.125,10.2,8.8384,10.106,9.7,DOWN,0
2005-03-18,10.09,10.175,8.8493,10.1288,9.7216,DOWN,0
2005-03-21,10.0125,10.09,8.8598,10.0955,9.7388,DOWN,0
2005-03-22,9.85,10.0325,8.8695,10.0255,9.7531,DOWN,0
2005-03-23,9.815,9.85,8.8789,9.9785,9.766,UP,1
2005-03-24,9.8725,9.825,8.8888,9.928,9.7822,DOWN,0
2005-03-28,9.8675,9.935,8.8989,9.8835,9.7975,DOWN,0
2005-03-29,9.72,9.875,8.9079,9.825,9.8089,UP,1
2005-03-30,9.9375,9.7525,8.918,9.8425,9.8245,UP,1
2005-03-31,10.0375,9.965,8.9284,9.887,9.84,DOWN,0
2005-04-01,10.0325,10.15,8.9387,9.919,9.8562,UP,1
2005-04-04,10.105,10.0325,8.9493,9.9665,9.8731,DOWN,0
2005-04-05,10.0875,10.105,8.9599,10.04,9.8883,DOWN,0
2005-04-06,10.0775,10.1425,8.9703,10.068,9.9032,UP,1
2005-04-07,10.1175,10.1125,8.9811,10.084,9.921,DOWN,0
2005-04-08,10.0825,10.155,8.9914,10.094,9.9348,UP,1
2005-04-11,10.2325,10.09,9.0026,10.1195,9.9515,UP,1
2005-04-12,10.325,10.2375,9.0143,10.167,9.9691,DOWN,0
2005-04-13,10.2525,10.295,9.0255,10.202,9.9825,DOWN,0
2005-04-14,10.12,10.2525,9.0365,10.2025,9.9907,DOWN,0
2005-04-15,9.985,10.1225,9.0464,10.183,9.9949,UP,1
2005-04-18,10.135,9.985,9.0577,10.1635,10.0007,UP,1
2005-04-19,10.2375,10.135,9.0692,10.146,10.0062,DOWN,0
2005-04-20,10.2075,10.18,9.0808,10.137,10.0123,UP,1
2005-04-21,10.3825,10.275,9.0934,10.1895,10.0201,UP,1
2005-04-22,10.3925,10.3825,9.1061,10.271,10.0295,UP,1
2005-04-25,10.4475,10.435,9.1192,10.3335,10.0407,DOWN,0
2005-04-26,10.2325,10.355,9.1312,10.3325,10.0484,UP,1
