ticker,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2022-03-04,22.63,22.619,24.762,32.8164,29.7635,UP,1
2022-03-07,23.17,22.94,23.6,32.5058,29.7804,UP,1
2022-03-08,24.24,22.855,23.45,32.2378,29.8026,UP,1
2022-03-09,25.26,25.13,23.586,31.9702,29.8319,DOWN,0
2022-03-10,24.21,24.91,23.902,31.7148,29.8515,DOWN,0
2022-03-11,22.92,24.05,23.96,31.4338,29.8662,DOWN,0
2022-03-14,21.55,22.63,23.636,31.0898,29.8745,UP,1
2022-03-15,21.98,21.5,23.184,30.7684,29.8858,UP,1
2022-03-16,23.62,22.13,22.856,30.4222,29.8961,UP,1
2022-03-17,24.65,23.32,22.944,30.127,29.9016,UP,1
2022-03-18,25.67,24.94,23.494,29.9068,29.9151,DOWN,0
2022-03-21,25.39,25.85,24.262,29.6502,29.9223,UP,1
2022-03-22,26.65,25.45,25.196,29.3436,29.9231,DOWN,0
2022-03-23,25.9,26.5,25.652,29.0272,29.9194,UP,1
2022-03-24,26.25,26.01,25.972,28.6428,29.9182,DOWN,0
2022-03-25,25.16,25.94,25.87,28.2374,29.9171,UP,1
2022-03-28,25.38,25.34,25.868,27.9168,29.9183,UP,1
2022-03-29,27.36,25.56,26.01,27.6196,29.9345,DOWN,0
2022-03-30,26.5,27.18,26.13,27.3654,29.9539,DOWN,0
2022-03-31,25.4,26.54,25.96,27.0728,29.9607,DOWN,0
2022-04-01,24.55,25.39,25.838,26.7894,29.9657,UP,1
2022-04-04,25.21,24.66,25.804,26.5386,29.9748,DOWN,0
2022-04-05,23.73,25.21,25.078,26.2582,29.9786,DOWN,0
2022-04-06,22.99,23.6,24.376,26.0088,29.9765,DOWN,0
2022-04-07,22.32,23.1,23.76,25.787,29.9628,DOWN,0
2022-04-08,21.67,22.06,23.184,25.6464,29.9469,UP,1
2022-04-11,21.7,21.625,22.482,25.5374,29.9295,DOWN,0
2022-04-12,21.29,22.38,21.994,25.3754,29.9009,UP,1
2022-04-13,22.05,21.33,21.806,25.2172,29.8796,DOWN,0
2022-04-14,21.01,21.88,21.544,25.0838,29.8405,DOWN,0
2022-04-18,20.32,20.98,21.274,24.9512,29.8035,UP,1
2022-04-19,21.41,20.22,21.216,24.8284,29.7755,DOWN,0
2022-04-20,20.87,21.205,21.132,24.7064,29.7479,DOWN,0
2022-04-21,19.55,21.32,20.632,24.5488,29.7181,DOWN,0
2022-04-22,19.11,19.64,20.252,24.3544,29.6888,UP,1
2022-04-25,19.33,18.965,20.054,24.1828,29.6577,DOWN,0
2022-04-26,17.64,19.255,19.3,24.0188,29.6117,UP,1
2022-04-27,18.07,18.68,18.74,23.8314,29.5725,UP,1
2022-04-28,18.89,18.44,18.608,23.6318,29.548,DOWN,0
2022-04-29,18.08,18.88,18.402,23.4134,29.5236,UP,1
2022-05-02,19.06,18.08,18.348,23.2324,29.5049,UP,1
2022-05-03,19.6,18.96,18.74,23.0926,29.4919,UP,1
