ticker,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-10-05,24.02,24.18,24.886,22.6422,23.2947,UP,1
2021-10-06,24.29,23.55,24.488,22.6244,23.3664,UP,1
2021-10-07,24.38,24.55,24.288,22.6304,23.4384,DOWN,0
2021-10-08,23.23,24.32,24.012,22.628,23.5046,DOWN,0
2021-10-11,22.87,23.63,23.758,22.611,23.5688,UP,1
2021-10-12,23.06,23.14,23.566,22.5968,23.6339,DOWN,0
2021-10-13,22.59,22.85,23.226,22.577,23.6964,UP,1
2021-10-14,24.01,22.51,23.152,22.6046,23.7662,UP,1
2021-10-15,24.08,23.84,23.322,22.6312,23.8362,UP,1
2021-10-18,25.34,23.99,23.816,22.6704,23.9129,DOWN,0
2021-10-19,24.73,25.41,24.15,22.695,23.9863,DOWN,0
2021-10-20,24.24,24.76,24.48,22.6906,24.0574,UP,1
2021-10-21,24.46,24.3,24.57,22.6904,24.1297,DOWN,0
2021-10-22,24.11,24.03,24.576,22.6956,24.2001,UP,1
2021-10-25,26.85,24.88,24.878,22.763,24.2842,DOWN,0
2021-10-26,26.38,26.85,25.208,22.834,24.3501,UP,1
2021-10-27,27.02,27.69,25.764,22.9232,24.4144,UP,1
2021-10-28,35.48,28.54,27.968,23.1818,24.5082,UP,1
2021-10-29,36.99,38.25,30.544,23.4874,24.6064,DOWN,0
2021-11-01,36.53,39.995,32.48,23.7846,24.6972,DOWN,0
2021-11-02,35.13,34.565,34.23,24.0542,24.7834,UP,1
2021-11-03,36.545,34.23,36.135,24.3285,24.8758,UP,1
2021-11-04,37.12,37.38,36.463,24.6347,24.9723,UP,1
2021-11-05,41.8,37.5,37.425,25.0411,25.0696,UP,1
2021-11-08,45.92,43.54,39.303,25.5389,25.1744,DOWN,0
2021-11-09,44.78,47.48,41.233,26.0219,25.2761,DOWN,0
2021-11-10,40.75,42.3,42.074,26.4377,25.3741,UP,1
2021-11-11,44.98,42.75,43.646,26.9815,25.4874,DOWN,0
2021-11-12,43.93,44.0,44.072,27.4869,25.5926,UP,1
2021-11-15,44.88,44.6,43.864,27.9933,25.691,UP,1
2021-11-16,55.52,49.93,46.012,28.7059,25.8079,DOWN,0
2021-11-17,52.55,56.2,48.372,29.3783,25.9232,DOWN,0
2021-11-18,47.05,49.03,48.786,29.9223,26.0074,UP,1
2021-11-19,55.21,47.16,51.042,30.6279,26.1102,DOWN,0
2021-11-22,51.12,53.035,52.29,31.2491,26.2014,UP,1
2021-11-23,52.44,51.675,51.674,31.9189,26.297,UP,1
2021-11-24,52.57,51.74,51.678,32.5721,26.3955,DOWN,0
2021-11-26,51.72,49.45,52.612,33.1831,26.4966,UP,1
2021-11-29,55.06,52.03,52.582,33.8251,26.572,DOWN,0
2021-11-30,52.98,54.43,52.954,34.4033,26.5734,DOWN,0
2021-12-01,51.14,54.08,52.694,34.8899,26.548,DOWN,0
2021-12-02,48.41,50.85,51.862,35.3591,26.4998,DOWN,0
2021-12-03,47.27,48.55,50.972,35.7961,26.4714,DOWN,0
2021-12-06,44.86,40.025,48.932,36.1847,26.4089,DOWN,0
2021-12-07,43.88,46.505,47.112,36.5445,26.4522,UP,1
2021-12-08,44.72,42.6,45.828,36.9481,26.5323,DOWN,0
2021-12-09,36.52,41.37,43.45,37.1529,26.5758,UP,1
2021-12-10,37.66,38.0,41.528,37.3985,26.6104,UP,1
2021-12-13,39.15,39.99,40.386,37.6893,26.653,UP,1
2021-12-14,40.87,37.96,39.784,38.0239,26.7185,DOWN,0
2021-12-15,40.81,39.37,39.002,38.3597,26.8015,DOWN,0
2021-12-16,40.05,41.09,39.708,38.6749,26.8801,DOWN,0
2021-12-17,40.01,38.45,40.178,38.9875,26.9581,DOWN,0
2021-12-20,37.99,38.03,39.946,39.2827,27.0376,UP,1
2021-12-21,38.02,38.25,39.376,39.5857,27.1054,UP,1
