ticker,D US Equity,D US Equity,D US Equity,D US Equity,D US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2010-09-01,43.86,43.17,40.1407,43.092,42.185,DOWN,0
2010-09-02,43.58,43.88,40.1731,43.256,42.252,UP,1
2010-09-03,43.99,43.86,40.2068,43.37,42.3288,DOWN,0
2010-09-07,43.82,43.81,40.2407,43.596,42.4018,DOWN,0
2010-09-08,43.73,43.9,40.2753,43.796,42.465,UP,1
2010-09-09,43.94,44.01,40.3131,43.812,42.5584,DOWN,0
2010-09-10,43.29,43.75,40.3458,43.754,42.6494,UP,1
2010-09-13,43.92,43.66,40.3805,43.74,42.7482,UP,1
2010-09-14,44.03,43.79,40.4168,43.782,42.8554,DOWN,0
2010-09-15,43.48,43.99,40.4535,43.732,42.9422,UP,1
2010-09-16,43.59,43.2,40.4895,43.662,43.0104,DOWN,0
2010-09-17,43.42,43.87,40.5207,43.688,43.0638,UP,1
2010-09-20,44.29,43.67,40.5528,43.762,43.1316,DOWN,0
2010-09-21,44.11,44.33,40.584,43.778,43.194,UP,1
2010-09-22,44.21,44.15,40.6163,43.924,43.2562,DOWN,0
2010-09-23,43.42,44.07,40.6423,43.89,43.2958,UP,1
2010-09-24,44.23,43.76,40.6727,44.052,43.355,UP,1
2010-09-27,44.26,44.16,40.7026,44.046,43.4316,DOWN,0
2010-09-28,44.19,44.42,40.7305,44.062,43.4874,DOWN,0
2010-09-29,43.95,43.93,40.7549,44.01,43.5272,DOWN,0
2010-09-30,43.66,44.01,40.7755,44.058,43.5752,UP,1
2010-10-01,44.03,43.94,40.7994,44.018,43.6114,DOWN,0
2010-10-04,43.89,44.0,40.8229,43.944,43.641,UP,1
2010-10-05,44.58,44.15,40.851,44.022,43.6806,DOWN,0
2010-10-06,44.49,44.58,40.8778,44.13,43.705,UP,1
2010-10-07,44.51,44.58,40.9042,44.3,43.7356,UP,1
2010-10-08,44.68,44.66,40.932,44.43,43.7954,UP,1
2010-10-11,44.69,44.66,40.9597,44.59,43.8494,DOWN,0
2010-10-12,44.32,44.66,40.9845,44.538,43.8718,UP,1
2010-10-13,44.55,44.51,41.0092,44.55,43.9004,UP,1
2010-10-14,44.63,44.55,41.0353,44.574,43.923,DOWN,0
2010-10-15,44.54,44.84,41.0605,44.546,43.9428,UP,1
2010-10-18,44.92,44.57,41.0905,44.592,43.9678,DOWN,0
2010-10-19,44.5,44.51,41.1182,44.628,43.9772,UP,1
2010-10-20,44.7,44.57,41.1493,44.658,43.9876,UP,1
2010-10-21,44.74,44.92,41.1804,44.68,44.0082,DOWN,0
2010-10-22,44.51,44.72,41.2101,44.674,44.0224,DOWN,0
2010-10-25,44.46,44.71,41.2396,44.582,44.0334,DOWN,0
2010-10-26,44.04,44.14,41.2641,44.49,44.0336,DOWN,0
2010-10-27,43.82,43.66,41.2886,44.314,44.0158,UP,1
2010-10-28,43.95,43.93,41.3126,44.156,44.0126,DOWN,0
2010-10-29,43.46,43.97,41.3343,43.946,44.0084,DOWN,0
2010-11-01,42.49,43.67,41.3525,43.552,43.9796,UP,1
2010-11-02,42.82,42.65,41.3695,43.308,43.949,UP,1
2010-11-03,42.87,42.92,41.3886,43.118,43.9182,UP,1
2010-11-04,43.53,43.24,41.4136,43.034,43.9258,DOWN,0
2010-11-05,43.5,43.44,41.4421,43.042,43.9406,DOWN,0
2010-11-08,43.09,43.34,41.4672,43.162,43.934,DOWN,0
2010-11-09,43.07,43.25,41.4921,43.212,43.9416,DOWN,0
2010-11-10,42.98,43.08,41.517,43.234,43.9466,DOWN,0
2010-11-11,42.84,42.79,41.5432,43.096,43.9262,UP,1
2010-11-12,42.86,42.68,41.5702,42.968,43.9118,UP,1
2010-11-15,43.12,42.9,41.597,42.974,43.8944,DOWN,0
2010-11-16,42.79,42.96,41.621,42.918,43.8738,DOWN,0
2010-11-17,42.45,42.86,41.6451,42.812,43.8482,UP,1
2010-11-18,42.8,42.85,41.6748,42.804,43.8254,DOWN,0
2010-11-19,42.76,42.68,41.7048,42.784,43.8148,UP,1
2010-11-22,43.01,42.73,41.7385,42.762,43.7966,DOWN,0
2010-11-23,42.49,42.76,41.7681,42.702,43.7658,DOWN,0
2010-11-24,42.03,42.2,41.7953,42.618,43.7368,DOWN,0
2010-11-26,41.84,41.83,41.8191,42.426,43.7018,DOWN,0
2010-11-29,41.61,41.6,41.8415,42.196,43.6656,DOWN,0
2010-11-30,41.53,41.3,41.8579,41.9,43.6104,UP,1
2010-12-01,42.05,41.93,41.8763,41.812,43.5692,UP,1
2010-12-02,42.1,42.04,41.8932,41.826,43.527,UP,1
2010-12-03,42.42,42.09,41.9094,41.942,43.507,DOWN,0
2010-12-06,42.04,42.25,41.9246,42.028,43.4632,DOWN,0
2010-12-07,41.9,42.38,41.94,42.102,43.416,DOWN,0
2010-12-08,41.83,42.06,41.9565,42.058,43.3688,DOWN,0
2010-12-09,41.77,41.96,41.9737,41.992,43.3252,DOWN,0
2010-12-10,41.62,41.87,41.9918,41.832,43.2844,UP,1
2010-12-13,42.05,41.63,42.0106,41.834,43.2448,DOWN,0
2010-12-14,42.0,42.03,42.0282,41.854,43.207,DOWN,0
2010-12-15,41.72,41.99,42.0437,41.832,43.1498,UP,1
2010-12-16,42.31,41.82,42.0615,41.94,43.1062,UP,1
2010-12-17,42.57,42.25,42.0788,42.13,43.0674,UP,1
2010-12-20,42.93,42.9,42.0981,42.306,43.0324,UP,1
2010-12-21,42.96,43.05,42.1168,42.498,42.9978,DOWN,0
2010-12-22,42.92,42.99,42.1345,42.738,42.9698,UP,1
2010-12-23,42.96,42.92,42.151,42.868,42.938,DOWN,0
2010-12-27,42.89,42.85,42.167,42.932,42.9032,UP,1
2010-12-28,42.92,42.84,42.1831,42.93,42.8708,UP,1
2010-12-29,42.94,42.93,42.1983,42.926,42.8312,DOWN,0
2010-12-30,42.9,42.9,42.21,42.922,42.7992,DOWN,0
2010-12-31,42.72,42.82,42.2211,42.874,42.7596,UP,1
2011-01-03,42.75,42.93,42.2313,42.846,42.7198,UP,1
2011-01-04,43.14,42.69,42.2464,42.89,42.6924,DOWN,0
2011-01-05,43.03,42.92,42.2606,42.908,42.6638,UP,1
2011-01-06,43.19,42.95,42.2761,42.966,42.6468,UP,1
2011-01-07,43.23,43.29,42.291,43.068,42.635,DOWN,0
