ticker,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-03-17,53.69,52.63,49.84,50.1456,43.671,UP,1
2015-03-18,54.13,53.69,51.188,50.1507,43.7355,UP,1
2015-03-19,55.19,54.57,52.49,50.1937,43.8043,UP,1
2015-03-20,55.76,55.19,53.798,50.2487,43.869,DOWN,0
2015-03-23,54.395,55.47,54.633,50.2634,43.9289,DOWN,0
2015-03-24,53.93,54.04,54.681,50.3016,43.9792,DOWN,0
2015-03-25,52.01,53.62,54.257,50.3502,44.0213,DOWN,0
2015-03-26,51.265,50.84,53.472,50.3675,44.0593,UP,1
2015-03-27,52.66,51.38,52.852,50.4325,44.1111,UP,1
2015-03-30,53.64,53.24,52.701,50.5171,44.1783,DOWN,0
2015-03-31,52.78,53.66,52.471,50.5765,44.2403,DOWN,0
2015-04-01,50.44,51.1,52.157,50.5303,44.2872,DOWN,0
2015-04-02,49.175,50.48,51.739,50.4404,44.3238,DOWN,0
2015-04-06,48.08,48.35,50.823,50.2902,44.3509,DOWN,0
2015-04-07,47.495,48.3,49.594,50.1263,44.373,UP,1
2015-04-08,48.74,47.8,48.786,49.9921,44.394,DOWN,0
2015-04-09,47.84,48.86,48.266,49.895,44.4114,DOWN,0
2015-04-10,47.73,48.16,47.977,49.8372,44.4342,UP,1
2015-04-13,47.79,47.47,47.919,49.7482,44.4536,DOWN,0
2015-04-14,47.42,47.49,47.904,49.715,44.4679,UP,1
2015-04-15,47.75,48.0,47.706,49.6956,44.4867,UP,1
2015-04-16,48.24,47.81,47.786,49.7104,44.5131,DOWN,0
2015-04-17,48.19,47.96,47.878,49.685,44.5347,UP,1
2015-04-20,49.76,48.61,48.272,49.704,44.5738,UP,1
2015-04-21,51.36,50.0,49.06,49.7683,44.6225,UP,1
2015-04-22,51.4,51.4,49.79,49.8657,44.679,UP,1
2015-04-23,51.45,51.07,50.432,49.9337,44.7349,UP,1
2015-04-24,52.705,51.98,51.335,50.036,44.7885,DOWN,0
2015-04-27,51.87,52.68,51.757,50.1158,44.8338,DOWN,0
2015-04-28,51.19,51.7,51.723,50.1718,44.8753,DOWN,0
2015-04-29,48.88,50.58,51.219,50.1892,44.9048,DOWN,0
2015-04-30,48.285,48.5,50.586,50.1687,44.9277,UP,1
2015-05-01,49.39,48.65,49.923,50.1609,44.9573,DOWN,0
2015-05-04,48.95,49.41,49.339,50.1195,44.9935,DOWN,0
2015-05-05,47.005,48.21,48.502,50.0334,45.014,UP,1
2015-05-06,47.045,46.78,48.135,49.9439,45.0368,UP,1
2015-05-07,49.06,47.4,48.29,49.9305,45.0702,DOWN,0
2015-05-08,49.04,49.23,48.22,49.9243,45.0987,UP,1
2015-05-11,49.645,49.0,48.359,49.9592,45.1362,DOWN,0
2015-05-12,48.85,49.11,48.728,49.97,45.172,DOWN,0
2015-05-13,48.49,49.27,49.017,49.9644,45.213,UP,1
2015-05-14,48.815,48.94,48.968,49.9617,45.2594,DOWN,0
2015-05-15,48.665,49.41,48.893,49.9671,45.305,UP,1
2015-05-18,49.0,48.56,48.764,49.9872,45.3558,DOWN,0
2015-05-19,47.85,49.45,48.564,49.9858,45.3979,DOWN,0
2015-05-20,43.06,47.56,47.478,49.9123,45.4225,DOWN,0
2015-05-21,42.47,43.19,46.209,49.8139,45.4489,UP,1
2015-05-22,42.61,42.7,44.998,49.6925,45.4747,DOWN,0
2015-05-26,41.555,43.05,43.509,49.5392,45.4981,UP,1
2015-05-27,42.24,41.65,42.387,49.3796,45.5234,DOWN,0
2015-05-28,41.97,42.25,42.169,49.1452,45.5434,UP,1
2015-05-29,42.37,41.68,42.149,48.91,45.5677,UP,1
2015-06-01,44.18,42.61,42.463,48.6898,45.598,DOWN,0
2015-06-02,43.775,43.3,42.907,48.4501,45.619,DOWN,0
2015-06-03,43.13,43.35,43.085,48.2248,45.6387,DOWN,0
2015-06-04,42.17,43.05,43.125,47.9896,45.6463,DOWN,0
