ticker,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2022-01-25,125.14,134.19,129.536,165.8026,131.3566,UP,1
2022-01-26,128.04,132.54,128.962,164.5028,131.5257,UP,1
2022-01-27,128.15,131.28,128.59,163.2458,131.7002,UP,1
2022-01-28,136.96,130.31,130.872,162.1198,131.9087,UP,1
2022-01-31,146.11,136.96,132.88,161.2368,132.1875,UP,1
2022-02-01,147.78,147.89,137.408,160.3804,132.487,DOWN,0
2022-02-02,142.2,146.27,140.24,159.3724,132.7782,DOWN,0
2022-02-03,138.02,138.11,142.214,158.5178,133.0444,UP,1
2022-02-04,150.26,141.86,144.874,157.9346,133.3716,UP,1
2022-02-07,152.62,150.75,146.176,157.3802,133.6869,DOWN,0
2022-02-08,151.73,149.25,146.966,156.7898,133.9798,UP,1
2022-02-09,155.5,152.9207,149.626,156.24,134.2883,UP,1
2022-02-10,174.6,170.365,156.942,156.1662,134.7035,DOWN,0
2022-02-11,167.4,176.42,160.37,156.2236,135.0963,DOWN,0
2022-02-14,164.35,164.39,162.716,156.1218,135.4892,UP,1
2022-02-15,168.99,169.2,166.168,156.2172,135.9333,UP,1
2022-02-16,173.92,165.81,169.852,156.4674,136.4136,DOWN,0
2022-02-17,165.81,170.34,168.094,156.2434,136.859,DOWN,0
2022-02-18,159.02,167.47,166.418,155.7606,137.2973,DOWN,0
2022-02-22,158.94,160.9,165.336,155.4312,137.7055,DOWN,0
2022-02-23,149.44,156.445,161.426,154.9288,138.0684,UP,1
2022-02-24,159.86,143.75,158.614,154.6854,138.4746,UP,1
2022-02-25,161.41,159.44,157.734,154.698,138.8975,DOWN,0
2022-02-28,161.11,162.1,158.152,154.4998,139.3161,DOWN,0
2022-03-01,159.97,160.24,158.358,154.4182,139.7034,UP,1
2022-03-02,164.48,159.0,161.366,154.3046,140.1206,DOWN,0
2022-03-03,148.46,159.58,159.086,153.9862,140.4474,DOWN,0
2022-03-04,142.19,149.0,155.242,153.2802,140.74,DOWN,0
