ticker,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-09-13,22.125,22.3125,18.6697,22.4875,22.6766,DOWN,0
2000-09-14,21.375,22.0938,18.7054,22.2656,22.66,DOWN,0
2000-09-15,20.8125,20.0625,18.7367,21.8438,22.6056,DOWN,0
2000-09-18,20.5625,21.0938,18.7655,21.4719,22.5409,DOWN,0
2000-09-19,20.3438,20.5625,18.7919,21.0438,22.4694,DOWN,0
2000-09-20,20.1563,20.2813,18.8166,20.65,22.3941,DOWN,0
2000-09-21,19.875,20.125,18.8419,20.35,22.3372,UP,1
2000-09-22,19.9375,19.5625,18.8663,20.175,22.2872,UP,1
2000-09-25,20.0938,19.9688,18.8923,20.0813,22.2391,DOWN,0
2000-09-26,19.6094,20.0938,18.9155,19.9344,22.1794,UP,1
2000-09-27,20.6094,19.625,18.9437,20.025,22.1366,UP,1
2000-09-28,21.3281,20.5,18.9767,20.3156,22.1169,UP,1
2000-09-29,21.4688,21.125,19.0078,20.6219,22.1063,DOWN,0
2000-10-02,20.25,21.375,19.0313,20.6531,22.045,UP,1
2000-10-03,20.5,20.3438,19.0513,20.8313,21.9853,DOWN,0
2000-10-04,19.5938,20.375,19.0663,20.6281,21.9253,UP,1
2000-10-05,20.25,19.5,19.0841,20.4125,21.8491,UP,1
2000-10-06,21.1563,20.4375,19.103,20.35,21.8016,UP,1
2000-10-09,21.4688,21.5,19.1207,20.5938,21.7778,UP,1
2000-10-10,22.0,21.5625,19.142,20.8938,21.7884,DOWN,0
2000-10-11,21.125,22.0,19.159,21.2,21.7709,DOWN,0
2000-10-12,21.125,21.1875,19.1775,21.375,21.7503,DOWN,0
2000-10-13,21.0,20.8125,19.1949,21.3438,21.7103,DOWN,0
2000-10-16,20.7188,21.0,19.2115,21.1938,21.6653,DOWN,0
2000-10-17,19.3125,20.7188,19.2226,20.6563,21.5891,UP,1
2000-10-18,23.2188,19.2813,19.2541,21.075,21.5922,DOWN,0
2000-10-19,22.6875,23.1875,19.2805,21.3875,21.5947,DOWN,0
2000-10-20,22.5,22.5625,19.304,21.6875,21.5837,DOWN,0
2000-10-23,22.125,22.25,19.3174,21.9688,21.5613,UP,1
2000-10-24,22.1563,22.0,19.3321,22.5375,21.5444,UP,1
2000-10-25,22.5,21.9063,19.3476,22.3938,21.5363,UP,1
2000-10-26,22.5313,22.5,19.3652,22.3625,21.5244,UP,1
