ticker,DG US Equity,DG US Equity,DG US Equity,DG US Equity,DG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-09-03,28.03,28.82,27.888,28.7338,26.4946,DOWN,0
2010-09-07,28.0,28.04,28.012,28.7122,26.5218,DOWN,0
2010-09-08,27.68,27.98,28.086,28.6876,26.5459,DOWN,0
2010-09-09,27.33,27.94,27.948,28.6664,26.5665,UP,1
2010-09-10,27.45,27.31,27.698,28.6644,26.5867,DOWN,0
2010-09-13,27.42,27.68,27.576,28.6502,26.6063,DOWN,0
2010-09-14,27.4,27.24,27.456,28.638,26.6246,UP,1
2010-09-15,27.47,27.42,27.414,28.6274,26.6462,UP,1
2010-09-16,27.68,27.52,27.484,28.622,26.6696,DOWN,0
2010-09-17,27.42,27.66,27.478,28.6178,26.6902,UP,1
2010-09-20,27.8,27.43,27.554,28.611,26.7112,DOWN,0
2010-09-21,27.73,27.86,27.62,28.6162,26.7333,DOWN,0
2010-09-22,27.67,27.75,27.66,28.6156,26.7524,DOWN,0
2010-09-23,27.45,27.39,27.614,28.6,26.7715,UP,1
2010-09-24,28.23,27.67,27.776,28.5686,26.7945,UP,1
2010-09-27,29.25,28.34,28.066,28.5718,26.8207,UP,1
2010-09-28,29.76,29.41,28.472,28.5816,26.851,DOWN,0
2010-09-29,29.53,29.83,28.844,28.5818,26.8819,DOWN,0
2010-09-30,29.25,29.55,29.204,28.5884,26.9142,DOWN,0
2010-10-01,29.15,29.29,29.388,28.5918,26.9465,DOWN,0
2010-10-04,28.94,29.06,29.326,28.5832,26.9776,UP,1
2010-10-05,29.24,29.09,29.222,28.5742,27.0115,UP,1
2010-10-06,29.76,29.2,29.268,28.5822,27.0475,UP,1
2010-10-07,29.83,29.79,29.384,28.5888,27.0837,UP,1
2010-10-08,30.0,29.8,29.554,28.6144,27.1217,DOWN,0
2010-10-11,29.34,30.07,29.634,28.6176,27.1563,DOWN,0
2010-10-12,28.81,29.31,29.548,28.6036,27.1896,UP,1
2010-10-13,29.24,29.0,29.444,28.6018,27.2227,DOWN,0
2010-10-14,29.0,29.21,29.278,28.5798,27.2547,DOWN,0
2010-10-15,28.93,29.16,29.064,28.5666,27.2863,UP,1
2010-10-18,29.34,28.99,29.064,28.5646,27.3208,DOWN,0
2010-10-19,28.11,29.15,28.924,28.5336,27.346,DOWN,0
2010-10-20,28.1,28.21,28.696,28.5086,27.3702,DOWN,0
2010-10-21,27.9,28.22,28.476,28.4978,27.3918,UP,1
2010-10-22,28.2,28.0,28.33,28.4818,27.4141,UP,1
2010-10-25,28.59,28.38,28.18,28.4784,27.4377,DOWN,0
2010-10-26,28.32,28.43,28.222,28.4632,27.4593,DOWN,0
2010-10-27,27.94,28.15,28.19,28.4348,27.4792,DOWN,0
2010-10-28,27.94,28.02,28.198,28.4058,27.4974,UP,1
2010-10-29,28.19,27.87,28.196,28.3896,27.5174,DOWN,0
2010-11-01,27.94,28.22,28.066,28.3596,27.5353,UP,1
2010-11-02,28.64,28.12,28.13,28.3694,27.5557,DOWN,0
2010-11-03,28.55,28.84,28.252,28.38,27.5759,DOWN,0
2010-11-04,28.35,28.83,28.334,28.378,27.5978,DOWN,0
2010-11-05,28.0,28.35,28.296,28.368,27.6211,UP,1
2010-11-08,28.38,28.01,28.384,28.3738,27.6462,UP,1
2010-11-09,28.58,28.41,28.372,28.3978,27.6715,UP,1
2010-11-10,29.06,28.6,28.474,28.4328,27.699,UP,1
2010-11-11,29.68,28.81,28.74,28.466,27.7282,DOWN,0
2010-11-12,29.02,29.51,28.944,28.4724,27.7559,DOWN,0
2010-11-15,28.88,29.13,29.044,28.4894,27.7834,UP,1
2010-11-16,29.16,28.77,29.16,28.5126,27.8111,UP,1
2010-11-17,29.71,29.17,29.29,28.5532,27.8404,UP,1
2010-11-18,30.08,29.93,29.37,28.6082,27.8785,UP,1
2010-11-19,30.96,30.14,29.758,28.6784,27.9247,UP,1
2010-11-22,31.98,30.78,30.378,28.7696,27.9727,UP,1
2010-11-23,33.28,31.74,31.202,28.8872,28.0263,DOWN,0
2010-11-24,33.01,33.5,31.862,28.998,28.0811,DOWN,0
2010-11-26,32.74,32.75,32.394,29.0992,28.1345,UP,1
2010-11-29,32.78,32.54,32.758,29.2064,28.1856,UP,1
2010-11-30,32.84,32.51,32.93,29.3072,28.2347,DOWN,0
2010-12-01,32.31,33.21,32.736,29.3988,28.2824,DOWN,0
2010-12-02,31.93,32.45,32.52,29.484,28.3257,UP,1
2010-12-03,33.43,31.77,32.658,29.6036,28.3749,DOWN,0
2010-12-06,30.99,31.92,32.3,29.6588,28.4137,UP,1
2010-12-07,31.6,31.51,32.052,29.7058,28.4535,DOWN,0
2010-12-08,30.84,31.49,31.758,29.7274,28.4869,DOWN,0
2010-12-09,30.83,31.01,31.538,29.7534,28.522,UP,1
2010-12-10,31.07,30.83,31.066,29.7898,28.5579,DOWN,0
2010-12-13,31.0,31.21,31.068,29.8268,28.5925,DOWN,0
2010-12-14,30.5,30.95,30.848,29.858,28.6248,UP,1
2010-12-15,30.51,30.41,30.782,29.8834,28.6574,UP,1
2010-12-16,30.7,30.65,30.756,29.9022,28.6899,DOWN,0
2010-12-17,30.66,30.72,30.674,29.9188,28.7206,UP,1
2010-12-20,30.99,30.88,30.672,29.9386,28.7521,UP,1
2010-12-21,31.3,31.2,30.832,29.9778,28.7831,DOWN,0
2010-12-22,31.09,31.38,30.948,30.0234,28.8132,DOWN,0
2010-12-23,30.81,31.2,30.97,30.0548,28.8417,DOWN,0
2010-12-27,30.63,30.83,30.964,30.0874,28.8692,DOWN,0
2010-12-28,30.62,30.77,30.89,30.1212,28.8972,UP,1
2010-12-29,30.79,30.68,30.788,30.1502,28.9255,DOWN,0
2010-12-30,30.58,30.75,30.686,30.1996,28.9493,UP,1
2010-12-31,30.67,30.61,30.658,30.251,28.9765,DOWN,0
2011-01-03,30.67,31.0,30.666,30.3064,29.0018,DOWN,0
2011-01-04,30.54,30.85,30.65,30.3532,29.0295,DOWN,0
2011-01-05,30.1,29.94,30.512,30.3834,29.0541,DOWN,0
2011-01-06,29.8,29.74,30.356,30.413,29.0768,UP,1
2011-01-07,29.83,30.2,30.188,30.4508,29.1038,UP,1
2011-01-10,30.0,29.85,30.054,30.492,29.1289,DOWN,0
2011-01-11,29.59,29.99,29.864,30.52,29.1501,DOWN,0
2011-01-12,29.46,29.61,29.736,30.5504,29.1684,DOWN,0
2011-01-13,28.7,29.5,29.516,30.5516,29.1857,UP,1
2011-01-14,29.46,28.88,29.442,30.5698,29.2054,UP,1
2011-01-18,30.0,29.41,29.442,30.6028,29.2263,DOWN,0
2011-01-19,29.33,30.08,29.39,30.6294,29.238,UP,1
2011-01-20,29.48,29.32,29.394,30.6514,29.2526,DOWN,0
2011-01-21,29.41,29.66,29.536,30.668,29.2671,DOWN,0
2011-01-24,29.0,29.48,29.444,30.6668,29.2797,DOWN,0
2011-01-25,28.7,28.85,29.184,30.6472,29.292,UP,1
2011-01-26,28.75,28.83,29.068,30.6418,29.3006,DOWN,0
2011-01-27,28.67,28.69,28.906,30.6376,29.3064,DOWN,0
2011-01-28,28.4,28.68,28.704,30.6224,29.3134,DOWN,0
2011-01-31,27.81,28.35,28.466,30.5844,29.3094,UP,1
2011-02-01,28.85,27.99,28.496,30.5598,29.3086,DOWN,0
2011-02-02,27.63,28.13,28.272,30.4932,29.3055,DOWN,0
2011-02-03,27.45,27.73,28.028,30.4026,29.3018,UP,1
2011-02-04,27.47,27.6,27.842,30.2864,29.2915,UP,1
2011-02-07,27.9,27.66,27.86,30.1842,29.2841,UP,1
2011-02-08,28.0,28.01,27.69,30.0894,29.2762,DOWN,0
2011-02-09,27.91,28.0,27.746,29.992,29.2708,DOWN,0
2011-02-10,27.65,27.81,27.786,29.8882,29.264,DOWN,0
2011-02-11,27.24,27.58,27.74,29.7868,29.2546,DOWN,0
2011-02-14,26.85,27.37,27.53,29.6852,29.246,UP,1
2011-02-15,26.93,26.76,27.316,29.5552,29.2355,UP,1
2011-02-16,29.64,29.32,27.662,29.5282,29.2405,DOWN,0
2011-02-17,29.52,29.63,28.036,29.4866,29.2455,DOWN,0
2011-02-18,29.25,29.38,28.438,29.4548,29.2522,DOWN,0
2011-02-22,28.48,28.94,28.764,29.4078,29.2587,DOWN,0
2011-02-23,27.97,28.27,28.972,29.3458,29.2599,UP,1
2011-02-24,28.35,27.91,28.714,29.2928,29.2618,DOWN,0
2011-02-25,28.0,28.36,28.41,29.2428,29.255,UP,1
2011-02-28,28.25,28.2,28.21,29.1976,29.249,UP,1
2011-03-01,28.28,28.3,28.17,29.1492,29.2441,DOWN,0
2011-03-02,28.27,28.28,28.23,29.1014,29.2382,DOWN,0
2011-03-03,27.98,28.59,28.156,29.0412,29.2316,UP,1
2011-03-04,28.47,28.05,28.25,28.9846,29.2255,DOWN,0
2011-03-07,27.9,28.54,28.18,28.9208,29.2199,UP,1
2011-03-08,28.03,28.01,28.13,28.8652,29.2122,DOWN,0
2011-03-09,28.0,28.09,28.076,28.8126,29.2022,UP,1
2011-03-10,28.11,27.9,28.102,28.7624,29.1897,UP,1
2011-03-11,28.82,28.81,28.172,28.723,29.1816,DOWN,0
2011-03-14,28.65,28.69,28.322,28.6844,29.1716,UP,1
2011-03-15,28.88,28.23,28.492,28.6486,29.1649,UP,1
2011-03-16,29.78,28.76,28.848,28.6308,29.1611,DOWN,0
2011-03-17,29.75,29.99,29.176,28.615,29.153,UP,1
2011-03-18,29.85,29.97,29.382,28.61,29.1488,UP,1
2011-03-21,30.38,30.0,29.728,28.6216,29.1505,UP,1
2011-03-22,30.84,31.8,30.12,28.6418,29.1586,DOWN,0
2011-03-23,30.61,30.9,30.286,28.654,29.1625,UP,1
2011-03-24,31.23,30.83,30.582,28.6868,29.1686,UP,1
2011-03-25,31.55,31.31,30.922,28.7286,29.1765,DOWN,0
2011-03-28,31.49,31.52,31.144,28.7844,29.1841,DOWN,0
2011-03-29,30.52,31.42,31.08,28.8056,29.1856,UP,1
2011-03-30,31.54,30.75,31.266,28.8364,29.1933,DOWN,0
2011-03-31,31.35,31.41,31.29,28.8768,29.1985,UP,1
2011-04-01,31.55,31.43,31.29,28.9182,29.2068,UP,1
2011-04-04,31.6,31.61,31.312,28.962,29.214,UP,1
2011-04-05,32.23,31.59,31.654,29.0266,29.227,UP,1
2011-04-06,32.35,32.24,31.816,29.0996,29.2443,UP,1
2011-04-07,32.51,32.31,32.048,29.1748,29.2612,DOWN,0
