ticker,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-01,5.5313,5.7813,4.7857,5.6223,5.3663,UP,1
2000-12-04,5.6094,5.5234,4.7931,5.6176,5.3807,UP,1
2000-12-05,5.7813,5.6172,4.8012,5.6605,5.3964,DOWN,0
2000-12-06,5.75,5.7188,4.8082,5.6734,5.4127,UP,1
2000-12-07,5.8516,5.6875,4.8155,5.7047,5.43,UP,1
2000-12-08,5.8594,5.875,4.8238,5.7703,5.4446,DOWN,0
2000-12-11,5.5078,5.8438,4.83,5.75,5.4546,UP,1
2000-12-12,5.6172,5.4922,4.8361,5.7172,5.466,DOWN,0
2000-12-13,5.5078,5.6563,4.842,5.6688,5.4774,DOWN,0
2000-12-14,5.4453,5.5313,4.8484,5.5875,5.4844,DOWN,0
2000-12-15,5.2344,5.4219,4.8513,5.4625,5.4866,UP,1
2000-12-18,5.4453,5.2734,4.8561,5.45,5.495,UP,1
2000-12-19,5.6406,5.4609,4.863,5.4547,5.5066,DOWN,0
2000-12-20,5.5,5.6016,4.8693,5.4531,5.5152,UP,1
2000-12-21,5.6172,5.5,4.8748,5.4875,5.5274,UP,1
2000-12-22,5.6563,5.6719,4.8809,5.5719,5.5447,DOWN,0
2000-12-26,5.625,5.6641,4.8873,5.6078,5.5591,DOWN,0
2000-12-27,5.5313,5.5703,4.894,5.5859,5.5683,UP,1
2000-12-28,5.5469,5.5078,4.8998,5.5953,5.5799,DOWN,0
2000-12-29,5.5313,5.5625,4.9034,5.5781,5.5897,DOWN,0
2001-01-02,5.2578,5.4902,4.9066,5.4984,5.5924,UP,1
2001-01-03,5.4063,5.25,4.9116,5.4547,5.5997,DOWN,0
2001-01-04,5.1406,5.3516,4.9129,5.3766,5.6025,UP,1
2001-01-05,5.2188,5.3047,4.9146,5.3109,5.606,UP,1
2001-01-08,5.3047,5.1563,4.9165,5.2656,5.6104,DOWN,0
2001-01-09,5.2188,5.3203,4.9184,5.2578,5.6122,UP,1
2001-01-10,5.5,5.1563,4.9215,5.2766,5.6229,UP,1
2001-01-11,5.5391,5.4375,4.9255,5.3563,5.6296,UP,1
2001-01-12,5.5938,5.4609,4.9286,5.4313,5.6297,UP,1
2001-01-16,5.6016,5.5313,4.9318,5.4906,5.6304,DOWN,0
2001-01-17,5.6016,5.6172,4.9318,5.5672,5.6299,UP,1
2001-01-18,5.6797,5.6641,4.9343,5.6031,5.6264,UP,1
2001-01-19,5.7891,5.6328,4.9361,5.6531,5.6254,DOWN,0
2001-01-22,5.6563,5.8125,4.9396,5.6656,5.6208,UP,1
2001-01-23,5.7969,5.6328,4.9452,5.7047,5.6247,DOWN,0
2001-01-24,5.4219,5.8125,4.9472,5.6688,5.6211,DOWN,0
2001-01-25,5.3516,5.4453,4.9511,5.6031,5.6169,UP,1
2001-01-26,5.7031,5.5703,4.9559,5.5859,5.62,UP,1
2001-01-29,6.1563,5.7109,4.9632,5.6859,5.6255,DOWN,0
2001-01-30,6.0938,6.0859,4.9687,5.7453,5.6285,UP,1
2001-01-31,6.2422,6.0859,4.978,5.9094,5.6377,DOWN,0
2001-02-01,6.1328,6.1719,4.986,6.0656,5.6405,DOWN,0
2001-02-02,5.9844,6.0469,4.9926,6.1219,5.6355,UP,1
2001-02-05,5.9922,5.9766,4.9992,6.0891,5.6368,UP,1
2001-02-06,6.2344,6.0,5.007,6.1172,5.6397,DOWN,0
2001-02-07,6.2344,6.1406,5.0132,6.1156,5.6444,DOWN,0
2001-02-08,6.0781,6.2344,5.0198,6.1047,5.6533,DOWN,0
2001-02-09,6.0391,6.0156,5.0267,6.1156,5.6628,UP,1
2001-02-12,6.25,6.0391,5.0348,6.1672,5.6741,DOWN,0
