ticker,MA US Equity,MA US Equity,MA US Equity,MA US Equity,MA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-03-21,11.07,10.726,10.7122,10.6638,7.8016,DOWN,0
2007-03-22,10.957,11.1,10.7984,10.6714,7.8318,UP,1
2007-03-23,10.986,10.95,10.8902,10.6817,7.8626,DOWN,0
2007-03-26,10.848,10.87,10.922,10.6876,7.893,DOWN,0
2007-03-27,10.725,10.836,10.9172,10.6916,7.9228,DOWN,0
2007-03-28,10.668,10.66,10.8368,10.693,7.9522,UP,1
2007-03-29,10.719,10.74,10.7892,10.6893,7.9823,DOWN,0
2007-03-30,10.624,10.735,10.7168,10.6968,8.0127,UP,1
2007-04-02,10.696,10.71,10.6864,10.7007,8.0436,UP,1
2007-04-03,10.853,10.875,10.712,10.7025,8.0749,DOWN,0
2007-04-04,10.721,10.889,10.7226,10.7001,8.106,UP,1
2007-04-05,10.801,10.755,10.739,10.6933,8.1379,UP,1
2007-04-09,10.834,10.84,10.781,10.6942,8.17,UP,1
2007-04-10,11.001,10.89,10.842,10.6972,8.2024,DOWN,0
2007-04-11,10.981,11.001,10.8676,10.6973,8.234,UP,1
2007-04-12,10.982,10.956,10.9198,10.6955,8.2654,DOWN,0
2007-04-13,10.94,10.995,10.9476,10.6912,8.2964,DOWN,0
2007-04-16,10.94,11.0,10.9688,10.6861,8.3274,UP,1
2007-04-17,10.965,10.952,10.9616,10.6835,8.3588,DOWN,0
2007-04-18,10.921,10.966,10.9496,10.6814,8.3894,UP,1
2007-04-19,10.933,10.883,10.9398,10.679,8.42,UP,1
2007-04-20,11.01,11.03,10.9538,10.6754,8.4514,DOWN,0
2007-04-23,11.004,11.0,10.9666,10.666,8.4826,DOWN,0
2007-04-24,10.81,11.0,10.9356,10.675,8.5133,UP,1
2007-04-25,10.934,10.825,10.9382,10.6895,8.5449,DOWN,0
2007-04-26,10.856,10.948,10.9228,10.6973,8.5759,UP,1
2007-04-27,11.41,10.83,11.0028,10.7094,8.6098,DOWN,0
2007-04-30,11.168,11.425,11.0356,10.7167,8.6429,UP,1
2007-05-01,11.485,11.12,11.1706,10.7298,8.6779,UP,1
2007-05-02,12.635,12.567,11.5108,10.7668,8.7191,UP,1
2007-05-03,13.482,12.701,12.036,10.8219,8.7646,DOWN,0
2007-05-04,13.466,13.58,12.4472,10.8794,8.8099,DOWN,0
2007-05-07,13.411,13.43,12.8958,10.9385,8.8544,UP,1
2007-05-08,13.705,13.55,13.3398,11.0045,8.9001,UP,1
2007-05-09,13.955,13.698,13.6038,11.0776,8.9472,DOWN,0
2007-05-10,13.882,14.046,13.6838,11.1408,8.9941,UP,1
2007-05-11,13.883,13.91,13.7672,11.2059,9.0405,DOWN,0
2007-05-14,13.535,13.884,13.792,11.2705,9.0849,UP,1
2007-05-15,13.544,13.463,13.7598,11.3395,9.1293,UP,1
2007-05-16,13.619,13.544,13.6926,11.4039,9.1743,DOWN,0
2007-05-17,13.609,13.629,13.638,11.4766,9.2194,UP,1
2007-05-18,13.805,13.653,13.6224,11.5472,9.2659,UP,1
2007-05-21,13.951,13.725,13.7056,11.6215,9.3106,DOWN,0
2007-05-22,13.873,14.092,13.7714,11.6925,9.355,UP,1
2007-05-23,14.013,14.098,13.8502,11.765,9.4001,DOWN,0
2007-05-24,13.898,14.09,13.908,11.832,9.444,UP,1
2007-05-25,13.907,13.943,13.9284,11.8996,9.4872,UP,1
2007-05-29,14.406,14.195,14.0194,11.9772,9.5328,UP,1
2007-05-30,14.713,14.369,14.1874,12.0577,9.5796,UP,1
2007-05-31,14.955,14.854,14.3758,12.1418,9.6276,UP,1
2007-06-01,15.11,15.101,14.6182,12.2226,9.676,UP,1
2007-06-04,15.125,15.002,14.8618,12.3059,9.7244,DOWN,0
2007-06-05,14.92,15.095,14.9646,12.3846,9.7718,DOWN,0
2007-06-06,14.702,14.84,14.9624,12.4617,9.8186,DOWN,0
2007-06-07,13.941,14.702,14.7596,12.526,9.8616,UP,1
2007-06-08,14.358,13.906,14.6092,12.5998,9.9063,DOWN,0
2007-06-11,14.16,14.416,14.4162,12.6686,9.9494,UP,1
2007-06-12,14.531,14.17,14.3384,12.7468,9.9948,UP,1
2007-06-13,15.03,14.665,14.404,12.8335,10.0421,DOWN,0
2007-06-14,15.029,15.01,14.6216,12.917,10.0898,UP,1
2007-06-15,15.765,15.22,14.903,13.0179,10.1411,UP,1
2007-06-18,16.462,15.941,15.3634,13.1311,10.1957,UP,1
2007-06-19,16.527,16.425,15.7626,13.2449,10.2507,DOWN,0
2007-06-20,16.346,16.609,16.0258,13.3518,10.3045,UP,1
2007-06-21,16.469,16.24,16.3138,13.4616,10.3586,UP,1
2007-06-22,16.843,16.521,16.5294,13.5788,10.4144,DOWN,0
2007-06-25,16.195,16.9,16.476,13.6839,10.4659,DOWN,0
2007-06-26,16.182,16.35,16.407,13.7888,10.5168,UP,1
2007-06-27,16.303,16.185,16.3984,13.8955,10.5684,UP,1
2007-06-28,16.478,16.313,16.4002,14.0067,10.6199,UP,1
2007-06-29,16.587,16.609,16.349,14.1197,10.6717,UP,1
2007-07-02,16.618,16.55,16.4336,14.2319,10.7242,DOWN,0
2007-07-03,16.221,16.698,16.4414,14.3362,10.7739,DOWN,0
2007-07-05,16.171,16.276,16.415,14.4435,10.8222,UP,1
2007-07-06,16.19,16.2,16.3574,14.5486,10.8706,DOWN,0
2007-07-09,16.122,16.2,16.2644,14.6539,10.9188,DOWN,0
2007-07-10,15.835,16.025,16.1078,14.7424,10.9647,DOWN,0
2007-07-11,15.635,15.899,15.9906,14.8317,11.0084,UP,1
2007-07-12,16.787,15.799,16.1138,14.9378,11.0593,UP,1
2007-07-13,16.921,16.78,16.26,15.0235,11.1117,UP,1
2007-07-16,16.971,16.8,16.4298,15.0933,11.1636,DOWN,0
2007-07-17,16.924,17.159,16.6476,15.1624,11.2143,DOWN,0
2007-07-18,16.883,16.781,16.8972,15.2319,11.2644,DOWN,0
2007-07-19,16.743,17.089,16.8884,15.2926,11.3129,DOWN,0
2007-07-20,16.528,16.7,16.8098,15.3441,11.3606,UP,1
2007-07-23,16.76,16.55,16.7676,15.4017,11.4095,DOWN,0
2007-07-24,15.877,16.552,16.5582,15.4415,11.4541,UP,1
2007-07-25,16.11,16.0,16.4036,15.493,11.4984,DOWN,0
2007-07-26,15.872,15.83,16.2294,15.5396,11.5402,DOWN,0
2007-07-27,15.403,15.857,16.0044,15.5753,11.5808,UP,1
2007-07-30,16.459,15.646,15.9442,15.6323,11.6271,DOWN,0
2007-07-31,16.08,16.845,15.9848,15.6778,11.6728,DOWN,0
2007-08-01,15.0,15.082,15.7628,15.6988,11.7126,DOWN,0
2007-08-02,14.262,14.7,15.4408,15.7065,11.7488,DOWN,0
2007-08-03,13.126,14.06,14.9854,15.6888,11.7788,UP,1
2007-08-06,13.762,13.211,14.446,15.6861,11.8129,UP,1
2007-08-07,14.427,13.612,14.1154,15.6965,11.8498,UP,1
2007-08-08,14.802,14.584,14.0758,15.7044,11.8876,DOWN,0
2007-08-09,14.128,14.257,14.049,15.6927,11.9226,DOWN,0
2007-08-10,13.84,13.93,14.1918,15.6704,11.9567,DOWN,0
2007-08-13,13.659,14.25,14.1712,15.6414,11.9894,DOWN,0
2007-08-14,13.352,13.475,13.9562,15.6059,12.0208,DOWN,0
2007-08-15,12.904,13.396,13.5766,15.5656,12.0492,UP,1
2007-08-16,13.0,12.42,13.351,15.5316,12.0779,UP,1
2007-08-17,13.7,13.578,13.323,15.5267,12.1101,UP,1
2007-08-20,13.79,13.957,13.3492,15.5154,12.142,UP,1
2007-08-21,14.016,13.9,13.482,15.5125,12.1696,UP,1
2007-08-22,14.482,14.225,13.7976,15.5115,12.1982,DOWN,0
2007-08-23,14.229,14.587,14.0434,15.4955,12.2246,DOWN,0
2007-08-24,13.983,14.225,14.1,15.4746,12.2463,DOWN,0
2007-08-27,13.825,13.843,14.107,15.4358,12.2692,DOWN,0
2007-08-28,13.212,13.643,13.9462,15.3708,12.2911,UP,1
2007-08-29,13.342,13.343,13.7182,15.3071,12.3137,DOWN,0
2007-08-30,13.247,13.1,13.5218,15.2451,12.3353,UP,1
2007-08-31,13.699,13.57,13.465,15.1897,12.3555,UP,1
2007-09-04,13.824,13.827,13.4648,15.1293,12.377,DOWN,0
2007-09-05,13.556,13.675,13.5336,15.0765,12.3972,DOWN,0
2007-09-06,13.477,13.791,13.5606,15.0224,12.4173,DOWN,0
2007-09-07,13.021,13.11,13.5154,14.9568,12.435,DOWN,0
2007-09-10,12.971,13.072,13.3698,14.8867,12.4518,UP,1
2007-09-11,13.217,13.005,13.2484,14.8193,12.4676,UP,1
2007-09-12,13.683,13.25,13.2738,14.7606,12.4843,UP,1
2007-09-13,13.95,13.87,13.3684,14.7151,12.5013,DOWN,0
2007-09-14,13.785,13.778,13.5212,14.6674,12.5208,DOWN,0
2007-09-17,13.672,13.744,13.6614,14.6171,12.5388,UP,1
2007-09-18,14.581,13.818,13.9342,14.5862,12.5621,UP,1
2007-09-19,14.95,14.901,14.1876,14.5685,12.5859,UP,1
2007-09-20,14.951,15.0,14.3878,14.5549,12.6101,DOWN,0
2007-09-21,14.656,15.09,14.562,14.5122,12.6334,DOWN,0
2007-09-24,14.226,14.75,14.6728,14.4583,12.6549,UP,1
2007-09-25,14.299,14.036,14.6164,14.4049,12.6768,DOWN,0
2007-09-26,14.285,14.297,14.4834,14.3521,12.6984,UP,1
2007-09-27,14.8,14.426,14.4532,14.3105,12.7223,DOWN,0
2007-09-28,14.797,14.682,14.4814,14.2715,12.7468,UP,1
2007-10-01,15.337,14.773,14.7036,14.2477,12.7756,DOWN,0
2007-10-02,15.298,15.474,14.9034,14.2185,12.8042,UP,1
2007-10-03,15.694,15.2,15.1852,14.2148,12.8348,UP,1
2007-10-04,16.155,15.769,15.4562,14.2157,12.8675,UP,1
2007-10-05,16.246,16.43,15.746,14.2232,12.9023,DOWN,0
