ticker,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-08-10,95.8,95.35,95.224,95.3256,100.2686,UP,1
2018-08-13,96.78,96.0,95.168,95.3002,100.2937,DOWN,0
2018-08-14,95.92,96.72,95.54,95.2366,100.3255,UP,1
2018-08-15,97.45,95.92,96.284,95.2008,100.3531,UP,1
2018-08-16,98.22,97.84,96.834,95.1656,100.3894,UP,1
2018-08-17,98.81,98.22,97.436,95.1554,100.4322,DOWN,0
2018-08-20,97.63,99.33,97.606,95.0994,100.4581,UP,1
2018-08-21,97.74,97.86,97.97,95.0588,100.4917,DOWN,0
2018-08-22,97.64,97.84,98.008,95.0334,100.5184,DOWN,0
2018-08-23,97.15,97.69,97.794,95.0248,100.5393,UP,1
2018-08-24,97.4,97.14,97.512,94.9978,100.5565,UP,1
2018-08-27,98.02,98.11,97.59,94.9668,100.5681,DOWN,0
2018-08-28,97.26,97.79,97.494,94.9424,100.5749,UP,1
2018-08-29,97.58,97.43,97.482,94.9338,100.5857,DOWN,0
2018-08-30,96.79,97.5,97.41,94.9046,100.594,DOWN,0
2018-08-31,95.98,96.25,97.126,94.9132,100.6002,DOWN,0
2018-09-04,94.56,95.97,96.434,94.9346,100.6042,UP,1
2018-09-05,95.19,94.34,96.02,94.9774,100.6078,DOWN,0
2018-09-06,93.74,94.79,95.252,95.0098,100.6084,UP,1
2018-09-07,94.17,93.65,94.728,95.063,100.6113,DOWN,0
2018-09-10,93.82,94.98,94.296,95.0908,100.607,DOWN,0
2018-09-11,93.18,93.72,94.02,95.1014,100.6005,UP,1
2018-09-12,93.24,92.39,93.63,95.104,100.5931,UP,1
2018-09-13,96.33,93.42,94.148,95.1584,100.5977,DOWN,0
2018-09-14,95.68,96.29,94.45,95.1824,100.599,DOWN,0
2018-09-17,95.37,95.4,94.76,95.1514,100.5967,DOWN,0
2018-09-18,92.61,95.35,94.646,95.0628,100.5752,DOWN,0
2018-09-19,91.02,91.71,94.202,94.9064,100.5487,UP,1
2018-09-20,92.68,91.43,93.472,94.8608,100.536,DOWN,0
2018-09-21,92.26,92.85,92.788,94.7938,100.5202,UP,1
2018-09-24,93.42,92.3,92.398,94.7296,100.5153,UP,1
2018-09-25,93.78,93.48,92.632,94.6802,100.513,UP,1
2018-09-26,94.18,94.29,93.264,94.6556,100.5042,DOWN,0
2018-09-27,94.14,94.35,93.556,94.6504,100.4925,UP,1
2018-09-28,94.58,94.0,94.02,94.743,100.4839,UP,1
2018-10-01,95.0,94.74,94.336,94.8648,100.4722,DOWN,0
2018-10-02,94.23,95.34,94.426,94.9614,100.4618,UP,1
2018-10-03,96.01,94.64,94.792,95.0508,100.4546,DOWN,0
2018-10-04,93.84,95.81,94.732,95.0652,100.4329,UP,1
2018-10-05,94.38,94.1,94.692,95.074,100.4152,UP,1
2018-10-08,94.81,94.07,94.654,95.159,100.4022,DOWN,0
2018-10-09,94.57,94.71,94.722,95.2214,100.3855,DOWN,0
2018-10-10,93.08,93.85,94.136,95.2384,100.3598,DOWN,0
2018-10-11,90.7,93.0,93.508,95.1742,100.3246,DOWN,0
2018-10-12,90.69,90.71,92.77,95.0856,100.2876,DOWN,0
