ticker,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2006-11-02,8.1304,8.3141,8.9772,8.2844,9.1303,DOWN,0
2006-11-03,7.9022,8.157,8.9766,8.179,9.1093,UP,1
2006-11-06,8.1541,8.0415,8.978,8.1487,9.0947,DOWN,0
2006-11-07,8.1096,8.1689,8.9776,8.1316,9.0699,UP,1
2006-11-08,8.1896,8.0533,8.9782,8.0972,9.0424,DOWN,0
2006-11-09,8.1511,8.1896,8.9785,8.1013,9.0189,UP,1
2006-11-10,8.2963,8.1452,8.9794,8.1801,8.9957,UP,1
2006-11-13,8.3704,8.2904,8.9795,8.2234,8.9755,UP,1
2006-11-14,8.5333,8.3674,8.9799,8.3081,8.9613,UP,1
2006-11-15,8.6607,8.5096,8.9812,8.4024,8.9574,UP,1
2006-11-16,8.6637,8.6281,8.9833,8.5049,8.9528,DOWN,0
2006-11-17,8.5719,8.6595,8.9853,8.56,8.948,DOWN,0
2006-11-20,8.3881,8.5719,8.9858,8.5636,8.933,UP,1
2006-11-21,8.4415,8.3852,8.9871,8.5452,8.9121,DOWN,0
2006-11-22,8.3704,8.4148,8.9883,8.4871,8.886,DOWN,0
2006-11-24,8.237,8.2874,8.9889,8.4018,8.8651,DOWN,0
2006-11-27,8.0622,8.1956,8.9887,8.2999,8.846,UP,1
2006-11-28,8.1096,8.0356,8.9893,8.2441,8.8283,DOWN,0
2006-11-29,7.7481,8.1956,8.9881,8.1055,8.7993,UP,1
2006-11-30,7.9437,7.8726,8.9876,8.0201,8.771,UP,1
2006-12-01,7.9852,7.997,8.9867,7.9698,8.7476,UP,1
2006-12-04,8.0919,8.0,8.9867,7.9757,8.7288,DOWN,0
2006-12-05,7.9733,8.1007,8.9865,7.9484,8.709,DOWN,0
2006-12-06,7.9704,7.9585,8.9862,7.9929,8.6838,DOWN,0
2006-12-07,7.9644,7.9526,8.9856,7.997,8.6626,DOWN,0
2006-12-08,7.7837,7.9556,8.9847,7.9567,8.6362,UP,1
2006-12-11,7.9378,7.7667,8.9844,7.9259,8.617,DOWN,0
2006-12-12,7.5674,7.9407,8.9832,7.8447,8.595,DOWN,0
2006-12-13,7.5289,7.603,8.9809,7.7564,8.5689,UP,1
2006-12-14,7.7511,7.52,8.9799,7.7138,8.5356,DOWN,0
2006-12-15,7.5259,7.7511,8.9776,7.6622,8.4921,DOWN,0
2006-12-18,7.3807,7.5111,8.9749,7.5508,8.4477,UP,1
2006-12-19,7.4785,7.3304,8.9738,7.533,8.4018,DOWN,0
2006-12-20,7.4133,7.5022,8.9736,7.5099,8.3504,DOWN,0
2006-12-21,7.2652,7.3985,8.9725,7.4127,8.3015,DOWN,0
2006-12-22,7.2593,7.2504,8.9709,7.3594,8.2509,UP,1
2006-12-26,7.3748,7.1822,8.97,7.3582,8.2037,DOWN,0
2006-12-27,7.3304,7.363,8.9685,7.3286,8.1508,DOWN,0
2006-12-28,7.2119,7.2948,8.9661,7.2883,8.1053,DOWN,0
2006-12-29,7.1319,7.1881,8.963,7.2616,8.0683,UP,1
2007-01-03,7.6444,7.3096,8.9629,7.3387,8.0364,UP,1
2007-01-04,7.9615,7.6504,8.964,7.456,8.0126,DOWN,0
2007-01-05,7.68,7.9407,8.9642,7.5259,7.9869,UP,1
2007-01-08,7.683,7.6652,8.965,7.6201,7.9608,UP,1
2007-01-09,7.7007,7.6741,8.9659,7.7339,7.9443,UP,1
2007-01-10,7.76,7.6711,8.9654,7.757,7.9336,UP,1
2007-01-11,7.8815,7.7274,8.9647,7.741,7.9227,UP,1
2007-01-12,8.0919,7.8756,8.9654,7.8234,7.9184,UP,1
2007-01-16,8.1541,8.077,8.9659,7.9176,7.9176,DOWN,0
2007-01-17,8.0178,8.1037,8.9665,7.981,7.9107,UP,1
2007-01-18,8.0326,8.0415,8.9668,8.0356,7.9087,DOWN,0
2007-01-19,7.9852,8.0,8.9672,8.0563,7.9104,DOWN,0
2007-01-22,7.8015,8.0652,8.9665,7.9982,7.9033,UP,1
2007-01-23,7.837,7.76,8.9654,7.9348,7.8979,UP,1
2007-01-24,7.8874,7.7926,8.9643,7.9087,7.8919,DOWN,0
2007-01-25,7.7985,7.9052,8.9629,7.8619,7.8848,UP,1
2007-01-26,7.8015,7.8222,8.9623,7.8252,7.8749,UP,1
2007-01-29,7.9467,7.7689,8.9637,7.8542,7.8664,UP,1
2007-01-30,8.2548,7.9585,8.9665,7.9378,7.8609,DOWN,0
2007-01-31,8.2311,8.2756,8.9691,8.0065,7.8523,UP,1
2007-02-01,9.5556,8.8889,8.9777,8.3579,7.8701,DOWN,0
2007-02-02,9.3926,9.523,8.9832,8.6761,7.8865,DOWN,0
2007-02-05,9.2267,9.3541,8.987,8.9321,7.9033,UP,1
2007-02-06,9.4756,9.2356,8.9895,9.1763,7.924,UP,1
