ticker,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2006-11-16,47.62,48.2,50.1795,47.176,49.4362,DOWN,0
2006-11-17,47.25,47.6,50.1176,47.404,49.3632,DOWN,0
2006-11-20,46.81,47.72,50.059,47.416,49.2674,DOWN,0
2006-11-21,46.33,47.0,50.002,47.194,49.1434,UP,1
2006-11-22,46.56,46.23,49.9468,46.914,49.0336,UP,1
2006-11-24,46.71,46.4,49.89,46.732,48.9316,DOWN,0
2006-11-27,46.18,46.7,49.8279,46.518,48.811,UP,1
2006-11-28,47.34,46.25,49.7716,46.624,48.716,UP,1
2006-11-29,47.56,47.46,49.7122,46.87,48.6298,UP,1
2006-11-30,49.08,47.95,49.6626,47.374,48.5808,DOWN,0
2006-12-01,48.83,49.44,49.6142,47.798,48.5516,UP,1
2006-12-04,48.91,48.85,49.5688,48.344,48.5504,DOWN,0
2006-12-05,48.88,49.1,49.5223,48.652,48.5516,UP,1
2006-12-06,49.01,49.03,49.4696,48.942,48.5594,UP,1
2006-12-07,49.49,49.08,49.4198,49.024,48.5676,UP,1
2006-12-08,49.91,49.37,49.3749,49.24,48.5766,UP,1
2006-12-11,50.09,49.9,49.3307,49.476,48.5944,DOWN,0
2006-12-12,50.04,49.91,49.2898,49.708,48.6066,DOWN,0
2006-12-13,49.71,50.43,49.2461,49.848,48.6092,DOWN,0
2006-12-14,49.7,50.0,49.2067,49.89,48.612,UP,1
2006-12-15,50.09,49.67,49.1742,49.926,48.6004,UP,1
2006-12-18,50.4,50.2,49.1427,49.988,48.5784,UP,1
2006-12-19,52.33,50.5,49.1222,50.446,48.6106,UP,1
2006-12-20,53.56,52.56,49.104,51.216,48.6888,UP,1
2006-12-21,53.93,53.89,49.092,52.062,48.7654,DOWN,0
2006-12-22,53.45,53.76,49.0784,52.734,48.842,DOWN,0
2006-12-26,53.23,53.68,49.0659,53.3,48.9316,UP,1
2006-12-27,53.38,52.34,49.0483,53.51,49.0484,UP,1
2006-12-28,53.66,52.87,49.0299,53.53,49.187,UP,1
2006-12-29,53.73,53.4,49.0157,53.49,49.3016,DOWN,0
2007-01-03,52.57,54.32,48.9951,53.314,49.34,UP,1
2007-01-04,52.91,52.5,48.977,53.25,49.3842,DOWN,0
2007-01-05,52.55,52.8,48.9587,53.084,49.4224,UP,1
2007-01-08,53.32,52.45,48.9421,53.016,49.492,DOWN,0
2007-01-09,52.68,53.35,48.9237,52.806,49.573,UP,1
2007-01-10,52.83,52.82,48.9089,52.858,49.6422,UP,1
2007-01-11,54.45,53.11,48.9065,53.166,49.743,UP,1
2007-01-12,55.1,54.4,48.9104,53.676,49.8644,UP,1
2007-01-16,55.75,55.1,48.9093,54.162,50.0038,DOWN,0
2007-01-17,55.65,55.95,48.9062,54.756,50.1508,DOWN,0
2007-01-18,53.8,54.6,48.8959,54.95,50.2544,DOWN,0
2007-01-19,53.2,53.8,48.8846,54.7,50.3618,DOWN,0
2007-01-22,52.19,53.2,48.869,54.118,50.4374,DOWN,0
2007-01-23,51.47,52.2,48.8499,53.262,50.4754,UP,1
2007-01-24,51.8,51.37,48.8363,52.492,50.5514,UP,1
2007-01-25,52.1,51.8,48.8284,52.152,50.688,DOWN,0
2007-01-26,51.54,52.06,48.8239,51.82,50.7966,UP,1
2007-01-29,51.73,51.35,48.8248,51.728,50.8962,UP,1
2007-01-30,52.21,52.02,48.8186,51.876,50.9916,UP,1
2007-01-31,52.26,52.5,48.8124,51.968,51.0776,UP,1
2007-02-01,52.8,52.27,48.818,52.108,51.1812,UP,1
2007-02-02,52.91,52.85,48.8342,52.382,51.2944,DOWN,0
2007-02-05,52.33,51.95,48.85,52.502,51.4048,DOWN,0
2007-02-06,50.99,51.8,48.8543,52.258,51.498,UP,1
2007-02-07,51.25,51.39,48.8627,52.056,51.5918,DOWN,0
2007-02-08,51.24,51.28,48.8681,51.744,51.6824,DOWN,0
2007-02-09,50.88,51.28,48.8757,51.338,51.7764,UP,1
2007-02-12,51.62,51.45,48.889,51.196,51.862,DOWN,0
2007-02-13,51.61,51.94,48.9083,51.32,51.943,UP,1
2007-02-14,51.64,51.71,48.9178,51.398,51.9942,UP,1
2007-02-15,53.61,52.1,48.9368,51.872,52.0898,UP,1
2007-02-16,53.95,53.51,48.9637,52.486,52.1906,DOWN,0
2007-02-20,53.82,54.55,48.9997,52.926,52.2894,DOWN,0
2007-02-21,53.53,53.83,49.0347,53.31,52.3798,UP,1
2007-02-22,53.72,53.82,49.0714,53.726,52.4644,DOWN,0
2007-02-23,53.03,54.08,49.1111,53.61,52.5268,UP,1
2007-02-26,53.21,53.17,49.1582,53.462,52.5892,DOWN,0
2007-02-27,51.71,53.22,49.1859,53.04,52.6226,UP,1
2007-02-28,52.18,52.02,49.2249,52.77,52.672,UP,1
2007-03-01,52.74,52.06,49.2594,52.574,52.7328,UP,1
2007-03-02,54.18,53.99,49.2968,52.804,52.8146,DOWN,0
2007-03-05,52.96,53.9,49.3266,52.754,52.8658,UP,1
2007-03-06,53.98,54.41,49.362,53.208,52.8988,DOWN,0
2007-03-07,53.8,53.81,49.4045,53.532,52.9036,DOWN,0
2007-03-08,53.33,54.17,49.4491,53.65,52.8916,DOWN,0
2007-03-09,53.0,53.5,49.4965,53.414,52.8826,UP,1
2007-03-12,53.27,53.4,49.5487,53.476,52.8834,DOWN,0
2007-03-13,53.0,53.27,49.6033,53.28,52.8758,UP,1
2007-03-14,53.37,52.9,49.658,53.194,52.87,UP,1
2007-03-15,54.05,53.37,49.7127,53.338,52.8764,DOWN,0
2007-03-16,53.13,54.31,49.7617,53.364,52.8876,UP,1
2007-03-19,54.3,53.54,49.8134,53.57,52.9154,DOWN,0
2007-03-20,54.1,54.3,49.8553,53.79,52.9464,UP,1
2007-03-21,55.03,54.05,49.8955,54.122,52.9806,UP,1
