ticker,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-06-17,183.95,185.87,182.94,187.9208,220.2503,DOWN,0
2020-06-18,181.49,181.36,183.078,187.7158,220.1176,DOWN,0
2020-06-19,178.66,185.11,182.352,187.3802,219.9681,DOWN,0
2020-06-22,177.92,177.16,181.52,187.0908,219.7865,DOWN,0
2020-06-23,177.17,179.4,179.838,186.7424,219.5974,DOWN,0
2020-06-24,167.22,174.85,176.492,186.1464,219.3562,UP,1
2020-06-25,172.11,165.62,174.616,185.769,219.1274,DOWN,0
2020-06-26,170.96,171.99,173.076,185.3386,218.8803,UP,1
2020-06-29,177.41,173.62,172.974,184.9676,218.6834,DOWN,0
2020-06-30,174.49,176.16,172.438,184.6122,218.4643,DOWN,0
2020-07-01,173.73,176.16,173.74,184.3978,218.2196,DOWN,0
2020-07-02,173.11,175.92,173.94,184.1354,217.9798,UP,1
2020-07-06,173.28,176.18,174.404,183.8656,217.7477,DOWN,0
2020-07-07,168.32,171.63,172.586,183.542,217.497,DOWN,0
2020-07-08,167.49,168.31,171.186,183.1266,217.2603,DOWN,0
2020-07-09,161.77,166.48,168.794,182.5366,217.0075,UP,1
2020-07-10,167.04,161.92,167.58,181.9664,216.7795,UP,1
2020-07-13,169.62,169.2,166.848,181.5306,216.5588,UP,1
2020-07-14,171.82,170.0,167.548,181.2536,216.3466,UP,1
2020-07-15,176.97,176.19,169.444,181.1934,216.1645,UP,1
2020-07-16,179.37,176.8,172.964,181.1274,216.0024,UP,1
2020-07-17,180.95,180.02,175.746,181.1734,215.8748,DOWN,0
2020-07-20,176.23,179.57,177.068,181.2318,215.7552,UP,1
2020-07-21,178.01,177.0,178.306,181.1804,215.6306,UP,1
2020-07-22,179.61,177.91,178.834,181.2104,215.5037,UP,1
2020-07-23,180.91,179.5,179.142,181.3582,215.3805,DOWN,0
2020-07-24,177.06,180.91,178.364,181.4942,215.2495,DOWN,0
2020-07-27,173.2,176.41,177.758,181.5138,215.0874,UP,1
2020-07-28,174.99,173.06,177.154,181.6028,214.9194,UP,1
2020-07-29,175.88,175.34,176.408,181.5122,214.7401,DOWN,0
2020-07-30,174.79,173.67,175.184,181.538,214.5517,DOWN,0
2020-07-31,173.71,174.4,174.514,181.51,214.3543,UP,1
2020-08-03,175.34,174.03,174.942,181.3868,214.1559,DOWN,0
2020-08-04,173.54,175.41,174.652,181.2022,213.9648,UP,1
2020-08-05,178.67,175.44,175.21,180.9072,213.8077,DOWN,0
2020-08-06,162.8,171.01,172.812,180.0448,213.5667,UP,1
2020-08-07,167.9,161.46,171.65,179.3892,213.3303,UP,1
2020-08-10,169.13,167.89,170.408,178.774,213.0902,DOWN,0
2020-08-11,168.54,172.23,169.408,178.2342,212.8293,DOWN,0
2020-08-12,164.17,170.02,166.508,177.6326,212.5442,DOWN,0
2020-08-13,164.13,163.11,166.774,176.9218,212.2514,UP,1
2020-08-14,166.89,163.62,166.572,176.2892,211.973,DOWN,0
2020-08-17,163.09,166.74,165.364,175.4996,211.663,DOWN,0
2020-08-18,162.29,162.66,164.114,174.625,211.3461,UP,1
2020-08-19,162.77,161.98,163.834,173.9252,211.0088,DOWN,0
2020-08-20,159.54,161.51,162.916,173.1758,210.6627,DOWN,0
2020-08-21,158.63,159.1,161.264,172.7324,210.3052,UP,1
2020-08-24,162.18,159.15,161.082,172.3302,209.9461,DOWN,0
2020-08-25,158.94,162.81,160.412,171.8674,209.4886,DOWN,0
2020-08-26,153.89,158.09,158.636,171.2336,209.002,DOWN,0
2020-08-27,153.44,153.25,157.416,170.6234,208.5097,DOWN,0
2020-08-28,152.46,153.74,156.182,170.0428,208.0022,DOWN,0
2020-08-31,151.52,151.76,154.05,169.5,207.4873,DOWN,0
2020-09-01,150.33,150.09,152.328,168.9482,206.9619,UP,1
2020-09-02,151.35,150.29,151.82,168.4318,206.4344,DOWN,0
2020-09-03,150.12,153.08,151.156,168.0898,205.8947,DOWN,0
2020-09-04,147.51,151.53,150.166,167.5978,205.3457,DOWN,0
2020-09-08,141.76,147.09,148.214,167.0138,204.7832,DOWN,0
2020-09-09,141.35,142.42,146.418,166.2926,204.2363,DOWN,0
2020-09-10,137.83,142.88,143.714,165.5594,203.6764,UP,1
2020-09-11,147.4,138.1,143.17,165.0328,203.1676,DOWN,0
2020-09-14,146.85,148.0,143.038,164.5076,202.6548,DOWN,0
2020-09-15,145.27,146.77,143.74,163.9474,202.1184,UP,1
2020-09-16,147.94,145.17,145.058,163.5398,201.5998,UP,1
2020-09-17,150.59,146.01,147.61,163.2018,201.1025,DOWN,0
2020-09-18,149.18,150.0,147.966,162.95,200.6023,DOWN,0
2020-09-21,143.9,146.7,147.376,162.4872,200.0493,DOWN,0
2020-09-22,143.61,143.9,147.044,161.967,199.5072,DOWN,0
2020-09-23,139.43,144.2,145.342,161.3192,198.9373,UP,1
2020-09-24,139.49,139.29,143.122,160.5696,198.3686,UP,1
2020-09-25,141.22,138.64,141.53,159.8066,197.8158,UP,1
2020-09-28,143.13,143.22,141.376,159.0502,197.2628,DOWN,0
2020-09-29,141.21,142.62,140.896,158.3498,196.6961,DOWN,0
2020-09-30,140.75,142.09,141.16,157.6046,196.1436,DOWN,0
2020-10-01,139.98,140.76,141.258,156.812,195.582,UP,1
2020-10-02,144.13,137.21,141.84,156.0764,195.0406,UP,1
2020-10-05,146.32,146.11,142.478,155.4616,194.5137,UP,1
2020-10-06,147.13,147.91,143.662,154.9402,193.9781,UP,1
2020-10-07,147.94,148.42,145.1,154.3992,193.4473,UP,1
2020-10-08,149.64,148.78,147.032,153.8744,192.918,UP,1
2020-10-09,149.98,150.92,148.202,153.3782,192.398,DOWN,0
2020-10-12,149.45,149.98,148.828,152.893,191.8822,DOWN,0
2020-10-13,148.46,148.0,149.094,152.3554,191.3692,UP,1
2020-10-14,151.53,147.37,149.812,151.9152,190.8678,DOWN,0
2020-10-15,147.55,150.48,149.394,151.2928,190.3511,UP,1
2020-10-16,148.0,147.79,148.998,150.9968,189.8119,DOWN,0
2020-10-19,146.96,148.43,148.5,150.578,189.2292,UP,1
2020-10-20,147.7,147.68,148.348,150.1494,188.6427,UP,1
2020-10-21,149.52,147.7,147.946,149.769,188.053,UP,1
2020-10-22,152.23,149.94,148.882,149.5302,187.4693,UP,1
2020-10-23,152.82,153.25,149.846,149.304,186.8534,DOWN,0
2020-10-26,149.71,151.45,150.396,148.9604,186.2472,DOWN,0
2020-10-27,146.51,148.81,150.158,148.6288,185.6057,DOWN,0
2020-10-28,141.46,144.05,148.546,148.2122,184.956,UP,1
2020-10-29,142.97,140.56,146.694,147.8162,184.3004,UP,1
2020-10-30,147.48,142.64,145.626,147.575,183.6549,UP,1
2020-11-02,149.5,149.43,145.584,147.3924,183.0134,UP,1
