ticker,CL US Equity,CL US Equity,CL US Equity,CL US Equity,CL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-09,29.69,30.04,27.8369,29.854,29.5452,DOWN,0
2001-02-12,29.41,29.69,27.8372,29.751,29.5376,DOWN,0
2001-02-13,29.0,29.41,27.8394,29.546,29.5301,DOWN,0
2001-02-14,28.2,29.0,27.8426,29.251,29.4972,UP,1
2001-02-15,28.35,28.05,27.844,28.93,29.465,UP,1
2001-02-16,29.625,29.125,27.8534,28.917,29.4767,UP,1
2001-02-20,30.025,29.75,27.8637,29.04,29.5124,DOWN,0
2001-02-21,29.575,29.9,27.8688,29.155,29.5114,UP,1
2001-02-22,29.625,29.85,27.8728,29.44,29.5204,DOWN,0
2001-02-23,29.2,29.5,27.8713,29.61,29.5389,DOWN,0
2001-02-26,29.075,28.8,27.8712,29.5,29.5306,UP,1
2001-02-27,29.375,29.05,27.8676,29.37,29.5366,UP,1
2001-02-28,29.525,29.5,27.8682,29.36,29.5495,DOWN,0
2001-03-01,28.775,29.4,27.8639,29.19,29.5534,UP,1
2001-03-02,29.06,28.7,27.8641,29.162,29.5423,UP,1
2001-03-05,29.25,29.1,27.8639,29.197,29.5371,DOWN,0
2001-03-06,28.9,29.25,27.8607,29.102,29.522,UP,1
2001-03-07,29.09,28.6,27.8638,29.015,29.4955,UP,1
2001-03-08,30.0,29.375,27.8724,29.26,29.4979,DOWN,0
2001-03-09,29.45,30.0,27.8798,29.338,29.4634,DOWN,0
2001-03-12,28.425,29.125,27.8804,29.173,29.3863,DOWN,0
2001-03-13,28.2,28.45,27.8814,29.033,29.3053,DOWN,0
2001-03-14,27.735,28.075,27.8807,28.762,29.2145,DOWN,0
2001-03-15,27.45,27.735,27.8826,28.252,29.1385,DOWN,0
2001-03-16,27.11,26.75,27.8866,27.784,29.0796,DOWN,0
2001-03-19,26.725,27.0,27.887,27.444,29.0549,UP,1
2001-03-20,26.83,26.725,27.8849,27.17,29.0155,DOWN,0
2001-03-21,25.675,26.75,27.8806,26.758,28.9404,DOWN,0
2001-03-22,25.5,25.375,27.8717,26.368,28.8509,UP,1
2001-03-23,25.75,25.375,27.8579,26.096,28.7743,UP,1
2001-03-26,26.55,26.2,27.8494,26.061,28.7237,UP,1
2001-03-27,27.605,26.525,27.8453,26.216,28.6968,UP,1
2001-03-28,27.705,27.6,27.8402,26.622,28.6719,DOWN,0
2001-03-29,27.1,27.625,27.8368,26.942,28.6484,UP,1
2001-03-30,27.63,27.1,27.8321,27.318,28.6322,DOWN,0
2001-04-02,27.425,27.7,27.823,27.493,28.6142,DOWN,0
2001-04-03,26.7,27.35,27.8118,27.312,28.5804,UP,1
2001-04-04,27.025,26.575,27.8029,27.176,28.5436,UP,1
2001-04-05,27.75,27.25,27.7982,27.306,28.5176,DOWN,0
2001-04-06,26.875,27.25,27.7901,27.155,28.4716,DOWN,0
2001-04-09,26.05,26.0,27.7803,26.88,28.4225,DOWN,0
2001-04-10,25.775,25.8,27.7703,26.695,28.3742,DOWN,0
2001-04-11,25.63,25.775,27.7572,26.416,28.2996,UP,1
2001-04-12,26.6,25.85,27.7479,26.186,28.2308,UP,1
2001-04-16,26.675,26.75,27.7397,26.146,28.1535,DOWN,0
2001-04-17,26.435,26.35,27.73,26.223,28.0742,DOWN,0
2001-04-18,25.875,26.55,27.7097,26.243,27.9932,UP,1
2001-04-19,26.285,26.5,27.6914,26.374,27.9184,UP,1
2001-04-20,26.65,26.325,27.6764,26.384,27.8579,DOWN,0
2001-04-23,26.52,26.75,27.662,26.353,27.7892,DOWN,0
2001-04-24,26.2,26.325,27.65,26.306,27.7194,UP,1
2001-04-25,26.69,26.2,27.6442,26.469,27.665,UP,1
2001-04-26,26.9,26.75,27.6422,26.592,27.623,UP,1
2001-04-27,27.825,27.25,27.6488,26.827,27.6155,UP,1
2001-04-30,27.925,28.15,27.6558,27.108,27.607,UP,1
2001-05-01,28.23,28.25,27.6613,27.514,27.5791,DOWN,0
2001-05-02,28.0,28.125,27.6639,27.776,27.5386,DOWN,0
2001-05-03,27.925,28.0,27.6662,27.981,27.5056,UP,1
2001-05-04,28.4,27.95,27.672,28.096,27.4811,UP,1
2001-05-07,28.59,28.425,27.6765,28.229,27.4689,UP,1
2001-05-08,28.64,28.7,27.6781,28.311,27.4602,UP,1
2001-05-09,28.695,28.75,27.6816,28.45,27.4466,UP,1
2001-05-10,29.0,28.875,27.6858,28.665,27.4361,UP,1
2001-05-11,29.07,29.2,27.6923,28.799,27.442,UP,1
2001-05-14,29.095,29.175,27.6968,28.9,27.4427,DOWN,0
2001-05-15,28.35,29.1,27.6985,28.842,27.4247,UP,1
2001-05-16,29.26,28.45,27.7056,28.955,27.4319,DOWN,0
2001-05-17,29.025,29.425,27.7086,28.96,27.4306,DOWN,0
2001-05-18,28.7,29.025,27.7107,28.886,27.4046,UP,1
2001-05-21,28.8,28.575,27.7137,28.827,27.3916,DOWN,0
2001-05-22,28.11,28.475,27.7168,28.779,27.3853,UP,1
2001-05-23,28.39,28.1,27.7248,28.605,27.3891,UP,1
2001-05-24,28.595,28.325,27.7356,28.519,27.4063,DOWN,0
2001-05-25,28.39,28.475,27.7472,28.457,27.4251,UP,1
2001-05-29,28.99,28.39,27.7581,28.495,27.4627,DOWN,0
2001-05-30,28.765,28.95,27.7685,28.626,27.5035,DOWN,0
2001-05-31,28.32,28.625,27.7753,28.612,27.5333,UP,1
2001-06-01,28.625,28.375,27.7834,28.618,27.5923,UP,1
2001-06-04,28.73,28.75,27.7924,28.686,27.6569,UP,1
2001-06-05,29.1,28.825,27.806,28.708,27.7239,UP,1
2001-06-06,29.225,29.225,27.8212,28.8,27.7774,UP,1
2001-06-07,29.375,29.35,27.8363,29.011,27.8128,UP,1
