ticker,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-16,24.875,24.813,20.9826,24.65,22.9956,UP,1
2000-08-17,25.125,25.125,21.0083,24.9,23.1119,DOWN,0
2000-08-18,25.0,24.875,21.0298,24.9875,23.2206,UP,1
2000-08-21,25.063,24.813,21.0526,24.975,23.3106,UP,1
2000-08-22,25.5,25.0,21.0795,25.1125,23.4144,DOWN,0
2000-08-23,25.125,25.313,21.1036,25.1625,23.4994,UP,1
2000-08-24,25.688,25.313,21.1314,25.275,23.5869,DOWN,0
2000-08-25,25.625,25.813,21.1598,25.4,23.6644,DOWN,0
2000-08-28,25.125,25.5,21.1848,25.4125,23.7206,DOWN,0
2000-08-29,25.125,25.25,21.2039,25.3375,23.7956,DOWN,0
2000-08-30,25.063,25.063,21.2211,25.325,23.8819,DOWN,0
2000-08-31,24.957,24.875,21.2305,25.1789,23.951,DOWN,0
2000-09-01,24.813,25.0,21.2371,25.0164,24.0398,UP,1
2000-09-05,24.875,24.125,21.2474,24.9664,24.1348,DOWN,0
2000-09-06,24.875,24.875,21.2562,24.9164,24.2235,UP,1
2000-09-07,25.438,24.875,21.2677,24.9914,24.3248,UP,1
2000-09-08,25.875,25.75,21.2874,25.175,24.4335,DOWN,0
2000-09-11,24.938,25.625,21.3003,25.2,24.5223,UP,1
2000-09-12,25.75,24.938,21.3171,25.375,24.6185,UP,1
2000-09-13,28.0,25.75,21.3437,26.0,24.761,UP,1
2000-09-14,28.313,29.0,21.3684,26.575,24.8848,DOWN,0
2000-09-15,28.0,28.75,21.3921,27.0,24.9923,DOWN,0
2000-09-18,27.625,27.563,21.4153,27.5375,25.1048,UP,1
2000-09-19,29.563,28.0,21.4506,28.3,25.2323,UP,1
2000-09-20,29.875,29.563,21.4881,28.675,25.361,DOWN,0
2000-09-21,29.813,29.875,21.5284,28.975,25.4935,DOWN,0
2000-09-22,29.625,29.75,21.5684,29.3,25.5948,UP,1
2000-09-25,30.375,29.938,21.6103,29.85,25.691,UP,1
