ticker,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-07-10,44.063,44.875,42.1852,44.9625,41.2008,DOWN,0
2000-07-11,43.0,43.063,42.1971,44.3875,41.3258,DOWN,0
2000-07-12,42.875,42.063,42.2102,43.9,41.4458,DOWN,0
2000-07-13,42.625,42.125,42.2208,43.4875,41.5733,UP,1
2000-07-14,44.25,42.938,42.253,43.3625,41.7458,DOWN,0
2000-07-17,42.875,43.688,42.2762,43.125,41.8808,UP,1
2000-07-18,43.813,43.25,42.2999,43.2875,42.0258,UP,1
2000-07-19,44.5,43.813,42.3174,43.6125,42.1695,DOWN,0
2000-07-20,43.25,44.563,42.324,43.7375,42.2558,DOWN,0
2000-07-21,42.25,43.438,42.3224,43.3375,42.3095,DOWN,0
2000-07-24,41.625,42.0,42.3208,43.0875,42.3183,UP,1
2000-07-25,42.375,41.875,42.3187,42.8,42.372,DOWN,0
2000-07-26,41.75,42.25,42.3221,42.25,42.417,DOWN,0
2000-07-27,40.688,41.938,42.3224,41.7375,42.4633,UP,1
2000-07-28,41.688,40.75,42.3358,41.625,42.5058,DOWN,0
2000-07-31,41.313,41.938,42.3449,41.5625,42.5158,UP,1
2000-08-01,43.625,41.875,42.3746,41.8125,42.6095,DOWN,0
2000-08-02,43.375,44.375,42.3968,42.1375,42.6845,DOWN,0
2000-08-03,39.688,41.938,42.389,41.9375,42.7058,DOWN,0
2000-08-04,38.5,39.813,42.3796,41.3,42.6795,DOWN,0
2000-08-07,35.5,38.375,42.349,40.1375,42.6258,DOWN,0
2000-08-08,34.688,34.875,42.3193,38.35,42.5595,DOWN,0
2000-08-09,34.063,34.0,42.2908,36.4875,42.4645,DOWN,0
2000-08-10,33.688,34.438,42.263,35.2875,42.3458,DOWN,0
2000-08-11,33.625,33.938,42.2243,34.3125,42.2083,UP,1
2000-08-14,37.0,34.75,42.2071,34.6125,42.1108,DOWN,0
2000-08-15,35.813,36.938,42.1815,34.8375,42.0083,DOWN,0
2000-08-16,35.375,35.563,42.144,35.1,41.8883,UP,1
2000-08-17,35.5,35.5,42.1124,35.4625,41.762,UP,1
2000-08-18,35.875,35.75,42.0877,35.9125,41.6558,UP,1
2000-08-21,36.438,36.375,42.0671,35.8,41.5758,DOWN,0
2000-08-22,36.0,36.875,42.0458,35.8375,41.4858,DOWN,0
2000-08-23,35.75,36.125,42.023,35.9125,41.3308,UP,1
2000-08-24,36.0,36.188,41.9874,36.0125,41.157,UP,1
2000-08-25,36.188,36.375,41.9387,36.075,40.9445,UP,1
2000-08-28,36.813,36.375,41.8971,36.15,40.7845,UP,1
2000-08-29,37.0,36.813,41.8568,36.35,40.6333,DOWN,0
2000-08-30,37.0,37.0,41.8149,36.6,40.4995,DOWN,0
2000-08-31,36.188,36.813,41.7593,36.6375,40.347,DOWN,0
2000-09-01,35.813,36.188,41.6933,36.5625,40.1995,DOWN,0
2000-09-05,35.75,35.563,41.6362,36.35,40.0595,UP,1
2000-09-06,36.938,35.75,41.5958,36.3375,39.907,DOWN,0
2000-09-07,36.875,37.438,41.559,36.3125,39.7308,DOWN,0
2000-09-08,36.438,36.875,41.5177,36.3625,39.5475,UP,1
2000-09-11,36.875,36.25,41.4771,36.575,39.4175,UP,1
2000-09-12,37.75,37.813,41.4439,36.975,39.2762,DOWN,0
2000-09-13,37.625,37.875,41.4149,37.1125,39.1112,DOWN,0
2000-09-14,36.25,36.813,41.3733,36.9875,38.93,DOWN,0
2000-09-15,35.813,36.0,41.3308,36.8625,38.7525,DOWN,0
2000-09-18,35.0,35.813,41.2821,36.4875,38.555,UP,1
2000-09-19,36.375,36.75,41.2299,36.2125,38.4012,DOWN,0
2000-09-20,36.0,36.688,41.1689,35.8875,38.2612,UP,1
2000-09-21,36.563,36.25,41.1043,35.95,38.135,UP,1
2000-09-22,38.0,36.563,41.0489,36.3875,38.0425,DOWN,0
2000-09-25,36.188,37.625,40.9843,36.625,37.8812,UP,1
2000-09-26,36.438,36.875,40.9236,36.6375,37.7525,UP,1
2000-09-27,36.75,36.5,40.8602,36.7875,37.6112,UP,1
2000-09-28,39.563,37.0,40.8018,37.3875,37.5125,DOWN,0
2000-09-29,39.563,39.375,40.7427,37.7,37.4387,UP,1
2000-10-02,40.125,39.125,40.6921,38.4875,37.3962,DOWN,0
2000-10-03,39.938,39.313,40.6314,39.1875,37.3625,DOWN,0
2000-10-04,39.438,39.75,40.5768,39.725,37.3037,UP,1
2000-10-05,42.188,41.063,40.5283,40.25,37.3125,DOWN,0
2000-10-06,42.0,42.438,40.4677,40.7375,37.3387,UP,1
2000-10-09,42.188,41.938,40.4111,41.15,37.3487,DOWN,0
2000-10-10,41.75,42.5,40.3643,41.5125,37.3575,DOWN,0
2000-10-11,40.813,41.625,40.3193,41.7875,37.3012,DOWN,0
2000-10-12,40.125,41.0,40.2655,41.375,37.2362,UP,1
2000-10-13,40.25,40.375,40.213,41.025,37.2475,UP,1
2000-10-16,40.438,40.063,40.1633,40.675,37.2862,UP,1
2000-10-17,40.5,40.313,40.1199,40.425,37.3862,UP,1
2000-10-18,40.875,40.188,40.0849,40.4375,37.51,DOWN,0
2000-10-19,40.0,40.375,40.0393,40.4125,37.6287,DOWN,0
2000-10-20,39.688,39.25,39.9899,40.3,37.7487,DOWN,0
2000-10-23,39.375,39.688,39.9252,40.0875,37.8637,UP,1
2000-10-24,41.125,39.625,39.8721,40.2125,37.9462,UP,1
2000-10-25,43.188,41.938,39.8268,40.675,38.0937,DOWN,0
2000-10-26,42.5,43.813,39.7783,41.175,38.2362,UP,1
2000-10-27,42.75,42.125,39.7171,41.7875,38.3812,UP,1
2000-10-30,44.438,43.0,39.668,42.8,38.5525,UP,1
2000-10-31,44.625,44.0,39.6274,43.5,38.7162,UP,1
2000-11-01,44.938,44.688,39.5924,43.85,38.895,DOWN,0
2000-11-02,44.75,44.938,39.5561,44.3,39.075,DOWN,0
2000-11-03,44.438,44.938,39.5252,44.6375,39.2437,DOWN,0
2000-11-06,44.375,44.438,39.5027,44.625,39.4075,UP,1
2000-11-07,44.75,44.188,39.4902,44.65,39.5662,UP,1
2000-11-08,45.25,44.938,39.4774,44.7125,39.7312,UP,1
2000-11-09,46.25,45.25,39.4724,45.0125,39.9162,DOWN,0
2000-11-10,46.0,46.0,39.468,45.325,40.1125,DOWN,0
2000-11-13,45.5,45.75,39.4568,45.55,40.3062,UP,1
2000-11-14,45.563,45.25,39.4446,45.7125,40.5025,UP,1
2000-11-15,46.313,45.625,39.4346,45.925,40.69,DOWN,0
2000-11-16,45.375,45.688,39.4283,45.75,40.86,UP,1
2000-11-17,46.063,45.625,39.4393,45.7625,41.0525,UP,1
2000-11-20,46.75,46.438,39.4596,46.0125,41.25,UP,1
2000-11-21,47.063,47.0,39.4699,46.3125,41.4362,UP,1
2000-11-22,47.938,47.188,39.4855,46.6375,41.6425,DOWN,0
2000-11-24,47.0,47.938,39.5111,46.9625,41.8575,DOWN,0
2000-11-27,45.813,46.125,39.5377,46.9125,42.0575,DOWN,0
2000-11-28,45.438,45.125,39.5602,46.65,42.2662,DOWN,0
2000-11-29,44.813,45.438,39.5793,46.2,42.435,DOWN,0
2000-11-30,44.688,44.813,39.5996,45.55,42.6087,DOWN,0
2000-12-01,43.688,44.688,39.6139,44.8875,42.7512,DOWN,0
2000-12-04,43.25,43.0,39.6352,44.375,42.8562,DOWN,0
2000-12-05,40.875,43.25,39.643,43.4625,42.95,DOWN,0
2000-12-06,38.813,40.188,39.6393,42.2625,42.9975,UP,1
2000-12-07,41.0,39.375,39.6502,41.525,43.0825,UP,1
2000-12-08,41.125,41.0,39.6693,41.0125,43.1137,DOWN,0
2000-12-11,39.938,40.188,39.6739,40.35,43.1212,DOWN,0
2000-12-12,39.5,40.0,39.6693,40.075,43.1087,DOWN,0
2000-12-13,37.5,39.75,39.6561,39.8125,43.06,DOWN,0
2000-12-14,34.0,37.5,39.6249,38.4125,42.9512,DOWN,0
2000-12-15,30.063,28.5,39.5693,36.2,42.7087,UP,1
2000-12-18,31.438,30.875,39.5261,34.5,42.4975,UP,1
2000-12-19,31.5,29.5,39.5024,32.9,42.2837,DOWN,0
2000-12-20,31.063,31.25,39.4908,31.6125,42.07,UP,1
2000-12-21,32.125,31.125,39.4824,31.2375,41.8962,DOWN,0
2000-12-22,31.813,32.25,39.4921,31.5875,41.73,DOWN,0
2000-12-26,31.5,31.688,39.4964,31.6,41.555,UP,1
2000-12-27,32.313,31.5,39.5086,31.7625,41.3925,UP,1
2000-12-28,33.438,32.0,39.508,32.2375,41.2512,UP,1
2000-12-29,35.5,34.438,39.5024,32.9125,41.1437,DOWN,0
2001-01-02,34.438,35.375,39.4989,33.4375,41.0325,DOWN,0
2001-01-03,33.5,35.0,39.4968,33.8375,40.9087,DOWN,0
2001-01-04,32.0,33.5,39.4746,33.775,40.7612,UP,1
2001-01-05,32.25,32.75,39.4621,33.5375,40.5837,UP,1
2001-01-08,33.188,32.563,39.4502,33.075,40.3837,UP,1
2001-01-09,33.25,32.938,39.4514,32.8375,40.1987,UP,1
2001-01-10,34.0,33.625,39.4693,32.9375,40.0237,DOWN,0
2001-01-11,32.688,33.813,39.4758,33.075,39.7887,UP,1
2001-01-12,33.5,32.688,39.483,33.325,39.5662,DOWN,0
2001-01-16,33.063,33.5,39.4858,33.3,39.3287,DOWN,0
2001-01-17,32.938,33.063,39.4855,33.2375,39.0925,UP,1
2001-01-18,33.313,32.938,39.4793,33.1,38.87,UP,1
2001-01-19,33.5,33.5,39.4696,33.2625,38.6525,UP,1
2001-01-22,33.875,33.5,39.4614,33.3375,38.435,DOWN,0
2001-01-23,33.75,33.875,39.4574,33.475,38.205,DOWN,0
2001-01-24,33.125,33.25,39.4449,33.5125,37.9425,UP,1
2001-01-25,33.375,33.188,39.4318,33.525,37.69,DOWN,0
2001-01-26,32.813,33.375,39.4093,33.3875,37.4362,DOWN,0
2001-01-29,32.81,32.75,39.373,33.1745,37.1812,UP,1
2001-01-30,33.15,32.71,39.3366,33.0545,36.9179,UP,1
2001-01-31,33.75,33.6,39.3259,33.1795,36.6854,UP,1
2001-02-01,35.75,33.75,39.3016,33.6545,36.4792,DOWN,0
2001-02-02,34.77,36.0,39.2845,34.046,36.2396,UP,1
2001-02-05,35.19,35.15,39.2785,34.522,36.0021,UP,1
2001-02-06,35.3,34.8,39.2694,34.952,35.7494,UP,1
2001-02-07,36.45,35.8,39.2617,35.492,35.5384,UP,1
2001-02-08,37.06,36.7,39.2607,35.754,35.3633,DOWN,0
2001-02-09,36.2,36.71,39.2677,36.04,35.1786,UP,1
2001-02-12,36.27,36.4,39.2612,36.256,35.0077,UP,1
2001-02-13,36.29,36.26,39.2589,36.454,34.8398,DOWN,0
2001-02-14,36.21,36.39,39.2556,36.406,34.6902,UP,1
2001-02-15,36.62,36.21,39.2574,36.318,34.5576,DOWN,0
2001-02-16,36.61,36.75,39.2623,36.4,34.4723,UP,1
2001-02-20,36.68,36.25,39.2651,36.482,34.4297,DOWN,0
2001-02-21,36.61,36.78,39.2654,36.546,34.3419,DOWN,0
2001-02-22,35.86,36.36,39.2581,36.476,34.2366,DOWN,0
2001-02-23,35.69,35.81,39.2419,36.29,34.1516,UP,1
2001-02-26,35.89,35.6,39.2235,36.146,34.0794,UP,1
2001-02-27,36.17,36.1,39.1984,36.044,34.0528,DOWN,0
2001-02-28,35.96,36.65,39.1798,35.914,34.092,DOWN,0
2001-03-01,35.03,35.9,39.1574,35.748,34.1914,UP,1
