ticker,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-09-17,33.675,33.875,29.6654,33.6195,34.0203,DOWN,0
2012-09-18,32.8825,33.64,29.7144,33.569,34.0091,DOWN,0
2012-09-19,32.85,32.935,29.7632,33.47,33.9973,UP,1
2012-09-20,33.53,32.84,29.8142,33.3915,34.0007,DOWN,0
2012-09-21,32.955,33.575,29.8627,33.1785,33.9834,DOWN,0
2012-09-24,32.925,32.635,29.911,33.0285,33.9598,DOWN,0
2012-09-25,32.3658,33.07,29.9574,32.9252,33.922,UP,1
2012-09-26,32.385,32.31,30.0024,32.8322,33.8774,UP,1
2012-09-27,32.4525,32.4,30.0477,32.6167,33.8342,DOWN,0
2012-09-28,32.295,31.855,30.0931,32.4847,33.7947,UP,1
2012-10-01,33.075,32.275,30.1424,32.5147,33.7821,DOWN,0
2012-10-02,32.9725,33.355,30.1913,32.636,33.7725,UP,1
2012-10-03,33.3425,33.085,30.2405,32.8275,33.7752,DOWN,0
2012-10-04,32.7,33.45,30.2884,32.877,33.7625,UP,1
2012-10-05,33.05,32.99,30.334,33.028,33.7583,DOWN,0
2012-10-08,32.635,32.9,30.3776,32.94,33.7384,DOWN,0
2012-10-09,31.89,32.5,30.4179,32.7235,33.705,UP,1
2012-10-10,32.09,31.88,30.4578,32.473,33.6824,DOWN,0
2012-10-11,31.085,32.325,30.4908,32.15,33.643,DOWN,0
2012-10-12,30.865,31.125,30.5239,31.713,33.5976,UP,1
2012-10-15,31.14,30.865,30.5582,31.414,33.5392,UP,1
2012-10-16,31.515,30.9,30.5969,31.339,33.4913,DOWN,0
2012-10-17,30.905,31.515,30.6332,31.102,33.4284,UP,1
2012-10-18,31.31,31.005,30.6707,31.147,33.3717,DOWN,0
2012-10-19,30.94,31.32,30.6994,31.162,33.3126,DOWN,0
2012-10-22,30.16,30.795,30.7233,30.966,33.2442,UP,1
2012-10-23,30.675,29.845,30.7508,30.798,33.1809,DOWN,0
2012-10-24,30.5,30.805,30.7775,30.717,33.1155,DOWN,0
2012-10-25,30.325,30.605,30.8024,30.52,33.037,UP,1
2012-10-26,30.46,30.45,30.8268,30.424,32.9616,UP,1
2012-10-31,30.475,30.4,30.8513,30.487,32.8764,DOWN,0
2012-11-01,28.565,29.875,30.865,30.065,32.7507,DOWN,0
2012-11-02,28.435,28.745,30.8784,29.652,32.6233,UP,1
2012-11-05,28.915,28.5,30.8952,29.37,32.5041,DOWN,0
2012-11-06,28.675,28.875,30.9097,29.013,32.3858,DOWN,0
2012-11-07,28.13,28.405,30.9211,28.544,32.2495,DOWN,0
2012-11-08,27.835,28.045,30.9302,28.398,32.1096,DOWN,0
