ticker,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-12-12,45.1446,45.0526,45.1379,43.4529,,DOWN,0
2016-12-13,45.0275,45.3871,45.1128,43.494,,UP,1
2016-12-14,45.362,45.061,45.1145,43.5515,,UP,1
2016-12-15,45.8303,45.3286,45.3035,43.6163,,UP,1
2016-12-16,45.847,45.8721,45.4423,43.6853,,UP,1
2016-12-19,45.9557,45.8303,45.6045,43.7694,,UP,1
2016-12-20,46.0309,46.1898,45.8052,43.8547,,DOWN,0
2016-12-21,45.2533,45.964,45.7834,43.9367,,DOWN,0
2016-12-22,45.2282,45.2533,45.663,44.022,,UP,1
2016-12-23,45.5794,45.4289,45.6095,44.1171,,DOWN,0
2016-12-27,45.5376,45.7801,45.5259,44.2007,,DOWN,0
2016-12-28,44.9439,45.7048,45.3085,44.2792,,UP,1
2016-12-29,45.1613,45.1446,45.2901,44.3614,,DOWN,0
2016-12-30,44.8436,45.3202,45.2132,44.4324,,UP,1
2017-01-03,44.9272,45.061,45.0827,44.5165,,UP,1
2017-01-04,45.362,45.2533,45.0476,44.6098,,DOWN,0
2017-01-05,45.1028,45.4289,45.0794,44.6999,,DOWN,0
2017-01-06,45.0443,45.0693,45.056,44.7994,,DOWN,0
2017-01-09,44.9272,45.1697,45.0727,44.8991,,UP,1
2017-01-10,44.9857,44.9272,45.0844,45.0046,,DOWN,0
2017-01-11,44.8687,44.969,44.9857,45.0623,,UP,1
2017-01-12,44.877,44.7098,44.9406,45.1061,,UP,1
2017-01-13,45.7885,45.4874,45.0894,45.1775,,DOWN,0
2017-01-17,45.2617,45.5209,45.1563,45.2413,,UP,1
2017-01-18,45.27,45.2449,45.2132,45.2941,,UP,1
2017-01-19,45.3787,45.3453,45.3152,45.347,,UP,1
2017-01-20,45.5878,45.5042,45.4573,45.3926,,DOWN,0
2017-01-23,45.2449,45.4205,45.3486,45.417,,UP,1
2017-01-24,45.7383,45.4122,45.4439,45.4378,,UP,1
2017-01-25,46.1313,45.939,45.6162,45.454,,UP,1
2017-01-26,46.5661,45.9891,45.8537,45.4923,,UP,1
2017-01-27,46.7668,46.5995,46.0895,45.5276,,DOWN,0
2017-01-30,46.357,46.7668,46.3119,45.5496,,DOWN,0
2017-01-31,46.2483,46.1898,46.4139,45.5642,,DOWN,0
2017-02-01,46.0978,46.3821,46.4072,45.5747,,UP,1
2017-02-02,46.1647,45.8219,46.3269,45.5844,,UP,1
2017-02-03,46.842,46.4574,46.342,45.6043,,DOWN,0
2017-02-06,46.6664,46.5744,46.4039,45.6117,,DOWN,0
2017-02-07,46.5243,46.8253,46.4591,45.609,,UP,1
2017-02-08,46.9758,45.964,46.6347,45.6125,,UP,1
2017-02-09,47.6782,46.9591,46.9373,45.6364,,UP,1
2017-02-10,47.7869,47.8203,47.1263,45.6677,,UP,1
2017-02-13,48.1046,48.0461,47.414,45.7102,,DOWN,0
2017-02-14,47.904,48.0795,47.6899,45.762,,UP,1
2017-02-15,48.1464,47.8621,47.924,45.8139,,DOWN,0
2017-02-16,47.9876,48.2133,47.9859,45.8721,,UP,1
2017-02-17,48.2384,48.0043,48.0762,45.9338,,UP,1
2017-02-21,48.6063,48.2384,48.1765,45.9988,,DOWN,0
2017-02-22,48.2384,48.3053,48.2434,46.0659,,DOWN,0
2017-02-23,47.8789,48.506,48.1899,46.1204,,UP,1
2017-02-24,48.322,47.7367,48.2568,46.184,,DOWN,0
2017-02-27,48.205,48.1966,48.2501,46.2475,,DOWN,0
2017-02-28,48.205,48.2217,48.1699,46.3044,,UP,1
2017-03-01,49.2585,48.6816,48.3739,46.3729,,DOWN,0
