ticker,ABC US Equity,ABC US Equity,ABC US Equity,ABC US Equity,ABC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2014-09-12,77.1,77.35,70.3669,77.748,75.8444,DOWN,0
2014-09-15,76.84,76.99,70.398,77.45,75.9166,UP,1
2014-09-16,77.11,76.47,70.4311,77.272,75.9986,DOWN,0
2014-09-17,76.53,77.25,70.4611,76.986,76.0718,UP,1
2014-09-18,77.13,76.81,70.4923,76.942,76.1548,UP,1
2014-09-19,77.33,77.47,70.5261,76.988,76.243,DOWN,0
2014-09-22,77.18,77.35,70.5647,77.056,76.327,DOWN,0
2014-09-23,76.79,76.72,70.6029,76.992,76.4008,UP,1
2014-09-24,78.04,76.92,70.6417,77.294,76.5076,DOWN,0
2014-09-25,77.49,77.71,70.676,77.366,76.598,DOWN,0
2014-09-26,77.42,77.41,70.7142,77.384,76.6924,UP,1
2014-09-29,77.63,77.05,70.7584,77.474,76.7838,DOWN,0
2014-09-30,77.3,77.65,70.801,77.576,76.875,DOWN,0
2014-10-01,76.69,78.21,70.8422,77.306,76.9344,UP,1
2014-10-02,76.87,76.61,70.8843,77.182,76.9906,UP,1
2014-10-03,77.89,77.11,70.932,77.276,77.021,DOWN,0
2014-10-06,77.52,78.07,70.9716,77.254,77.0356,DOWN,0
2014-10-07,76.5,77.2,71.0059,77.094,77.0176,UP,1
2014-10-08,77.89,76.37,71.0463,77.334,77.023,DOWN,0
2014-10-09,77.2,77.89,71.0821,77.4,77.008,DOWN,0
2014-10-10,76.9,77.35,71.1159,77.202,77.0078,DOWN,0
2014-10-13,75.84,76.94,71.1436,76.866,76.9786,UP,1
2014-10-14,76.63,76.25,71.1757,76.892,76.9554,DOWN,0
2014-10-15,76.02,75.79,71.2039,76.518,76.9348,DOWN,0
2014-10-16,75.02,75.38,71.2275,76.082,76.9146,UP,1
2014-10-17,75.84,75.47,71.2572,75.87,76.9322,DOWN,0
2014-10-20,75.49,75.87,71.285,75.8,76.9334,UP,1
2014-10-21,76.62,76.2,71.3196,75.798,76.948,UP,1
2014-10-22,76.63,76.9,71.3505,75.92,76.9642,UP,1
2014-10-23,77.44,77.32,71.382,76.404,76.9902,UP,1
2014-10-24,78.28,77.71,71.4165,76.892,77.0234,UP,1
2014-10-27,79.45,78.34,71.4571,77.684,77.0858,UP,1
2014-10-28,79.65,79.98,71.5023,78.29,77.1468,UP,1
2014-10-29,79.74,79.58,71.5483,78.912,77.203,UP,1
2014-10-30,84.84,81.68,71.6197,80.392,77.3626,UP,1
2014-10-31,85.41,85.06,71.6943,81.818,77.5322,UP,1
2014-11-03,86.9,85.81,71.7761,83.308,77.7382,UP,1
2014-11-04,88.19,86.63,71.8645,85.016,77.9636,DOWN,0
2014-11-05,87.81,88.83,71.9521,86.63,78.1854,DOWN,0
2014-11-06,87.4,87.96,72.0409,87.142,78.406,DOWN,0
2014-11-07,86.73,87.8,72.1383,87.406,78.6062,UP,1
2014-11-10,87.71,87.02,72.2428,87.568,78.8126,UP,1
2014-11-11,87.93,87.71,72.3439,87.516,79.0282,UP,1
2014-11-12,88.71,87.95,72.4511,87.696,79.2552,UP,1
2014-11-13,89.08,88.54,72.5577,88.032,79.4898,DOWN,0
2014-11-14,88.83,88.87,72.6657,88.452,79.7036,UP,1
2014-11-17,89.01,88.83,72.7849,88.712,79.9172,UP,1
2014-11-18,89.76,89.0,72.9087,89.078,80.1524,DOWN,0
2014-11-19,89.32,89.44,73.0317,89.2,80.3796,DOWN,0
2014-11-20,88.9,89.19,73.1486,89.164,80.6106,DOWN,0
2014-11-21,88.74,89.0,73.2596,89.146,80.8434,UP,1
2014-11-24,90.04,89.21,73.378,89.352,81.1074,UP,1
2014-11-25,90.32,90.04,73.4918,89.464,81.3716,DOWN,0
2014-11-26,90.09,90.22,73.6035,89.618,81.6428,UP,1
2014-11-28,91.05,90.49,73.7193,90.048,81.9212,DOWN,0
2014-12-01,90.84,90.64,73.8335,90.468,82.1914,UP,1
2014-12-02,92.04,90.93,73.9512,90.868,82.4886,DOWN,0
2014-12-03,91.99,91.99,74.0706,91.202,82.7926,DOWN,0
2014-12-04,91.95,91.87,74.1884,91.574,83.0708,UP,1
2014-12-05,92.21,92.38,74.3075,91.806,83.3652,UP,1
2014-12-08,92.56,92.01,74.4274,92.15,83.668,DOWN,0
2014-12-09,92.09,91.45,74.5442,92.16,83.9572,DOWN,0
2014-12-10,90.92,91.92,74.6575,91.946,84.2296,UP,1
2014-12-11,92.55,91.93,74.7802,92.066,84.5468,DOWN,0
2014-12-12,90.98,91.88,74.8959,91.82,84.829,DOWN,0
2014-12-15,90.69,91.55,75.0118,91.446,85.085,DOWN,0
2014-12-16,89.43,90.19,75.1152,90.914,85.3232,UP,1
2014-12-17,90.56,89.82,75.2235,90.842,85.6044,UP,1
2014-12-18,91.28,91.12,75.3362,90.588,85.8722,UP,1
2014-12-19,91.68,92.04,75.4499,90.728,86.1618,UP,1
2014-12-22,91.94,92.26,75.5641,90.978,86.4626,DOWN,0
2014-12-23,91.42,92.4,75.6795,91.376,86.7742,UP,1
2014-12-24,91.6,91.65,75.7991,91.584,87.0736,DOWN,0
2014-12-26,91.51,91.54,75.9177,91.63,87.3834,UP,1
2014-12-29,91.63,91.26,76.038,91.62,87.7156,DOWN,0
2014-12-30,91.28,91.47,76.154,91.488,88.0244,DOWN,0
2014-12-31,90.16,91.57,76.2655,91.236,88.3178,UP,1
2015-01-02,90.46,90.61,76.3835,91.008,88.5946,DOWN,0
2015-01-05,89.69,90.07,76.4995,90.644,88.8558,UP,1
2015-01-06,90.18,90.14,76.6263,90.354,89.1106,UP,1
2015-01-07,91.98,90.98,76.7646,90.494,89.3846,UP,1
2015-01-08,92.19,91.74,76.9028,90.9,89.6394,UP,1
2015-01-09,93.0,92.44,77.0435,91.408,89.9064,DOWN,0
2015-01-12,90.93,93.77,77.1776,91.656,90.1302,UP,1
2015-01-13,91.64,91.87,77.3117,91.948,90.2662,UP,1
2015-01-14,92.1,91.42,77.4443,91.972,90.4,DOWN,0
2015-01-15,91.4,92.15,77.5717,91.814,90.49,UP,1
2015-01-16,92.42,91.14,77.7059,91.698,90.5746,UP,1
2015-01-20,92.44,93.01,77.8391,92.0,90.6672,UP,1
2015-01-21,92.78,92.38,77.9778,92.228,90.7748,UP,1
2015-01-22,94.15,93.23,78.1276,92.638,90.9232,UP,1
2015-01-23,94.73,94.38,78.2804,93.304,91.0636,UP,1
2015-01-26,95.85,94.85,78.4315,93.99,91.222,UP,1
2015-01-27,95.92,95.17,78.5861,94.686,91.3662,UP,1
2015-01-28,96.37,98.8,78.7471,95.404,91.512,DOWN,0
2015-01-29,96.34,96.87,78.9062,95.842,91.6622,DOWN,0
2015-01-30,95.05,96.18,79.0604,95.906,91.783,UP,1
2015-02-02,95.15,95.57,79.2114,95.766,91.8908,UP,1
2015-02-03,95.64,95.67,79.3662,95.71,92.0172,UP,1
2015-02-04,95.87,95.62,79.5215,95.61,92.1566,UP,1
2015-02-05,96.34,96.27,79.6798,95.61,92.3086,UP,1
2015-02-06,97.04,96.95,79.8408,96.008,92.4486,DOWN,0
2015-02-09,95.56,96.97,79.9942,96.09,92.5534,UP,1
2015-02-10,96.91,96.34,80.1646,96.344,92.6898,UP,1
2015-02-11,98.74,97.01,80.341,96.918,92.8436,UP,1
2015-02-12,99.83,98.83,80.5202,97.616,93.0234,UP,1
2015-02-13,100.34,99.68,80.696,98.276,93.1894,UP,1
2015-02-17,100.6,100.21,80.8747,99.284,93.3616,UP,1
2015-02-18,100.66,100.21,81.0566,100.034,93.5358,UP,1
2015-02-19,101.01,100.52,81.2362,100.488,93.7118,UP,1
2015-02-20,101.98,101.02,81.4222,100.918,93.9002,UP,1
2015-02-23,102.76,101.98,81.6133,101.402,94.1136,UP,1
2015-02-24,102.97,102.76,81.8062,101.876,94.3546,UP,1
2015-02-25,103.29,102.97,81.9947,102.402,94.5694,DOWN,0
2015-02-26,102.98,102.93,82.1763,102.796,94.8094,DOWN,0
