ticker,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-05-31,29.25,28.5625,25.6706,28.4375,24.1575,DOWN,0
2000-06-01,28.5,29.125,25.6684,28.525,24.33,UP,1
2000-06-02,29.3125,30.25,25.6712,28.7875,24.5313,DOWN,0
2000-06-05,28.4375,29.125,25.6671,28.8125,24.7063,UP,1
2000-06-06,29.0,28.3125,25.6618,28.9,24.8888,UP,1
2000-06-07,30.0,29.25,25.6609,29.05,25.0888,DOWN,0
2000-06-08,29.5625,29.9375,25.6584,29.2625,25.28,UP,1
2000-06-09,30.0625,29.625,25.6549,29.4125,25.4738,UP,1
2000-06-12,30.5,30.125,25.6562,29.825,25.69,UP,1
2000-06-13,30.75,30.6875,25.6603,30.175,25.9013,DOWN,0
2000-06-14,29.875,30.625,25.6599,30.15,26.0963,UP,1
2000-06-15,30.5,30.125,25.6634,30.3375,26.2925,DOWN,0
2000-06-16,30.0,30.5625,25.6634,30.325,26.46,DOWN,0
2000-06-19,29.375,30.0,25.6618,30.1,26.6338,UP,1
2000-06-20,29.5,29.375,25.659,29.85,26.8138,UP,1
2000-06-21,29.9375,29.625,25.6615,29.8625,26.99,DOWN,0
2000-06-22,29.3125,30.0,25.6615,29.625,27.1375,DOWN,0
2000-06-23,28.875,29.4375,25.6565,29.4,27.2688,UP,1
2000-06-26,29.4375,29.0,25.6528,29.4125,27.3863,DOWN,0
2000-06-27,28.0,29.375,25.6431,29.1125,27.4875,UP,1
2000-06-28,28.5234,28.125,25.6347,28.8297,27.5942,DOWN,0
2000-06-29,27.75,28.5,25.6207,28.5172,27.6892,DOWN,0
2000-06-30,27.1875,27.875,25.6038,28.1797,27.778,UP,1
2000-07-03,27.9375,27.1875,25.5888,27.8797,27.8705,DOWN,0
2000-07-05,27.75,28.0625,25.5744,27.8297,27.9292,UP,1
2000-07-06,27.9375,27.6875,25.5619,27.7125,27.9805,DOWN,0
2000-07-07,27.875,27.9375,25.5485,27.7375,27.9955,UP,1
2000-07-10,28.9375,28.0,25.5422,28.0875,28.058,DOWN,0
2000-07-11,28.875,28.875,25.5366,28.275,28.1267,UP,1
2000-07-12,29.1875,29.4375,25.5372,28.5625,28.1942,UP,1
2000-07-13,29.4375,29.4375,25.5404,28.8625,28.2755,DOWN,0
2000-07-14,29.125,30.0,25.5451,29.1125,28.3505,UP,1
2000-07-17,30.0,29.25,25.5504,29.325,28.4317,UP,1
2000-07-18,30.3125,30.0625,25.5566,29.6125,28.5217,UP,1
2000-07-19,30.5625,30.4375,25.5613,29.8875,28.598,UP,1
2000-07-20,30.6875,30.75,25.5707,30.1375,28.6755,DOWN,0
2000-07-21,30.4375,30.875,25.5782,30.4,28.733,DOWN,0
2000-07-24,30.1875,30.375,25.5869,30.4375,28.7867,UP,1
2000-07-25,30.3125,30.3125,25.5957,30.4375,28.858,DOWN,0
2000-07-26,29.9375,30.1875,25.6057,30.3125,28.9267,UP,1
2000-07-27,30.3125,29.9375,25.6179,30.2375,29.0017,DOWN,0
2000-07-28,30.3125,30.3125,25.6282,30.2125,29.0942,DOWN,0
2000-07-31,27.125,28.0,25.621,29.6,29.1105,UP,1
2000-08-01,30.0,27.375,25.6288,29.5375,29.1717,UP,1
2000-08-02,30.5,30.0,25.6363,29.65,29.2355,UP,1
2000-08-03,30.6406,30.75,25.6479,29.7156,29.2995,UP,1
2000-08-04,30.6875,30.5,25.6573,29.7906,29.352,UP,1
2000-08-07,31.2656,30.5625,25.6708,30.6188,29.4173,DOWN,0
2000-08-08,31.1875,31.1875,25.6833,30.8563,29.4748,DOWN,0
2000-08-09,30.4844,30.9375,25.6911,30.8531,29.5133,UP,1
2000-08-10,30.8281,30.4375,25.7002,30.8906,29.5448,UP,1
2000-08-11,31.1406,30.9375,25.7084,30.9813,29.5977,DOWN,0
2000-08-14,31.0,31.125,25.7134,30.9281,29.6314,UP,1
2000-08-15,31.25,31.375,25.72,30.9406,29.6877,UP,1
2000-08-16,31.9571,31.125,25.7313,31.2352,29.7468,DOWN,0
2000-08-17,31.75,31.875,25.7404,31.4195,29.7818,UP,1
2000-08-18,31.8125,31.6875,25.751,31.5539,29.8268,UP,1
2000-08-21,32.0,31.8125,25.766,31.7539,29.8655,DOWN,0
2000-08-22,31.8125,32.0,25.7785,31.8664,29.8918,UP,1
2000-08-23,32.1875,31.8125,25.7948,31.9125,29.9205,DOWN,0
2000-08-24,31.5,32.1875,25.8076,31.8625,29.953,DOWN,0
2000-08-25,31.0,31.5625,25.821,31.7,29.963,DOWN,0
2000-08-28,31.0,31.0,25.8366,31.5,29.983,DOWN,0
2000-08-29,30.5625,31.0,25.8501,31.25,30.0068,UP,1
2000-08-30,30.6875,30.75,25.8648,30.95,30.0305,DOWN,0
2000-08-31,30.4571,30.625,25.8786,30.7414,30.0409,UP,1
2000-09-01,31.2696,30.75,25.8971,30.7953,30.0801,UP,1
2000-09-05,31.875,31.875,25.9196,30.9703,30.1401,UP,1
2000-09-06,33.1875,32.0,25.949,31.4953,30.2151,UP,1
2000-09-07,33.625,33.1875,25.9821,32.0828,30.3276,UP,1
2000-09-08,34.2734,33.625,26.0194,32.8461,30.4426,UP,1
2000-09-11,34.7696,34.125,26.0573,33.5461,30.583,UP,1
2000-09-12,35.5,35.875,26.1002,34.2711,30.7492,UP,1
2000-09-13,35.75,35.9375,26.1442,34.7836,30.9055,UP,1
2000-09-14,36.125,36.125,26.187,35.2836,31.073,UP,1
2000-09-15,37.7696,36.375,26.2394,35.9828,31.2696,UP,1
2000-09-18,37.918,37.75,26.2943,36.6125,31.4705,DOWN,0
2000-09-19,36.75,38.0,26.3427,36.8625,31.6267,DOWN,0
2000-09-20,36.3125,36.5625,26.3915,36.975,31.7755,DOWN,0
2000-09-21,35.1875,36.375,26.4371,36.7875,31.8955,UP,1
2000-09-22,35.4375,35.3125,26.4862,36.3211,32.0155,DOWN,0
2000-09-25,34.9375,35.4375,26.5355,35.725,32.1317,UP,1
2000-09-26,35.8125,35.0,26.5905,35.5375,32.248,UP,1
2000-09-27,36.1446,35.6875,26.6519,35.5039,32.3646,DOWN,0
2000-09-28,36.0625,36.3125,26.7085,35.6789,32.4746,UP,1
2000-09-29,37.2696,36.125,26.7698,36.0453,32.6063,UP,1
2000-10-02,39.875,37.625,26.8423,37.0328,32.795,DOWN,0
2000-10-03,36.0,39.9375,26.8951,37.0703,32.9113,DOWN,0
2000-10-04,35.25,36.4375,26.9439,36.8914,33.01,DOWN,0
2000-10-05,34.3125,35.3125,26.9867,36.5414,33.0975,UP,1
