ticker,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-07-21,106.6,108.44,103.792,95.5184,66.1938,DOWN,0
2020-07-22,103.71,106.6,103.904,96.068,66.3931,DOWN,0
2020-07-23,101.46,104.56,103.984,96.5742,66.5565,DOWN,0
2020-07-24,100.03,99.1,103.704,97.0434,66.7302,UP,1
2020-07-27,103.6,101.32,103.08,97.5726,66.9328,UP,1
2020-07-28,105.73,104.4,102.906,98.1444,67.1544,UP,1
2020-07-29,112.92,107.61,104.748,98.8808,67.4176,DOWN,0
2020-07-30,111.91,111.0,106.838,99.548,67.7046,UP,1
2020-07-31,113.2,112.91,109.472,100.1926,67.9945,UP,1
2020-08-03,115.48,114.48,111.848,100.8902,68.3118,DOWN,0
2020-08-04,114.96,115.56,113.694,101.545,68.6344,DOWN,0
2020-08-05,114.75,114.97,114.06,102.253,68.9729,DOWN,0
2020-08-06,110.3,114.56,113.738,102.8992,69.2874,DOWN,0
2020-08-07,101.75,107.2,111.448,103.3442,69.5652,DOWN,0
2020-08-10,97.0,102.81,107.752,103.528,69.8108,UP,1
2020-08-11,98.16,97.1,104.392,103.5944,70.0424,UP,1
2020-08-12,98.45,98.61,101.132,103.7184,70.2841,UP,1
2020-08-13,100.89,99.44,99.25,103.7742,70.5488,UP,1
2020-08-14,101.25,103.21,99.15,103.8796,70.8161,UP,1
2020-08-17,105.34,102.01,100.818,104.1078,71.0856,UP,1
2020-08-18,107.1,106.52,102.606,104.3412,71.3715,UP,1
2020-08-19,108.15,107.65,104.546,104.6262,71.6698,UP,1
2020-08-20,112.49,107.55,106.866,104.9316,71.984,DOWN,0
2020-08-21,112.02,112.0,109.02,105.2712,72.3006,DOWN,0
2020-08-24,111.245,113.4,110.201,105.6337,72.6176,UP,1
2020-08-25,113.57,110.3,111.495,105.9247,72.958,UP,1
2020-08-26,117.11,115.01,113.287,106.2461,73.3075,UP,1
2020-08-27,117.13,117.4,114.215,106.6149,73.6621,UP,1
2020-08-28,118.64,118.2598,115.539,106.9555,74.0201,UP,1
2020-08-31,125.73,120.0,118.436,107.4485,74.3887,UP,1
2020-09-01,143.69,134.44,124.46,108.2219,74.8435,DOWN,0
2020-09-02,142.07,152.04,129.452,108.9779,75.2551,DOWN,0
2020-09-03,129.25,131.0,131.876,109.4889,75.616,DOWN,0
2020-09-04,125.19,125.28,133.186,109.8785,75.962,UP,1
2020-09-08,125.63,118.86,133.166,110.4153,76.3157,UP,1
2020-09-09,128.18,129.611,130.064,111.0169,76.6878,UP,1
2020-09-10,129.35,130.28,127.52,111.5981,77.0635,DOWN,0
2020-09-11,126.28,131.12,126.926,112.0647,77.4157,UP,1
2020-09-14,128.5,127.78,127.588,112.4893,77.7803,UP,1
2020-09-15,131.45,130.6514,128.752,112.9905,78.1561,DOWN,0
2020-09-16,131.15,132.0,129.346,113.4851,78.5219,DOWN,0
2020-09-17,128.58,127.48,129.192,113.7657,78.8897,UP,1
2020-09-18,131.43,130.22,130.222,114.0451,79.26,UP,1
2020-09-21,138.13,127.25,132.148,114.4747,79.6758,UP,1
2020-09-22,142.68,138.52,134.394,115.2041,80.1244,DOWN,0
2020-09-23,138.6,141.0,135.884,115.8639,80.563,DOWN,0
2020-09-24,133.9,137.12,136.948,116.4789,80.9875,UP,1
2020-09-25,136.39,135.8,137.94,117.1855,81.4317,UP,1
2020-09-28,137.43,137.82,137.8,117.9055,81.8802,DOWN,0
2020-09-29,136.35,137.7,136.534,118.4981,82.3254,UP,1
2020-09-30,137.32,135.31,136.278,119.1125,82.765,UP,1
2020-10-01,142.87,139.5,138.072,119.8957,83.2321,DOWN,0
2020-10-02,139.87,139.73,138.768,120.6639,83.6895,UP,1
2020-10-05,144.88,143.81,140.258,121.5609,84.1632,UP,1
2020-10-06,145.13,146.0,142.014,122.3915,84.6415,DOWN,0
2020-10-07,144.57,146.0,143.464,123.1683,85.1169,DOWN,0
2020-10-08,142.97,146.45,143.484,123.7693,85.5925,UP,1
2020-10-09,143.57,144.1,144.224,124.4025,86.0716,UP,1
2020-10-12,145.96,146.5,144.44,125.0577,86.5512,UP,1
2020-10-13,152.8,147.08,145.974,125.8041,87.0706,DOWN,0
2020-10-14,147.79,153.6,146.618,126.4607,87.5594,DOWN,0
