ticker,PANW US Equity,PANW US Equity,PANW US Equity,PANW US Equity,PANW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-11-12,83.987,84.017,83.3093,80.7689,74.9808,UP,1
2020-11-13,86.233,84.413,83.8873,80.8789,75.0207,UP,1
2020-11-16,92.833,89.897,85.6453,81.1645,75.0916,UP,1
2020-11-17,97.903,92.83,89.0447,81.5631,75.1808,DOWN,0
2020-11-18,93.713,96.667,90.934,81.848,75.2466,UP,1
2020-11-19,95.84,93.833,93.3047,82.1851,75.3156,UP,1
2020-11-20,97.337,96.0,95.5253,82.5122,75.3926,UP,1
2020-11-23,98.68,97.83,96.6947,82.8476,75.4735,UP,1
2020-11-24,99.057,98.933,96.9253,83.1749,75.5574,UP,1
2020-11-25,99.097,99.103,98.002,83.511,75.645,DOWN,0
2020-11-27,98.437,99.097,98.5213,83.8702,75.7278,DOWN,0
2020-11-30,97.973,98.343,98.6487,84.219,75.8056,UP,1
2020-12-01,98.277,98.983,98.568,84.5671,75.8816,DOWN,0
2020-12-02,97.743,97.857,98.3053,84.8787,75.9558,UP,1
2020-12-03,98.877,97.9,98.2613,85.262,76.035,UP,1
2020-12-04,101.43,99.667,98.86,85.704,76.1371,DOWN,0
2020-12-07,100.963,101.333,99.458,86.109,76.2464,UP,1
2020-12-08,103.407,101.15,100.484,86.5375,76.4352,DOWN,0
2020-12-09,100.717,102.197,101.0787,86.9086,76.6228,UP,1
2020-12-10,102.623,100.467,101.828,87.3294,76.8233,UP,1
2020-12-11,103.31,102.667,102.204,87.7254,77.0322,UP,1
2020-12-14,104.76,103.567,102.9633,88.1862,77.2405,UP,1
2020-12-15,105.817,105.6,103.4453,88.6447,77.4662,UP,1
2020-12-16,107.777,107.657,104.8573,89.152,77.6952,UP,1
2020-12-17,110.467,108.17,106.426,89.6883,77.9458,UP,1
2020-12-18,118.51,113.827,109.466,90.3951,78.2447,UP,1
2020-12-21,118.673,117.167,112.2487,91.0851,78.5735,UP,1
2020-12-22,124.02,119.363,115.8893,91.8781,78.9145,DOWN,0
2020-12-23,121.607,124.997,118.6553,92.6133,79.2599,UP,1
2020-12-24,122.38,121.983,121.038,93.3535,79.6376,DOWN,0
2020-12-28,120.493,123.163,121.4347,94.0846,79.9874,DOWN,0
2020-12-29,118.733,120.49,121.4467,94.8169,80.3525,DOWN,0
2020-12-30,118.597,119.557,120.362,95.5732,80.7095,DOWN,0
2020-12-31,118.463,119.0,119.7333,96.3473,81.0809,DOWN,0
2021-01-04,117.22,118.46,118.7013,97.1193,81.4351,DOWN,0
