ticker,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-07-16,5.1213,4.9625,5.0218,4.5066,,UP,1
2001-07-17,5.275,5.1375,5.1293,4.5324,,DOWN,0
2001-07-18,5.1563,5.2438,5.148,4.5568,,DOWN,0
2001-07-19,5.115,5.1675,5.1335,4.5806,,DOWN,0
2001-07-20,5.075,5.1,5.1485,4.6026,3.6105,DOWN,0
2001-07-23,4.9013,5.075,5.1045,4.6204,3.625,DOWN,0
2001-07-24,4.7475,4.9075,4.999,4.6351,3.636,UP,1
2001-07-25,4.9688,4.6875,4.9615,4.6496,3.6486,UP,1
2001-07-26,5.1375,4.975,4.966,4.6648,3.663,DOWN,0
2001-07-27,4.85,5.1438,4.921,4.6706,3.6757,UP,1
2001-07-30,4.9,4.8813,4.9208,4.6783,3.6891,DOWN,0
2001-07-31,4.7213,4.8813,4.9155,4.6852,3.7022,DOWN,0
2001-08-01,4.55,4.715,4.8318,4.6847,3.7142,UP,1
2001-08-02,4.7188,4.5375,4.748,4.687,3.7269,DOWN,0
2001-08-03,4.6438,4.7125,4.7068,4.6893,3.7387,DOWN,0
2001-08-06,4.4563,4.6688,4.618,4.6873,3.7501,UP,1
2001-08-07,4.5075,4.4563,4.5753,4.6856,3.7619,UP,1
2001-08-08,4.5313,4.5188,4.5715,4.6861,3.774,UP,1
2001-08-09,4.6025,4.525,4.5483,4.6881,3.7865,DOWN,0
2001-08-10,4.45,4.6025,4.5095,4.6895,3.7978,DOWN,0
2001-08-13,4.375,4.45,4.4933,4.6883,3.8083,UP,1
2001-08-14,4.4938,4.4063,4.4905,4.6899,3.8194,DOWN,0
2001-08-15,4.375,4.4813,4.4593,4.6876,3.8291,UP,1
2001-08-16,4.3938,4.345,4.4175,4.688,3.8376,DOWN,0
2001-08-17,4.2063,4.3875,4.3688,4.6842,3.8441,DOWN,0
2001-08-20,4.14,4.1563,4.3218,4.6773,3.8503,UP,1
2001-08-21,4.255,4.2813,4.274,4.673,3.8566,UP,1
2001-08-22,4.375,4.27,4.274,4.6705,3.8627,UP,1
2001-08-23,4.4,4.3375,4.2753,4.6659,3.8697,UP,1
2001-08-24,4.4188,4.4,4.3177,4.665,3.8769,UP,1
2001-08-27,4.6,4.4438,4.4098,4.6696,3.8849,DOWN,0
2001-08-28,4.5013,4.5963,4.459,4.6721,3.8925,DOWN,0
2001-08-29,4.5013,4.5313,4.4842,4.674,3.8995,DOWN,0
2001-08-30,4.4875,4.5,4.5017,4.6757,3.9081,UP,1
2001-08-31,4.5375,4.5,4.5255,4.6733,3.9166,DOWN,0
2001-09-04,4.5113,4.5388,4.5078,4.672,3.9248,UP,1
2001-09-05,4.625,4.5563,4.5325,4.6735,3.9336,DOWN,0
2001-09-06,4.415,4.65,4.5153,4.6669,3.941,DOWN,0
2001-09-07,4.2688,4.3838,4.4715,4.656,3.9482,DOWN,0
2001-09-10,4.15,4.2063,4.394,4.643,3.9548,DOWN,0
2001-09-17,3.1688,2.9375,4.1255,4.6113,3.9562,DOWN,0
2001-09-18,2.875,3.1875,3.7755,4.5746,3.9562,UP,1
2001-09-19,2.8775,2.8875,3.468,4.5358,3.9558,DOWN,0
2001-09-20,2.8125,2.8625,3.1767,4.5029,3.9551,UP,1
2001-09-21,2.875,2.6563,2.9218,4.4728,3.9556,UP,1
2001-09-24,3.2,3.0625,2.928,4.4451,3.9578,DOWN,0
2001-09-25,3.1237,3.1988,2.9777,4.4128,3.9597,DOWN,0
