ticker,LH US Equity,LH US Equity,LH US Equity,LH US Equity,LH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-20,29.625,30.75,18.4415,30.4406,29.5259,DOWN,0
2000-10-23,28.234,29.609,18.5382,29.9906,29.5597,UP,1
2000-10-24,32.75,31.0,18.6582,30.3594,29.6716,DOWN,0
2000-10-25,32.219,32.5,18.7771,30.8156,29.7819,UP,1
2000-10-26,33.031,32.25,18.9001,31.1719,29.9109,DOWN,0
2000-10-27,32.25,33.438,19.0168,31.6969,30.0175,UP,1
2000-10-30,33.094,32.063,19.1377,32.6688,30.1313,UP,1
2000-10-31,33.719,33.438,19.2626,32.8625,30.2413,DOWN,0
2000-11-01,33.719,33.813,19.3874,33.1625,30.3541,DOWN,0
2000-11-02,33.5,33.5,19.5119,33.2563,30.4588,DOWN,0
2000-11-03,33.219,33.563,19.6351,33.45,30.55,UP,1
2000-11-06,33.25,32.906,19.7591,33.4813,30.645,UP,1
2000-11-07,34.75,33.313,19.8915,33.6875,30.7659,UP,1
2000-11-08,35.75,34.734,20.0288,34.0938,30.9063,DOWN,0
2000-11-09,35.469,35.813,20.1655,34.4875,31.0391,UP,1
2000-11-10,36.75,35.063,20.3071,35.1938,31.1825,DOWN,0
2000-11-13,34.25,36.75,20.4369,35.3938,31.2525,UP,1
2000-11-14,36.516,34.438,20.5781,35.7469,31.3638,UP,1
2000-11-15,36.875,36.313,20.7203,35.9719,31.4813,UP,1
2000-11-16,38.0,36.906,20.8673,36.4781,31.6178,DOWN,0
2000-11-17,37.313,38.0,21.0117,36.5906,31.735,DOWN,0
2000-11-20,35.156,37.25,21.1398,36.7719,31.8044,DOWN,0
2000-11-21,33.156,35.25,21.254,36.1,31.8306,UP,1
2000-11-22,34.016,33.156,21.3741,35.5281,31.8588,UP,1
2000-11-24,34.766,34.078,21.4995,34.8813,31.9091,DOWN,0
2000-11-27,34.25,35.0,21.6223,34.2688,31.9481,DOWN,0
2000-11-28,33.563,34.188,21.7409,33.95,32.0369,UP,1
2000-11-29,34.563,33.625,21.8637,34.2313,32.1334,UP,1
2000-11-30,35.516,34.5,21.9921,34.5313,32.2619,DOWN,0
2000-12-01,35.438,35.469,22.1201,34.6656,32.4144,UP,1
2000-12-04,37.656,35.438,22.2591,35.3469,32.6125,DOWN,0
2000-12-05,35.234,38.0,22.3861,35.6813,32.7553,DOWN,0
2000-12-06,34.969,35.313,22.5133,35.7625,32.9031,UP,1
2000-12-07,35.5,35.031,22.6439,35.7594,33.0031,UP,1
2000-12-08,36.938,35.844,22.7817,36.0594,33.1419,UP,1
2000-12-11,38.609,37.375,22.9294,36.25,33.3153,DOWN,0
2000-12-12,37.625,38.969,23.0676,36.7281,33.4378,UP,1
2000-12-13,38.656,38.094,23.2101,37.4656,33.5834,UP,1
2000-12-14,39.25,38.672,23.3532,38.2156,33.7534,UP,1
2000-12-15,39.266,39.0,23.4972,38.6813,33.9288,UP,1
2000-12-18,40.938,39.875,23.6464,39.1469,34.14,DOWN,0
2000-12-19,40.813,41.188,23.7965,39.7844,34.3916,DOWN,0
2000-12-20,40.188,40.75,23.9444,40.0906,34.6259,UP,1
2000-12-21,40.938,40.203,24.0944,40.4281,34.8634,UP,1
2000-12-22,41.484,41.422,24.2518,40.8719,35.1131,UP,1
2000-12-26,42.375,41.859,24.4113,41.1594,35.3544,UP,1
2000-12-27,44.0,42.406,24.579,41.7969,35.6247,UP,1
2000-12-28,45.0,43.75,24.7524,42.7594,35.9066,DOWN,0
2000-12-29,44.0,45.25,24.9193,43.3719,36.1878,DOWN,0
2001-01-02,37.0,43.734,25.0519,42.475,36.3028,UP,1
2001-01-03,37.938,35.875,25.1901,41.5875,36.4691,DOWN,0
2001-01-04,34.625,37.75,25.3116,39.7125,36.5969,DOWN,0
2001-01-05,33.0,34.75,25.4258,37.3125,36.6019,UP,1
2001-01-08,34.063,33.0,25.5477,35.325,36.6388,UP,1
2001-01-09,35.688,34.0,25.6769,35.0625,36.6919,UP,1
2001-01-10,36.75,35.5,25.8115,34.825,36.7819,UP,1
2001-01-11,36.906,36.5,25.946,35.2813,36.8581,DOWN,0
2001-01-12,33.734,36.938,26.0662,35.4281,36.8584,DOWN,0
2001-01-16,33.563,33.625,26.1864,35.3281,36.8553,DOWN,0
2001-01-17,32.484,33.75,26.2957,34.6875,36.835,DOWN,0
2001-01-18,31.625,32.531,26.4015,33.6625,36.8031,DOWN,0
2001-01-19,30.297,31.938,26.5006,32.3406,36.7441,UP,1
2001-01-22,31.0,30.656,26.6033,31.7938,36.6691,UP,1
2001-01-23,32.875,31.125,26.7129,31.6563,36.6116,UP,1
2001-01-24,34.75,33.0,26.8312,32.1094,36.5972,DOWN,0
2001-01-25,34.25,34.5,26.947,32.6344,36.5472,UP,1
2001-01-26,35.594,34.5,27.0687,33.6938,36.5741,DOWN,0
2001-01-29,35.075,35.875,27.1886,34.5088,36.5453,UP,1
2001-01-30,35.425,34.825,27.3111,35.0188,36.5163,DOWN,0
2001-01-31,34.055,35.675,27.429,34.8798,36.4374,DOWN,0
2001-02-01,33.915,34.625,27.5478,34.8128,36.3694,DOWN,0
2001-02-02,33.063,33.915,27.6576,34.3065,36.3275,UP,1
2001-02-05,33.288,32.875,27.7631,33.949,36.3301,UP,1
2001-02-06,33.675,33.25,27.8706,33.599,36.3233,UP,1
2001-02-07,34.128,33.5,27.9811,33.6135,36.3106,DOWN,0
2001-02-08,33.325,34.25,28.0789,33.4955,36.2921,UP,1
2001-02-09,33.625,33.125,28.1744,33.608,36.2933,UP,1
2001-02-12,34.8,33.625,28.2757,33.9105,36.2981,UP,1
2001-02-13,34.988,34.925,28.3765,34.173,36.2875,UP,1
2001-02-14,35.69,35.175,28.4768,34.4855,36.2926,DOWN,0
2001-02-15,35.225,36.5,28.5764,34.8655,36.2439,UP,1
