ticker,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-11-13,1.391,1.441,2.4063,1.5994,1.7815,UP,1
2000-11-14,1.447,1.438,2.3966,1.5194,1.7648,UP,1
2000-11-15,1.475,1.431,2.3866,1.4756,1.7484,DOWN,0
2000-11-16,1.391,1.434,2.3726,1.4413,1.7327,DOWN,0
2000-11-17,1.372,1.4,2.3598,1.415,1.7172,DOWN,0
2000-11-20,1.291,1.3,2.3475,1.395,1.7006,DOWN,0
2000-11-21,1.213,1.331,2.3328,1.3481,1.6822,UP,1
2000-11-22,1.259,1.194,2.319,1.305,1.6649,UP,1
2000-11-24,1.447,1.321,2.3072,1.3163,1.649,DOWN,0
2000-11-27,1.4,1.488,2.2951,1.3219,1.6334,DOWN,0
2000-11-28,1.252,1.3,2.2828,1.3141,1.6156,UP,1
2000-11-29,1.347,1.256,2.2711,1.3409,1.6018,DOWN,0
2000-11-30,1.234,1.238,2.2596,1.3359,1.589,DOWN,0
2000-12-01,1.231,1.247,2.2485,1.2928,1.5735,UP,1
2000-12-04,1.328,1.259,2.2389,1.2784,1.5587,DOWN,0
2000-12-05,1.269,1.356,2.2294,1.2819,1.5437,DOWN,0
2000-12-06,1.181,1.234,2.2177,1.2488,1.5275,DOWN,0
2000-12-07,1.069,1.153,2.2059,1.2156,1.511,UP,1
2000-12-08,1.172,1.166,2.1945,1.2038,1.4945,UP,1
2000-12-11,1.266,1.144,2.1844,1.1913,1.4813,UP,1
2000-12-12,1.294,1.225,2.1736,1.1963,1.4713,DOWN,0
2000-12-13,1.188,1.328,2.1631,1.1975,1.46,DOWN,0
2000-12-14,1.134,1.203,2.1531,1.2106,1.4467,UP,1
2000-12-15,1.144,1.113,2.1432,1.205,1.436,DOWN,0
2000-12-18,0.994,1.038,2.1322,1.1506,1.4243,DOWN,0
2000-12-19,0.913,1.016,2.1209,1.0744,1.4125,DOWN,0
2000-12-20,0.834,0.809,2.1092,1.0038,1.3988,DOWN,0
2000-12-21,0.759,0.819,2.0957,0.9288,1.3862,UP,1
2000-12-22,0.778,0.766,2.0829,0.8556,1.3766,UP,1
2000-12-26,0.847,0.816,2.0708,0.8263,1.3651,DOWN,0
2000-12-27,0.844,0.8,2.0586,0.8125,1.3577,UP,1
2000-12-28,0.869,0.831,2.047,0.8194,1.3531,DOWN,0
2000-12-29,0.778,0.838,2.0344,0.8231,1.3435,DOWN,0
2001-01-02,0.694,0.791,2.0216,0.8063,1.3297,UP,1
2001-01-03,0.878,0.681,2.01,0.8125,1.3164,DOWN,0
2001-01-04,0.775,0.85,1.9958,0.7988,1.3019,DOWN,0
2001-01-05,0.728,0.775,1.9817,0.7706,1.2869,UP,1
2001-01-08,0.747,0.722,1.9685,0.7644,1.27,UP,1
2001-01-09,0.819,0.728,1.9545,0.7894,1.2495,UP,1
2001-01-10,0.825,0.792,1.9403,0.7788,1.2303,UP,1
2001-01-11,0.85,0.788,1.927,0.7938,1.2145,UP,1
2001-01-12,0.884,0.867,1.9149,0.825,1.1955,UP,1
2001-01-16,0.903,0.916,1.9028,0.8563,1.1762,UP,1
2001-01-17,0.919,0.944,1.8906,0.8763,1.1548,UP,1
2001-01-18,0.975,0.919,1.8796,0.9063,1.1368,UP,1
2001-01-19,0.997,1.019,1.8686,0.9356,1.1202,DOWN,0
2001-01-22,0.925,0.975,1.8577,0.9438,1.1017,UP,1
2001-01-23,0.948,0.919,1.8464,0.9527,1.0868,UP,1
2001-01-24,1.094,0.959,1.8349,0.9877,1.0774,DOWN,0
2001-01-25,0.95,1.084,1.8238,0.9827,1.0664,UP,1
2001-01-26,0.975,0.947,1.8129,0.9783,1.058,UP,1
2001-01-29,1.006,0.956,1.8038,0.9945,1.0492,DOWN,0
2001-01-30,0.947,1.028,1.7965,0.9944,1.0387,DOWN,0
2001-01-31,0.866,0.947,1.7892,0.9488,1.0282,DOWN,0
2001-02-01,0.813,0.859,1.7815,0.9213,1.017,DOWN,0
2001-02-02,0.719,0.806,1.7713,0.87,1.0055,UP,1
2001-02-05,0.722,0.731,1.7616,0.8131,0.9957,UP,1
2001-02-06,0.791,0.691,1.7524,0.7819,0.9864,DOWN,0
2001-02-07,0.75,0.759,1.7437,0.7588,0.9724,DOWN,0
2001-02-08,0.719,0.766,1.7342,0.74,0.9588,DOWN,0
2001-02-09,0.669,0.716,1.7242,0.73,0.9471,UP,1
2001-02-12,0.725,0.706,1.7146,0.7306,0.9347,DOWN,0
2001-02-13,0.688,0.75,1.7042,0.71,0.9238,UP,1
2001-02-14,0.722,0.706,1.6928,0.7044,0.9136,UP,1
2001-02-15,0.725,0.675,1.6824,0.7056,0.9015,DOWN,0
2001-02-16,0.684,0.681,1.6723,0.7088,0.8898,DOWN,0
2001-02-20,0.625,0.681,1.6617,0.6888,0.8787,DOWN,0
2001-02-21,0.597,0.613,1.65,0.6706,0.8693,DOWN,0
2001-02-22,0.597,0.6,1.639,0.6456,0.8578,DOWN,0
2001-02-23,0.591,0.594,1.6279,0.6188,0.8443,UP,1
2001-02-26,0.597,0.603,1.6176,0.6013,0.8303,DOWN,0
2001-02-27,0.588,0.591,1.6068,0.5938,0.8183,DOWN,0
2001-02-28,0.509,0.563,1.5959,0.5763,0.8058,UP,1
2001-03-01,0.522,0.494,1.5845,0.5613,0.7934,DOWN,0
2001-03-02,0.5,0.502,1.5722,0.5431,0.7835,UP,1
2001-03-05,0.631,0.619,1.5601,0.55,0.7779,DOWN,0
2001-03-06,0.594,0.654,1.5493,0.5513,0.7731,UP,1
2001-03-07,0.613,0.597,1.5392,0.5719,0.7701,DOWN,0
2001-03-08,0.584,0.597,1.5291,0.5844,0.7663,UP,1
2001-03-09,0.613,0.572,1.5205,0.6069,0.7616,DOWN,0
2001-03-12,0.531,0.569,1.511,0.5869,0.7553,UP,1
2001-03-13,0.55,0.541,1.5024,0.5781,0.749,DOWN,0
2001-03-14,0.531,0.513,1.4934,0.5619,0.744,UP,1
2001-03-15,0.544,0.569,1.4832,0.5538,0.741,UP,1
2001-03-16,0.55,0.531,1.4739,0.5413,0.7345,DOWN,0
2001-03-19,0.525,0.559,1.464,0.54,0.7295,DOWN,0
2001-03-20,0.513,0.528,1.4521,0.5325,0.7251,DOWN,0
2001-03-21,0.5,0.519,1.4409,0.5263,0.7202,UP,1
2001-03-22,0.509,0.503,1.4308,0.5194,0.714,DOWN,0
2001-03-23,0.509,0.528,1.4204,0.5113,0.7077,UP,1
2001-03-26,0.547,0.535,1.4102,0.5157,0.7016,UP,1
2001-03-27,0.582,0.546,1.4001,0.5296,0.6956,DOWN,0
2001-03-28,0.54,0.555,1.3907,0.5376,0.6883,DOWN,0
