ticker,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-01-02,26.5497,26.9459,25.6166,26.9195,25.5934,UP,1
2001-01-03,26.6377,26.5497,25.6371,26.8931,25.6409,DOWN,0
2001-01-04,26.5497,26.6377,25.6558,26.8315,25.6849,DOWN,0
2001-01-05,26.2855,26.5937,25.6721,26.6025,25.7298,DOWN,0
2001-01-08,26.2855,26.3295,25.6864,26.4616,25.7853,DOWN,0
2001-01-09,26.1094,26.1094,25.7029,26.3736,25.8329,DOWN,0
2001-01-10,25.8892,26.1094,25.7163,26.2239,25.869,DOWN,0
2001-01-11,25.493,25.8452,25.7275,26.0125,25.8945,DOWN,0
2001-01-12,25.2728,25.3169,25.7372,25.81,25.9095,DOWN,0
2001-01-16,25.1848,25.7131,25.7449,25.5898,25.9157,DOWN,0
2001-01-17,24.9646,25.1848,25.7518,25.3609,25.9218,UP,1
2001-01-18,25.493,25.1407,25.7606,25.2816,25.9412,DOWN,0
2001-01-19,25.4489,25.4049,25.7689,25.2728,25.9588,UP,1
2001-01-22,25.6251,25.4489,25.7768,25.3433,25.9799,DOWN,0
2001-01-23,25.581,25.537,25.7848,25.4225,25.9975,DOWN,0
2001-01-24,25.537,25.581,25.7914,25.537,26.0152,DOWN,0
2001-01-25,25.493,25.537,25.7973,25.537,26.0319,DOWN,0
2001-01-26,25.493,25.493,25.8006,25.5458,26.0469,UP,1
2001-01-29,25.5722,25.4947,25.803,25.5352,26.0634,UP,1
2001-01-30,25.6356,25.5511,25.8092,25.5462,26.0786,UP,1
2001-01-31,25.6427,25.6427,25.8153,25.5673,26.0939,DOWN,0
2001-02-01,25.537,25.2763,25.8214,25.5761,26.1071,UP,1
2001-02-02,25.8611,25.4313,25.8292,25.6497,26.1198,DOWN,0
2001-02-05,25.7131,25.847,25.8362,25.6779,26.1303,DOWN,0
2001-02-06,25.5863,25.7131,25.8424,25.668,26.1384,UP,1
2001-02-07,25.6145,25.5018,25.8477,25.6624,26.147,DOWN,0
2001-02-08,25.544,25.6004,25.8536,25.6638,26.1524,DOWN,0
2001-02-09,25.4313,25.5722,25.8575,25.5779,26.152,DOWN,0
2001-02-12,25.4172,25.537,25.862,25.5187,26.1479,DOWN,0
2001-02-13,25.3961,25.3961,25.8674,25.4806,26.1354,UP,1
2001-02-14,25.4454,25.3961,25.8698,25.4468,26.1247,DOWN,0
2001-02-15,25.3609,25.4454,25.8681,25.4102,26.1098,DOWN,0
2001-02-16,25.3609,25.4313,25.8668,25.3961,26.086,DOWN,0
2001-02-20,25.3257,25.4313,25.8666,25.3778,26.058,DOWN,0
2001-02-21,25.0227,25.2552,25.866,25.3031,26.023,DOWN,0
2001-02-22,24.3535,24.8678,25.8616,25.0847,25.9774,UP,1
2001-02-23,24.7621,24.3535,25.8591,24.965,25.9381,UP,1
2001-02-26,25.6779,24.7621,25.8611,25.0284,25.9198,UP,1
2001-02-27,26.1076,25.6779,25.865,25.1848,25.9056,UP,1
2001-02-28,26.636,26.1076,25.8716,25.5074,25.9047,UP,1
2001-03-01,26.7346,26.636,25.879,25.9836,25.9014,UP,1
2001-03-02,27.1573,26.8755,25.8882,26.4627,25.8994,UP,1
2001-03-05,27.3052,27.1502,25.8985,26.7881,25.8996,DOWN,0
2001-03-06,27.1502,27.3052,25.9086,26.9967,25.8984,DOWN,0
2001-03-07,26.7698,27.1502,25.9172,27.0234,25.8966,DOWN,0
2001-03-08,26.7698,26.7698,25.9262,27.0305,25.8966,DOWN,0
2001-03-09,26.5233,26.7698,25.9355,26.9037,25.8917,DOWN,0
2001-03-12,26.3542,26.5655,25.9447,26.7135,25.8816,UP,1
2001-03-13,26.5585,26.3471,25.9546,26.5951,25.8642,DOWN,0
2001-03-14,26.0653,26.3894,25.9608,26.4542,25.8457,DOWN,0
2001-03-15,25.7483,25.7483,25.9663,26.2499,25.8297,DOWN,0
2001-03-16,25.6356,25.3609,25.9714,26.0724,25.8096,UP,1
2001-03-19,26.1006,25.6427,25.9786,26.0217,25.8006,DOWN,0
2001-03-20,26.0442,26.1006,25.9853,25.9188,25.7958,DOWN,0
2001-03-21,25.4102,26.0513,25.9884,25.7878,25.7783,DOWN,0
2001-03-22,25.0086,25.4313,25.9889,25.6399,25.7563,DOWN,0
2001-03-23,24.8678,25.0086,25.9884,25.4863,25.7359,UP,1
2001-03-26,25.5722,24.8325,25.9914,25.3806,25.7375,DOWN,0
2001-03-27,25.537,25.4313,25.9927,25.2792,25.7427,DOWN,0
2001-03-28,24.9523,25.4666,25.9913,25.1876,25.7381,UP,1
2001-03-29,25.2552,24.9734,25.9913,25.2369,25.7439,DOWN,0
2001-03-30,25.2411,25.2552,25.9891,25.3116,25.7389,UP,1
2001-04-02,25.854,25.5229,25.9903,25.3679,25.747,DOWN,0
2001-04-03,25.1495,25.7836,25.9881,25.2904,25.7375,UP,1
2001-04-04,25.2411,25.2904,25.9877,25.3482,25.7307,UP,1
2001-04-05,25.6356,25.22,25.9891,25.4243,25.7326,DOWN,0
2001-04-06,25.1848,25.6779,25.988,25.413,25.7265,DOWN,0
2001-04-09,25.0791,25.1848,25.9855,25.258,25.7182,DOWN,0
2001-04-10,24.9523,25.0791,25.9832,25.2186,25.7058,DOWN,0
2001-04-11,24.6423,25.0439,25.9794,25.0988,25.6859,DOWN,0
2001-04-12,24.5014,24.6423,25.9753,24.872,25.6631,DOWN,0
2001-04-16,24.3464,24.5014,25.9703,24.7043,25.6393,UP,1
2001-04-17,24.6564,24.4098,25.9663,24.6198,25.6152,UP,1
2001-04-18,24.8184,24.6564,25.968,24.593,25.5973,UP,1
2001-04-19,24.8325,24.8184,25.9671,24.6311,25.5822,DOWN,0
2001-04-20,24.748,24.8678,25.9632,24.6804,25.5649,DOWN,0
2001-04-23,24.7128,24.8678,25.9562,24.7536,25.5483,UP,1
2001-04-24,24.7269,24.7128,25.9495,24.7677,25.5342,UP,1
2001-04-25,24.7621,24.7973,25.943,24.7564,25.5211,UP,1
2001-04-26,25.0861,24.7691,25.9385,24.8072,25.5149,UP,1
2001-04-27,25.7483,25.3961,25.9374,25.0072,25.5209,UP,1
2001-04-30,25.8681,25.7836,25.9372,25.2383,25.5311,UP,1
2001-05-01,26.016,25.8751,25.9375,25.4961,25.5442,UP,1
2001-05-02,26.0653,26.0301,25.9377,25.7568,25.559,DOWN,0
2001-05-03,25.8963,25.847,25.9364,25.9188,25.5764,DOWN,0
2001-05-04,25.7413,25.7131,25.9343,25.9174,25.6042,DOWN,0
2001-05-07,25.6427,25.6427,25.93,25.8723,25.6218,DOWN,0
