ticker,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-09,20.8125,20.8125,23.6586,20.625,21.6066,UP,1
2000-08-10,21.0,20.9375,23.6367,20.7625,21.5491,UP,1
2000-08-11,21.5625,21.0625,23.6161,20.975,21.4953,UP,1
2000-08-14,21.8125,21.6875,23.5952,21.225,21.4466,DOWN,0
2000-08-15,21.375,21.75,23.5717,21.3125,21.3903,DOWN,0
2000-08-16,21.375,21.375,23.5471,21.425,21.3416,UP,1
2000-08-17,21.4375,21.125,23.5208,21.5125,21.3066,DOWN,0
2000-08-18,21.1875,21.25,23.4961,21.4375,21.2678,UP,1
2000-08-21,21.375,21.3125,23.473,21.35,21.2353,UP,1
2000-08-22,21.5,21.5625,23.4477,21.375,21.2066,DOWN,0
2000-08-23,20.875,21.4375,23.4202,21.275,21.1616,UP,1
2000-08-24,21.0,20.9375,23.3936,21.1875,21.1178,DOWN,0
2000-08-25,20.875,21.0,23.3671,21.125,21.0803,DOWN,0
2000-08-28,20.8125,20.875,23.3383,21.0125,21.0541,DOWN,0
2000-08-29,20.625,20.75,23.3102,20.8375,21.0341,DOWN,0
2000-08-30,20.5625,20.625,23.2824,20.775,21.0178,DOWN,0
2000-08-31,20.5625,20.625,23.2505,20.6875,21.0028,DOWN,0
2000-09-01,20.375,20.5625,23.2199,20.5875,20.9878,UP,1
2000-09-05,20.875,20.75,23.1933,20.6,20.9816,UP,1
2000-09-06,21.0,20.8125,23.1683,20.675,20.9816,DOWN,0
2000-09-07,20.9375,21.1875,23.1427,20.75,20.9766,DOWN,0
2000-09-08,20.6875,21.0,23.1183,20.775,20.9688,UP,1
2000-09-11,20.9375,20.8125,23.093,20.8875,20.9725,DOWN,0
2000-09-12,20.8125,20.9375,23.0708,20.875,20.9888,DOWN,0
2000-09-13,20.5625,20.5625,23.0471,20.7875,20.98,DOWN,0
2000-09-14,20.1875,20.4375,23.0193,20.6375,20.9625,DOWN,0
2000-09-15,19.9375,20.375,22.9911,20.4875,20.94,DOWN,0
2000-09-18,19.6875,19.875,22.9605,20.2375,20.905,DOWN,0
2000-09-19,19.25,19.5625,22.9274,19.925,20.8575,DOWN,0
2000-09-20,18.9375,19.125,22.8914,19.6,20.7975,UP,1
2000-09-21,19.0625,18.25,22.8571,19.375,20.7425,DOWN,0
2000-09-22,18.9375,19.125,22.8224,19.175,20.685,DOWN,0
2000-09-25,18.8125,18.9375,22.7899,19.0,20.6238,DOWN,0
2000-09-26,18.625,19.0,22.7564,18.875,20.5675,UP,1
2000-09-27,19.125,18.8125,22.7257,18.9125,20.525,DOWN,0
2000-09-28,19.125,19.125,22.6991,18.925,20.49,DOWN,0
2000-09-29,19.0625,19.1875,22.6745,18.95,20.455,DOWN,0
2000-10-02,19.0,19.25,22.6501,18.9875,20.4225,UP,1
2000-10-03,19.625,19.125,22.6291,19.1875,20.3938,DOWN,0
2000-10-04,19.625,19.6875,22.6101,19.2875,20.3713,UP,1
2000-10-05,19.8125,19.5625,22.5935,19.425,20.3513,DOWN,0
2000-10-06,19.5625,20.0,22.572,19.525,20.3325,UP,1
2000-10-09,19.6875,19.75,22.5495,19.6625,20.3238,DOWN,0
2000-10-10,19.625,19.75,22.526,19.6625,20.315,UP,1
2000-10-11,19.75,19.5625,22.4995,19.6875,20.3038,DOWN,0
2000-10-12,19.625,19.6875,22.4738,19.65,20.2863,DOWN,0
2000-10-13,19.5625,19.5,22.4482,19.65,20.2713,DOWN,0
2000-10-16,19.5625,19.6875,22.422,19.625,20.2525,DOWN,0
2000-10-17,19.375,19.625,22.3985,19.575,20.2288,DOWN,0
2000-10-18,19.125,19.1875,22.3751,19.45,20.1925,UP,1
2000-10-19,19.875,19.3125,22.356,19.5,20.1738,DOWN,0
2000-10-20,19.6875,19.625,22.336,19.525,20.1475,DOWN,0
2000-10-23,19.5,19.875,22.3073,19.5125,20.1063,UP,1
2000-10-24,19.8125,19.5625,22.2816,19.6,20.0663,DOWN,0
2000-10-25,19.625,19.625,22.257,19.7,20.0313,UP,1
2000-10-26,19.8125,19.5625,22.2341,19.6875,20.0,DOWN,0
2000-10-27,19.75,19.9375,22.2082,19.7,19.9663,UP,1
2000-10-30,20.3125,19.8125,22.186,19.8625,19.9488,UP,1
2000-10-31,21.3125,20.5,22.1685,20.1625,19.9475,DOWN,0
2000-11-01,21.0625,21.4375,22.1485,20.45,19.9388,DOWN,0
2000-11-02,20.9375,20.625,22.1316,20.675,19.94,DOWN,0
2000-11-03,20.875,20.875,22.1151,20.9,19.9375,UP,1
2000-11-06,21.125,21.0,22.1004,21.0625,19.9425,DOWN,0
