ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-06-21,10.5947,10.4297,9.1949,10.483,9.9613,DOWN,0
2001-06-22,10.4678,10.5947,9.2038,10.4703,9.9861,UP,1
2001-06-25,10.5059,10.4678,9.2131,10.4856,10.0112,UP,1
2001-06-26,10.6581,10.5059,9.2227,10.5312,10.044,UP,1
2001-06-27,10.8459,10.7216,9.2339,10.6145,10.0816,UP,1
2001-06-28,11.0159,10.9094,9.2464,10.6987,10.1192,UP,1
2001-06-29,11.3788,11.0185,9.2595,10.8809,10.1643,DOWN,0
2001-07-02,10.9423,11.356,9.2699,10.9682,10.2022,UP,1
2001-07-03,10.9753,11.0058,9.2816,11.0317,10.2449,DOWN,0
2001-07-05,10.8586,10.9753,9.294,11.0342,10.2823,DOWN,0
2001-07-06,10.6962,10.8586,9.3061,10.9703,10.3161,UP,1
2001-07-09,10.9144,10.6987,9.3196,10.8774,10.3537,DOWN,0
2001-07-10,10.8358,10.9119,9.3333,10.8561,10.3894,DOWN,0
2001-07-11,10.7571,10.8358,9.3474,10.8124,10.4211,DOWN,0
2001-07-12,10.719,10.7723,9.3615,10.7845,10.4442,UP,1
2001-07-13,10.7825,10.7343,9.3742,10.8018,10.4613,UP,1
2001-07-16,10.8561,10.8104,9.385,10.7901,10.483,UP,1
2001-07-17,10.8992,10.8586,9.3945,10.8028,10.5038,DOWN,0
2001-07-18,10.8611,10.8611,9.4019,10.8236,10.5235,DOWN,0
2001-07-19,10.7977,10.8738,9.4109,10.8393,10.5418,UP,1
2001-07-20,10.8028,10.7977,9.4198,10.8434,10.5554,DOWN,0
2001-07-23,10.6835,10.8053,9.4281,10.8089,10.5649,DOWN,0
2001-07-24,10.6581,10.6835,9.4353,10.7606,10.5748,UP,1
2001-07-25,10.6607,10.6581,9.4437,10.7206,10.5872,UP,1
2001-07-26,10.6657,10.6708,9.4525,10.6942,10.5965,DOWN,0
2001-07-27,10.6581,10.6581,9.4601,10.6652,10.6068,DOWN,0
2001-07-30,10.6581,10.6581,9.4687,10.6602,10.6139,UP,1
2001-07-31,11.0743,10.6581,9.4796,10.7434,10.626,UP,1
2001-08-01,11.1682,11.1022,9.49,10.8449,10.6421,UP,1
2001-08-02,11.356,11.1682,9.5026,10.9829,10.6624,DOWN,0
