ticker,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2020-10-29,143.5,137.75,122.3934,141.916,134.2816,UP,1
2020-10-30,144.84,142.18,122.4183,141.802,134.6562,UP,1
2020-11-02,149.44,146.47,122.4599,143.472,135.1284,UP,1
2020-11-03,150.16,150.39,122.5018,145.084,135.6382,DOWN,0
2020-11-04,136.36,140.61,122.4751,144.86,135.8752,UP,1
2020-11-05,137.47,133.0,122.4497,143.654,136.1668,DOWN,0
2020-11-06,134.69,135.34,122.4205,141.624,136.3794,UP,1
2020-11-09,135.68,143.58,122.4045,138.872,136.6352,UP,1
2020-11-10,140.02,137.25,122.3981,136.844,137.0356,UP,1
2020-11-11,141.64,140.61,122.4096,137.9,137.424,DOWN,0
2020-11-12,139.04,141.44,122.3929,138.214,137.6968,DOWN,0
2020-11-13,137.98,140.43,122.3746,138.872,137.9778,UP,1
2020-11-16,141.47,141.06,122.3592,140.03,138.3072,DOWN,0
2020-11-17,140.54,140.25,122.3392,140.134,138.6706,UP,1
2020-11-18,140.81,141.1,122.3012,139.968,139.0536,DOWN,0
2020-11-19,140.11,140.02,122.2666,140.182,139.3892,DOWN,0
2020-11-20,139.39,139.05,122.225,140.464,139.6574,DOWN,0
2020-11-23,138.85,140.51,122.1836,139.94,139.8276,UP,1
2020-11-24,144.93,141.08,122.1873,140.818,140.0978,DOWN,0
2020-11-25,144.02,143.87,122.1816,141.46,140.3124,DOWN,0
2020-11-27,142.33,144.0,122.1678,141.904,140.484,DOWN,0
2020-11-30,139.65,141.9,122.1312,141.956,140.6492,UP,1
2020-12-01,143.35,141.6,122.1621,142.856,140.9828,DOWN,0
2020-12-02,140.84,142.54,122.1893,142.038,141.231,UP,1
2020-12-03,144.57,140.42,122.2332,142.148,141.594,UP,1
2020-12-04,146.44,144.43,122.2957,142.97,141.952,DOWN,0
2020-12-07,146.08,145.19,122.375,144.256,142.264,DOWN,0
2020-12-08,144.45,144.04,122.473,144.476,142.4786,DOWN,0
2020-12-09,141.75,144.09,122.5767,144.658,142.6596,DOWN,0
2020-12-10,137.76,140.85,122.6719,143.296,142.704,UP,1
2020-12-11,138.88,137.98,122.765,141.784,142.794,DOWN,0
2020-12-14,135.44,139.5,122.813,139.656,142.7668,UP,1
2020-12-15,137.44,136.31,122.8598,138.254,142.6846,UP,1
2020-12-16,137.69,138.98,122.8746,137.442,142.6122,UP,1
2020-12-17,139.54,138.25,122.9235,137.798,142.4734,UP,1
2020-12-18,145.22,140.0,123.0124,139.066,142.316,DOWN,0
2020-12-21,144.54,141.42,123.1414,140.886,142.1912,DOWN,0
2020-12-22,143.27,144.99,123.2428,142.052,142.0548,DOWN,0
2020-12-23,142.71,143.19,123.3683,143.056,141.991,UP,1
2020-12-24,143.22,142.94,123.5488,143.792,141.9008,UP,1
2020-12-28,146.17,144.14,123.7308,143.982,141.9076,DOWN,0
2020-12-29,142.77,146.26,123.9696,143.628,141.8346,UP,1
2020-12-30,146.47,143.24,124.237,144.268,141.8516,UP,1
2020-12-31,148.31,145.9,124.5955,145.388,141.9088,DOWN,0
2021-01-04,146.53,149.03,124.8771,146.05,141.9454,UP,1
2021-01-05,147.57,146.53,125.1917,146.33,142.0002,UP,1
2021-01-06,160.76,156.0,125.5854,149.928,142.3072,UP,1
2021-01-07,162.01,162.2,125.9682,153.036,142.7256,UP,1
2021-01-08,162.83,161.91,126.3037,155.94,143.1402,UP,1
2021-01-11,163.0,161.2,126.6076,159.234,143.6506,UP,1
2021-01-12,166.2,162.99,126.9425,162.96,144.1046,DOWN,0
2021-01-13,161.6,165.01,127.2412,163.128,144.4398,DOWN,0
2021-01-14,160.62,162.11,127.504,162.85,144.6634,UP,1
2021-01-15,160.92,158.82,127.773,162.468,144.8786,DOWN,0
2021-01-19,158.86,161.21,128.0308,161.64,145.3286,UP,1
2021-01-20,160.62,159.48,128.3378,160.524,145.7916,DOWN,0
2021-01-21,158.86,160.35,128.6163,159.976,146.275,DOWN,0
2021-01-22,158.37,157.63,128.8685,159.526,146.7288,DOWN,0
2021-01-25,156.81,158.0,129.0877,158.704,147.0646,DOWN,0
2021-01-26,150.5,158.03,129.2747,157.032,147.2418,DOWN,0
2021-01-27,146.03,147.84,129.4577,154.114,147.3816,UP,1
2021-01-28,148.96,148.65,129.6402,152.134,147.6012,UP,1
2021-01-29,149.14,148.04,129.835,150.288,147.7546,UP,1
2021-02-01,152.0,150.71,130.0638,149.326,147.9838,DOWN,0
2021-02-02,151.93,153.57,130.2633,149.612,148.2062,UP,1
