ticker,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-11-28,36.44,36.93,36.816,36.2746,39.8971,DOWN,0
2014-12-01,35.95,36.4,36.636,36.1816,39.8263,UP,1
2014-12-02,37.36,36.12,36.638,36.1282,39.7525,UP,1
2014-12-03,37.41,36.96,36.79,36.0742,39.6822,DOWN,0
2014-12-04,36.5,37.32,36.732,35.9696,39.5986,DOWN,0
2014-12-05,36.1,36.56,36.664,35.873,39.5045,DOWN,0
2014-12-08,33.53,34.5,36.18,35.7162,39.4005,UP,1
2014-12-09,35.36,33.41,35.78,35.6556,39.3061,DOWN,0
2014-12-10,34.31,35.02,35.16,35.5982,39.2083,DOWN,0
2014-12-11,33.74,35.89,34.608,35.5346,39.1013,DOWN,0
2014-12-12,32.25,33.3,33.838,35.4634,38.9996,DOWN,0
2014-12-15,31.41,32.5,33.414,35.3762,38.8953,UP,1
2014-12-16,31.86,31.15,32.714,35.3206,38.7897,UP,1
2014-12-17,32.14,31.9,32.28,35.288,38.6835,UP,1
2014-12-18,33.04,33.39,32.14,35.2626,38.5923,DOWN,0
2014-12-19,32.89,32.92,32.268,35.2558,38.4978,DOWN,0
2014-12-22,32.65,32.89,32.516,35.2688,38.403,DOWN,0
2014-12-23,31.24,32.77,32.392,35.2634,38.3031,DOWN,0
2014-12-24,31.1,30.83,32.184,35.2462,38.1985,UP,1
2014-12-26,32.0,31.55,31.976,35.2196,38.1084,UP,1
2014-12-29,32.7,32.12,31.938,35.179,38.0204,DOWN,0
2014-12-30,32.28,32.54,31.864,35.1316,37.9279,DOWN,0
2014-12-31,32.13,32.4,32.042,35.0692,37.8213,UP,1
2015-01-02,32.54,32.31,32.33,35.0138,37.7161,UP,1
2015-01-05,33.05,32.38,32.54,34.9782,37.6153,DOWN,0
2015-01-06,31.45,33.04,32.29,34.8952,37.5216,UP,1
2015-01-07,32.15,31.84,32.264,34.8192,37.4405,DOWN,0
2015-01-08,31.74,32.49,32.186,34.7462,37.3644,DOWN,0
2015-01-09,30.545,31.74,31.787,34.6297,37.2872,UP,1
2015-01-12,32.03,31.88,31.583,34.5649,37.2163,DOWN,0
2015-01-13,31.61,32.2,31.615,34.4921,37.1533,UP,1
2015-01-14,31.84,31.02,31.553,34.3955,37.0847,DOWN,0
2015-01-15,30.54,31.92,31.313,34.2613,37.0035,UP,1
2015-01-16,31.37,30.3,31.478,34.1573,36.9408,UP,1
2015-01-20,31.72,31.29,31.416,34.0773,36.8903,DOWN,0
