ticker,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-02-07,94.67,94.71,94.134,93.704,93.4994,UP,1
2020-02-10,94.89,94.38,94.812,93.7252,93.4602,UP,1
2020-02-11,95.87,95.35,95.28,93.7642,93.4201,UP,1
2020-02-12,95.95,96.6,95.342,93.8108,93.3733,DOWN,0
2020-02-13,95.57,95.52,95.39,93.8634,93.3226,DOWN,0
2020-02-14,94.48,94.59,95.352,93.9454,93.272,DOWN,0
2020-02-18,93.18,93.87,95.01,93.9938,93.2287,DOWN,0
2020-02-19,93.1,93.5,94.456,94.0356,93.1786,UP,1
2020-02-20,93.78,93.04,94.022,94.0654,93.1373,DOWN,0
2020-02-21,92.6,92.93,93.428,94.0614,93.096,DOWN,0
2020-02-24,87.83,89.11,92.098,93.969,93.0311,DOWN,0
2020-02-25,84.06,88.22,90.274,93.8018,92.9473,DOWN,0
2020-02-26,81.92,84.77,88.038,93.5492,92.8505,DOWN,0
2020-02-27,77.52,79.31,84.786,93.2168,92.7574,DOWN,0
2020-02-28,75.45,74.89,81.356,92.836,92.6418,UP,1
2020-03-02,79.56,76.02,79.702,92.5246,92.5484,DOWN,0
2020-03-03,75.06,79.47,77.902,92.1204,92.4267,UP,1
2020-03-04,77.17,76.44,76.952,91.779,92.3185,DOWN,0
2020-03-05,72.26,74.06,75.9,91.3334,92.1832,DOWN,0
2020-03-06,69.81,68.47,74.772,90.844,92.0301,DOWN,0
2020-03-09,58.24,63.75,70.508,90.1326,91.823,UP,1
2020-03-10,62.87,62.07,68.07,89.5098,91.6518,DOWN,0
2020-03-11,57.97,60.05,64.23,88.8048,91.4529,DOWN,0
2020-03-12,46.31,52.82,59.04,87.8734,91.2028,UP,1
2020-03-13,52.92,51.81,55.662,87.057,90.986,DOWN,0
2020-03-16,43.35,44.0,52.684,86.0272,90.7239,UP,1
2020-03-17,46.77,44.56,49.464,85.0974,90.4959,DOWN,0
2020-03-18,46.18,42.57,47.106,84.1512,90.2557,DOWN,0
2020-03-19,44.37,44.77,46.718,83.1708,89.9884,DOWN,0
2020-03-20,42.26,45.22,44.586,82.1362,89.7057,DOWN,0
2020-03-23,39.22,41.01,43.76,81.0266,89.4025,UP,1
2020-03-24,47.47,42.87,43.9,80.0878,89.1428,UP,1
2020-03-25,51.61,50.5,44.986,79.2186,88.9021,UP,1
2020-03-26,54.65,52.47,47.042,78.413,88.6767,DOWN,0
2020-03-27,53.04,51.57,49.198,77.5874,88.4481,UP,1
2020-03-30,53.75,52.15,52.104,76.7546,88.2202,DOWN,0
2020-03-31,52.14,53.26,53.038,75.8554,87.9847,DOWN,0
2020-04-01,47.0,48.5,52.116,74.8856,87.73,DOWN,0
2020-04-02,46.63,46.36,50.512,73.8992,87.4657,DOWN,0
2020-04-03,46.09,46.29,49.122,72.9104,87.2013,UP,1
2020-04-06,49.14,49.9,48.2,72.0228,86.9464,UP,1
2020-04-07,52.06,53.97,48.184,71.257,86.7087,UP,1
2020-04-08,55.02,53.01,49.788,70.5174,86.4873,UP,1
2020-04-09,58.7,56.95,52.202,69.8532,86.2894,DOWN,0
2020-04-13,58.0,58.63,54.584,69.151,86.0868,UP,1
2020-04-14,58.61,59.08,56.478,68.502,85.8837,DOWN,0
2020-04-15,54.52,55.44,56.97,67.7624,85.6513,DOWN,0
2020-04-16,52.39,53.93,56.444,66.9396,85.4032,UP,1
2020-04-17,56.6,55.37,56.024,66.1588,85.1813,DOWN,0
2020-04-20,54.25,54.72,55.274,65.3372,84.9403,DOWN,0
2020-04-21,51.79,52.02,53.91,64.4796,84.6855,UP,1
2020-04-22,53.61,53.53,53.728,63.654,84.4442,DOWN,0
2020-04-23,53.24,54.26,53.898,62.8014,84.2025,UP,1
2020-04-24,55.78,53.94,53.734,61.998,83.9776,UP,1
2020-04-27,59.26,56.46,54.736,61.2718,83.7682,UP,1
2020-04-28,60.65,62.0,56.508,60.5952,83.5589,UP,1
2020-04-29,64.49,63.5,58.684,60.0214,83.3719,DOWN,0
2020-04-30,62.37,62.32,60.51,59.4068,83.1733,DOWN,0
2020-05-01,59.54,60.38,61.262,58.722,82.9705,DOWN,0
2020-05-04,58.88,58.19,61.186,58.0476,82.7577,DOWN,0
2020-05-05,58.75,59.84,60.806,57.466,82.5463,DOWN,0
2020-05-06,54.12,57.55,58.732,56.8672,82.313,UP,1
2020-05-07,56.72,55.08,57.602,56.3632,82.0872,UP,1
2020-05-08,58.98,58.12,57.49,55.9924,81.8694,DOWN,0
2020-05-11,57.05,57.95,57.124,55.6244,81.6423,DOWN,0
2020-05-12,54.26,57.51,56.226,55.1184,81.3973,DOWN,0
2020-05-13,51.35,53.7,55.672,54.6442,81.1415,UP,1
2020-05-14,53.38,50.12,55.004,54.1684,80.8967,DOWN,0
2020-05-15,52.93,52.64,53.794,53.7818,80.6548,UP,1
2020-05-18,57.12,55.85,53.808,53.528,80.485,DOWN,0
2020-05-19,54.98,56.79,53.952,53.4628,80.3171,UP,1
2020-05-20,56.56,56.11,54.994,53.3366,80.1701,UP,1
