ticker,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-03-27,45.375,44.25,43.5298,44.1625,41.97,DOWN,0
2001-03-28,42.5,45.0,43.4704,44.675,42.0763,DOWN,0
2001-03-29,41.6875,42.625,43.4001,43.8875,42.1025,DOWN,0
2001-03-30,39.375,41.0,43.3313,42.775,41.9688,DOWN,0
2001-04-02,34.8125,39.0,43.2354,40.75,41.7663,UP,1
2001-04-03,35.4375,35.125,43.1382,38.7625,41.6225,DOWN,0
2001-04-04,32.75,35.625,42.9945,36.8125,41.3963,UP,1
2001-04-05,37.1875,34.4375,42.8632,35.9125,41.2463,DOWN,0
2001-04-06,36.0,36.4375,42.7285,35.2375,41.0913,DOWN,0
2001-04-09,34.01,35.75,42.5904,35.077,40.9102,UP,1
2001-04-10,36.84,34.45,42.4787,35.3575,40.772,UP,1
2001-04-11,41.04,41.6,42.3686,37.0155,40.674,UP,1
2001-04-12,44.04,40.65,42.2844,38.386,40.6374,DOWN,0
2001-04-16,43.46,43.0,42.1923,39.878,40.5916,DOWN,0
2001-04-17,42.73,42.72,42.1179,41.622,40.6049,UP,1
2001-04-18,47.08,46.06,42.0605,43.67,40.7352,UP,1
2001-04-19,52.8,48.35,42.0329,46.022,40.995,DOWN,0
2001-04-20,52.11,53.15,42.0431,47.636,41.2697,DOWN,0
2001-04-23,50.6,50.53,42.0411,49.064,41.5517,DOWN,0
2001-04-24,50.23,51.35,42.0235,50.564,41.8388,UP,1
2001-04-25,52.57,49.9,42.022,51.662,42.1127,DOWN,0
2001-04-26,50.35,54.0,41.9931,51.172,42.3772,UP,1
2001-04-27,52.64,51.64,41.9563,51.278,42.5675,UP,1
2001-04-30,54.96,53.0,41.9364,52.15,42.7805,UP,1
2001-05-01,55.35,54.71,41.9032,53.174,43.0537,DOWN,0
2001-05-02,53.99,56.17,41.8547,53.458,43.3272,DOWN,0
2001-05-03,51.06,53.05,41.8097,53.6,43.5497,DOWN,0
2001-05-04,50.82,49.32,41.79,53.236,43.7461,DOWN,0
2001-05-07,49.28,51.14,41.7561,52.1,43.8642,UP,1
2001-05-08,51.79,50.26,41.7629,51.388,44.0538,DOWN,0
2001-05-09,49.53,50.26,41.7487,50.496,44.2444,UP,1
2001-05-10,50.12,52.9,41.7233,50.308,44.5318,UP,1
2001-05-11,50.83,50.25,41.7034,50.31,44.7596,DOWN,0
2001-05-14,49.73,50.585,41.6996,50.4,44.9567,DOWN,0
2001-05-15,49.13,49.72,41.6905,49.868,45.1043,UP,1
2001-05-16,54.87,48.89,41.6986,50.936,45.3017,DOWN,0
2001-05-17,54.73,54.15,41.7226,51.858,45.4838,UP,1
