ticker,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-08-29,82.09,81.82,77.267,73.1455,62.622,UP,1
2014-09-02,85.02,82.97,79.117,73.4145,62.8202,UP,1
2014-09-03,85.39,85.27,81.004,73.6975,63.0324,UP,1
2014-09-04,86.09,85.53,82.99,74.0059,63.2398,UP,1
2014-09-05,87.88,86.36,85.294,74.3309,63.4594,UP,1
2014-09-08,88.185,88.07,86.513,74.6754,63.6856,UP,1
2014-09-09,88.405,88.3775,87.19,75.0247,63.9141,UP,1
2014-09-10,89.0,88.28,87.912,75.3633,64.1438,UP,1
2014-09-11,89.07,88.91,88.508,75.6641,64.3727,DOWN,0
2014-09-12,87.85,89.01,88.502,75.9347,64.5934,DOWN,0
2014-09-15,86.71,88.14,88.207,76.1653,64.8032,UP,1
2014-09-16,87.92,86.37,88.11,76.4331,65.0194,DOWN,0
2014-09-17,87.74,87.97,87.858,76.7201,65.2345,UP,1
2014-09-18,89.52,88.18,87.948,77.0259,65.4571,DOWN,0
2014-09-19,89.1,90.13,88.198,77.3449,65.6787,DOWN,0
2014-09-22,87.18,88.64,88.292,77.6245,65.8921,UP,1
2014-09-23,87.56,87.01,88.22,77.8949,66.0919,UP,1
2014-09-24,89.02,87.69,88.476,78.2069,66.3022,DOWN,0
2014-09-25,86.46,88.84,87.864,78.4631,66.4977,UP,1
2014-09-26,87.5,86.55,87.544,78.7751,66.7022,DOWN,0
2014-09-29,87.11,86.41,87.53,79.0173,66.9072,DOWN,0
2014-09-30,87.0,87.61,87.418,79.2489,67.1134,DOWN,0
2014-10-01,85.54,87.12,86.722,79.4519,67.3129,DOWN,0
2014-10-02,83.21,85.08,86.072,79.6435,67.4784,UP,1
2014-10-03,83.47,83.62,85.266,79.8627,67.628,DOWN,0
2014-10-06,82.88,84.07,84.42,80.1219,67.7766,DOWN,0
2014-10-07,81.03,82.42,83.226,80.3323,67.9246,UP,1
2014-10-08,83.3,81.0,82.778,80.6007,68.0828,DOWN,0
2014-10-09,80.6,82.92,82.256,80.8025,68.2255,DOWN,0
2014-10-10,71.36,77.75,79.834,80.8421,68.3192,DOWN,0
2014-10-13,69.04,70.8,77.066,80.8141,68.4008,UP,1
2014-10-14,72.02,72.06,75.264,80.8277,68.497,UP,1
2014-10-15,72.55,70.26,73.114,80.8763,68.5963,UP,1
2014-10-16,75.6,70.67,72.114,80.9825,68.7099,UP,1
2014-10-17,77.15,77.42,73.272,81.1329,68.8324,UP,1
2014-10-20,77.99,76.67,75.062,81.2841,68.9581,UP,1
2014-10-21,82.38,78.99,77.134,81.5153,69.1075,DOWN,0
2014-10-22,80.86,82.48,78.796,81.7095,69.2469,UP,1
2014-10-23,81.38,82.14,79.952,81.8977,69.3849,UP,1
2014-10-24,81.85,81.7,80.892,82.0579,69.528,DOWN,0
2014-10-27,81.57,81.51,81.608,82.1935,69.6693,UP,1
2014-10-28,84.2,82.16,81.972,82.3701,69.8271,UP,1
2014-10-29,84.88,84.57,82.776,82.5553,69.9752,DOWN,0
2014-10-30,82.39,83.84,82.978,82.6755,70.1023,UP,1
2014-10-31,86.25,85.11,83.858,82.8751,70.2564,UP,1
2014-11-03,86.34,86.44,84.812,83.0777,70.4074,DOWN,0
2014-11-04,85.36,85.9,85.044,83.2695,70.5536,UP,1
2014-11-05,86.71,85.79,85.41,83.4846,70.7014,UP,1
2014-11-06,87.63,86.44,86.458,83.714,70.8593,DOWN,0
2014-11-07,85.04,87.84,86.216,83.8876,71.0121,UP,1
2014-11-10,85.91,84.92,86.13,83.964,71.1694,UP,1
2014-11-11,86.16,85.84,86.29,83.9868,71.3266,UP,1
2014-11-12,87.05,85.91,86.358,84.02,71.4915,UP,1
2014-11-13,87.445,87.07,86.321,84.0471,71.6534,UP,1
2014-11-14,89.015,87.56,87.116,84.0698,71.8253,DOWN,0
2014-11-17,88.52,88.78,87.638,84.0765,72.0016,UP,1
2014-11-18,91.41,88.35,88.688,84.1366,72.1886,DOWN,0
2014-11-19,89.25,91.51,89.128,84.1416,72.365,UP,1
2014-11-20,89.93,88.84,89.625,84.1588,72.5386,UP,1
2014-11-21,90.21,91.7,89.864,84.206,72.7068,UP,1
2014-11-24,91.14,90.55,90.388,84.2946,72.881,UP,1
2014-11-25,91.15,91.84,90.336,84.3592,73.0464,UP,1
2014-11-26,93.78,91.58,91.242,84.48,73.2206,DOWN,0
2014-11-28,93.4,94.13,91.936,84.5576,73.3922,DOWN,0
2014-12-01,90.95,93.05,92.084,84.5946,73.5565,UP,1
2014-12-02,92.2,90.69,92.296,84.695,73.7257,UP,1
2014-12-03,95.13,93.03,93.092,84.8464,73.9128,UP,1
2014-12-04,103.07,101.55,94.95,85.1274,74.1332,UP,1
2014-12-05,103.99,103.84,97.068,85.478,74.3604,DOWN,0
2014-12-08,100.71,104.0,99.02,85.7422,74.5661,UP,1
2014-12-09,102.64,99.89,101.108,86.0528,74.7843,DOWN,0
2014-12-10,99.25,102.0,101.932,86.2978,74.971,UP,1
2014-12-11,100.55,100.08,101.428,86.598,75.1669,DOWN,0
2014-12-12,99.2,98.98,100.47,86.9178,75.3544,DOWN,0
2014-12-15,98.21,99.97,99.97,87.2126,75.5367,DOWN,0
2014-12-16,97.33,97.75,98.908,87.5016,75.7066,UP,1
2014-12-17,98.99,97.33,98.856,87.8608,75.8862,UP,1
2014-12-18,101.65,100.9,99.076,88.2278,76.0762,DOWN,0
