ticker,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-06-11,31.335,33.2267,32.8154,33.1239,30.8264,DOWN,0
2002-06-12,31.1701,31.3835,32.4021,33.0911,30.8503,UP,1
2002-06-13,31.3156,30.9469,32.0451,33.063,30.8743,DOWN,0
2002-06-14,31.2865,31.3156,31.6532,33.034,30.8985,UP,1
2002-06-17,33.1782,32.0626,31.6571,33.0515,30.9347,DOWN,0
2002-06-18,33.1006,33.1297,32.0102,33.0577,30.9707,UP,1
2002-06-19,33.1782,33.1006,32.4118,33.0643,31.0073,DOWN,0
2002-06-20,33.0521,33.0812,32.7591,33.0734,31.0463,DOWN,0
2002-06-21,32.7805,32.7902,33.0579,33.089,31.0822,UP,1
2002-06-24,32.8872,32.7611,32.9997,33.0948,31.1159,DOWN,0
2002-06-25,32.8581,32.8969,32.9512,33.1087,31.1482,DOWN,0
2002-06-26,32.7514,32.7902,32.8658,33.1328,31.1772,UP,1
2002-06-27,34.5364,32.7611,33.1627,33.2028,31.2158,UP,1
2002-06-28,34.5946,34.2938,33.5255,33.2812,31.2566,DOWN,0
2002-07-01,33.8573,34.517,33.7195,33.3402,31.2966,DOWN,0
2002-07-02,32.5282,33.6633,33.6536,33.3647,31.331,DOWN,0
2002-07-03,32.1305,32.5476,33.5294,33.3883,31.3692,UP,1
2002-07-05,33.0812,32.1111,33.2384,33.4504,31.4128,UP,1
2002-07-08,33.2364,32.9842,32.9667,33.4632,31.4576,DOWN,0
2002-07-09,31.5193,33.2752,32.4991,33.4359,31.4903,DOWN,0
2002-07-10,29.2007,30.9469,31.8336,33.3755,31.511,DOWN,0
2002-07-11,28.9194,29.2007,31.1914,33.2805,31.526,UP,1
2002-07-12,29.5596,28.8612,30.4871,33.1887,31.5463,DOWN,0
2002-07-15,28.6089,29.1037,29.5616,33.0697,31.5593,UP,1
2002-07-16,29.0455,28.3761,29.0668,32.9663,31.5736,UP,1
2002-07-17,29.9768,30.6559,29.222,32.8953,31.5889,DOWN,0
2002-07-18,29.9768,29.7343,29.4335,32.827,31.6024,DOWN,0
2002-07-19,29.8701,29.8313,29.4956,32.7492,31.6133,DOWN,0
2002-07-22,29.0067,29.8119,29.5752,32.6526,31.6186,DOWN,0
2002-07-23,28.4925,28.9582,29.4646,32.5478,31.6211,UP,1
2002-07-24,30.3163,28.2791,29.5325,32.4747,31.6317,UP,1
2002-07-25,33.1879,31.2865,30.1747,32.4564,31.6584,UP,1
2002-07-26,34.2259,33.1588,31.0459,32.4401,31.6902,UP,1
2002-07-29,34.8953,35.4095,32.2236,32.4463,31.724,UP,1
2002-07-30,35.3222,34.8953,33.5895,32.4477,31.7579,UP,1
2002-07-31,36.1177,35.2931,34.7498,32.4654,31.7938,DOWN,0
2002-08-01,34.711,36.1177,35.0544,32.4621,31.823,UP,1
2002-08-02,35.5065,34.1968,35.3105,32.4836,31.8552,DOWN,0
2002-08-05,35.0699,35.9431,35.3455,32.4976,31.8852,UP,1
2002-08-06,35.9819,35.8946,35.4774,32.5255,31.9253,UP,1
2002-08-07,36.8453,35.9334,35.6229,32.5752,31.9671,UP,1
2002-08-08,38.2811,36.7968,36.3369,32.6571,32.0142,DOWN,0
2002-08-09,38.0579,38.0288,36.8472,32.7358,32.0599,DOWN,0
2002-08-12,37.7572,37.9318,37.3847,32.8123,32.1035,DOWN,0
2002-08-13,35.6617,37.5923,37.3206,32.8746,32.1382,DOWN,0
2002-08-14,35.1185,34.9244,36.9753,32.9366,32.1731,UP,1
2002-08-15,35.7005,35.1379,36.4592,32.9859,32.21,DOWN,0
2002-08-16,35.0408,35.2155,35.8557,33.0247,32.2392,UP,1
2002-08-19,35.167,34.8274,35.3377,33.0632,32.2651,DOWN,0
2002-08-20,34.9826,35.0699,35.2019,33.0996,32.2876,UP,1
2002-08-21,35.2543,35.0214,35.229,33.178,32.3101,UP,1
2002-08-22,36.0304,35.2543,35.295,33.2752,32.3398,DOWN,0
2002-08-23,35.846,35.9916,35.4561,33.3658,32.3649,UP,1
2002-08-26,36.1468,35.8654,35.652,33.463,32.3915,DOWN,0
2002-08-27,35.7005,36.1468,35.7956,33.5135,32.4216,DOWN,0
2002-08-28,34.8856,35.652,35.7219,33.5492,32.4504,UP,1
2002-08-29,34.9244,34.1968,35.5007,33.5841,32.4796,UP,1
2002-08-30,35.7975,34.905,35.491,33.639,32.5118,UP,1
2002-09-03,36.0401,35.7684,35.4696,33.7042,32.5421,UP,1
2002-09-04,36.2535,36.0401,35.5802,33.7715,32.5778,UP,1
2002-09-05,37.0587,36.2244,36.0148,33.8555,32.6172,UP,1
2002-09-06,37.5729,37.8348,36.5445,33.952,32.6598,DOWN,0
2002-09-09,37.1557,37.5438,36.8162,34.0044,32.6989,DOWN,0
2002-09-10,36.1856,37.1557,36.8453,34.0362,32.7314,UP,1
2002-09-11,36.3699,36.2147,36.8686,34.0864,32.7638,DOWN,0
2002-09-12,35.7587,36.0401,36.6086,34.151,32.7838,DOWN,0
2002-09-13,35.7005,35.4095,36.2341,34.2224,32.8043,DOWN,0
2002-09-16,35.5162,35.7005,35.9062,34.2711,32.824,DOWN,0
2002-09-17,35.3028,35.6035,35.7296,34.3125,32.8424,UP,1
2002-09-18,36.5057,35.167,35.7568,34.4122,32.8684,UP,1
2002-09-19,37.2139,36.4475,36.0478,34.5725,32.8983,UP,1
2002-09-20,37.8348,37.4467,36.4747,34.7508,32.9293,UP,1
2002-09-23,37.9318,37.6408,36.9578,34.9182,32.9605,DOWN,0
2002-09-24,35.8072,37.9415,37.0587,35.0622,32.9802,UP,1
2002-09-25,37.8057,36.1856,37.3187,35.2374,33.0169,DOWN,0
2002-09-26,37.7184,37.8833,37.4196,35.3922,33.0535,DOWN,0
2002-09-27,37.6699,37.7378,37.3866,35.5461,33.0947,DOWN,0
2002-09-30,37.1945,37.4759,37.2391,35.6926,33.1354,UP,1
2002-10-01,37.4856,37.1266,37.5748,35.8621,33.1744,UP,1
2002-10-02,37.5923,37.34,37.5321,36.0441,33.2125,UP,1
2002-10-03,37.7572,37.5923,37.5399,36.193,33.2545,DOWN,0
2002-10-04,37.2333,37.6893,37.4526,36.2739,33.2937,UP,1
2002-10-07,37.2624,37.3982,37.4662,36.3346,33.3317,UP,1
2002-10-08,37.3012,37.4759,37.4293,36.3827,33.3726,UP,1
2002-10-09,37.4662,37.2721,37.4041,36.4256,33.4128,UP,1
2002-10-10,37.5923,37.8348,37.3711,36.4551,33.4562,UP,1
2002-10-11,37.7184,37.7087,37.4681,36.5152,33.5001,UP,1
2002-10-14,39.581,37.7184,37.9318,36.5967,33.5532,DOWN,0
2002-10-15,38.6497,40.3571,38.2015,36.6683,33.6021,UP,1
2002-10-16,38.8049,38.6691,38.4693,36.7248,33.648,UP,1
2002-10-17,40.7937,40.5026,39.1095,36.8038,33.7053,DOWN,0
2002-10-18,40.2116,41.7153,39.6082,36.8424,33.7607,DOWN,0
2002-10-21,40.0855,40.2601,39.7091,36.8829,33.8178,DOWN,0
2002-10-22,40.0758,40.1146,39.9943,36.9293,33.8748,DOWN,0
2002-10-23,40.0758,39.678,40.2485,37.0176,33.9272,DOWN,0
2002-10-24,38.7661,40.3086,39.843,37.0905,33.9722,UP,1
2002-10-25,39.7556,40.0176,39.7518,37.1716,34.0227,DOWN,0
2002-10-28,39.028,39.9982,39.5403,37.2514,34.0727,DOWN,0
2002-10-29,38.7273,39.096,39.2706,37.3226,34.112,UP,1
2002-10-30,38.737,38.8049,39.0028,37.3977,34.1541,UP,1
2002-10-31,39.9885,39.29,39.2473,37.4923,34.2021,UP,1
2002-11-01,40.2601,41.2302,39.3482,37.5769,34.2492,DOWN,0
2002-11-04,40.0176,40.5511,39.5461,37.6604,34.2979,UP,1
2002-11-05,40.037,40.0176,39.808,37.7382,34.3474,UP,1
2002-11-06,40.7452,40.1631,40.2097,37.8391,34.3973,UP,1
2002-11-07,41.3272,40.7452,40.4774,37.9679,34.448,DOWN,0
2002-11-08,40.0661,40.7452,40.4386,38.0707,34.4926,DOWN,0
2002-11-11,39.6198,40.0176,40.3591,38.1472,34.5347,DOWN,0
2002-11-12,38.7564,39.6586,40.1029,38.2015,34.5704,UP,1
2002-11-13,38.8049,38.6594,39.7149,38.2525,34.605,DOWN,0
2002-11-14,38.8049,39.028,39.2104,38.2875,34.6412,UP,1
2002-11-15,39.29,38.7564,39.0552,38.3218,34.6805,UP,1
2002-11-18,39.6586,39.5325,39.063,38.3719,34.7221,UP,1
2002-11-19,39.9012,39.5131,39.2919,38.4462,34.762,UP,1
2002-11-20,40.5414,40.3862,39.6392,38.5296,34.8017,DOWN,0
2002-11-21,38.8631,40.4444,39.6509,38.5917,34.8307,DOWN,0
2002-11-22,37.7766,38.3199,39.3482,38.6332,34.8545,DOWN,0
2002-11-25,36.3796,37.7766,38.6924,38.6505,34.8691,UP,1
