ticker,FMC US Equity,FMC US Equity,FMC US Equity,FMC US Equity,FMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2018-08-31,74.0503,73.7816,75.5438,74.4974,75.7514,DOWN,0
2018-09-04,71.9445,73.1577,75.5044,73.9186,75.6488,UP,1
2018-09-05,72.3431,72.0485,75.4617,73.4177,75.5635,DOWN,0
2018-09-06,71.8751,72.3431,75.4184,72.7851,75.4698,DOWN,0
2018-09-07,71.2079,71.4158,75.3729,72.2842,75.358,DOWN,0
2018-09-10,71.1472,71.4852,75.3195,71.7036,75.2503,UP,1
2018-09-11,71.4852,70.3413,75.2733,71.6117,75.1339,UP,1
2018-09-12,72.1698,71.4678,75.2242,71.577,75.0522,UP,1
2018-09-13,73.4437,72.6204,75.1849,71.8907,74.9758,UP,1
2018-09-14,74.0243,73.5563,75.1456,72.454,74.9153,UP,1
2018-09-17,74.7262,74.2583,75.1153,73.1698,74.8538,DOWN,0
2018-09-18,74.5789,74.9862,75.0792,73.7886,74.7822,UP,1
2018-09-19,76.4161,74.9602,75.0543,74.6378,74.7332,UP,1
2018-09-20,77.6033,77.0487,75.046,75.4698,74.75,UP,1
2018-09-21,77.872,78.5739,75.046,76.2393,74.7651,DOWN,0
2018-09-24,77.7766,77.872,75.0536,76.8494,74.7895,DOWN,0
2018-09-25,77.664,77.8546,75.0596,77.4664,74.8398,DOWN,0
2018-09-26,77.1007,77.3433,75.0603,77.6033,74.8609,DOWN,0
2018-09-27,76.0001,76.9534,75.0519,77.2827,74.873,DOWN,0
2018-09-28,75.5495,75.7835,75.039,76.8182,74.8829,UP,1
2018-10-01,76.0261,76.0608,75.0261,76.4681,74.9016,UP,1
2018-10-02,77.6726,75.9135,75.0251,76.4698,74.9666,UP,1
2018-10-03,79.6918,78.0539,75.024,76.988,75.0632,DOWN,0
2018-10-04,79.0939,79.6918,75.0124,77.6068,75.1271,DOWN,0
2018-10-05,78.5652,78.9899,74.9959,78.2099,75.1649,DOWN,0
2018-10-08,78.5652,78.2099,74.9775,78.7178,75.1992,DOWN,0
2018-10-09,75.3848,77.8633,74.9421,78.2602,75.1618,DOWN,0
2018-10-10,73.071,75.2808,74.8939,76.936,75.0654,DOWN,0
2018-10-11,72.0658,73.0884,74.8402,75.5304,74.9768,UP,1
2018-10-12,73.539,73.3657,74.7972,74.5252,74.9477,DOWN,0
2018-10-15,72.8197,73.4263,74.7496,73.3761,74.8826,UP,1
2018-10-16,73.4003,73.643,74.7065,72.9792,74.8238,DOWN,0
2018-10-17,72.4644,73.305,74.654,72.8579,74.7652,DOWN,0
2018-10-18,71.6498,72.1611,74.5921,72.7747,74.6536,DOWN,0
2018-10-19,70.4973,71.7538,74.5224,72.1663,74.4995,DOWN,0
2018-10-22,69.1714,71.0865,74.4432,71.4366,74.3619,DOWN,0
2018-10-23,68.3654,67.7848,74.3597,70.4297,74.2416,DOWN,0
2018-10-24,65.1764,67.8368,74.2604,68.9721,74.061,UP,1
2018-10-25,65.8957,65.8783,74.1673,67.8212,73.9267,DOWN,0
2018-10-26,65.679,64.8731,74.0716,66.8576,73.7754,UP,1
2018-10-29,66.0776,66.4936,73.9779,66.2388,73.6335,UP,1
2018-10-30,66.9789,66.1383,73.9012,65.9615,73.4979,UP,1
2018-10-31,67.6635,67.8715,73.8329,66.4589,73.3678,UP,1
2018-11-01,70.6532,68.6601,73.7954,67.4105,73.3002,DOWN,0
2018-11-02,69.726,71.0692,73.7547,68.2199,73.2288,UP,1
2018-11-05,69.752,69.9426,73.7141,68.9547,73.1412,UP,1
2018-11-06,72.4731,70.5666,73.6914,70.0536,73.0939,UP,1
2018-11-07,72.7417,72.7504,73.6663,71.0692,73.0518,DOWN,0
2018-11-08,72.5078,72.3431,73.6303,71.4401,73.0012,DOWN,0
2018-11-09,72.4211,72.1091,73.5937,71.9791,72.9754,DOWN,0
2018-11-12,71.2599,72.4298,73.5541,72.2807,72.9196,DOWN,0
2018-11-13,70.4019,71.1472,73.5094,71.8665,72.8887,DOWN,0
2018-11-14,70.1766,71.0085,73.4646,71.3535,72.8454,UP,1
2018-11-15,71.6412,69.6827,73.4362,71.1801,72.8407,UP,1
2018-11-16,72.1005,71.5458,73.4253,71.116,72.8585,DOWN,0
2018-11-19,70.9739,71.7711,73.4201,71.0588,72.8551,DOWN,0
2018-11-20,68.1141,69.804,73.3925,70.6013,72.7877,UP,1
2018-11-21,68.8594,68.3394,73.3729,70.3378,72.7215,UP,1
2018-11-23,69.0501,67.8195,73.3678,69.8196,72.6336,UP,1
2018-11-26,70.5406,69.7,73.3622,69.5076,72.5639,DOWN,0
2018-11-27,69.7693,69.8906,73.3418,69.2667,72.4648,UP,1
2018-11-28,72.0831,69.8646,73.3475,70.0605,72.4149,DOWN,0
2018-11-29,71.9705,71.6498,73.3379,70.6827,72.3259,DOWN,0
2018-11-30,71.7018,71.4938,73.3271,71.2131,72.2079,UP,1
2018-12-03,74.2323,73.5737,73.3371,71.9514,72.1351,DOWN,0
2018-12-04,72.1178,74.0156,73.3357,72.4211,72.0219,DOWN,0
2018-12-06,71.5198,70.5839,73.3375,72.3084,71.8991,DOWN,0
2018-12-07,69.3967,71.6585,73.3225,71.7937,71.745,DOWN,0
2018-12-10,68.7987,68.7814,73.2951,71.2131,71.601,DOWN,0
2018-12-11,68.2961,69.856,73.2741,70.0258,71.4559,UP,1
2018-12-12,69.0501,69.4487,73.2615,69.4123,71.3164,DOWN,0
2018-12-13,67.8022,69.0587,73.2604,68.6688,71.119,DOWN,0
2018-12-14,66.9182,67.0742,73.2543,68.1731,70.8635,DOWN,0
2018-12-17,66.095,66.6929,73.2396,67.6323,70.6035,UP,1
2018-12-18,66.1383,66.329,73.2205,67.2007,70.355,DOWN,0
2018-12-19,64.8731,66.3376,73.1878,66.3653,70.0811,DOWN,0
2018-12-20,62.4899,64.9857,73.1415,65.3029,69.8232,DOWN,0
2018-12-21,61.4154,62.1433,73.0922,64.2023,69.5901,DOWN,0
2018-12-24,60.7394,61.0774,73.0339,63.1312,69.3636,UP,1
2018-12-26,63.6425,60.9128,72.9886,62.6321,69.1657,UP,1
2018-12-27,63.9372,62.3513,72.9453,62.4449,68.988,DOWN,0
2018-12-28,63.4605,64.3098,72.9043,62.639,68.7892,UP,1
2018-12-31,64.0931,63.6425,72.8735,63.1746,68.6218,UP,1
2019-01-02,65.0551,63.0359,72.8422,64.0377,68.4899,DOWN,0
2019-01-03,63.2612,64.9597,72.8062,63.9614,68.3452,UP,1
2019-01-04,66.6063,64.7778,72.7926,64.4952,68.2939,UP,1
2019-01-07,67.3862,66.6236,72.7814,65.2804,68.2743,UP,1
2019-01-08,68.5474,67.7762,72.7889,66.1712,68.3417,UP,1
2019-01-09,68.8334,69.128,72.8059,66.9269,68.4005,UP,1
2019-01-10,69.908,68.4088,72.8262,68.2563,68.485,DOWN,0
2019-01-11,69.6133,69.206,72.8481,68.8577,68.5557,DOWN,0
2019-01-14,69.232,68.7554,72.8775,69.2268,68.6008,DOWN,0
2019-01-15,68.6601,69.0414,72.889,69.2494,68.6207,DOWN,0
2019-01-16,68.6081,68.4694,72.9071,69.2043,68.5798,UP,1
2019-01-17,68.8247,67.9668,72.9209,68.9877,68.5618,UP,1
2019-01-18,69.8906,69.3534,72.9403,69.0431,68.5646,DOWN,0
2019-01-22,68.9461,69.336,72.9404,68.9859,68.494,DOWN,0
2019-01-23,67.6722,68.9807,72.9402,68.7883,68.3927,DOWN,0
2019-01-24,67.4209,67.4902,72.9394,68.5509,68.2909,UP,1
2019-01-25,68.7814,68.3308,72.9399,68.5422,68.2181,DOWN,0
2019-01-28,68.5648,67.9321,72.9429,68.2771,68.1642,UP,1
2019-01-29,69.414,68.6774,72.9433,68.3706,68.1445,UP,1
2019-01-30,69.8473,69.752,72.9445,68.8057,68.1379,DOWN,0
2019-01-31,69.154,68.8854,72.9409,69.1523,68.0881,UP,1
2019-02-01,74.3796,73.9116,72.9583,70.2719,68.1337,DOWN,0
2019-02-04,73.8336,74.0763,72.9689,71.3257,68.1909,DOWN,0
2019-02-05,73.6517,73.7123,72.9813,72.1732,68.3017,UP,1
2019-02-06,74.0156,73.175,72.9948,73.0069,68.4048,DOWN,0
2019-02-07,72.993,73.3397,73.0027,73.7747,68.4836,UP,1
2019-02-08,73.2704,72.3604,73.0195,73.5529,68.5382,UP,1
2019-02-11,73.4523,73.253,73.0377,73.4766,68.6119,DOWN,0
2019-02-12,71.2859,69.8646,73.042,73.0034,68.596,UP,1
2019-02-13,73.045,72.1611,73.0553,72.8093,68.6174,DOWN,0
2019-02-14,72.7677,72.4124,73.0737,72.7643,68.6388,UP,1
2019-02-15,73.9636,73.669,73.0977,72.9029,68.6334,UP,1
2019-02-19,74.9515,73.383,73.1243,73.2028,68.6901,UP,1
2019-02-20,75.7835,74.8822,73.1404,74.1023,68.7753,UP,1
2019-02-21,76.4334,75.9308,73.1437,74.78,68.9161,UP,1
2019-02-22,76.7021,76.8234,73.1467,75.5668,69.0741,UP,1
2019-02-25,77.4387,77.0834,73.1553,76.2618,69.257,DOWN,0
2019-02-26,76.7627,77.3607,73.1648,76.6241,69.4112,UP,1
2019-02-27,77.664,76.6154,73.1743,77.0002,69.6085,DOWN,0
2019-02-28,77.56,77.274,73.1769,77.2255,69.8213,UP,1
2019-03-01,78.3746,77.56,73.1797,77.56,70.0669,UP,1
2019-03-04,78.96,78.78,73.1845,77.8643,70.3233,UP,1
2019-03-05,79.09,78.83,73.1824,78.3297,70.6077,DOWN,0
2019-03-06,78.46,79.28,73.1743,78.4889,70.9271,DOWN,0
2019-03-07,77.82,78.1,73.1669,78.5409,71.2552,DOWN,0
2019-03-08,77.53,76.88,73.1588,78.372,71.591,UP,1
2019-03-11,78.44,77.92,73.1563,78.268,71.8869,UP,1
