ticker,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-11,14.0831,14.024,13.9909,14.2484,15.43,DOWN,0
2000-08-14,14.0536,14.2012,14.014,14.0536,15.4005,UP,1
2000-08-15,14.1421,14.1717,14.0393,14.0654,15.3857,DOWN,0
2000-08-16,14.1126,14.1421,14.0674,14.0831,15.3662,UP,1
2000-08-17,14.1717,14.2307,14.0903,14.1126,15.3503,UP,1
2000-08-18,14.4078,14.1717,14.1164,14.1776,15.3396,DOWN,0
2000-08-21,14.1717,14.2898,14.1422,14.2012,15.3219,DOWN,0
2000-08-22,14.1717,14.1717,14.1685,14.2071,15.3166,DOWN,0
2000-08-23,13.9059,14.1717,14.1899,14.1658,15.3057,DOWN,0
2000-08-24,13.6993,14.024,14.2088,14.0713,15.2953,UP,1
2000-08-25,13.7583,13.7583,14.2289,13.9414,15.2835,UP,1
2000-08-28,14.0536,13.7583,14.2497,13.9177,15.2765,UP,1
2000-08-29,14.3193,13.9355,14.273,13.9473,15.2776,DOWN,0
2000-08-30,14.1421,14.2898,14.2953,13.9945,15.2705,UP,1
2000-08-31,14.2012,14.1421,14.3186,14.0949,15.2558,UP,1
2000-09-01,14.4078,14.3488,14.3433,14.2248,15.2452,DOWN,0
2000-09-05,14.2602,14.2898,14.3669,14.2661,15.2245,DOWN,0
2000-09-06,14.2307,14.1126,14.3896,14.2484,15.2121,UP,1
2000-09-07,14.2602,14.2898,14.4122,14.272,15.1956,DOWN,0
2000-09-08,13.6697,14.2602,14.4308,14.1658,15.1525,UP,1
2000-09-11,14.2898,13.6697,14.4527,14.1421,15.1288,DOWN,0
2000-09-12,13.6993,14.2898,14.4717,14.0299,15.0934,DOWN,0
2000-09-13,13.4335,13.6993,14.4893,13.8705,15.0456,UP,1
2000-09-14,13.7583,13.4926,14.5085,13.7701,15.0137,DOWN,0
2000-09-15,13.5221,13.5221,14.5253,13.7406,14.9706,DOWN,0
2000-09-18,12.7545,13.6402,14.5372,13.4335,14.9015,UP,1
2000-09-19,12.9021,12.8135,14.5489,13.2741,14.8295,UP,1
2000-09-20,12.9907,12.9612,14.5609,13.1855,14.7669,DOWN,0
2000-09-21,12.4002,12.9612,14.5705,12.9139,14.6789,DOWN,0
2000-09-22,12.2821,12.2821,14.5775,12.6659,14.575,UP,1
2000-09-25,12.4888,12.4002,14.5857,12.6128,14.4716,UP,1
2000-09-26,12.9021,12.4297,14.5953,12.6128,14.3819,UP,1
2000-09-27,13.1974,12.9316,14.6043,12.6541,14.3081,UP,1
2000-09-28,13.4631,13.0793,14.6161,12.8667,14.2472,DOWN,0
2000-09-29,13.4335,13.4926,14.6277,13.097,14.1864,UP,1
2000-10-02,13.4631,13.5516,14.6388,13.2918,14.1321,DOWN,0
2000-10-03,13.2859,13.4631,14.6477,13.3686,14.0766,DOWN,0
2000-10-04,12.8726,13.2859,14.6553,13.3036,14.0169,DOWN,0
2000-10-05,12.6659,12.8726,14.6608,13.1442,13.9561,DOWN,0
2000-10-06,11.9573,12.6364,14.6627,12.849,13.8794,UP,1
2000-10-09,12.164,11.9573,14.6623,12.5892,13.7973,DOWN,0
2000-10-10,11.6326,12.105,14.6626,12.2585,13.7064,DOWN,0
2000-10-11,10.8649,11.2192,14.6583,11.857,13.6072,DOWN,0
2000-10-12,10.7173,11.0421,14.6505,11.4672,13.5215,UP,1
2000-10-13,10.8354,10.6287,14.6423,11.2428,13.4454,UP,1
2000-10-16,10.8649,10.8354,14.6336,10.983,13.3645,DOWN,0
2000-10-17,10.5106,10.8059,14.6249,10.7586,13.2741,DOWN,0
2000-10-18,10.1564,10.3335,14.6168,10.6169,13.1956,UP,1
2000-10-19,10.8354,10.4516,14.6127,10.6406,13.1318,UP,1
2000-10-20,11.2783,10.8945,14.6112,10.7291,13.0769,UP,1
2000-10-23,11.3373,11.3373,14.6088,10.8236,13.022,UP,1
2000-10-24,11.4259,11.8097,14.6069,11.0067,12.9694,UP,1
2000-10-25,12.4592,11.3668,14.6116,11.4672,12.9358,UP,1
2000-10-26,13.6107,12.4592,14.6205,12.0223,12.9257,UP,1
2000-10-27,14.2898,13.8174,14.627,12.6246,12.9281,DOWN,0
2000-10-30,14.1126,14.1421,14.6285,13.1796,12.9222,UP,1
2000-10-31,14.9688,14.1126,14.6367,13.8882,12.9381,DOWN,0
2000-11-01,14.8507,14.8507,14.6454,14.3665,12.9517,UP,1
2000-11-02,15.1164,14.9098,14.6525,14.6677,12.9759,UP,1
2000-11-03,15.4117,15.1755,14.6615,14.892,13.0102,DOWN,0
2000-11-06,14.7917,15.2936,14.6683,15.0279,13.0308,DOWN,0
2000-11-07,14.6145,14.7326,14.6726,14.957,13.0421,DOWN,0
2000-11-08,14.4669,14.6145,14.6694,14.8802,13.045,UP,1
2000-11-09,14.644,14.4669,14.6654,14.7858,13.055,DOWN,0
2000-11-10,14.4669,14.644,14.6646,14.5968,13.0604,DOWN,0
2000-11-13,14.3488,14.2307,14.6679,14.5082,13.0592,UP,1
2000-11-14,14.7031,14.2898,14.6671,14.5259,13.068,UP,1
2000-11-15,14.8507,14.7031,14.6686,14.6027,13.0804,UP,1
2000-11-16,14.9393,14.9688,14.6682,14.6618,13.094,DOWN,0
2000-11-17,14.7621,14.8802,14.6664,14.7208,13.1159,DOWN,0
2000-11-20,14.6145,14.7621,14.6648,14.774,13.1224,UP,1
2000-11-21,15.3231,14.6145,14.6661,14.898,13.1548,DOWN,0
2000-11-22,15.0574,15.3231,14.6629,14.9393,13.1873,UP,1
2000-11-24,15.3526,15.0574,14.662,15.022,13.2192,UP,1
2000-11-27,15.4117,15.4707,14.6642,15.1519,13.257,DOWN,0
2000-11-28,14.7917,15.4707,14.6624,15.1873,13.2977,DOWN,0
2000-11-29,14.5555,14.7917,14.6584,15.0338,13.3308,DOWN,0
2000-11-30,14.5259,14.3783,14.6556,14.9275,13.3615,UP,1
2000-12-01,14.7326,14.5555,14.6546,14.8035,13.4082,DOWN,0
2000-12-04,14.6736,14.7917,14.6536,14.6559,13.456,UP,1
2000-12-05,14.8212,14.7917,14.6552,14.6618,13.5026,DOWN,0
2000-12-06,14.7031,14.8212,14.6573,14.6913,13.5387,DOWN,0
2000-12-07,14.5259,14.7031,14.6552,14.6913,13.5652,UP,1
2000-12-08,15.0869,14.585,14.6561,14.7621,13.5977,UP,1
2000-12-11,15.1164,15.3822,14.6583,14.8507,13.6314,DOWN,0
2000-12-12,14.9688,15.0869,14.6578,14.8802,13.6615,DOWN,0
