ticker,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2018-04-26,33.5911,33.8444,30.847,33.3742,31.8689,UP,1
2018-04-27,33.6978,33.5289,30.8617,33.4702,31.9257,DOWN,0
2018-04-30,33.1378,33.7911,30.873,33.4587,31.9685,UP,1
2018-05-01,33.32,33.0889,30.8843,33.5164,32.0142,DOWN,0
2018-05-02,32.8578,33.2444,30.8946,33.3209,32.0604,DOWN,0
2018-05-03,32.8089,32.7067,30.9064,33.1644,32.102,UP,1
2018-05-04,33.2622,32.7156,30.9186,33.0773,32.156,UP,1
2018-05-07,33.4,33.3156,30.9296,33.1298,32.2103,UP,1
2018-05-08,33.48,33.4,30.9402,33.1618,32.257,DOWN,0
2018-05-09,33.4533,33.5022,30.9491,33.2809,32.3083,UP,1
2018-05-10,33.8356,33.5422,30.9578,33.4862,32.3772,UP,1
2018-05-11,34.1822,33.8756,30.9753,33.6702,32.4572,DOWN,0
2018-05-14,33.8267,34.2178,30.9922,33.7556,32.5274,UP,1
2018-05-15,33.8667,33.6978,31.0083,33.8329,32.5809,UP,1
2018-05-16,33.9778,33.8533,31.0249,33.9378,32.6336,UP,1
2018-05-17,34.0933,33.9511,31.0413,33.9893,32.6876,DOWN,0
2018-05-18,34.0133,34.0889,31.0578,33.9556,32.7412,UP,1
2018-05-21,34.3822,34.12,31.0759,34.0667,32.789,DOWN,0
2018-05-22,34.2178,34.3467,31.0945,34.1369,32.8278,DOWN,0
2018-05-23,34.1333,34.1867,31.1137,34.168,32.8698,UP,1
2018-05-24,34.1422,34.1067,31.1353,34.1778,32.9186,DOWN,0
2018-05-25,34.0978,34.08,31.1538,34.1947,32.9677,DOWN,0
2018-05-29,33.4622,33.8444,31.1688,34.0107,33.0028,UP,1
2018-05-30,34.2044,33.6089,31.1879,34.008,33.0507,DOWN,0
2018-05-31,33.9867,34.1422,31.2042,33.9787,33.0899,UP,1
2018-06-01,34.2356,34.24,31.2237,33.9973,33.1396,UP,1
2018-06-04,34.4889,34.3689,31.2445,34.0756,33.1964,DOWN,0
2018-06-05,34.2622,34.3956,31.2656,34.2356,33.2575,UP,1
2018-06-06,34.5778,34.3644,31.2889,34.3102,33.3115,UP,1
2018-06-07,34.7556,34.6133,31.3138,34.464,33.3735,UP,1
2018-06-08,34.8044,34.5244,31.3385,34.5778,33.4242,DOWN,0
2018-06-11,34.6533,34.8222,31.3632,34.6107,33.471,DOWN,0
2018-06-12,34.2222,34.7111,31.3855,34.6027,33.5196,DOWN,0
2018-06-13,34.0222,34.3378,31.4057,34.4916,33.554,DOWN,0
2018-06-14,33.4578,33.4889,31.4247,34.232,33.572,UP,1
2018-06-15,33.4933,33.4,31.444,33.9698,33.59,DOWN,0
2018-06-18,33.0133,33.1556,31.4627,33.6418,33.6085,UP,1
2018-06-19,33.2356,32.8267,31.4808,33.4444,33.6308,DOWN,0
2018-06-20,32.9867,33.36,31.4984,33.2373,33.6448,DOWN,0
2018-06-21,32.64,32.9289,31.5206,33.0738,33.6508,UP,1
2018-06-22,32.7689,32.7733,31.5429,32.9289,33.6552,DOWN,0
2018-06-25,32.7467,32.7378,31.5677,32.8756,33.6606,DOWN,0
2018-06-26,32.4933,32.7778,31.5868,32.7271,33.6497,DOWN,0
2018-06-27,31.9378,32.5156,31.6003,32.5173,33.628,UP,1
2018-06-28,32.0533,31.8711,31.614,32.4,33.6104,UP,1
2018-06-29,32.1822,32.1022,31.6288,32.2827,33.5948,DOWN,0
2018-07-02,31.9511,32.0756,31.6432,32.1236,33.5695,UP,1
2018-07-03,32.0756,32.0356,31.6581,32.04,33.5471,UP,1
2018-07-05,32.1556,32.2444,31.6739,32.0836,33.5296,UP,1
2018-07-06,32.2,32.0711,31.6906,32.1129,33.4969,UP,1
2018-07-09,32.72,32.3422,31.7093,32.2204,33.4795,UP,1
2018-07-10,32.8089,32.7556,31.7285,32.392,33.4617,UP,1
2018-07-11,32.8533,32.7244,31.7476,32.5476,33.456,DOWN,0
2018-07-12,32.6178,33.0133,31.7645,32.64,33.442,DOWN,0
2018-07-13,32.6089,32.5111,31.7798,32.7218,33.437,UP,1
2018-07-16,33.0756,32.6133,31.7975,32.7929,33.4423,DOWN,0
2018-07-17,32.8,33.0889,31.8132,32.7911,33.4331,UP,1
2018-07-18,33.1644,32.7911,31.8308,32.8533,33.4284,DOWN,0
2018-07-19,33.0711,33.0267,31.8464,32.944,33.4202,UP,1
2018-07-20,33.1733,33.0711,31.8628,33.0569,33.4146,UP,1
2018-07-23,33.1911,33.1289,31.8786,33.08,33.4017,DOWN,0
2018-07-24,33.0133,33.2178,31.8931,33.1227,33.3783,UP,1
2018-07-25,33.04,33.3333,31.9082,33.0978,33.3626,UP,1
