ticker,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-07-07,67.1213,68.0238,63.547,68.5935,64.69,UP,1
2000-07-10,67.5725,67.0085,63.5755,68.2776,64.7509,DOWN,0
2000-07-11,67.4033,67.5725,63.6144,67.9561,64.8445,DOWN,0
2000-07-12,66.2329,67.0085,63.648,67.2708,64.9497,DOWN,0
2000-07-13,62.3833,66.1624,63.665,66.1427,64.9475,DOWN,0
2000-07-14,60.6912,62.3269,63.6782,64.8567,64.9283,UP,1
2000-07-17,60.804,60.4656,63.6898,63.503,64.9317,DOWN,0
2000-07-18,59.9015,60.6912,63.6819,62.0026,64.8798,DOWN,0
2000-07-19,58.8863,59.7323,63.6638,60.5333,64.7963,DOWN,0
2000-07-20,57.8146,58.717,63.6365,59.6195,64.7083,DOWN,0
2000-07-21,57.5325,57.9274,63.5987,58.9878,64.6316,UP,1
2000-07-24,62.7782,60.24,63.5928,59.3826,64.6553,UP,1
2000-07-25,63.9909,62.6654,63.5799,60.2005,64.7055,DOWN,0
2000-07-26,63.173,64.4139,63.5568,61.0578,64.7123,UP,1
2000-07-27,65.2882,63.8498,63.5496,62.5525,64.7365,UP,1
2000-07-28,65.683,65.8804,63.5509,64.1826,64.7901,DOWN,0
2000-07-31,64.6677,65.0343,63.5448,64.5605,64.8211,UP,1
2000-08-01,66.8675,64.1883,63.5622,65.1359,64.851,UP,1
2000-08-02,67.6854,67.0085,63.5749,66.0383,64.8995,UP,1
2000-08-03,67.8828,67.7982,63.5761,66.5573,64.9249,DOWN,0
2000-08-04,66.6137,66.8957,63.5677,66.7434,64.9103,DOWN,0
2000-08-07,65.9086,66.5573,63.5424,66.9916,64.8804,DOWN,0
2000-08-08,65.3023,65.5984,63.5091,66.6785,64.8406,DOWN,0
2000-08-09,63.6806,64.4139,63.473,65.8776,64.7605,UP,1
2000-08-10,64.4985,64.0191,63.4452,65.2007,64.7035,UP,1
2000-08-11,65.3446,64.3575,63.4208,64.9469,64.703,UP,1
2000-08-14,65.7394,65.3164,63.3913,64.9131,64.7735,UP,1
2000-08-15,66.106,66.106,63.3628,65.0738,64.8468,UP,1
2000-08-16,66.4445,66.1624,63.3361,65.6266,64.9196,UP,1
2000-08-17,66.7265,66.3316,63.3174,66.0722,64.9816,DOWN,0
2000-08-18,64.9779,66.0496,63.2853,65.9989,65.0301,DOWN,0
2000-08-21,64.8651,64.4139,63.25,65.824,65.0662,UP,1
2000-08-22,65.4292,64.9779,63.2145,65.6886,65.1125,DOWN,0
2000-08-23,65.2036,65.4292,63.1843,65.4405,65.091,UP,1
2000-08-24,65.4292,65.0907,63.1595,65.181,65.0831,UP,1
2000-08-25,65.824,65.4292,63.1386,65.3502,65.0854,DOWN,0
2000-08-28,65.401,65.7676,63.1193,65.4574,65.1119,DOWN,0
2000-08-29,64.2447,65.4292,63.0979,65.2205,65.0961,DOWN,0
