ticker,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-03-07,39.83,40.19,38.832,36.1586,25.7727,UP,1
2011-03-08,40.73,39.72,39.566,36.3146,25.8936,UP,1
2011-03-09,40.9,40.92,40.132,36.4734,26.0136,DOWN,0
2011-03-10,39.69,40.38,40.158,36.6016,26.1292,DOWN,0
2011-03-11,39.16,39.05,40.062,36.7168,26.2393,UP,1
2011-03-14,39.19,39.08,39.934,36.8254,26.3457,DOWN,0
2011-03-15,38.28,37.45,39.444,36.903,26.4483,DOWN,0
2011-03-16,38.09,38.12,38.882,36.9736,26.5512,UP,1
2011-03-17,38.99,38.83,38.742,37.056,26.6595,DOWN,0
2011-03-18,38.4,39.52,38.59,37.127,26.7649,UP,1
2011-03-21,39.67,39.35,38.686,37.221,26.878,DOWN,0
2011-03-22,39.05,39.63,38.84,37.3096,26.9888,UP,1
2011-03-23,39.87,38.83,39.196,37.4022,27.1044,UP,1
2011-03-24,40.39,40.0,39.476,37.4806,27.2224,DOWN,0
2011-03-25,40.36,40.4,39.868,37.553,27.3393,DOWN,0
2011-03-28,40.21,40.5,39.976,37.6292,27.4547,DOWN,0
2011-03-29,40.14,39.94,40.194,37.6998,27.5679,DOWN,0
2011-03-30,39.68,40.39,40.156,37.7634,27.6765,DOWN,0
2011-03-31,39.55,39.66,39.988,37.8412,27.786,UP,1
2011-04-01,40.27,39.99,39.97,37.9382,27.9009,UP,1
2011-04-04,40.65,40.5,40.058,38.0502,28.0181,UP,1
2011-04-05,41.34,40.47,40.298,38.164,28.1393,UP,1
2011-04-06,41.61,41.4,40.684,38.2822,28.2631,DOWN,0
2011-04-07,41.5,41.63,41.074,38.3922,28.3874,UP,1
2011-04-08,42.58,41.58,41.536,38.5198,28.5163,DOWN,0
2011-04-11,42.49,42.6,41.904,38.6724,28.6446,DOWN,0
2011-04-12,40.53,42.03,41.742,38.7642,28.7629,UP,1
2011-04-13,40.63,40.74,41.546,38.84,28.8848,DOWN,0
2011-04-14,40.42,40.4,41.33,38.9174,29.0062,UP,1
2011-04-15,41.01,40.42,41.016,39.0152,29.1335,DOWN,0
2011-04-18,40.06,40.68,40.53,39.093,29.2564,UP,1
2011-04-19,40.78,40.05,40.58,39.1982,29.385,UP,1
2011-04-20,42.0,41.46,40.854,39.3286,29.52,UP,1
2011-04-21,42.73,42.05,41.316,39.4664,29.6584,UP,1
2011-04-25,43.26,42.81,41.766,39.5966,29.7957,UP,1
2011-04-26,43.79,43.53,42.512,39.731,29.9355,DOWN,0
2011-04-27,43.7,43.99,43.096,39.857,30.072,UP,1
2011-04-28,44.44,43.78,43.584,39.9962,30.2122,UP,1
2011-04-29,44.5,44.66,43.938,40.1354,30.3529,UP,1
2011-05-02,45.62,48.09,44.41,40.276,30.5,DOWN,0
2011-05-03,44.57,45.7,44.566,40.4084,30.6406,DOWN,0
2011-05-04,42.83,44.41,44.392,40.5482,30.7738,DOWN,0
2011-05-05,41.65,42.74,43.834,40.6484,30.9008,DOWN,0
2011-05-06,41.08,41.74,43.15,40.736,31.0235,UP,1
2011-05-09,41.5,41.08,42.326,40.8026,31.1471,UP,1
2011-05-10,42.24,42.03,41.86,40.8858,31.27,DOWN,0
2011-05-11,42.22,42.5,41.738,40.989,31.39,DOWN,0
2011-05-12,41.33,42.0,41.674,41.0542,31.507,DOWN,0
2011-05-13,39.68,41.63,41.394,41.0566,31.6157,DOWN,0
2011-05-16,38.1,38.32,40.714,41.0258,31.7162,UP,1
2011-05-17,38.95,38.1,40.056,41.0082,31.8206,UP,1
2011-05-18,41.0,39.11,39.812,41.0136,31.9361,DOWN,0
2011-05-19,41.0,41.25,39.746,41.0156,32.0496,DOWN,0
2011-05-20,40.0,40.7,39.81,41.0218,32.1584,DOWN,0
2011-05-23,38.9,38.91,39.97,41.0166,32.2629,UP,1
2011-05-24,39.75,39.43,40.13,41.0278,32.3714,UP,1
2011-05-25,41.59,39.5,40.248,41.094,32.4894,UP,1
2011-05-26,41.76,41.63,40.4,41.1674,32.6102,UP,1
2011-05-27,42.74,42.12,40.948,41.2424,32.7364,UP,1
2011-05-31,43.81,43.47,41.93,41.3506,32.8653,DOWN,0
2011-06-01,42.28,43.67,42.436,41.4028,32.9832,DOWN,0
2011-06-02,41.7,42.66,42.458,41.4558,33.0964,DOWN,0
2011-06-03,39.89,40.5,42.084,41.4562,33.1968,DOWN,0
2011-06-06,38.24,40.05,41.184,41.4132,33.289,UP,1
2011-06-07,38.88,39.43,40.198,41.3836,33.384,UP,1
2011-06-08,39.22,38.5,39.586,41.3638,33.4798,UP,1
2011-06-09,40.0,39.55,39.246,41.361,33.5798,DOWN,0
2011-06-10,39.3,39.55,39.128,41.3534,33.6767,DOWN,0
2011-06-13,38.3,39.4,39.14,41.3284,33.7682,UP,1
2011-06-14,39.88,39.14,39.34,41.3206,33.8654,DOWN,0
2011-06-15,38.36,39.28,39.168,41.2748,33.9561,DOWN,0
2011-06-16,37.01,38.46,38.57,41.1882,34.0386,DOWN,0
2011-06-17,36.88,37.55,38.086,41.0936,34.1179,DOWN,0
2011-06-20,36.56,36.465,37.738,40.9948,34.196,UP,1
2011-06-21,38.61,37.09,37.484,40.9154,34.2834,UP,1
2011-06-22,38.7,38.64,37.552,40.8396,34.3721,DOWN,0
2011-06-23,38.06,37.87,37.762,40.7902,34.4574,DOWN,0
2011-06-24,37.58,38.24,37.902,40.7292,34.5418,DOWN,0
2011-06-27,37.26,37.65,38.042,40.666,34.6242,UP,1
2011-06-28,37.48,37.7,37.816,40.5954,34.7047,UP,1
2011-06-29,38.29,37.74,37.734,40.56,34.7886,UP,1
2011-06-30,38.52,38.3,37.826,40.5148,34.8734,UP,1
2011-07-01,38.92,39.41,38.094,40.4532,34.9587,UP,1
2011-07-05,39.89,39.01,38.62,40.3964,35.0469,DOWN,0
2011-07-06,39.45,39.63,39.014,40.3202,35.1332,UP,1
2011-07-07,41.23,39.95,39.602,40.269,35.2283,DOWN,0
2011-07-08,40.88,40.51,40.074,40.2126,35.323,DOWN,0
2011-07-11,38.48,39.99,39.986,40.0934,35.4061,DOWN,0
2011-07-12,38.4,38.32,39.688,39.9714,35.4858,UP,1
2011-07-13,38.47,38.86,39.492,39.8284,35.5627,DOWN,0
2011-07-14,37.92,38.5,38.83,39.6954,35.635,UP,1
2011-07-15,38.09,38.2,38.272,39.6006,35.7074,DOWN,0
2011-07-18,36.84,37.85,37.944,39.5044,35.7721,UP,1
2011-07-19,37.08,37.28,37.68,39.4244,35.8381,UP,1
2011-07-20,37.6,37.39,37.506,39.3464,35.9057,UP,1
2011-07-21,39.09,37.93,37.74,39.2834,35.9772,UP,1
2011-07-22,39.54,38.95,38.03,39.2298,36.0538,DOWN,0
2011-07-25,38.31,38.81,38.324,39.1694,36.1231,UP,1
2011-07-26,38.94,38.29,38.696,39.1546,36.1915,DOWN,0
2011-07-27,38.0,38.55,38.776,39.1526,36.2507,DOWN,0
2011-07-28,37.55,38.0,38.468,39.1246,36.307,UP,1
2011-07-29,39.46,38.0,38.452,39.0938,36.3694,UP,1
2011-08-01,40.33,40.96,38.856,39.0804,36.436,DOWN,0
2011-08-02,37.39,40.0,38.546,39.0282,36.4904,DOWN,0
2011-08-03,37.29,37.61,38.404,38.996,36.5431,DOWN,0
2011-08-04,33.51,36.6,37.596,38.8712,36.5781,DOWN,0
2011-08-05,33.11,34.22,36.326,38.7016,36.608,DOWN,0
2011-08-08,28.47,31.49,33.954,38.4358,36.6125,UP,1
2011-08-09,31.84,29.41,32.844,38.2178,36.634,DOWN,0
2011-08-10,31.13,30.86,31.612,37.9642,36.6498,UP,1
2011-08-11,34.02,31.34,31.714,37.799,36.6813,DOWN,0
2011-08-12,33.9,34.1,31.872,37.643,36.7148,UP,1
2011-08-15,33.94,34.16,32.966,37.524,36.7469,DOWN,0
2011-08-16,32.62,33.49,33.122,37.4116,36.7757,DOWN,0
2011-08-17,31.91,32.94,33.278,37.2722,36.8053,DOWN,0
2011-08-18,29.05,30.6,32.284,37.0688,36.8174,DOWN,0
2011-08-19,27.98,28.67,31.1,36.8284,36.8225,UP,1
2011-08-22,28.75,29.21,30.062,36.6174,36.8292,UP,1
2011-08-23,29.85,29.08,29.508,36.4484,36.8367,UP,1
2011-08-24,30.79,29.72,29.284,36.2666,36.8464,DOWN,0
2011-08-25,30.42,31.03,29.558,36.1078,36.8563,UP,1
2011-08-26,31.85,30.03,30.332,36.0046,36.8739,UP,1
2011-08-29,34.69,32.78,31.52,35.9608,36.9059,DOWN,0
2011-08-30,34.06,34.18,32.362,35.9108,36.9392,UP,1
2011-08-31,34.65,34.37,33.134,35.8316,36.9741,DOWN,0
2011-09-01,33.92,34.58,33.834,35.736,37.0102,DOWN,0
2011-09-02,32.11,32.66,33.886,35.617,37.0346,DOWN,0
2011-09-06,32.1,30.65,33.368,35.5074,37.0567,UP,1
2011-09-07,33.94,32.76,33.344,35.441,37.0826,DOWN,0
2011-09-08,33.35,33.44,33.084,35.3584,37.101,DOWN,0
2011-09-09,31.19,32.76,32.538,35.2164,37.1122,UP,1
2011-09-12,31.42,30.4,32.4,35.0744,37.1218,UP,1
2011-09-13,32.51,31.75,32.482,34.9462,37.1374,UP,1
2011-09-14,33.29,32.64,32.352,34.8142,37.1551,UP,1
2011-09-15,33.69,33.72,32.42,34.699,37.1775,UP,1
2011-09-16,34.0,33.58,32.982,34.5544,37.1981,DOWN,0
2011-09-19,32.92,32.82,33.282,34.3952,37.2103,DOWN,0
2011-09-20,31.76,33.11,33.132,34.2608,37.2165,DOWN,0
2011-09-21,28.89,31.44,32.252,34.0706,37.2055,DOWN,0
2011-09-22,27.81,27.05,31.076,33.8574,37.1866,UP,1
2011-09-23,28.47,27.79,29.97,33.6684,37.1746,UP,1
2011-09-26,29.0,28.8,29.186,33.4866,37.1666,UP,1
2011-09-27,29.59,30.06,28.752,33.3416,37.159,DOWN,0
2011-09-28,27.77,29.52,28.528,33.1554,37.1386,DOWN,0
2011-09-29,26.65,28.6,28.296,32.9364,37.1119,DOWN,0
2011-09-30,24.43,25.7,27.488,32.6432,37.0753,DOWN,0
2011-10-03,24.1,24.3,26.508,32.3344,37.0398,UP,1
2011-10-04,25.88,23.75,25.766,32.0858,37.0098,UP,1
2011-10-05,26.09,25.89,25.43,31.8288,36.9798,UP,1
2011-10-06,27.39,26.12,25.578,31.6166,36.954,DOWN,0
2011-10-07,26.52,27.7,25.996,31.396,36.9218,UP,1
2011-10-10,27.25,27.24,26.626,31.1518,36.8934,UP,1
2011-10-11,28.05,26.93,27.06,30.9062,36.8689,UP,1
2011-10-12,28.7,28.26,27.582,30.7324,36.846,DOWN,0
2011-10-13,28.06,28.29,27.716,30.5478,36.8193,UP,1
2011-10-14,29.2,28.82,28.252,30.4616,36.7965,DOWN,0
2011-10-17,28.24,28.97,28.45,30.3642,36.7657,UP,1
2011-10-18,28.29,28.04,28.498,30.3606,36.7343,DOWN,0
2011-10-19,26.93,27.99,28.144,30.2624,36.6946,UP,1
2011-10-20,27.39,26.88,28.01,30.1876,36.6573,UP,1
2011-10-21,31.02,30.8,28.374,30.1276,36.6376,UP,1
2011-10-24,32.33,31.1,29.192,30.0962,36.6261,DOWN,0
2011-10-25,30.73,32.3375,29.68,30.032,36.6036,UP,1
2011-10-26,31.74,31.2,30.642,30.0144,36.5799,UP,1
2011-10-27,33.59,32.89,31.882,30.048,36.5642,UP,1
2011-10-28,34.5,34.25,32.578,30.157,36.5547,DOWN,0
2011-10-31,32.86,34.75,32.684,30.2546,36.5359,DOWN,0
2011-11-01,32.11,30.9,32.96,30.3218,36.514,UP,1
2011-11-02,33.21,32.61,33.254,30.389,36.5017,UP,1
2011-11-03,34.46,34.04,33.428,30.4624,36.4969,UP,1
2011-11-04,35.01,34.14,33.53,30.5542,36.4967,DOWN,0
2011-11-07,34.79,34.92,33.916,30.613,36.4924,UP,1
2011-11-08,34.94,35.0,34.482,30.618,36.4886,DOWN,0
2011-11-09,34.06,33.36,34.652,30.618,36.479,UP,1
2011-11-10,35.07,34.52,34.774,30.6264,36.4733,UP,1
2011-11-11,36.08,35.22,34.988,30.6696,36.4794,DOWN,0
2011-11-14,35.53,36.51,35.136,30.738,36.4773,DOWN,0
