ticker,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-27,4.9375,4.75,4.8628,4.95,5.4125,DOWN,0
2000-06-28,4.8125,4.9375,4.8613,4.875,5.3963,DOWN,0
2000-06-29,4.75,4.8125,4.8603,4.8125,5.3675,UP,1
2000-06-30,5.0,4.75,4.8622,4.8625,5.3275,DOWN,0
2000-07-03,4.9375,5.0,4.8628,4.8875,5.3025,DOWN,0
2000-07-05,4.6875,4.9375,4.8631,4.8375,5.275,DOWN,0
2000-07-06,4.5625,4.6875,4.8647,4.7875,5.2263,DOWN,0
2000-07-07,4.5,4.5625,4.8653,4.7375,5.18,DOWN,0
2000-07-10,4.375,4.5625,4.8647,4.6125,5.1125,UP,1
2000-07-11,4.875,4.6875,4.8675,4.6,5.0725,UP,1
2000-07-12,5.375,5.0,4.8734,4.7375,5.0363,UP,1
2000-07-13,5.625,5.5,4.8816,4.95,5.015,DOWN,0
2000-07-14,5.25,5.6875,4.8888,5.1,4.9863,DOWN,0
2000-07-17,5.0625,5.1875,4.8956,5.2375,4.9563,DOWN,0
2000-07-18,5.0,5.0,4.8997,5.2625,4.925,DOWN,0
2000-07-19,4.8125,4.875,4.9041,5.15,4.8913,DOWN,0
2000-07-20,4.6875,4.75,4.9081,4.9625,4.8675,UP,1
2000-07-21,4.75,4.6875,4.9119,4.8625,4.825,DOWN,0
2000-07-24,4.6875,4.9375,4.9163,4.7875,4.8012,DOWN,0
2000-07-25,4.5,4.6875,4.9206,4.6875,4.7763,DOWN,0
2000-07-26,4.3125,4.4375,4.9238,4.5875,4.7438,DOWN,0
2000-07-27,4.0,4.1875,4.9259,4.45,4.7113,DOWN,0
2000-07-28,3.9375,4.0,4.9281,4.2875,4.6863,UP,1
2000-07-31,4.125,4.125,4.9306,4.175,4.6638,DOWN,0
2000-08-01,4.0625,4.125,4.9334,4.0875,4.6413,DOWN,0
2000-08-02,4.0,3.9375,4.9369,4.025,4.6213,DOWN,0
2000-08-03,3.75,3.75,4.9384,3.975,4.5963,UP,1
2000-08-04,3.8125,3.75,4.9409,3.95,4.5788,UP,1
2000-08-07,3.9375,3.8125,4.9438,3.9125,4.5713,DOWN,0
2000-08-08,3.75,3.875,4.9453,3.85,4.5538,DOWN,0
2000-08-09,3.5625,3.8125,4.9478,3.7625,4.53,UP,1
2000-08-10,3.625,3.5625,4.9506,3.7375,4.5088,UP,1
2000-08-11,3.6875,3.6875,4.9528,3.7125,4.4963,UP,1
2000-08-14,3.75,3.6875,4.9556,3.675,4.4813,UP,1
2000-08-15,4.125,3.8125,4.96,3.75,4.4725,UP,1
2000-08-16,4.3125,4.0,4.9659,3.9,4.4688,UP,1
2000-08-17,4.375,4.25,4.9722,4.05,4.4688,UP,1
2000-08-18,5.625,4.375,4.9856,4.4375,4.495,DOWN,0
2000-08-21,5.4375,5.5,4.9988,4.775,4.5175,DOWN,0
2000-08-22,5.25,5.25,5.0109,5.0,4.5363,DOWN,0
2000-08-23,4.9375,5.125,5.0209,5.125,4.5488,UP,1
2000-08-24,5.5,4.9375,5.0322,5.35,4.5738,DOWN,0
2000-08-25,5.4375,5.375,5.0381,5.3125,4.6013,UP,1
2000-08-28,6.0625,5.125,5.0491,5.4375,4.64,DOWN,0
2000-08-29,6.0,5.9375,5.0603,5.5875,4.665,DOWN,0
2000-08-30,5.8125,6.0,5.0706,5.7625,4.6838,UP,1
2000-08-31,5.875,5.875,5.0816,5.8375,4.6975,DOWN,0
2000-09-01,5.75,5.8125,5.0906,5.9,4.7113,UP,1
2000-09-05,6.0,5.8125,5.1009,5.8875,4.7363,DOWN,0
2000-09-06,5.875,5.9375,5.1109,5.8625,4.7575,DOWN,0
2000-09-07,5.8125,5.875,5.1206,5.8625,4.775,DOWN,0
2000-09-08,5.8125,5.8125,5.1313,5.85,4.795,DOWN,0
2000-09-11,5.6875,5.75,5.1413,5.8375,4.8138,DOWN,0
2000-09-12,5.3125,5.75,5.1494,5.7,4.82,DOWN,0
2000-09-13,5.0625,5.0,5.1537,5.5375,4.8225,UP,1
2000-09-14,5.25,5.0625,5.1606,5.425,4.8338,UP,1
2000-09-15,5.375,5.25,5.1684,5.3375,4.85,UP,1
2000-09-18,5.5,5.375,5.1769,5.3,4.87,UP,1
2000-09-19,5.5625,5.4375,5.1859,5.35,4.8938,UP,1
2000-09-20,6.0,5.625,5.1972,5.5375,4.9163,DOWN,0
2000-09-21,6.0,5.875,5.2088,5.6875,4.9288,DOWN,0
2000-09-22,5.625,5.5625,5.2191,5.7375,4.9288,DOWN,0
2000-09-25,5.5625,5.625,5.2294,5.75,4.935,DOWN,0
2000-09-26,5.125,5.5625,5.2369,5.6625,4.9363,DOWN,0
2000-09-27,5.0625,5.25,5.245,5.475,4.9375,UP,1
2000-09-28,5.4375,5.0,5.2541,5.3625,4.95,UP,1
2000-09-29,5.875,5.625,5.2659,5.4125,4.9738,DOWN,0
2000-10-02,5.8125,5.875,5.275,5.4625,4.995,DOWN,0
2000-10-03,5.5625,5.8125,5.2819,5.55,5.0125,UP,1
2000-10-04,6.125,5.625,5.2928,5.7625,5.045,UP,1
2000-10-05,6.625,6.125,5.3066,6.0,5.0912,DOWN,0
2000-10-06,6.125,6.625,5.3178,6.05,5.1338,UP,1
2000-10-09,6.1875,6.1875,5.33,6.125,5.1788,DOWN,0
2000-10-10,6.0,6.4375,5.3416,6.2125,5.2162,DOWN,0
2000-10-11,5.5,5.75,5.3513,6.0875,5.245,DOWN,0
2000-10-12,5.25,5.5,5.3591,5.8125,5.27,UP,1
2000-10-13,5.5625,5.25,5.3678,5.7,5.3063,UP,1
2000-10-16,5.625,5.5625,5.375,5.5875,5.3425,DOWN,0
2000-10-17,5.3125,5.625,5.3819,5.45,5.37,DOWN,0
2000-10-18,5.0,5.1875,5.3834,5.35,5.395,UP,1
2000-10-19,5.1875,5.125,5.3875,5.3375,5.4275,UP,1
2000-10-20,5.25,5.125,5.3909,5.275,5.46,UP,1
2000-10-23,5.5625,5.375,5.3906,5.2625,5.4975,UP,1
2000-10-24,5.6875,5.5625,5.3941,5.3375,5.5363,UP,1
2000-10-25,6.125,5.5625,5.3997,5.5625,5.5763,DOWN,0
2000-10-26,6.0,6.0625,5.4069,5.725,5.61,DOWN,0
2000-10-27,6.0,6.0,5.4153,5.875,5.6425,DOWN,0
2000-10-30,5.875,5.875,5.4222,5.9375,5.6475,UP,1
2000-10-31,6.0,5.875,5.4266,6.0,5.6588,DOWN,0
2000-11-01,5.75,5.8125,5.4219,5.925,5.6688,UP,1
2000-11-02,6.0625,6.0,5.4244,5.9375,5.6913,DOWN,0
2000-11-03,5.9375,6.0,5.4284,5.925,5.7,DOWN,0
2000-11-06,5.9375,5.875,5.4344,5.9375,5.71,DOWN,0
2000-11-07,5.8125,5.875,5.4359,5.9,5.705,UP,1
2000-11-08,6.0,5.9375,5.4372,5.95,5.705,DOWN,0
