ticker,REG US Equity,REG US Equity,REG US Equity,REG US Equity,REG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-05-25,20.5625,20.8125,20.2045,20.9875,20.7913,UP,1
2000-05-26,20.75,20.6875,20.2055,20.9125,20.8125,UP,1
2000-05-30,21.25,20.9375,20.2083,20.8875,20.8475,DOWN,0
2000-05-31,21.0625,21.25,20.2089,20.875,20.88,DOWN,0
2000-06-01,21.0,21.0,20.2089,20.925,20.9013,UP,1
2000-06-02,21.25,20.9375,20.2092,21.0625,20.9237,DOWN,0
2000-06-05,21.0,21.375,20.2067,21.1125,20.9488,DOWN,0
2000-06-06,21.0,21.0,20.2036,21.0625,20.9788,UP,1
2000-06-07,21.375,21.0625,20.2017,21.125,21.0138,DOWN,0
2000-06-08,21.375,21.5,20.2023,21.2,21.05,UP,1
2000-06-09,21.5,21.3125,20.2048,21.25,21.0925,DOWN,0
2000-06-12,21.5,21.5,20.208,21.35,21.135,UP,1
2000-06-13,21.75,21.6875,20.212,21.5,21.175,UP,1
2000-06-14,22.25,21.75,20.2195,21.675,21.2338,UP,1
2000-06-15,22.3125,22.1875,20.2261,21.8625,21.28,DOWN,0
2000-06-16,22.25,22.375,20.2323,22.0125,21.3263,UP,1
2000-06-19,22.4375,22.375,20.2408,22.2,21.3713,DOWN,0
2000-06-20,22.3125,22.375,20.2473,22.3125,21.4113,DOWN,0
2000-06-21,22.125,22.25,20.253,22.2875,21.4463,DOWN,0
2000-06-22,22.0,22.125,20.2608,22.225,21.4738,DOWN,0
2000-06-23,21.875,22.0625,20.2683,22.15,21.4975,UP,1
2000-06-26,22.0,21.875,20.2761,22.0625,21.5238,DOWN,0
2000-06-27,21.875,22.0,20.2833,21.975,21.54,UP,1
2000-06-28,22.0,21.9375,20.2908,21.95,21.5625,UP,1
2000-06-29,22.5,22.0,20.3008,22.05,21.595,UP,1
2000-06-30,23.7344,22.5,20.3179,22.4219,21.6484,DOWN,0
2000-07-03,22.6875,23.625,20.3304,22.5594,21.6934,DOWN,0
2000-07-05,22.625,22.8125,20.3398,22.7094,21.7384,UP,1
2000-07-06,23.125,22.5625,20.3548,22.9344,21.7859,DOWN,0
2000-07-07,23.125,23.1875,20.3701,23.0594,21.8197,DOWN,0
2000-07-10,22.6875,22.75,20.3838,22.85,21.8359,UP,1
