ticker,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-07-19,5.7325,5.575,5.5685,4.8641,4.2741,UP,1
2005-07-20,5.75,5.6875,5.681,4.9019,4.2818,DOWN,0
2005-07-21,5.7025,5.745,5.688,4.9384,4.2891,DOWN,0
2005-07-22,5.6475,5.7275,5.6775,4.975,4.2958,DOWN,0
2005-07-25,5.615,5.6475,5.6895,5.0123,4.3008,UP,1
2005-07-26,5.66,5.61,5.675,5.0511,4.307,DOWN,0
2005-07-27,5.645,5.675,5.654,5.0888,4.3125,UP,1
2005-07-28,5.9525,5.665,5.704,5.1296,4.3193,DOWN,0
2005-07-29,5.8875,5.95,5.752,5.1681,4.3256,UP,1
2005-08-01,6.0225,5.885,5.8335,5.2001,4.3333,DOWN,0
2005-08-02,5.91,5.75,5.8835,5.2258,4.3403,UP,1
2005-08-03,5.96,5.8875,5.9465,5.2489,4.3473,DOWN,0
2005-08-04,5.905,5.9475,5.937,5.269,4.354,UP,1
2005-08-05,5.92,5.9,5.9435,5.2881,4.3609,DOWN,0
2005-08-08,5.9175,5.875,5.9225,5.3057,4.3675,UP,1
2005-08-09,6.0625,5.9325,5.953,5.3277,4.3761,UP,1
2005-08-10,6.13,6.0675,5.987,5.3491,4.384,DOWN,0
2005-08-11,5.9875,6.125,6.0035,5.368,4.3909,DOWN,0
2005-08-12,5.8825,5.99,5.996,5.3809,4.3962,DOWN,0
2005-08-15,5.535,5.75,5.9195,5.3888,4.3987,DOWN,0
2005-08-16,5.4975,5.535,5.8065,5.3982,4.4008,UP,1
2005-08-17,5.55,5.52,5.6905,5.4105,4.4014,DOWN,0
2005-08-18,5.08,4.875,5.509,5.4127,4.3994,UP,1
2005-08-19,5.12,5.075,5.3565,5.4144,4.3979,DOWN,0
2005-08-22,5.0425,5.1225,5.258,5.4165,4.3974,DOWN,0
2005-08-23,4.9875,5.025,5.156,5.4139,4.3962,DOWN,0
