ticker,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-05-16,23.55,23.66,23.626,21.7012,,DOWN,0
2012-05-17,22.5,23.6,23.49,21.7612,,DOWN,0
2012-05-18,21.78,22.56,23.038,21.7942,,UP,1
2012-05-21,22.11,21.84,22.712,21.8174,,DOWN,0
2012-05-22,22.05,22.16,22.398,21.838,,DOWN,0
2012-05-23,22.0,21.86,22.088,21.8466,,UP,1
2012-05-24,22.36,22.09,22.06,21.8692,,UP,1
2012-05-25,22.6,22.47,22.224,21.8952,,UP,1
2012-05-29,23.1,22.75,22.422,21.929,,DOWN,0
2012-05-30,22.84,22.93,22.58,21.9568,,DOWN,0
2012-05-31,22.62,22.81,22.704,21.986,,DOWN,0
2012-06-01,21.13,22.0503,22.458,21.9862,,DOWN,0
2012-06-04,20.58,21.1,22.054,21.972,,UP,1
2012-06-05,20.62,20.54,21.558,21.9578,,UP,1
2012-06-06,21.31,20.8,21.252,21.9518,,UP,1
2012-06-07,21.7,21.59,21.068,21.9528,,UP,1
2012-06-08,22.34,21.67,21.31,21.9546,,DOWN,0
2012-06-11,21.8,22.56,21.554,21.9466,,UP,1
2012-06-12,22.02,21.93,21.834,21.9456,,DOWN,0
2012-06-13,21.41,22.0,21.854,21.9396,,UP,1
2012-06-14,21.59,21.46,21.832,21.9392,,UP,1
2012-06-15,21.97,21.7,21.758,21.9518,,UP,1
2012-06-18,22.88,21.8,21.974,21.9818,,UP,1
2012-06-19,23.21,22.95,22.212,22.026,,DOWN,0
2012-06-20,22.77,23.1,22.484,22.0772,,DOWN,0
2012-06-21,20.55,22.29,22.276,22.0774,,DOWN,0
2012-06-22,20.47,20.57,21.976,22.067,,DOWN,0
2012-06-25,20.15,20.12,21.43,22.0562,,UP,1
2012-06-26,20.65,20.2,20.918,22.0548,,UP,1
2012-06-27,21.16,20.7,20.596,22.064,,UP,1
2012-06-28,21.78,20.95,20.842,22.0862,,UP,1
2012-06-29,22.27,22.18,21.202,22.1232,,UP,1
2012-07-02,23.37,22.42,21.846,22.1766,18.5053,UP,1
2012-07-03,23.43,23.34,22.402,22.2374,18.559,UP,1
2012-07-05,23.6,23.39,22.89,22.3004,18.6081,DOWN,0
2012-07-06,22.97,23.32,23.128,22.3454,18.6544,DOWN,0
2012-07-09,22.61,22.96,23.196,22.3848,18.7005,DOWN,0
2012-07-10,21.59,23.05,22.84,22.366,18.7424,UP,1
2012-07-11,21.81,21.63,22.516,22.3474,18.7902,DOWN,0
2012-07-12,21.81,21.61,22.158,22.3148,18.8359,UP,1
2012-07-13,22.1,21.81,21.984,22.2794,18.8796,DOWN,0
2012-07-16,21.51,22.0,21.764,22.242,18.9229,DOWN,0
2012-07-17,21.41,21.61,21.728,22.2028,18.9641,UP,1
2012-07-18,22.42,21.31,21.85,22.1832,19.0142,UP,1
2012-07-19,22.9,22.53,22.068,22.1786,19.0672,DOWN,0
2012-07-20,22.43,22.66,22.134,22.1682,19.1178,DOWN,0
2012-07-23,21.95,21.83,22.222,22.1436,19.1666,DOWN,0
2012-07-24,21.52,21.99,22.244,22.0932,19.2104,DOWN,0
2012-07-25,20.73,21.5,21.906,22.033,19.2523,UP,1
2012-07-26,21.33,21.25,21.592,21.9872,19.2971,UP,1
2012-07-27,22.13,20.99,21.532,21.9588,19.3453,UP,1
2012-07-30,22.39,22.05,21.62,21.9566,19.3943,DOWN,0
2012-07-31,22.12,22.29,21.74,21.9634,19.4418,DOWN,0
2012-08-01,21.88,22.25,21.97,21.9588,19.4861,DOWN,0
2012-08-02,21.41,21.6,21.986,21.946,19.5246,UP,1
2012-08-03,22.51,21.87,22.062,21.9562,19.5647,UP,1
2012-08-06,22.71,22.5,22.126,21.9632,19.603,UP,1
2012-08-07,22.91,22.9,22.284,21.9694,19.6429,DOWN,0
2012-08-08,22.75,22.76,22.458,21.9624,19.6819,DOWN,0
2012-08-09,22.57,22.77,22.69,21.957,19.7157,DOWN,0
2012-08-10,22.4,22.52,22.668,21.9526,19.7538,UP,1
2012-08-13,22.65,22.39,22.656,21.983,19.7927,UP,1
2012-08-14,23.41,22.72,22.756,22.0396,19.8326,UP,1
2012-08-15,23.68,23.21,22.942,22.1008,19.8764,UP,1
