ticker,EPAM US Equity,EPAM US Equity,EPAM US Equity,EPAM US Equity,EPAM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-07-03,25.78,25.32,26.32,24.1204,21.3836,UP,1
2013-07-05,26.13,25.94,26.042,24.2016,21.4195,UP,1
2013-07-08,27.76,26.24,26.158,24.3276,21.4645,UP,1
2013-07-09,27.95,27.79,26.596,24.4598,21.5109,UP,1
2013-07-10,28.41,27.97,27.206,24.5994,21.5585,UP,1
2013-07-11,28.59,29.0,27.768,24.7412,21.607,UP,1
2013-07-12,28.72,28.6,28.286,24.8884,21.656,UP,1
2013-07-15,29.1,28.81,28.554,25.0386,21.7071,DOWN,0
2013-07-16,28.83,29.11,28.73,25.1674,21.757,UP,1
2013-07-17,28.94,28.91,28.836,25.2858,21.8093,UP,1
2013-07-18,29.23,29.01,28.964,25.4104,21.8623,DOWN,0
2013-07-19,29.04,29.11,29.028,25.5298,21.9128,UP,1
2013-07-22,29.15,29.02,29.038,25.6532,21.9655,DOWN,0
2013-07-23,29.0,29.3,29.072,25.7712,22.0158,DOWN,0
2013-07-24,28.87,29.09,29.058,25.8948,22.0652,UP,1
2013-07-25,29.21,28.85,29.054,26.0226,22.116,DOWN,0
2013-07-26,29.21,28.99,29.088,26.1518,22.1655,DOWN,0
2013-07-29,29.08,29.2,29.074,26.2802,22.2139,UP,1
2013-07-30,29.12,29.0,29.098,26.4026,22.262,DOWN,0
2013-07-31,28.95,29.04,29.114,26.5212,22.3094,UP,1
2013-08-01,29.02,29.2,29.076,26.623,22.357,DOWN,0
2013-08-02,28.65,28.81,28.964,26.7252,22.4037,UP,1
2013-08-05,29.7,28.65,29.088,26.8584,22.4571,DOWN,0
2013-08-06,29.39,29.56,29.142,26.9804,22.51,UP,1
2013-08-07,29.44,29.17,29.24,27.102,22.5665,UP,1
2013-08-08,29.72,29.63,29.38,27.2324,22.6254,UP,1
2013-08-09,31.52,29.03,29.954,27.3968,22.695,DOWN,0
2013-08-12,31.18,31.84,30.25,27.5572,22.7627,UP,1
2013-08-13,31.64,31.16,30.7,27.7254,22.8321,UP,1
2013-08-14,31.87,31.47,31.186,27.8766,22.9023,DOWN,0
2013-08-15,30.46,31.67,31.334,27.9986,22.9656,UP,1
2013-08-16,30.67,30.29,31.164,28.1098,23.0291,DOWN,0
2013-08-19,30.27,30.68,30.982,28.2042,23.0906,UP,1
2013-08-20,30.36,30.28,30.726,28.3004,23.1524,UP,1
2013-08-21,30.73,30.33,30.498,28.4002,23.217,UP,1
2013-08-22,31.4,30.92,30.686,28.516,23.2834,DOWN,0
2013-08-23,31.14,31.5,30.78,28.6284,23.3467,DOWN,0
2013-08-26,30.86,31.14,30.898,28.7462,23.411,DOWN,0
2013-08-27,30.25,30.51,30.876,28.8282,23.4733,UP,1
2013-08-28,30.3,30.24,30.79,28.904,23.5275,UP,1
2013-08-29,32.2,30.3,30.95,29.015,23.5903,DOWN,0
2013-08-30,31.98,32.32,31.118,29.1258,23.6508,DOWN,0
2013-09-03,31.91,32.29,31.328,29.2252,23.7131,UP,1
2013-09-04,32.32,31.97,31.742,29.3516,23.7775,DOWN,0
2013-09-05,32.14,32.33,32.11,29.4582,23.8409,UP,1
2013-09-06,32.17,32.25,32.104,29.5636,23.9014,UP,1
2013-09-09,33.41,32.34,32.39,29.6814,23.9691,UP,1
2013-09-10,34.46,33.69,32.9,29.827,24.0415,DOWN,0
2013-09-11,34.39,34.47,33.314,29.9996,24.1134,DOWN,0
2013-09-12,34.18,34.31,33.722,30.176,24.1843,DOWN,0
2013-09-13,33.24,34.31,33.936,30.3252,24.2509,DOWN,0
2013-09-16,33.13,33.53,33.88,30.4652,24.316,UP,1
2013-09-17,33.51,33.06,33.69,30.5802,24.381,UP,1
2013-09-18,34.48,33.56,33.708,30.7108,24.4506,UP,1
2013-09-19,34.82,34.57,33.836,30.839,24.5211,DOWN,0
2013-09-20,33.99,34.96,33.986,30.947,24.5875,DOWN,0
2013-09-23,33.95,33.78,34.15,31.0516,24.6542,DOWN,0
2013-09-24,33.92,33.89,34.232,31.148,24.7201,UP,1
2013-09-25,34.83,33.92,34.302,31.268,24.7908,UP,1
2013-09-26,35.13,34.86,34.364,31.3918,24.8645,DOWN,0
2013-09-27,34.81,34.93,34.528,31.5034,24.9364,DOWN,0
2013-09-30,34.5,34.66,34.638,31.6126,25.0067,UP,1
2013-10-01,35.11,34.51,34.876,31.7318,25.0808,DOWN,0
2013-10-02,34.6,34.98,34.83,31.8438,25.1503,DOWN,0
2013-10-03,34.48,34.7,34.7,31.956,25.2187,UP,1
2013-10-04,34.95,34.39,34.728,32.0708,25.29,DOWN,0
