ticker,RL US Equity,RL US Equity,RL US Equity,RL US Equity,RL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-15,19.8125,19.625,16.395,19.4,16.1263,DOWN,0
2000-08-16,19.125,19.625,16.3988,19.625,16.2275,UP,1
2000-08-17,19.875,19.0,16.4075,19.725,16.345,DOWN,0
2000-08-18,19.0625,19.75,16.4147,19.55,16.4525,UP,1
2000-08-21,19.75,19.125,16.4275,19.525,16.5688,DOWN,0
2000-08-22,19.25,19.6875,16.4366,19.4125,16.6713,DOWN,0
2000-08-23,18.6875,19.0,16.4438,19.325,16.765,UP,1
2000-08-24,19.375,18.875,16.4547,19.225,16.87,UP,1
2000-08-25,19.5625,19.375,16.4706,19.325,16.9763,DOWN,0
2000-08-28,19.125,19.5625,16.4825,19.2,17.0775,UP,1
2000-08-29,19.25,18.625,16.4941,19.2,17.1825,UP,1
2000-08-30,19.5625,19.0,16.5069,19.375,17.2987,DOWN,0
2000-08-31,19.375,19.375,16.5188,19.375,17.4075,DOWN,0
2000-09-01,19.375,19.1875,16.5313,19.3375,17.515,DOWN,0
2000-09-05,19.0,19.4375,16.5419,19.3125,17.6063,DOWN,0
2000-09-06,18.8125,18.875,16.5531,19.225,17.6813,UP,1
2000-09-07,19.1875,19.0,16.5628,19.15,17.7588,DOWN,0
2000-09-08,19.1875,19.0625,16.5741,19.1125,17.8313,UP,1
2000-09-11,19.25,19.0,16.5866,19.0875,17.8962,DOWN,0
2000-09-12,19.0,19.125,16.5934,19.0875,17.9913,DOWN,0
2000-09-13,19.0,19.125,16.6009,19.125,18.06,UP,1
2000-09-14,19.375,19.25,16.6109,19.1625,18.1338,DOWN,0
2000-09-15,19.0,19.125,16.6166,19.125,18.1888,DOWN,0
2000-09-18,18.125,18.75,16.6209,18.9,18.2225,DOWN,0
2000-09-19,17.8125,18.125,16.6225,18.6625,18.2425,UP,1
2000-09-20,17.875,17.6875,16.6247,18.4375,18.265,DOWN,0
2000-09-21,17.75,17.625,16.6263,18.1125,18.28,DOWN,0
2000-09-22,17.5,17.6875,16.6288,17.8125,18.2875,DOWN,0
2000-09-25,16.875,17.25,16.6294,17.5625,18.2813,DOWN,0
2000-09-26,16.5625,16.8125,16.6281,17.3125,18.2712,DOWN,0
2000-09-27,16.125,16.625,16.6266,16.9625,18.2588,UP,1
2000-09-28,16.5,16.125,16.6259,16.7125,18.2438,DOWN,0
2000-09-29,16.125,16.4375,16.6241,16.4375,18.2275,UP,1
