ticker,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-10-27,48.47,52.04,52.3,52.1945,40.0983,DOWN,0
2020-10-28,45.26,46.34,50.862,52.2453,40.0297,UP,1
2020-10-29,46.1,46.0,49.256,52.2864,39.9661,DOWN,0
2020-10-30,44.82,45.49,47.282,52.2628,39.8875,UP,1
2020-11-02,46.66,45.55,46.262,52.302,39.8141,UP,1
2020-11-03,50.11,47.52,46.59,52.4098,39.7671,UP,1
2020-11-04,52.2,50.99,47.978,52.5766,39.7267,UP,1
2020-11-05,56.13,53.28,49.984,52.7794,39.7042,UP,1
2020-11-06,56.89,54.95,52.398,52.972,39.6926,UP,1
2020-11-09,63.08,64.74,55.682,53.2526,39.7183,DOWN,0
2020-11-10,60.28,62.8,57.716,53.5422,39.7241,DOWN,0
2020-11-11,58.97,60.44,59.07,53.7844,39.7151,DOWN,0
2020-11-12,57.78,57.4,59.4,53.9666,39.6997,UP,1
2020-11-13,61.38,59.6,60.298,54.2418,39.7077,UP,1
2020-11-16,63.19,64.05,60.32,54.5094,39.7192,UP,1
2020-11-17,63.73,62.34,61.01,54.7852,39.7243,UP,1
2020-11-18,63.8,64.52,61.976,55.0556,39.7256,UP,1
2020-11-19,65.73,64.15,63.566,55.3554,39.7362,DOWN,0
2020-11-20,64.01,64.79,64.092,55.6334,39.7448,UP,1
2020-11-23,66.9,64.29,64.834,55.8636,39.7585,UP,1
2020-11-24,70.1,68.0,66.108,56.086,39.7815,DOWN,0
2020-11-25,69.37,67.24,67.222,56.3546,39.7963,UP,1
2020-11-27,70.1,69.72,68.096,56.6486,39.8067,DOWN,0
2020-11-30,68.12,69.69,68.918,56.887,39.8027,DOWN,0
2020-12-01,67.84,69.79,69.106,57.1552,39.7978,UP,1
2020-12-02,68.5,67.88,68.786,57.3626,39.793,UP,1
2020-12-03,71.13,68.94,69.138,57.688,39.8013,UP,1
2020-12-04,73.84,71.8,69.886,58.1074,39.8299,UP,1
2020-12-07,74.86,73.8,71.234,58.4632,39.8893,UP,1
2020-12-08,75.27,74.03,72.72,58.8044,39.9875,DOWN,0
2020-12-09,71.78,75.27,73.376,59.1502,40.0894,DOWN,0
2020-12-10,71.13,70.72,73.376,59.4516,40.1957,DOWN,0
2020-12-11,69.9,71.65,72.588,59.7076,40.2943,UP,1
2020-12-14,71.81,71.68,71.978,60.0072,40.4262,UP,1
2020-12-15,75.24,72.86,71.972,60.3706,40.5941,UP,1
2020-12-16,75.84,74.63,72.784,60.7874,40.7677,UP,1
2020-12-17,77.06,76.03,73.97,61.2138,40.9793,DOWN,0
2020-12-18,75.44,77.42,75.078,61.6278,41.1883,DOWN,0
2020-12-21,73.83,73.2817,75.482,62.0574,41.4252,UP,1
2020-12-22,74.31,73.95,75.296,62.4646,41.6515,UP,1
2020-12-23,76.68,74.64,75.464,62.8892,41.9111,DOWN,0
2020-12-24,75.84,76.2289,75.22,63.2994,42.2129,DOWN,0
2020-12-28,73.64,76.48,74.86,63.6602,42.49,DOWN,0
2020-12-29,73.37,74.16,74.768,64.0282,42.7879,UP,1
2020-12-30,73.69,73.33,74.644,64.4336,43.1059,UP,1
2020-12-31,74.27,73.73,74.162,64.8296,43.4418,DOWN,0
2021-01-04,71.6,74.62,73.314,65.2126,43.7609,UP,1
2021-01-05,74.77,71.54,73.54,65.6254,44.0907,UP,1
2021-01-06,76.24,75.96,74.114,66.0564,44.4197,UP,1
2021-01-07,78.06,77.3,74.988,66.5824,44.7347,UP,1
2021-01-08,78.8,77.85,75.894,67.189,45.0453,DOWN,0
2021-01-11,78.27,77.28,77.228,67.8492,45.3527,UP,1
2021-01-12,79.08,78.8032,78.09,68.5088,45.6724,DOWN,0
2021-01-13,76.52,78.5,78.146,69.1428,45.9947,UP,1
2021-01-14,78.16,77.46,78.166,69.7728,46.3135,UP,1
2021-01-15,80.0,77.3,78.406,70.3706,46.6551,UP,1
2021-01-19,80.67,80.18,78.886,70.94,47.0051,DOWN,0
2021-01-20,80.05,80.4,79.08,71.4184,47.3545,UP,1
2021-01-21,80.72,80.22,79.92,71.895,47.688,DOWN,0
2021-01-22,79.53,79.75,80.194,72.224,48.0101,DOWN,0
2021-01-25,78.4,79.32,79.874,72.5864,48.3113,DOWN,0
2021-01-26,74.36,78.8534,78.612,72.8942,48.5926,DOWN,0
2021-01-27,66.87,71.77,75.976,73.076,48.8415,UP,1
2021-01-28,73.74,68.0,74.58,73.3232,49.1227,DOWN,0
2021-01-29,70.39,73.04,72.752,73.4672,49.3947,UP,1
2021-02-01,70.8,70.67,71.232,73.6086,49.6724,UP,1
2021-02-02,76.0,72.25,71.56,73.8526,49.9689,UP,1
2021-02-03,76.75,76.01,73.536,74.073,50.2723,UP,1
2021-02-04,79.48,77.89,74.684,74.3824,50.5933,UP,1
2021-02-05,82.88,81.02,77.182,74.702,50.9327,DOWN,0
2021-02-08,82.85,83.47,79.592,74.957,51.269,DOWN,0
2021-02-09,81.57,82.12,80.706,75.201,51.5878,DOWN,0
2021-02-10,79.61,81.85,81.278,75.3912,51.8842,DOWN,0
2021-02-11,78.47,79.75,81.076,75.5982,52.1709,UP,1
2021-02-12,80.24,77.79,80.548,75.8462,52.4601,DOWN,0
2021-02-16,78.34,80.9,79.646,76.043,52.7446,UP,1
2021-02-17,78.61,77.35,79.054,76.1926,53.0434,UP,1
2021-02-18,79.27,77.65,78.986,76.3012,53.3451,UP,1
2021-02-19,83.16,79.87,79.924,76.4672,53.6691,UP,1
2021-02-22,84.71,83.4,80.818,76.656,54.0022,UP,1
2021-02-23,85.77,83.7,82.304,76.9358,54.3342,UP,1
2021-02-24,89.81,86.83,84.544,77.3094,54.6778,DOWN,0
2021-02-25,85.14,89.6,85.718,77.6142,55.0004,UP,1
2021-02-26,93.44,90.74,87.774,78.0468,55.3517,UP,1
2021-03-01,94.06,96.0,89.644,78.4232,55.7206,DOWN,0
2021-03-02,92.98,93.63,91.086,78.766,56.0748,UP,1
2021-03-03,95.56,95.24,92.236,79.136,56.4366,DOWN,0
2021-03-04,90.82,96.0,93.372,79.4436,56.7517,UP,1
2021-03-05,93.31,91.82,93.346,79.8332,57.0744,UP,1
2021-03-08,95.07,94.97,93.548,80.2484,57.3935,DOWN,0
2021-03-09,93.78,97.5,93.708,80.5904,57.699,UP,1
