ticker,EQIX US Equity,EQIX US Equity,EQIX US Equity,EQIX US Equity,EQIX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-12-11,167.73,169.36,167.516,164.404,188.8878,UP,1
2013-12-12,168.0,167.32,167.63,164.2516,188.6701,UP,1
2013-12-13,168.79,168.06,168.292,164.2952,188.4493,UP,1
2013-12-16,169.74,169.27,168.568,164.3386,188.2328,DOWN,0
2013-12-17,169.02,168.67,168.656,164.405,187.9909,UP,1
2013-12-18,170.42,169.41,169.194,164.5292,187.7551,DOWN,0
2013-12-19,169.03,170.88,169.4,164.6026,187.5199,UP,1
2013-12-20,170.69,169.29,169.78,164.6898,187.288,UP,1
2013-12-23,174.82,171.84,170.796,164.8444,187.0749,UP,1
2013-12-24,175.62,175.0,172.116,165.0344,186.8737,UP,1
2013-12-26,175.92,176.13,173.216,165.2724,186.6768,DOWN,0
2013-12-27,174.58,176.86,174.326,165.4534,186.4744,DOWN,0
2013-12-30,173.07,174.86,174.802,165.5548,186.2889,UP,1
2013-12-31,177.45,173.08,175.328,165.767,186.1446,DOWN,0
2014-01-02,174.76,177.63,175.156,165.922,185.9836,DOWN,0
2014-01-03,173.42,174.91,174.656,166.0504,185.7963,UP,1
2014-01-06,174.18,174.0,174.576,166.1609,185.6132,UP,1
2014-01-07,179.59,174.8,175.88,166.2713,185.4525,UP,1
2014-01-08,180.29,179.68,176.448,166.4463,185.3037,DOWN,0
2014-01-09,177.49,180.08,176.994,166.6173,185.1316,UP,1
2014-01-10,179.01,177.94,178.112,166.8297,184.9591,DOWN,0
2014-01-13,174.92,179.82,178.26,167.0845,184.7521,UP,1
2014-01-14,178.74,175.41,178.09,167.4343,184.5712,UP,1
2014-01-15,179.53,178.57,177.938,167.7016,184.4039,DOWN,0
2014-01-16,179.48,179.3,178.336,168.011,184.2596,DOWN,0
2014-01-17,175.87,178.92,177.708,168.303,184.0853,UP,1
2014-01-21,179.29,177.53,178.582,168.6236,183.9116,DOWN,0
2014-01-22,178.97,179.6,178.628,169.008,183.7324,UP,1
2014-01-23,182.64,178.28,179.25,169.542,183.5896,UP,1
2014-01-24,183.88,181.14,180.13,170.0752,183.4139,DOWN,0
2014-01-27,181.07,184.14,181.17,170.593,183.2108,UP,1
2014-01-28,182.6,181.07,181.832,171.0884,183.0364,UP,1
2014-01-29,182.64,182.46,182.566,171.4964,182.9014,UP,1
2014-01-30,184.34,183.32,182.906,171.831,182.7489,UP,1
2014-01-31,185.2,182.2,183.17,172.2522,182.611,DOWN,0
2014-02-03,179.14,185.78,182.784,172.6034,182.4609,UP,1
2014-02-04,183.99,180.68,183.062,173.0708,182.3301,DOWN,0
2014-02-05,181.01,182.92,182.736,173.4784,182.1669,UP,1
2014-02-06,183.06,181.27,182.48,173.9334,181.9852,UP,1
2014-02-07,186.31,184.09,182.702,174.4146,181.8348,UP,1
2014-02-10,189.93,186.24,184.86,174.9626,181.7169,UP,1
2014-02-11,190.74,188.98,186.21,175.565,181.6132,UP,1
2014-02-12,190.75,190.02,188.158,176.166,181.5121,UP,1
2014-02-13,191.85,189.99,189.916,176.812,181.4008,UP,1
2014-02-14,193.24,191.14,191.302,177.489,181.2868,UP,1
2014-02-18,194.02,192.12,192.12,178.1336,181.1824,DOWN,0
2014-02-19,192.62,194.75,192.496,178.6374,181.073,DOWN,0
2014-02-20,187.95,191.69,191.936,179.0868,180.9375,UP,1
2014-02-21,189.43,189.21,191.452,179.5082,180.7966,UP,1
2014-02-24,189.79,189.36,190.762,179.9324,180.621,DOWN,0
2014-02-25,188.5,190.45,189.658,180.3478,180.4541,UP,1
2014-02-26,190.0,189.69,189.134,180.7878,180.2855,UP,1
2014-02-27,191.85,190.11,189.914,181.249,180.115,DOWN,0
