ticker,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-05-22,660.08,659.53,651.4828,710.3295,563.5457,UP,1
2012-05-23,673.12,657.07,653.6588,710.7161,564.3863,DOWN,0
2012-05-24,668.97,676.31,658.3708,711.0805,565.1441,DOWN,0
2012-05-25,652.88,668.4,662.546,710.9931,565.9145,UP,1
2012-05-29,658.04,660.01,662.618,710.6439,566.7039,DOWN,0
2012-05-30,637.76,650.02,658.154,709.4605,567.3771,DOWN,0
2012-05-31,625.49,637.0,648.628,708.041,567.9328,DOWN,0
2012-06-01,610.5,608.03,636.934,706.178,568.4987,UP,1
2012-06-04,616.54,614.02,629.666,704.269,569.1222,UP,1
2012-06-05,619.83,615.21,622.024,702.3658,569.9273,UP,1
2012-06-06,642.51,625.58,622.974,700.508,570.8951,DOWN,0
2012-06-07,636.15,653.5,625.106,698.654,571.8443,UP,1
2012-06-08,644.36,632.89,631.878,697.1772,572.683,DOWN,0
2012-06-11,641.71,653.74,636.912,695.6106,573.4641,UP,1
2012-06-12,646.98,645.0,642.342,694.2002,574.2812,DOWN,0
2012-06-13,646.5,643.23,643.14,692.7308,574.9963,DOWN,0
2012-06-14,640.32,647.11,643.974,690.6648,575.5929,UP,1
2012-06-15,659.41,642.0,646.984,688.935,576.2138,UP,1
2012-06-18,673.5,656.32,653.342,687.269,576.895,UP,1
2012-06-19,680.11,673.66,659.968,685.5762,577.6464,DOWN,0
2012-06-20,670.82,678.69,664.832,684.1674,578.3595,DOWN,0
2012-06-21,657.58,672.0,668.284,682.7276,578.9789,UP,1
2012-06-22,666.98,660.21,669.798,681.2242,579.6031,DOWN,0
2012-06-25,651.65,662.19,665.428,679.5536,580.1694,UP,1
2012-06-26,656.36,653.29,660.678,678.6408,580.8475,DOWN,0
2012-06-27,653.84,658.85,657.282,677.4102,581.4723,DOWN,0
2012-06-28,643.48,648.3,654.462,675.6354,582.0746,UP,1
2012-06-29,664.52,657.63,653.97,674.5822,582.7494,UP,1
2012-07-02,680.86,665.48,659.812,673.996,583.5337,UP,1
2012-07-03,690.55,684.84,666.65,673.827,584.3591,DOWN,0
2012-07-05,681.65,685.97,672.212,673.7598,585.1101,DOWN,0
2012-07-06,671.66,674.9,677.848,672.702,585.7822,DOWN,0
2012-07-09,664.87,671.01,677.918,671.334,586.4502,DOWN,0
2012-07-10,648.65,671.2,671.476,669.0644,587.1656,DOWN,0
2012-07-11,646.66,646.07,662.698,666.7812,587.8258,DOWN,0
2012-07-12,639.08,639.0,654.184,664.4594,588.4533,UP,1
2012-07-13,642.95,642.05,648.442,662.0972,589.1124,DOWN,0
2012-07-16,637.73,639.95,643.014,659.8572,589.8106,UP,1
2012-07-17,647.37,640.14,642.758,658.0833,590.6574,UP,1
2012-07-18,655.68,646.61,644.562,656.4439,591.6885,UP,1
