ticker,COST US Equity,COST US Equity,COST US Equity,COST US Equity,COST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-11-24,35.438,34.75,39.7301,35.4,34.3237,UP,1
2000-11-27,36.688,35.563,39.6551,35.525,34.3513,DOWN,0
2000-11-28,35.25,36.75,39.5776,35.5875,34.375,UP,1
2000-11-29,36.438,35.25,39.5129,35.6625,34.435,DOWN,0
2000-11-30,32.625,34.688,39.4373,35.2875,34.4025,DOWN,0
2000-12-01,32.625,33.25,39.3804,34.725,34.3475,UP,1
2000-12-04,34.125,32.688,39.3263,34.2125,34.3313,UP,1
2000-12-05,35.313,33.813,39.2829,34.225,34.34,DOWN,0
2000-12-06,33.625,35.313,39.2282,33.6625,34.3363,DOWN,0
2000-12-07,33.188,33.25,39.1723,33.775,34.3088,UP,1
2000-12-08,33.25,33.938,39.1004,33.9,34.2563,DOWN,0
2000-12-11,32.938,33.0,39.0204,33.6625,34.2163,UP,1
2000-12-12,33.188,33.0,38.9382,33.2375,34.2213,DOWN,0
2000-12-13,32.75,33.5,38.8695,33.0625,34.1997,UP,1
2000-12-14,34.938,33.5,38.796,33.4125,34.2088,DOWN,0
2000-12-15,34.875,34.938,38.7207,33.7375,34.2338,UP,1
2000-12-18,36.438,35.0,38.6523,34.4375,34.2925,DOWN,0
2000-12-19,33.938,36.375,38.5951,34.5875,34.2875,UP,1
2000-12-20,34.438,33.75,38.5391,34.925,34.3162,UP,1
2000-12-21,35.625,34.25,38.4945,35.0625,34.4163,UP,1
2000-12-22,37.375,35.578,38.4607,35.5625,34.5388,DOWN,0
2000-12-26,36.063,37.125,38.426,35.4875,34.6175,UP,1
2000-12-27,37.188,35.813,38.3954,36.1375,34.7213,UP,1
2000-12-28,38.625,37.188,38.3395,36.975,34.8538,UP,1
2000-12-29,39.938,39.0,38.2594,37.8375,34.9925,UP,1
2001-01-02,41.188,40.0,38.1956,38.6,35.1175,UP,1
2001-01-03,42.688,40.875,38.1475,39.925,35.285,UP,1
2001-01-04,43.625,41.75,38.1047,41.2125,35.4863,DOWN,0
2001-01-05,41.313,43.625,38.0469,41.75,35.6338,UP,1
2001-01-08,41.938,40.813,37.9884,42.15,35.8125,DOWN,0
2001-01-09,41.813,42.0,37.9281,42.275,35.9888,DOWN,0
2001-01-10,40.688,41.063,37.8644,41.875,36.1287,UP,1
2001-01-11,41.313,40.563,37.8153,41.4125,36.2638,UP,1
2001-01-12,43.063,41.375,37.7781,41.7625,36.3925,UP,1
2001-01-16,43.563,43.25,37.7447,42.0875,36.5488,DOWN,0
2001-01-17,41.438,43.875,37.6891,42.0125,36.6538,DOWN,0
2001-01-18,41.438,41.875,37.6338,42.1625,36.7763,DOWN,0
2001-01-19,40.438,41.438,37.5656,41.9875,36.8938,UP,1
2001-01-22,42.25,41.0,37.5094,41.825,37.0238,UP,1
2001-01-23,42.5,42.0,37.4625,41.6125,37.1625,UP,1
2001-01-24,42.938,42.5,37.4131,41.9125,37.34,UP,1
2001-01-25,43.188,42.813,37.3578,42.2625,37.5438,DOWN,0
2001-01-26,41.25,43.438,37.2769,42.425,37.68,UP,1
2001-01-29,44.063,41.875,37.2219,42.7875,37.8237,DOWN,0
2001-01-30,43.75,44.0,37.1675,43.0375,37.9638,UP,1
2001-01-31,46.25,43.75,37.1444,43.7,38.1825,DOWN,0
2001-02-01,46.25,45.875,37.13,44.3125,38.3862,DOWN,0
2001-02-02,43.938,45.875,37.095,44.85,38.5662,DOWN,0
2001-02-05,43.188,44.375,37.0497,44.675,38.7088,UP,1
2001-02-06,43.75,43.063,36.9944,44.675,38.8938,UP,1
2001-02-07,45.25,43.75,36.9406,44.475,39.09,DOWN,0
2001-02-08,42.875,45.625,36.87,43.8,39.2138,DOWN,0
2001-02-09,41.313,42.938,36.8019,43.275,39.335,UP,1
2001-02-12,42.438,41.688,36.7338,43.125,39.455,UP,1
2001-02-13,42.938,42.75,36.6781,42.9625,39.6613,UP,1
2001-02-14,43.688,43.0,36.6044,42.65,39.8825,DOWN,0
2001-02-15,42.813,43.938,36.5447,42.6375,40.0563,DOWN,0
2001-02-16,42.688,41.875,36.4972,42.9125,40.2038,UP,1
2001-02-20,44.125,42.375,36.4731,43.25,40.4138,DOWN,0
2001-02-21,42.0,43.813,36.4391,43.0625,40.59,DOWN,0
2001-02-22,41.875,42.0,36.4113,42.7,40.7625,DOWN,0
2001-02-23,41.375,41.813,36.3722,42.4125,40.9313,UP,1
2001-02-26,42.875,41.875,36.3419,42.45,41.125,UP,1
2001-02-27,43.0,42.875,36.3078,42.225,41.33,DOWN,0
2001-02-28,41.75,43.125,36.2775,42.175,41.4663,DOWN,0
2001-03-01,40.313,41.375,36.2344,41.8625,41.575,DOWN,0
2001-03-02,38.688,40.063,36.1713,41.325,41.62,DOWN,0
2001-03-05,37.688,38.875,36.121,40.2875,41.695,UP,1
2001-03-06,37.813,38.125,36.0763,39.25,41.7625,UP,1
2001-03-07,39.938,38.125,36.051,38.8875,41.8488,UP,1
2001-03-08,40.188,40.188,36.0363,38.8625,41.905,DOWN,0
2001-03-09,39.375,39.75,36.0301,39.0,41.9713,DOWN,0
2001-03-12,37.938,39.125,36.0604,39.05,41.9863,UP,1
2001-03-13,38.063,38.125,36.1007,39.1,41.975,DOWN,0
2001-03-14,36.5,37.188,36.1288,38.4125,41.9063,UP,1
2001-03-15,37.625,37.375,36.1545,37.9,41.835,DOWN,0
2001-03-16,37.125,36.609,36.1804,37.45,41.7238,UP,1
2001-03-19,38.188,37.125,36.2095,37.5,41.615,UP,1
2001-03-20,39.5,39.188,36.2357,37.7875,41.5788,DOWN,0
2001-03-21,38.375,39.188,36.2613,38.1625,41.5075,DOWN,0
2001-03-22,37.25,38.688,36.2888,38.0875,41.4163,DOWN,0
2001-03-23,37.063,37.563,36.3104,38.075,41.3438,UP,1
2001-03-26,37.875,37.75,36.3395,38.0125,41.275,UP,1
2001-03-27,37.938,37.938,36.3676,37.7,41.1725,DOWN,0
2001-03-28,37.688,37.688,36.3988,37.5625,41.055,UP,1
2001-03-29,37.938,37.5,36.4279,37.7,40.985,UP,1
2001-03-30,39.25,37.938,36.4613,38.1375,40.9412,DOWN,0
2001-04-02,36.188,38.813,36.4763,37.8,40.8563,DOWN,0
2001-04-03,34.063,36.625,36.4841,37.025,40.6925,UP,1
2001-04-04,35.0,34.344,36.4991,36.4875,40.5425,UP,1
2001-04-05,36.0,35.875,36.521,36.1,40.4038,DOWN,0
2001-04-06,35.563,35.625,36.537,35.3625,40.2513,DOWN,0
2001-04-09,34.79,36.09,36.5509,35.083,40.1221,UP,1
2001-04-10,35.73,35.1,36.5696,35.4165,39.9554,UP,1
2001-04-11,36.27,36.1,36.5915,35.6705,39.8058,UP,1
2001-04-12,36.31,36.13,36.6081,35.7325,39.607,DOWN,0
2001-04-16,34.97,36.25,36.6214,35.614,39.3814,UP,1
2001-04-17,36.28,34.84,36.6425,35.912,39.2282,UP,1
2001-04-18,38.36,36.85,36.6693,36.438,39.1317,DOWN,0
2001-04-19,36.98,38.01,36.6832,36.58,38.9963,DOWN,0
2001-04-20,36.55,36.66,36.6997,36.628,38.8223,DOWN,0
2001-04-23,36.24,36.8,36.7165,36.882,38.6896,DOWN,0
2001-04-24,34.28,33.29,36.7151,36.482,38.549,UP,1
2001-04-25,34.97,34.39,36.7047,35.804,38.3996,DOWN,0
2001-04-26,34.78,35.0,36.7008,35.364,38.2365,UP,1
2001-04-27,35.32,35.29,36.6945,35.118,38.0691,DOWN,0
2001-04-30,34.93,35.743,36.6867,34.856,37.9114,UP,1
2001-05-01,35.92,35.04,36.6863,35.184,37.7761,UP,1
2001-05-02,36.04,35.93,36.689,35.398,37.6144,DOWN,0
2001-05-03,35.4,36.0,36.6966,35.522,37.4824,UP,1
2001-05-04,35.87,34.83,36.7113,35.632,37.3623,DOWN,0
2001-05-07,34.74,35.65,36.7203,35.594,37.2296,UP,1
2001-05-08,34.77,35.0,36.7329,35.364,37.0675,UP,1
2001-05-09,34.81,34.61,36.7485,35.118,36.9037,UP,1
2001-05-10,35.94,36.01,36.7698,35.226,36.7875,DOWN,0
2001-05-11,35.49,36.04,36.7907,35.15,36.691,UP,1
2001-05-14,36.11,35.5,36.8115,35.424,36.6395,DOWN,0
2001-05-15,35.55,36.09,36.828,35.58,36.5967,UP,1
2001-05-16,36.15,35.53,36.846,35.848,36.5635,UP,1
2001-05-17,36.3,36.14,36.865,35.92,36.4907,DOWN,0
2001-05-18,35.78,36.33,36.876,35.978,36.4026,UP,1
2001-05-21,37.03,35.89,36.8884,36.162,36.3557,UP,1
2001-05-22,37.89,37.15,36.9003,36.63,36.3547,DOWN,0
2001-05-23,36.85,37.86,36.9011,36.77,36.3305,UP,1
2001-05-24,37.8,36.96,36.9023,37.07,36.3565,DOWN,0
2001-05-25,37.6,37.86,36.9094,37.434,36.356,DOWN,0
2001-05-29,36.78,37.69,36.9214,37.384,36.3491,UP,1
2001-05-30,37.29,36.35,36.9332,37.264,36.3311,UP,1
2001-05-31,38.91,37.1,36.949,37.676,36.3193,DOWN,0
2001-06-01,38.78,39.21,36.9691,37.872,36.3274,DOWN,0
2001-06-04,38.49,38.95,36.9963,38.05,36.3522,UP,1
2001-06-05,39.75,38.55,37.03,38.644,36.406,DOWN,0
2001-06-06,39.5,39.8,37.0603,39.086,36.4385,UP,1
2001-06-07,41.0,39.39,37.1016,39.504,36.4997,DOWN,0
