ticker,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-09-13,35.29,35.1,34.882,39.2662,46.9689,UP,1
2016-09-14,35.96,35.32,35.08,39.1752,46.8596,UP,1
2016-09-15,36.24,35.77,35.448,39.094,46.7536,DOWN,0
2016-09-16,35.75,36.25,35.698,38.9972,46.6388,DOWN,0
2016-09-19,35.34,35.97,35.716,38.8628,46.5259,UP,1
2016-09-20,36.31,35.4,35.92,38.7258,46.421,DOWN,0
2016-09-21,36.3,36.41,35.988,38.5608,46.3111,UP,1
2016-09-22,37.17,36.43,36.174,38.4246,46.2032,UP,1
2016-09-23,37.42,36.92,36.508,38.3176,46.0972,DOWN,0
2016-09-26,36.72,37.34,36.784,38.2282,45.9957,UP,1
2016-09-27,37.69,36.86,37.06,38.1588,45.8915,DOWN,0
2016-09-28,37.44,37.81,37.288,38.1048,45.7863,DOWN,0
2016-09-29,37.16,37.48,37.286,38.0242,45.6748,UP,1
2016-09-30,37.7,37.32,37.342,37.9558,45.5708,UP,1
2016-10-03,37.78,37.69,37.554,37.8892,45.4608,UP,1
2016-10-04,38.05,37.31,37.626,37.8164,45.3655,UP,1
2016-10-05,38.26,36.92,37.79,37.7442,45.2725,UP,1
2016-10-06,38.64,38.29,38.086,37.6744,45.1705,DOWN,0
2016-10-07,38.46,38.59,38.238,37.5844,45.0686,UP,1
2016-10-10,38.48,38.54,38.378,37.502,44.9686,DOWN,0
2016-10-11,37.95,38.51,38.358,37.4118,44.8653,UP,1
2016-10-12,38.08,37.95,38.322,37.3782,44.7656,DOWN,0
2016-10-13,37.79,37.46,38.152,37.325,44.6569,DOWN,0
2016-10-14,37.33,37.25,37.926,37.2384,44.546,UP,1
2016-10-17,37.47,37.44,37.724,37.1258,44.4404,UP,1
2016-10-18,38.25,37.96,37.784,37.0316,44.3417,DOWN,0
2016-10-19,38.11,37.66,37.79,37.0356,44.2437,UP,1
2016-10-20,38.74,38.2,37.98,37.0644,44.1525,DOWN,0
2016-10-21,37.99,38.42,38.112,37.0486,44.0639,UP,1
2016-10-24,38.06,38.36,38.23,37.041,43.9788,DOWN,0
2016-10-25,37.73,37.84,38.126,37.0282,43.8875,UP,1
2016-10-26,37.97,37.65,38.098,37.035,43.7981,DOWN,0
2016-10-27,35.71,37.43,37.492,36.976,43.7151,UP,1
2016-10-28,38.24,36.78,37.542,36.9668,43.6523,UP,1
2016-10-31,38.87,38.44,37.704,36.98,43.6075,DOWN,0
