ticker,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-06-11,97.18,96.98,88.9496,97.488,94.875,DOWN,0
2013-06-12,97.18,97.91,89.0523,97.68,94.9086,UP,1
2013-06-13,99.02,97.24,89.1619,98.018,95.0032,DOWN,0
2013-06-14,98.6,98.97,89.2663,98.062,95.0838,UP,1
2013-06-17,100.21,99.53,89.3773,98.438,95.2402,UP,1
2013-06-18,101.9,100.25,89.4991,99.382,95.4176,DOWN,0
2013-06-19,100.22,102.01,89.6043,99.99,95.559,DOWN,0
2013-06-20,97.36,99.26,89.6956,99.658,95.6038,UP,1
2013-06-21,99.26,98.11,89.791,99.79,95.6798,DOWN,0
2013-06-24,97.63,98.26,89.8798,99.274,95.7458,UP,1
2013-06-25,99.73,99.62,89.9804,98.84,95.9142,DOWN,0
2013-06-26,99.42,100.72,90.0691,98.68,96.0688,UP,1
2013-06-27,100.38,99.85,90.1551,99.284,96.2794,DOWN,0
2013-06-28,100.05,100.03,90.2393,99.442,96.5156,UP,1
2013-07-01,102.37,100.55,90.334,100.39,96.794,DOWN,0
2013-07-02,100.36,102.27,90.4176,100.516,97.0166,UP,1
2013-07-03,100.47,99.31,90.4942,100.726,97.184,UP,1
2013-07-05,102.01,101.21,90.5791,101.052,97.3746,DOWN,0
2013-07-08,101.7,102.2,90.663,101.382,97.551,UP,1
2013-07-09,102.19,102.16,90.7477,101.346,97.7488,UP,1
2013-07-10,104.28,101.96,90.8441,102.13,97.9854,UP,1
2013-07-11,104.49,105.11,90.9411,102.934,98.2272,UP,1
2013-07-12,104.53,104.22,91.0403,103.438,98.4702,UP,1
2013-07-15,104.64,104.76,91.1404,104.026,98.7104,DOWN,0
2013-07-16,103.5,104.64,91.2373,104.288,98.9204,DOWN,0
2013-07-17,103.25,104.0,91.3367,104.082,99.1148,UP,1
2013-07-18,104.63,103.43,91.4393,104.11,99.318,UP,1
2013-07-19,104.74,105.34,91.5463,104.152,99.4968,UP,1
2013-07-22,105.41,105.18,91.6526,104.306,99.6766,DOWN,0
2013-07-23,99.17,98.29,91.7284,103.44,99.7218,UP,1
2013-07-24,100.31,99.0,91.8083,102.852,99.798,UP,1
2013-07-25,100.77,100.38,91.8899,102.08,99.8584,DOWN,0
2013-07-26,100.16,99.94,91.969,101.164,99.8918,DOWN,0
2013-07-29,99.63,99.59,92.0453,100.008,99.943,UP,1
2013-07-30,100.51,100.38,92.1379,100.276,99.9932,UP,1
2013-07-31,100.94,100.95,92.2407,100.402,100.0614,UP,1
2013-08-01,102.93,101.93,92.3509,100.834,100.1584,DOWN,0
2013-08-02,102.09,102.98,92.4594,101.22,100.2662,UP,1
2013-08-05,102.64,102.01,92.5696,101.822,100.3756,DOWN,0
2013-08-06,102.22,102.59,92.6723,102.164,100.4642,DOWN,0
2013-08-07,101.89,101.84,92.7712,102.354,100.5166,UP,1
2013-08-08,102.97,102.39,92.8805,102.362,100.6246,UP,1
2013-08-09,103.41,102.77,92.9982,102.626,100.7384,UP,1
2013-08-12,103.47,102.77,93.1102,102.792,100.8736,UP,1
2013-08-13,103.53,103.5,93.2334,103.054,101.004,DOWN,0
2013-08-14,102.89,103.67,93.3499,103.254,101.13,DOWN,0
2013-08-15,99.76,101.9,93.4453,102.612,101.2008,DOWN,0
2013-08-16,98.47,99.48,93.5299,101.624,101.2236,DOWN,0
2013-08-19,98.16,98.79,93.6116,100.562,101.2192,UP,1
2013-08-20,98.97,98.41,93.6855,99.65,101.232,DOWN,0
2013-08-21,98.59,98.66,93.761,98.79,101.2602,UP,1
2013-08-22,100.19,98.98,93.8383,98.876,101.3204,DOWN,0
2013-08-23,99.63,100.29,93.9095,99.108,101.3326,DOWN,0
2013-08-26,99.44,99.27,93.9867,99.364,101.3494,DOWN,0
2013-08-27,98.45,98.2,94.0629,99.26,101.3142,UP,1
2013-08-28,98.53,98.56,94.1407,99.248,101.2468,UP,1
2013-08-29,98.93,98.32,94.2208,98.996,101.221,DOWN,0
2013-08-30,98.85,98.97,94.3031,98.84,101.2508,UP,1
2013-09-03,99.98,100.21,94.3993,98.948,101.2652,UP,1
2013-09-04,101.16,99.89,94.4995,99.49,101.3358,UP,1
2013-09-05,101.7,100.98,94.6019,100.124,101.3752,DOWN,0
2013-09-06,101.62,101.91,94.6942,100.662,101.4192,UP,1
2013-09-09,103.09,101.72,94.7954,101.51,101.4734,UP,1
2013-09-10,103.89,103.68,94.9042,102.292,101.5502,UP,1
2013-09-11,104.93,103.86,95.0107,103.046,101.6014,DOWN,0
2013-09-12,104.41,104.67,95.1164,103.588,101.6824,DOWN,0
2013-09-13,104.19,104.41,95.2226,104.102,101.7568,UP,1
2013-09-16,105.75,105.42,95.3327,104.634,101.8316,UP,1
2013-09-17,105.98,106.03,95.4398,105.052,101.9172,UP,1
2013-09-18,106.61,106.14,95.5501,105.388,102.0056,DOWN,0
2013-09-19,106.44,107.1,95.6616,105.794,102.0488,UP,1
2013-09-20,106.54,106.5,95.7722,106.264,102.0898,DOWN,0
2013-09-23,105.96,106.2,95.8812,106.306,102.1184,UP,1
2013-09-24,106.66,105.91,95.9894,106.442,102.1588,UP,1
2013-09-25,106.72,106.54,96.0955,106.464,102.2232,UP,1
2013-09-26,107.73,106.6,96.2042,106.722,102.3128,DOWN,0
2013-09-27,107.28,107.86,96.3053,106.87,102.3658,DOWN,0
2013-09-30,106.21,106.51,96.3983,106.92,102.3952,DOWN,0
2013-10-01,105.7,106.58,96.4896,106.728,102.401,DOWN,0
2013-10-02,105.65,105.09,96.5811,106.514,102.5306,DOWN,0
2013-10-03,104.59,105.59,96.6632,105.886,102.6162,UP,1
2013-10-04,105.0,104.74,96.7422,105.43,102.7008,DOWN,0
2013-10-07,103.81,104.06,96.8193,104.95,102.7738,DOWN,0
2013-10-08,102.74,103.93,96.8863,104.358,102.836,DOWN,0
2013-10-09,102.34,102.81,96.9559,103.696,102.8726,UP,1
2013-10-10,103.87,103.25,97.0322,103.552,102.9312,UP,1
2013-10-11,104.48,103.84,97.1177,103.448,102.9622,DOWN,0
2013-10-14,104.18,102.79,97.2009,103.522,103.004,DOWN,0
2013-10-15,103.11,103.88,97.2852,103.596,103.0134,UP,1
2013-10-16,104.11,103.61,97.3702,103.95,103.0512,UP,1
2013-10-17,106.35,103.86,97.4584,104.446,103.1404,UP,1
2013-10-18,106.48,107.02,97.5597,104.846,103.2106,DOWN,0
2013-10-21,106.21,106.47,97.6566,105.252,103.2666,DOWN,0
2013-10-22,99.83,101.73,97.7203,104.596,103.1938,UP,1
2013-10-23,101.82,99.69,97.7857,104.138,103.1596,DOWN,0
2013-10-24,101.29,101.77,97.8371,103.126,103.1276,UP,1
2013-10-25,101.99,101.61,97.8907,102.228,103.1722,UP,1
2013-10-28,102.24,101.9,97.9489,101.434,103.2476,DOWN,0
2013-10-29,102.15,102.28,98.0081,101.898,103.3274,DOWN,0
2013-10-30,100.98,102.5,98.0585,101.73,103.3676,DOWN,0
2013-10-31,100.92,101.14,98.1103,101.656,103.4142,DOWN,0
2013-11-01,100.58,100.85,98.1604,101.374,103.422,UP,1
2013-11-04,100.8,101.2,98.2049,101.086,103.4454,DOWN,0
2013-11-05,99.47,100.41,98.2459,100.55,103.446,UP,1
2013-11-06,99.69,99.58,98.29,100.292,103.4708,DOWN,0
2013-11-07,98.45,99.94,98.3275,99.798,103.4692,UP,1
2013-11-08,100.12,98.42,98.3651,99.706,103.493,DOWN,0
2013-11-11,99.66,99.81,98.3996,99.478,103.5092,DOWN,0
2013-11-12,99.52,99.5,98.434,99.488,103.5,UP,1
2013-11-13,100.05,99.25,98.4736,99.56,103.4778,UP,1
2013-11-14,100.62,100.06,98.5188,99.994,103.4562,UP,1
2013-11-15,102.12,100.69,98.564,100.394,103.4662,DOWN,0
2013-11-18,101.25,102.35,98.6161,100.712,103.4294,DOWN,0
2013-11-19,100.5,101.03,98.6607,100.908,103.3616,DOWN,0
2013-11-20,100.4,100.5,98.7016,100.978,103.271,UP,1
2013-11-21,101.38,100.81,98.7515,101.13,103.2104,DOWN,0
2013-11-22,101.09,101.58,98.7943,100.924,103.1484,DOWN,0
2013-11-25,100.66,101.48,98.8353,100.806,103.0466,DOWN,0
2013-11-26,99.67,99.14,98.8737,100.64,102.9204,UP,1
2013-11-27,99.9,99.9,98.9071,100.54,102.7862,DOWN,0
2013-11-29,99.53,99.91,98.9374,100.17,102.648,UP,1
2013-12-02,99.58,99.57,98.9722,99.868,102.5088,DOWN,0
2013-12-03,99.34,99.17,99.0021,99.604,102.3764,DOWN,0
2013-12-04,99.2,98.86,99.0365,99.51,102.2272,DOWN,0
2013-12-05,98.49,99.19,99.07,99.228,102.0626,DOWN,0
2013-12-06,98.21,99.31,99.0978,98.964,101.8722,UP,1
2013-12-09,98.49,98.55,99.1381,98.746,101.6964,DOWN,0
2013-12-10,97.03,98.46,99.1658,98.284,101.5128,DOWN,0
2013-12-11,95.25,96.91,99.1772,97.494,101.3038,UP,1
2013-12-12,96.01,95.25,99.1936,96.998,101.111,UP,1
2013-12-13,96.03,96.31,99.2049,96.562,100.9398,UP,1
2013-12-16,96.72,96.27,99.2198,96.208,100.7742,DOWN,0
2013-12-17,96.1,96.68,99.2255,96.022,100.62,UP,1
2013-12-18,98.8,96.11,99.2464,96.732,100.5412,UP,1
2013-12-19,99.02,98.11,99.2702,97.334,100.4748,UP,1
2013-12-20,99.58,99.45,99.2957,98.044,100.389,DOWN,0
2013-12-23,99.47,100.18,99.3195,98.594,100.2888,UP,1
2013-12-24,99.6,99.4,99.3463,99.294,100.1972,DOWN,0
2013-12-26,99.6,99.61,99.3731,99.454,100.127,DOWN,0
2013-12-27,99.36,99.63,99.3966,99.522,100.032,UP,1
2013-12-30,100.3,99.56,99.424,99.666,99.911,DOWN,0
2013-12-31,100.0,100.5,99.4542,99.772,99.7814,DOWN,0
2014-01-02,99.22,100.0,99.4803,99.696,99.6416,DOWN,0
2014-01-03,98.04,99.13,99.4966,99.384,99.6058,UP,1
2014-01-06,98.39,98.37,99.523,99.19,99.5372,UP,1
2014-01-07,100.38,99.04,99.5586,99.206,99.519,UP,1
